state,district,year,dry_chillies_whole_year_yield_tonne_per_hectare
,,2004 - 2005,1.27
,,2005 - 2006,
,,2006 - 2007,1.82
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2020 - 2021,
,,2022 - 2023,
,Bidar,2000 - 2001,0.83
,,2001 - 2002,0.89
,,2002 - 2003,0.4
,,2003 - 2004,0.64
,,2004 - 2005,0.71
,,2005 - 2006,
,,2006 - 2007,1.34
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2021 - 2022,
,Bijapur,2000 - 2001,1.13
,,2001 - 2002,1.39
,,2002 - 2003,0.68
,,2003 - 2004,0.91
,,2004 - 2005,0.99
,,2005 - 2006,
,,2006 - 2007,2.17
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chamarajanagar,2000 - 2001,0.91
,,2001 - 2002,0.73
,,2002 - 2003,0.7
,,2003 - 2004,0.62
,,2004 - 2005,0.65
,,2005 - 2006,
,,2006 - 2007,0.82
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chikballapur,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chikmagalur,2000 - 2001,0.79
,,2001 - 2002,0.86
,,2002 - 2003,1.31
,,2003 - 2004,1.28
,,2004 - 2005,0.93
,,2005 - 2006,
,,2006 - 2007,0.61
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chitradurga,2000 - 2001,0.94
,,2001 - 2002,0.72
,,2002 - 2003,1.59
,,2003 - 2004,1.44
,,2004 - 2005,0.78
,,2005 - 2006,
,,2006 - 2007,1.73
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Dakshin kannad,2000 - 2001,1.19
,,2001 - 2002,1.38
,,2002 - 2003,1.41
,,2003 - 2004,1.05
,,2004 - 2005,1.48
,,2005 - 2006,
,,2006 - 2007,2.42
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2020 - 2021,
,,2021 - 2022,
,Davangere,2000 - 2001,0.67
,,2001 - 2002,0.66
,,2002 - 2003,0.6
,,2003 - 2004,0.46
,,2004 - 2005,0.94
,,2005 - 2006,
,,2006 - 2007,0.97
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dharwad,2000 - 2001,0.84
,,2001 - 2002,0.47
,,2002 - 2003,0.93
,,2003 - 2004,1.27
,,2004 - 2005,0.48
,,2005 - 2006,
,,2006 - 2007,0.62
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gadag,2000 - 2001,0.73
,,2001 - 2002,0.41
,,2002 - 2003,0.38
,,2003 - 2004,1.35
,,2004 - 2005,0.75
,,2005 - 2006,
,,2006 - 2007,0.29
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gulbarga,2000 - 2001,1.4
,,2001 - 2002,1.28
,,2002 - 2003,2.58
,,2003 - 2004,2.25
,,2004 - 2005,1.4
,,2005 - 2006,
,,2006 - 2007,1.95
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Hassan,2000 - 2001,1.69
,,2001 - 2002,2.9
,,2002 - 2003,3.03
,,2003 - 2004,2.07
,,2004 - 2005,1.9
,,2005 - 2006,
,,2006 - 2007,3.21
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Haveri,2000 - 2001,0.59
,,2001 - 2002,0.47
,,2002 - 2003,0.34
,,2003 - 2004,1.28
,,2004 - 2005,0.47
,,2005 - 2006,
,,2006 - 2007,1.4
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Kodagu,2000 - 2001,2.52
,,2001 - 2002,1.16
,,2002 - 2003,4.63
,,2003 - 2004,5.47
,,2004 - 2005,5.0
,,2005 - 2006,
,,2006 - 2007,4.15
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,Kolar,2000 - 2001,0.8
,,2001 - 2002,1.19
,,2002 - 2003,2.01
,,2003 - 2004,1.53
,,2004 - 2005,0.92
,,2005 - 2006,
,,2006 - 2007,2.14
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2021 - 2022,
,Koppal,2000 - 2001,1.18
,,2001 - 2002,0.5
,,2002 - 2003,0.49
,,2003 - 2004,1.64
,,2004 - 2005,0.98
,,2005 - 2006,
,,2006 - 2007,1.98
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Mandya,2000 - 2001,0.96
,,2001 - 2002,2.28
,,2002 - 2003,1.17
,,2003 - 2004,1.42
,,2004 - 2005,0.7
,,2005 - 2006,
,,2006 - 2007,1.06
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2021 - 2022,
,Mysore,2000 - 2001,0.97
,,2001 - 2002,0.94
,,2002 - 2003,1.1
,,2003 - 2004,2.4
,,2004 - 2005,1.91
,,2005 - 2006,
,,2006 - 2007,2.33
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2020 - 2021,
,,2021 - 2022,
,Raichur,2000 - 2001,0.7
,,2001 - 2002,0.8
,,2002 - 2003,0.97
,,2003 - 2004,0.81
,,2004 - 2005,0.51
,,2005 - 2006,
,,2006 - 2007,0.99
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Ramanagara,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2021 - 2022,
,Shimoga,2000 - 2001,0.61
,,2001 - 2002,0.46
,,2002 - 2003,0.95
,,2003 - 2004,1.46
,,2004 - 2005,0.96
,,2005 - 2006,
,,2006 - 2007,1.52
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,Tumkur,2000 - 2001,1.44
,,2001 - 2002,1.51
,,2002 - 2003,0.57
,,2003 - 2004,0.33
,,2004 - 2005,0.61
,,2005 - 2006,
,,2006 - 2007,1.09
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Udupi,2000 - 2001,1.07
,,2001 - 2002,0.94
,,2002 - 2003,1.35
,,2003 - 2004,1.67
,,2004 - 2005,1.09
,,2005 - 2006,
,,2006 - 2007,2.62
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2022 - 2023,
,Uttar kannad,2000 - 2001,0.71
,,2001 - 2002,0.78
,,2002 - 2003,1.0
,,2003 - 2004,1.71
,,2004 - 2005,0.73
,,2005 - 2006,
,,2006 - 2007,1.59
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2017 - 2018,
,,2021 - 2022,
,Vijayanagar,2022 - 2023,
,Yadgir,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
Madhya Pradesh,Agar malwa,2013 - 2014,0.5
,,2015 - 2016,5.38
,,2016 - 2017,5.38
,,2017 - 2018,5.38
,,2018 - 2019,5.38
,Alirajpur,2009 - 2010,1.91
,,2010 - 2011,2.13
,,2011 - 2012,2.06
,,2012 - 2013,2.04
,,2013 - 2014,1.75
,,2015 - 2016,2.0
,,2016 - 2017,2.2
,,2017 - 2018,2.8
,,2018 - 2019,2.81
,Anuppur,2003 - 2004,0.38
,,2006 - 2007,0.46
,,2009 - 2010,0.85
,,2010 - 2011,1.08
,,2011 - 2012,0.71
,,2012 - 2013,0.95
,,2013 - 2014,0.54
,,2015 - 2016,5.0
,,2016 - 2017,7.78
,,2017 - 2018,2.5
,,2018 - 2019,2.5
,Ashoknagar,2003 - 2004,0.5
,,2006 - 2007,0.5
,,2009 - 2010,1.13
,,2010 - 2011,1.6
,,2011 - 2012,0.94
,,2012 - 2013,1.38
,,2013 - 2014,0.78
,,2015 - 2016,2.0
,,2016 - 2017,2.0
,,2017 - 2018,2.0
,,2018 - 2019,2.04
,Balaghat,2000 - 2001,0.18
,,2001 - 2002,0.23
,,2002 - 2003,0.28
,,2003 - 2004,0.27
,,2006 - 2007,0.32
,,2009 - 2010,0.63
,,2010 - 2011,0.78
,,2011 - 2012,0.43
,,2012 - 2013,0.74
,,2013 - 2014,0.45
,,2016 - 2017,3.0
,,2017 - 2018,1.83
,,2018 - 2019,1.9
,Barwani,2000 - 2001,0.25
,,2001 - 2002,0.58
,,2002 - 2003,0.63
,,2003 - 2004,0.82
,,2006 - 2007,0.68
,,2009 - 2010,1.67
,,2010 - 2011,2.56
,,2011 - 2012,1.46
,,2012 - 2013,6.38
,,2013 - 2014,5.63
,,2015 - 2016,1.0
,,2016 - 2017,1.6
,,2017 - 2018,1.6
,,2018 - 2019,1.6
,Betul,2000 - 2001,0.27
,,2001 - 2002,0.39
,,2002 - 2003,0.53
,,2003 - 2004,0.55
,,2006 - 2007,0.69
,,2009 - 2010,1.35
,,2010 - 2011,1.96
,,2011 - 2012,1.3
,,2012 - 2013,2.33
,,2013 - 2014,1.39
,,2015 - 2016,3.2
,,2016 - 2017,3.2
,,2017 - 2018,3.19
,,2018 - 2019,3.51
,Bhind,2000 - 2001,0.31
,,2001 - 2002,0.49
,,2002 - 2003,0.43
,,2003 - 2004,0.6
,,2006 - 2007,0.75
,,2009 - 2010,1.09
,,2010 - 2011,1.79
,,2011 - 2012,0.97
,,2012 - 2013,1.16
,,2013 - 2014,0.67
,Bhopal,2000 - 2001,0.45
,,2001 - 2002,0.59
,,2002 - 2003,0.49
,,2003 - 2004,0.58
,,2006 - 2007,0.72
,,2009 - 2010,1.61
,,2010 - 2011,1.78
,,2011 - 2012,1.63
,,2012 - 2013,2.4
,,2013 - 2014,1.28
,,2015 - 2016,4.75
,,2016 - 2017,5.02
,,2017 - 2018,5.0
,,2018 - 2019,5.04
,Burhanpur,2003 - 2004,0.98
,,2006 - 2007,1.12
,,2009 - 2010,1.7
,,2010 - 2011,2.97
,,2011 - 2012,1.99
,,2012 - 2013,2.26
,,2013 - 2014,2.91
,,2015 - 2016,2.5
,,2016 - 2017,2.5
,,2017 - 2018,2.49
,,2018 - 2019,2.49
,Chhatarpur,2000 - 2001,0.19
,,2001 - 2002,0.27
,,2002 - 2003,0.3
,,2003 - 2004,0.31
,,2006 - 2007,0.31
,,2009 - 2010,0.57
,,2010 - 2011,0.77
,,2011 - 2012,0.38
,,2012 - 2013,0.46
,,2013 - 2014,0.23
,,2015 - 2016,5.15
,,2016 - 2017,5.15
,,2017 - 2018,5.15
,,2018 - 2019,5.07
,Chhindwara,2000 - 2001,0.22
,,2001 - 2002,0.26
,,2002 - 2003,0.36
,,2003 - 2004,0.43
,,2006 - 2007,0.47
,,2009 - 2010,0.95
,,2010 - 2011,1.31
,,2011 - 2012,0.99
,,2012 - 2013,1.23
,,2013 - 2014,0.79
,,2015 - 2016,14.99
,,2016 - 2017,10.0
,,2017 - 2018,10.0
,,2018 - 2019,8.23
,Damoh,2000 - 2001,0.32
,,2001 - 2002,0.51
,,2002 - 2003,0.37
,,2003 - 2004,0.63
,,2006 - 2007,0.62
,,2009 - 2010,1.77
,,2010 - 2011,2.56
,,2011 - 2012,1.65
,,2012 - 2013,2.09
,,2013 - 2014,1.09
,,2015 - 2016,5.0
,,2016 - 2017,5.0
,,2017 - 2018,2.5
,,2018 - 2019,2.5
,Datia,2000 - 2001,0.29
,,2001 - 2002,0.42
,,2002 - 2003,0.37
,,2003 - 2004,0.42
,,2006 - 2007,0.44
,,2009 - 2010,1.16
,,2010 - 2011,1.52
,,2011 - 2012,0.75
,,2012 - 2013,1.2
,,2013 - 2014,0.68
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,Dewas,2000 - 2001,0.27
,,2001 - 2002,0.33
,,2002 - 2003,0.61
,,2003 - 2004,0.61
,,2006 - 2007,0.55
,,2009 - 2010,0.86
,,2013 - 2014,1.0
,Dhar,2000 - 2001,0.35
,,2001 - 2002,0.59
,,2002 - 2003,0.89
,,2003 - 2004,0.93
,,2006 - 2007,1.04
,,2009 - 2010,1.98
,,2010 - 2011,3.34
,,2011 - 2012,1.76
,,2012 - 2013,2.35
,,2013 - 2014,1.75
,,2015 - 2016,3.0
,,2016 - 2017,1.34
,,2017 - 2018,1.34
,,2018 - 2019,1.35
,Dindori,2000 - 2001,0.33
,,2001 - 2002,0.5
,,2002 - 2003,0.4
,,2003 - 2004,0.4
,,2006 - 2007,0.71
,,2009 - 2010,2.0
,,2010 - 2011,2.0
,,2011 - 2012,1.11
,,2012 - 2013,1.92
,,2013 - 2014,1.0
,Guna,2000 - 2001,0.26
,,2001 - 2002,0.3
,,2002 - 2003,0.0
,,2003 - 2004,0.4
,,2006 - 2007,0.53
,,2009 - 2010,0.91
,,2010 - 2011,1.3
,,2011 - 2012,0.87
,,2012 - 2013,1.12
,,2013 - 2014,0.61
,Gwalior,2000 - 2001,0.59
,,2001 - 2002,0.78
,,2002 - 2003,0.87
,,2003 - 2004,0.92
,,2006 - 2007,0.91
,,2009 - 2010,2.02
,,2010 - 2011,2.7
,,2011 - 2012,1.57
,,2012 - 2013,1.88
,,2013 - 2014,1.0
,,2015 - 2016,7.0
,,2016 - 2017,7.0
,,2017 - 2018,7.0
,,2018 - 2019,7.0
,Harda,2000 - 2001,0.45
,,2001 - 2002,0.58
,,2002 - 2003,0.73
,,2003 - 2004,0.66
,,2006 - 2007,0.87
,,2009 - 2010,2.1
,,2010 - 2011,3.3
,,2011 - 2012,1.89
,,2012 - 2013,2.53
,,2013 - 2014,1.4
,Hoshangabad,2000 - 2001,0.55
,,2001 - 2002,0.71
,,2002 - 2003,0.82
,,2003 - 2004,0.8
,,2006 - 2007,1.08
,,2009 - 2010,2.06
,,2010 - 2011,3.19
,,2011 - 2012,2.12
,,2012 - 2013,2.75
,,2013 - 2014,1.45
,,2015 - 2016,9.0
,,2016 - 2017,3.0
,,2017 - 2018,3.0
,,2018 - 2019,3.1
,Indore,2000 - 2001,0.29
,,2001 - 2002,0.48
,,2002 - 2003,0.73
,,2003 - 2004,0.59
,,2006 - 2007,0.87
,,2009 - 2010,1.23
,,2010 - 2011,2.53
,,2011 - 2012,1.16
,,2012 - 2013,1.5
,,2013 - 2014,0.82
,Jabalpur,2000 - 2001,0.47
,,2001 - 2002,0.89
,,2002 - 2003,1.02
,,2003 - 2004,1.2
,,2006 - 2007,1.45
,,2009 - 2010,2.03
,,2010 - 2011,1.92
,,2011 - 2012,2.28
,,2012 - 2013,2.54
,,2013 - 2014,1.34
,,2015 - 2016,6.11
,,2016 - 2017,6.11
,,2017 - 2018,6.11
,,2018 - 2019,6.11
,Jhabua,2000 - 2001,0.23
,,2001 - 2002,0.48
,,2002 - 2003,0.52
,,2003 - 2004,0.68
,,2006 - 2007,0.84
,,2009 - 2010,1.91
,,2010 - 2011,2.13
,,2011 - 2012,1.63
,,2012 - 2013,1.95
,,2013 - 2014,1.35
,,2015 - 2016,3.0
,,2016 - 2017,3.0
,,2017 - 2018,3.0
,,2018 - 2019,3.0
,Katni,2000 - 2001,0.39
,,2001 - 2002,0.57
,,2002 - 2003,0.62
,,2003 - 2004,0.65
,,2006 - 2007,0.51
,,2009 - 2010,1.12
,,2010 - 2011,1.48
,,2011 - 2012,1.07
,,2012 - 2013,1.24
,,2013 - 2014,1.04
,,2015 - 2016,3.5
,,2016 - 2017,2.76
,,2017 - 2018,3.52
,,2018 - 2019,3.52
,Khandwa,2000 - 2001,0.43
,,2001 - 2002,0.61
,,2002 - 2003,0.85
,,2003 - 2004,0.77
,,2006 - 2007,1.13
,,2009 - 2010,1.68
,,2010 - 2011,2.73
,,2011 - 2012,2.06
,,2012 - 2013,2.26
,,2013 - 2014,2.0
,,2015 - 2016,2.72
,,2016 - 2017,2.8
,,2017 - 2018,2.8
,,2018 - 2019,2.8
,Khargone,2000 - 2001,0.25
,,2001 - 2002,0.63
,,2002 - 2003,0.85
,,2003 - 2004,0.86
,,2006 - 2007,0.9
,,2009 - 2010,1.57
,,2010 - 2011,2.59
,,2011 - 2012,1.74
,,2012 - 2013,2.0
,,2013 - 2014,1.38
,,2015 - 2016,1.7
,,2016 - 2017,2.9
,,2017 - 2018,2.5
,,2018 - 2019,2.5
,Mandla,2000 - 2001,0.18
,,2001 - 2002,0.33
,,2002 - 2003,0.41
,,2003 - 2004,0.43
,,2006 - 2007,0.51
,,2009 - 2010,0.92
,,2010 - 2011,1.28
,,2011 - 2012,0.7
,,2012 - 2013,0.85
,,2013 - 2014,0.82
,,2015 - 2016,3.42
,,2016 - 2017,2.36
,,2017 - 2018,2.71
,,2018 - 2019,2.73
,Mandsaur,2000 - 2001,0.39
,,2001 - 2002,0.69
,,2002 - 2003,0.63
,,2003 - 2004,0.8
,,2006 - 2007,1.1
,,2009 - 2010,2.13
,,2010 - 2011,2.32
,,2011 - 2012,1.79
,,2012 - 2013,2.71
,,2013 - 2014,1.8
,,2015 - 2016,1.2
,,2016 - 2017,1.2
,,2017 - 2018,1.2
,,2018 - 2019,1.2
,Morena,2000 - 2001,0.48
,,2001 - 2002,0.68
,,2002 - 2003,0.59
,,2003 - 2004,0.82
,,2006 - 2007,0.76
,,2009 - 2010,1.72
,,2010 - 2011,2.44
,,2011 - 2012,1.42
,,2012 - 2013,1.67
,,2013 - 2014,0.99
,,2015 - 2016,1.12
,,2016 - 2017,1.2
,,2017 - 2018,1.22
,,2018 - 2019,1.3
,Narsinghpur,2000 - 2001,0.6
,,2001 - 2002,0.77
,,2002 - 2003,0.96
,,2003 - 2004,0.93
,,2006 - 2007,1.28
,,2009 - 2010,2.45
,,2010 - 2011,3.91
,,2011 - 2012,2.36
,,2012 - 2013,4.14
,,2013 - 2014,2.16
,,2015 - 2016,7.17
,,2016 - 2017,2.54
,,2017 - 2018,2.54
,,2018 - 2019,2.75
,Neemuch,2000 - 2001,0.54
,,2001 - 2002,0.66
,,2002 - 2003,0.57
,,2003 - 2004,0.96
,,2006 - 2007,1.32
,,2009 - 2010,1.96
,,2010 - 2011,2.7
,,2011 - 2012,1.78
,,2012 - 2013,2.88
,,2013 - 2014,0.99
,,2015 - 2016,16.39
,,2016 - 2017,15.0
,,2017 - 2018,1.1
,,2018 - 2019,1.1
,Panna,2000 - 2001,0.12
,,2001 - 2002,0.24
,,2002 - 2003,0.24
,,2003 - 2004,0.28
,,2006 - 2007,0.44
,,2009 - 2010,1.31
,,2010 - 2011,1.22
,,2011 - 2012,1.01
,,2012 - 2013,1.18
,,2013 - 2014,1.52
,,2015 - 2016,7.34
,,2016 - 2017,5.74
,,2017 - 2018,5.74
,,2018 - 2019,5.74
,Raisen,2000 - 2001,0.32
,,2001 - 2002,0.4
,,2002 - 2003,0.5
,,2003 - 2004,0.55
,,2006 - 2007,0.79
,,2009 - 2010,1.54
,,2010 - 2011,1.76
,,2011 - 2012,1.37
,,2012 - 2013,1.39
,,2013 - 2014,0.73
,,2015 - 2016,1.9
,,2016 - 2017,2.0
,,2017 - 2018,2.0
,,2018 - 2019,2.0
,Rajgarh,2000 - 2001,0.23
,,2001 - 2002,0.35
,,2002 - 2003,0.29
,,2003 - 2004,0.65
,,2006 - 2007,0.73
,,2009 - 2010,1.52
,,2010 - 2011,2.08
,,2011 - 2012,1.44
,,2012 - 2013,2.12
,,2013 - 2014,0.81
,,2015 - 2016,0.6
,,2016 - 2017,0.65
,,2017 - 2018,0.65
,,2018 - 2019,0.65
,Ratlam,2000 - 2001,0.39
,,2001 - 2002,0.81
,,2002 - 2003,0.94
,,2003 - 2004,1.13
,,2006 - 2007,1.5
,,2009 - 2010,2.55
,,2010 - 2011,2.11
,,2011 - 2012,2.83
,,2012 - 2013,3.09
,,2013 - 2014,1.83
,,2015 - 2016,1.74
,,2016 - 2017,1.74
,,2017 - 2018,1.74
,,2018 - 2019,2.0
,Rewa,2000 - 2001,0.27
,,2001 - 2002,0.46
,,2002 - 2003,0.61
,,2003 - 2004,0.59
,,2006 - 2007,0.63
,,2009 - 2010,1.11
,,2010 - 2011,1.92
,,2011 - 2012,0.92
,,2012 - 2013,1.57
,,2013 - 2014,0.64
,,2015 - 2016,8.46
,,2016 - 2017,4.75
,,2017 - 2018,4.75
,,2018 - 2019,4.25
,Sagar,2000 - 2001,0.34
,,2001 - 2002,0.44
,,2002 - 2003,0.37
,,2003 - 2004,0.59
,,2006 - 2007,0.61
,,2009 - 2010,1.28
,,2010 - 2011,2.3
,,2011 - 2012,1.15
,,2012 - 2013,1.27
,,2013 - 2014,0.97
,Satna,2000 - 2001,0.15
,,2001 - 2002,0.26
,,2002 - 2003,0.32
,,2003 - 2004,0.32
,,2006 - 2007,0.32
,,2009 - 2010,0.76
,,2010 - 2011,1.03
,,2011 - 2012,0.66
,,2012 - 2013,0.76
,,2013 - 2014,0.5
,,2015 - 2016,4.15
,,2016 - 2017,2.97
,,2017 - 2018,2.9
,,2018 - 2019,2.89
,Sehore,2000 - 2001,0.32
,,2001 - 2002,0.4
,,2002 - 2003,0.48
,,2003 - 2004,0.48
,,2006 - 2007,0.51
,,2009 - 2010,1.59
,,2010 - 2011,1.34
,,2011 - 2012,1.52
,,2012 - 2013,1.9
,,2013 - 2014,0.95
,,2015 - 2016,12.0
,,2016 - 2017,3.03
,,2017 - 2018,3.03
,,2018 - 2019,3.03
,Seoni,2000 - 2001,0.22
,,2001 - 2002,0.38
,,2002 - 2003,0.32
,,2003 - 2004,0.49
,,2006 - 2007,0.45
,,2009 - 2010,0.88
,,2010 - 2011,1.33
,,2011 - 2012,0.72
,,2012 - 2013,1.45
,,2013 - 2014,0.8
,,2015 - 2016,6.07
,,2016 - 2017,6.01
,,2017 - 2018,3.19
,,2018 - 2019,3.22
,Shahdol,2000 - 2001,0.24
,,2001 - 2002,0.32
,,2002 - 2003,0.43
,,2003 - 2004,0.49
,,2006 - 2007,0.41
,,2009 - 2010,0.74
,,2010 - 2011,1.43
,,2011 - 2012,0.61
,,2012 - 2013,0.83
,,2013 - 2014,0.48
,Shajapur,2000 - 2001,0.21
,,2001 - 2002,0.28
,,2002 - 2003,0.32
,,2003 - 2004,0.39
,,2006 - 2007,0.37
,,2009 - 2010,0.74
,,2010 - 2011,1.01
