state,district,year,groundnut_summer_yield_tonne_per_hectare
,Washim,2000 - 2001,0.6
,,2001 - 2002,1.0
,,2002 - 2003,2.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.5
,,2006 - 2007,1.29
,,2007 - 2008,1.63
,,2008 - 2009,1.0
,,2009 - 2010,2.0
,,2010 - 2011,1.0
,,2011 - 2012,2.0
,,2012 - 2013,1.11
,,2013 - 2014,1.33
,,2014 - 2015,1.13
,,2015 - 2016,1.0
,,2016 - 2017,0.86
,,2017 - 2018,1.71
,,2018 - 2019,0.87
,,2019 - 2020,1.39
,,2020 - 2021,3.18
,,2021 - 2022,2.11
,,2022 - 2023,2.0
,Yavatmal,2000 - 2001,0.77
,,2001 - 2002,1.05
,,2002 - 2003,1.55
,,2003 - 2004,1.06
,,2004 - 2005,0.7
,,2005 - 2006,1.72
,,2006 - 2007,1.1
,,2007 - 2008,1.11
,,2008 - 2009,1.03
,,2009 - 2010,1.45
,,2010 - 2011,1.25
,,2011 - 2012,1.31
,,2012 - 2013,1.65
,,2013 - 2014,1.25
,,2014 - 2015,1.22
,,2015 - 2016,0.95
,,2016 - 2017,0.66
,,2017 - 2018,1.21
,,2018 - 2019,1.01
,,2019 - 2020,2.13
,,2020 - 2021,1.08
,,2021 - 2022,1.27
,,2022 - 2023,1.31
Manipur,Bishnupur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Chandel,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Churachandpur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Imphal east,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Imphal west,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Senapati,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Tamenglong,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Thoubal,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Ukhrul,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
Mizoram,Aizawl,2004 - 2005,
,Kolasib,2004 - 2005,
,,2005 - 2006,
,Lawngtlai,2004 - 2005,
,Lunglei,2004 - 2005,
,,2005 - 2006,
,Mamit,2004 - 2005,
,,2005 - 2006,
Nagaland,Chumoukedima,2022 - 2023,
,Dimapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kiphire,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kohima,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Longleng,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mokokchung,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mon,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Noklak,2021 - 2022,
,,2022 - 2023,
,Nuiland,2022 - 2023,
,Peren,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Phek,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Shamator,2022 - 2023,
,Tseminyu,2022 - 2023,
,Tuensang,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Wokha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Zunheboto,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Odisha,Anugul,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.26
,,2005 - 2006,1.18
,,2006 - 2007,1.28
,,2007 - 2008,1.2
,,2008 - 2009,1.2
,,2009 - 2010,1.18
,,2010 - 2011,1.21
,,2011 - 2012,1.05
,,2012 - 2013,1.31
,,2013 - 2014,1.34
,,2014 - 2015,1.6
,,2015 - 2016,1.52
,,2016 - 2017,1.69
,,2017 - 2018,1.42
,,2018 - 2019,1.5
,,2019 - 2020,2.14
,,2020 - 2021,1.77
,,2021 - 2022,1.69
,,2022 - 2023,1.72
,Balangir,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.11
,,2005 - 2006,1.03
,,2006 - 2007,1.01
,,2007 - 2008,1.27
,,2008 - 2009,1.24
,,2009 - 2010,1.23
,,2010 - 2011,1.26
,,2011 - 2012,1.33
,,2012 - 2013,1.39
,,2013 - 2014,2.23
,,2014 - 2015,1.2
,,2015 - 2016,1.16
,,2016 - 2017,0.93
,,2017 - 2018,0.98
,,2018 - 2019,1.4
,,2019 - 2020,1.61
,,2020 - 2021,2.13
,,2021 - 2022,2.21
,,2022 - 2023,2.32
,Baleshwar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.14
,,2005 - 2006,1.35
,,2006 - 2007,1.26
,,2007 - 2008,1.01
,,2008 - 2009,0.87
,,2009 - 2010,0.86
,,2010 - 2011,1.08
,,2011 - 2012,1.56
,,2012 - 2013,1.37
,,2013 - 2014,1.41
,,2014 - 2015,1.61
,,2015 - 2016,1.2
,,2016 - 2017,0.85
,,2017 - 2018,1.02
,,2018 - 2019,1.72
,,2019 - 2020,1.53
,,2020 - 2021,1.52
,,2021 - 2022,1.35
,,2022 - 2023,1.5
,Bargarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.38
,,2005 - 2006,1.38
,,2006 - 2007,1.31
,,2007 - 2008,1.39
,,2008 - 2009,1.37
,,2009 - 2010,1.29
,,2010 - 2011,1.41
,,2011 - 2012,1.32
,,2012 - 2013,1.46
,,2013 - 2014,1.47
,,2014 - 2015,1.34
,,2015 - 2016,1.26
,,2016 - 2017,1.42
,,2017 - 2018,1.54
,,2018 - 2019,1.24
,,2019 - 2020,1.34
,,2020 - 2021,2.37
,,2021 - 2022,2.12
,,2022 - 2023,2.59
,Bhadrak,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.68
,,2005 - 2006,1.14
,,2006 - 2007,0.57
,,2007 - 2008,0.72
,,2008 - 2009,0.8
,,2009 - 2010,1.41
,,2010 - 2011,0.78
,,2011 - 2012,2.28
,,2012 - 2013,1.48
,,2013 - 2014,1.03
,,2014 - 2015,1.09
,,2015 - 2016,1.13
,,2016 - 2017,1.13
,,2017 - 2018,0.69
,,2018 - 2019,0.71
,,2020 - 2021,0.9
,,2022 - 2023,1.26
,Boudh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.88
,,2005 - 2006,1.15
,,2006 - 2007,0.77
,,2007 - 2008,
,,2008 - 2009,1.3
,,2009 - 2010,0.72
,,2010 - 2011,0.6
,,2011 - 2012,0.6
,,2012 - 2013,0.61
,,2013 - 2014,0.65
,,2014 - 2015,0.95
,,2015 - 2016,
,,2016 - 2017,0.93
,,2017 - 2018,1.17
,,2018 - 2019,
,,2019 - 2020,1.13
,,2020 - 2021,1.03
,,2021 - 2022,0.93
,,2022 - 2023,
,Cuttack,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.97
,,2005 - 2006,1.1
,,2006 - 2007,1.21
,,2007 - 2008,1.25
,,2008 - 2009,1.2
,,2009 - 2010,1.15
,,2010 - 2011,1.06
,,2011 - 2012,1.38
,,2012 - 2013,1.11
,,2013 - 2014,1.33
,,2014 - 2015,1.56
,,2015 - 2016,0.85
,,2016 - 2017,1.18
,,2017 - 2018,1.37
,,2018 - 2019,1.32
,,2019 - 2020,1.98
,,2020 - 2021,1.77
,,2021 - 2022,1.86
,,2022 - 2023,1.87
,Deogarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.92
,,2005 - 2006,1.12
,,2006 - 2007,0.92
,,2007 - 2008,1.1
,,2008 - 2009,0.96
,,2009 - 2010,0.9
,,2010 - 2011,0.94
,,2011 - 2012,1.25
,,2012 - 2013,1.48
,,2013 - 2014,1.67
,,2014 - 2015,1.49
,,2015 - 2016,1.56
,,2016 - 2017,1.7
,,2017 - 2018,1.58
,,2018 - 2019,2.39
,,2019 - 2020,2.8
,,2020 - 2021,3.06
,,2021 - 2022,3.13
,,2022 - 2023,3.06
,Dhenkanal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.32
,,2005 - 2006,1.57
,,2006 - 2007,1.31
,,2007 - 2008,1.46
,,2008 - 2009,1.35
,,2009 - 2010,1.43
,,2010 - 2011,1.66
,,2011 - 2012,1.75
,,2012 - 2013,1.51
,,2013 - 2014,2.38
,,2014 - 2015,2.02
,,2015 - 2016,1.32
,,2016 - 2017,1.92
,,2017 - 2018,1.74
,,2018 - 2019,1.54
,,2019 - 2020,2.06
,,2020 - 2021,1.95
,,2021 - 2022,2.01
,,2022 - 2023,2.11
,Gajapati,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.09
,,2005 - 2006,0.84
,,2006 - 2007,1.23
,,2007 - 2008,0.91
,,2008 - 2009,0.99
,,2009 - 2010,1.16
,,2010 - 2011,1.25
,,2011 - 2012,1.2
,,2012 - 2013,1.26
,,2013 - 2014,1.07
,,2014 - 2015,0.87
,,2015 - 2016,1.28
,,2016 - 2017,
,,2017 - 2018,1.75
,,2018 - 2019,1.18
,,2019 - 2020,0.78
,,2020 - 2021,1.27
,,2021 - 2022,1.77
,,2022 - 2023,1.88
,Ganjam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.39
,,2005 - 2006,1.5
,,2006 - 2007,1.37
,,2007 - 2008,1.49
,,2008 - 2009,1.41
,,2009 - 2010,1.5
,,2010 - 2011,1.49
,,2011 - 2012,1.41
,,2012 - 2013,1.5
,,2013 - 2014,1.49
,,2014 - 2015,1.52
,,2015 - 2016,1.44
,,2016 - 2017,1.51
,,2017 - 2018,1.34
,,2018 - 2019,1.55
,,2019 - 2020,1.65
,,2020 - 2021,1.59
,,2021 - 2022,1.71
,,2022 - 2023,1.8
,Jagatsinghapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.33
,,2005 - 2006,1.4
,,2006 - 2007,1.2
,,2007 - 2008,1.23
,,2008 - 2009,1.43
,,2009 - 2010,1.31
,,2010 - 2011,1.12
,,2011 - 2012,1.36
,,2012 - 2013,1.51
,,2013 - 2014,1.84
,,2014 - 2015,1.68
,,2015 - 2016,1.29
,,2016 - 2017,1.4
,,2017 - 2018,1.24
,,2018 - 2019,1.55
,,2019 - 2020,1.56
,,2020 - 2021,2.06
,,2021 - 2022,1.71
,,2022 - 2023,1.82
,Jajapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.68
,,2005 - 2006,1.62
,,2006 - 2007,1.37
,,2007 - 2008,1.57
,,2008 - 2009,1.37
,,2009 - 2010,1.59
,,2010 - 2011,1.42
,,2011 - 2012,1.64
,,2012 - 2013,0.98
,,2013 - 2014,1.82
,,2014 - 2015,1.2
,,2015 - 2016,1.03
,,2016 - 2017,1.49
,,2017 - 2018,0.86
,,2018 - 2019,1.17
,,2019 - 2020,1.41
,,2020 - 2021,1.55
,,2021 - 2022,1.53
,,2022 - 2023,1.4
,Jharsuguda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.94
,,2005 - 2006,1.01
,,2006 - 2007,1.0
,,2007 - 2008,1.05
,,2008 - 2009,1.13
,,2009 - 2010,0.9
,,2010 - 2011,1.29
,,2011 - 2012,1.31
,,2012 - 2013,1.65
,,2013 - 2014,1.96
,,2014 - 2015,1.62
,,2015 - 2016,1.0
,,2016 - 2017,1.47
,,2017 - 2018,1.28
,,2018 - 2019,1.35
,,2019 - 2020,1.48
,,2020 - 2021,1.55
,,2021 - 2022,2.27
,,2022 - 2023,2.1
,Kalahandi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.76
,,2005 - 2006,0.98
,,2006 - 2007,0.71
,,2007 - 2008,0.98
,,2008 - 2009,1.12
,,2009 - 2010,0.83
,,2010 - 2011,1.28
,,2011 - 2012,1.04
,,2012 - 2013,1.09
,,2013 - 2014,1.19
,,2014 - 2015,1.28
,,2015 - 2016,0.82
,,2016 - 2017,1.04
,,2017 - 2018,1.01
,,2018 - 2019,1.19
,,2019 - 2020,1.5
,,2020 - 2021,1.04
,,2021 - 2022,1.36
,,2022 - 2023,1.44
,Kandhamal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,0.5
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kendrapara,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.42
,,2005 - 2006,1.35
,,2006 - 2007,1.17
,,2007 - 2008,1.25
,,2008 - 2009,0.94
,,2009 - 2010,1.15
,,2010 - 2011,0.99
,,2011 - 2012,1.07
,,2012 - 2013,0.97
,,2013 - 2014,1.66
,,2014 - 2015,1.59
,,2015 - 2016,1.24
,,2016 - 2017,1.16
,,2017 - 2018,1.19
,,2018 - 2019,1.86
,,2019 - 2020,1.52
,,2020 - 2021,1.36
,,2021 - 2022,2.39
,,2022 - 2023,1.9
,Kendujhar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.3
,,2005 - 2006,0.46
,,2006 - 2007,0.83
,,2007 - 2008,0.89
,,2008 - 2009,0.8
,,2009 - 2010,1.03
,,2010 - 2011,1.11
,,2011 - 2012,1.55
,,2012 - 2013,0.55
,,2013 - 2014,0.98
,,2014 - 2015,1.21
,,2015 - 2016,1.42
,,2016 - 2017,0.58
,,2017 - 2018,1.84
,,2018 - 2019,2.06
,,2019 - 2020,1.84
,,2020 - 2021,2.6
,,2021 - 2022,2.3
,,2022 - 2023,2.26
,Khordha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.19
,,2005 - 2006,1.39
,,2006 - 2007,1.11
,,2007 - 2008,1.38
,,2008 - 2009,1.32
,,2009 - 2010,1.48
,,2010 - 2011,1.42
,,2011 - 2012,1.4
,,2012 - 2013,1.18
,,2013 - 2014,1.34
,,2014 - 2015,1.24
,,2015 - 2016,1.26
,,2016 - 2017,2.46
,,2017 - 2018,2.03
,,2018 - 2019,3.83
,,2019 - 2020,2.24
,,2020 - 2021,2.44
,,2021 - 2022,2.27
,,2022 - 2023,1.7
,Koraput,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.95
,,2005 - 2006,0.72
,,2006 - 2007,0.87
,,2007 - 2008,1.73
,,2008 - 2009,0.76
,,2009 - 2010,0.72
,,2010 - 2011,0.81
,,2011 - 2012,1.59
,,2012 - 2013,0.83
,,2013 - 2014,1.3
,,2014 - 2015,
,,2015 - 2016,1.45
,,2016 - 2017,2.04
,,2017 - 2018,1.68
,,2018 - 2019,1.68
,,2019 - 2020,1.5
,,2020 - 2021,1.72
,,2021 - 2022,1.71
,,2022 - 2023,1.56
,Malkangiri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.61
,,2005 - 2006,2.0
,,2006 - 2007,1.93
,,2007 - 2008,2.16
,,2008 - 2009,1.91
,,2009 - 2010,2.05
,,2010 - 2011,2.15
,,2011 - 2012,1.77
,,2012 - 2013,2.48
,,2013 - 2014,2.38
,,2014 - 2015,2.33
,,2015 - 2016,2.46
,,2016 - 2017,3.25
,,2017 - 2018,3.05
,,2018 - 2019,2.93
,,2019 - 2020,4.1
,,2020 - 2021,4.45
,,2021 - 2022,3.71
,,2022 - 2023,3.77
,Mayurbhanj,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.11
,,2005 - 2006,1.18
,,2006 - 2007,1.26
,,2007 - 2008,1.21
,,2008 - 2009,1.09
,,2009 - 2010,1.0
,,2010 - 2011,1.39
,,2011 - 2012,1.63
,,2012 - 2013,1.59
,,2013 - 2014,1.39
,,2014 - 2015,1.36
,,2015 - 2016,1.2
,,2016 - 2017,1.49
,,2017 - 2018,1.53
,,2018 - 2019,1.34
,,2019 - 2020,1.88
,,2020 - 2021,2.48
,,2021 - 2022,2.18
,,2022 - 2023,2.47
,Nabarangpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.26
,,2005 - 2006,1.37
,,2006 - 2007,
,,2007 - 2008,0.69
,,2008 - 2009,0.68
,,2009 - 2010,0.46
,,2010 - 2011,0.43
,,2011 - 2012,1.24
,,2012 - 2013,0.5
,,2013 - 2014,0.58
,,2014 - 2015,0.99
,,2015 - 2016,0.61
,,2016 - 2017,0.7
,,2017 - 2018,1.02
,,2018 - 2019,
,,2019 - 2020,1.19
,,2020 - 2021,1.03
,,2021 - 2022,0.91
,,2022 - 2023,0.92
,Nayagarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.28
,,2005 - 2006,2.0
,,2006 - 2007,1.03
,,2007 - 2008,1.09
,,2008 - 2009,1.14
,,2009 - 2010,1.43
,,2010 - 2011,1.2
,,2011 - 2012,1.53
,,2012 - 2013,1.35
,,2013 - 2014,0.5
,,2014 - 2015,1.7
,,2015 - 2016,1.25
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.45
,,2021 - 2022,1.51
,,2022 - 2023,1.41
,Nuapada,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.01
,,2005 - 2006,1.09
,,2006 - 2007,0.9
,,2007 - 2008,1.37
,,2008 - 2009,1.27
,,2009 - 2010,1.06
,,2010 - 2011,1.28
,,2011 - 2012,1.43
,,2012 - 2013,1.76
,,2013 - 2014,1.88
,,2014 - 2015,1.79
,,2015 - 2016,1.89
,,2016 - 2017,2.42
,,2017 - 2018,1.79
,,2018 - 2019,2.17
,,2019 - 2020,2.2
,,2020 - 2021,2.44
,,2021 - 2022,2.18
,,2022 - 2023,2.03
,Puri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.15
,,2005 - 2006,1.2
,,2006 - 2007,1.07
,,2007 - 2008,1.23
,,2008 - 2009,1.11
,,2009 - 2010,1.04
,,2010 - 2011,1.13
,,2011 - 2012,1.08
,,2012 - 2013,1.26
,,2013 - 2014,1.52
,,2014 - 2015,1.31
,,2015 - 2016,1.24
,,2016 - 2017,1.78
,,2017 - 2018,1.43
,,2018 - 2019,1.92
,,2019 - 2020,2.12
,,2020 - 2021,1.93
,,2021 - 2022,2.02
,,2022 - 2023,1.98
,Rayagada,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.24
,,2005 - 2006,1.41
,,2006 - 2007,1.53
,,2007 - 2008,1.03
,,2008 - 2009,1.18
,,2009 - 2010,1.12
,,2010 - 2011,1.04
,,2011 - 2012,1.57
,,2012 - 2013,1.26
,,2013 - 2014,1.41
,,2014 - 2015,1.55
,,2015 - 2016,1.26
,,2016 - 2017,1.45
,,2017 - 2018,1.44
,,2018 - 2019,1.46
,,2019 - 2020,1.7
,,2020 - 2021,1.8
,,2021 - 2022,1.72
,,2022 - 2023,1.73
,Sambalpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.26
,,2005 - 2006,1.21
,,2006 - 2007,1.25
,,2007 - 2008,1.18
,,2008 - 2009,1.54
,,2009 - 2010,1.24
,,2010 - 2011,1.44
,,2011 - 2012,1.12
,,2012 - 2013,1.22
,,2013 - 2014,1.09
,,2014 - 2015,1.97
,,2015 - 2016,0.71
,,2016 - 2017,0.8
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.13
,,2021 - 2022,1.28
,,2022 - 2023,0.88
,Sonepur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.24
,,2005 - 2006,1.4
,,2006 - 2007,2.29
,,2007 - 2008,1.6
,,2008 - 2009,1.96
,,2009 - 2010,2.43
,,2010 - 2011,2.25
,,2011 - 2012,1.58
,,2012 - 2013,1.33
,,2013 - 2014,1.42
,,2014 - 2015,1.31
,,2015 - 2016,1.28
,,2016 - 2017,1.69
,,2017 - 2018,1.98
,,2018 - 2019,1.44
,,2019 - 2020,3.01
,,2020 - 2021,1.94
,,2021 - 2022,1.19
,,2022 - 2023,2.31
,Sundargarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.09
,,2005 - 2006,1.18
,,2006 - 2007,1.26
,,2007 - 2008,1.62
,,2008 - 2009,1.29
,,2009 - 2010,1.29
,,2010 - 2011,1.69
,,2011 - 2012,1.88
,,2012 - 2013,1.72
,,2013 - 2014,1.5
,,2014 - 2015,1.86
,,2015 - 2016,1.41
,,2016 - 2017,1.8
,,2017 - 2018,2.49
,,2018 - 2019,1.96
,,2019 - 2020,1.78
,,2020 - 2021,1.59
,,2021 - 2022,1.71
,,2022 - 2023,1.88
Puducherry,Karaikal,2000 - 2001,
,,2001 - 2002,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
