state,district,year,rice_summer_yield_tonne_per_hectare
,,2021 - 2022,0.79
,,2022 - 2023,3.06
,Karbi anglong,2000 - 2001,1.1
,,2001 - 2002,1.3
,,2002 - 2003,1.35
,,2003 - 2004,1.16
,,2004 - 2005,1.17
,,2005 - 2006,1.14
,,2006 - 2007,1.16
,,2007 - 2008,1.33
,,2008 - 2009,1.16
,,2009 - 2010,1.45
,,2010 - 2011,2.58
,,2011 - 2012,1.68
,,2012 - 2013,2.97
,,2013 - 2014,1.89
,,2014 - 2015,1.71
,,2015 - 2016,2.09
,,2016 - 2017,2.08
,,2017 - 2018,2.97
,,2018 - 2019,2.86
,,2019 - 2020,2.59
,,2020 - 2021,2.82
,,2021 - 2022,2.27
,,2022 - 2023,2.45
,Karimganj,2000 - 2001,1.72
,,2001 - 2002,1.78
,,2002 - 2003,2.08
,,2003 - 2004,0.27
,,2004 - 2005,1.51
,,2005 - 2006,1.62
,,2006 - 2007,1.62
,,2007 - 2008,2.07
,,2008 - 2009,1.7
,,2009 - 2010,1.03
,,2010 - 2011,2.04
,,2011 - 2012,1.91
,,2012 - 2013,1.94
,,2013 - 2014,1.97
,,2014 - 2015,1.61
,,2015 - 2016,1.05
,,2016 - 2017,0.64
,,2017 - 2018,2.53
,,2018 - 2019,1.6
,,2019 - 2020,2.59
,,2020 - 2021,2.19
,,2021 - 2022,2.83
,,2022 - 2023,2.29
,Kokrajhar,2000 - 2001,2.07
,,2001 - 2002,1.59
,,2002 - 2003,2.03
,,2003 - 2004,1.73
,,2004 - 2005,1.97
,,2005 - 2006,1.89
,,2006 - 2007,1.3
,,2007 - 2008,1.74
,,2008 - 2009,2.37
,,2009 - 2010,1.73
,,2010 - 2011,2.21
,,2011 - 2012,2.46
,,2012 - 2013,2.44
,,2013 - 2014,3.03
,,2014 - 2015,2.72
,,2015 - 2016,2.27
,,2016 - 2017,2.35
,,2017 - 2018,2.33
,,2018 - 2019,2.22
,,2019 - 2020,2.1
,,2020 - 2021,2.82
,,2021 - 2022,2.2
,,2022 - 2023,2.5
,Lakhimpur,2000 - 2001,0.89
,,2001 - 2002,0.69
,,2002 - 2003,0.86
,,2003 - 2004,0.76
,,2004 - 2005,0.97
,,2005 - 2006,0.78
,,2006 - 2007,0.75
,,2007 - 2008,0.69
,,2008 - 2009,0.82
,,2009 - 2010,0.73
,,2010 - 2011,1.06
,,2011 - 2012,1.67
,,2012 - 2013,2.3
,,2013 - 2014,1.54
,,2014 - 2015,1.82
,,2015 - 2016,2.49
,,2016 - 2017,2.53
,,2017 - 2018,1.83
,,2018 - 2019,2.86
,,2019 - 2020,2.2
,,2020 - 2021,2.05
,,2021 - 2022,2.48
,,2022 - 2023,2.24
,Majuli,2020 - 2021,1.72
,,2021 - 2022,2.11
,,2022 - 2023,2.8
,Marigaon,2000 - 2001,2.74
,,2001 - 2002,2.32
,,2002 - 2003,2.24
,,2003 - 2004,1.82
,,2004 - 2005,2.24
,,2005 - 2006,2.0
,,2006 - 2007,1.96
,,2007 - 2008,2.31
,,2008 - 2009,2.58
,,2009 - 2010,2.53
,,2010 - 2011,2.46
,,2011 - 2012,2.82
,,2012 - 2013,2.98
,,2013 - 2014,3.28
,,2014 - 2015,3.11
,,2015 - 2016,2.89
,,2016 - 2017,2.69
,,2017 - 2018,2.99
,,2018 - 2019,2.6
,,2019 - 2020,2.53
,,2020 - 2021,2.82
,,2021 - 2022,2.6
,,2022 - 2023,3.14
,Nagaon,2000 - 2001,2.51
,,2001 - 2002,2.34
,,2002 - 2003,2.19
,,2003 - 2004,2.28
,,2004 - 2005,2.29
,,2005 - 2006,2.11
,,2006 - 2007,2.17
,,2007 - 2008,2.45
,,2008 - 2009,2.09
,,2009 - 2010,2.58
,,2010 - 2011,2.69
,,2011 - 2012,2.27
,,2012 - 2013,3.04
,,2013 - 2014,2.77
,,2014 - 2015,2.79
,,2015 - 2016,2.9
,,2016 - 2017,2.65
,,2017 - 2018,2.97
,,2018 - 2019,2.91
,,2019 - 2020,2.47
,,2020 - 2021,3.23
,,2021 - 2022,2.39
,,2022 - 2023,2.76
,Nalbari,2000 - 2001,1.04
,,2001 - 2002,1.15
,,2002 - 2003,1.27
,,2003 - 2004,1.47
,,2004 - 2005,1.49
,,2005 - 2006,1.42
,,2006 - 2007,1.94
,,2007 - 2008,1.62
,,2008 - 2009,2.57
,,2009 - 2010,2.74
,,2010 - 2011,2.67
,,2011 - 2012,2.61
,,2012 - 2013,2.77
,,2013 - 2014,2.89
,,2014 - 2015,2.94
,,2015 - 2016,2.88
,,2016 - 2017,2.78
,,2017 - 2018,3.62
,,2018 - 2019,3.37
,,2019 - 2020,3.42
,,2020 - 2021,3.44
,,2021 - 2022,1.6
,,2022 - 2023,4.04
,Sivasagar,2000 - 2001,2.07
,,2001 - 2002,2.02
,,2002 - 2003,1.91
,,2003 - 2004,1.79
,,2004 - 2005,1.96
,,2005 - 2006,1.78
,,2006 - 2007,2.01
,,2007 - 2008,2.31
,,2008 - 2009,2.13
,,2009 - 2010,2.15
,,2010 - 2011,2.58
,,2011 - 2012,2.74
,,2012 - 2013,2.97
,,2013 - 2014,2.98
,,2014 - 2015,2.94
,,2015 - 2016,2.82
,,2016 - 2017,2.77
,,2017 - 2018,2.98
,,2018 - 2019,2.86
,,2019 - 2020,2.59
,,2020 - 2021,2.82
,,2021 - 2022,2.28
,,2022 - 2023,2.97
,Sonitpur,2000 - 2001,1.38
,,2001 - 2002,1.42
,,2002 - 2003,1.35
,,2003 - 2004,1.68
,,2004 - 2005,1.48
,,2005 - 2006,1.18
,,2006 - 2007,1.59
,,2007 - 2008,1.71
,,2008 - 2009,1.83
,,2009 - 2010,2.27
,,2010 - 2011,3.09
,,2011 - 2012,3.36
,,2012 - 2013,4.11
,,2013 - 2014,3.15
,,2014 - 2015,3.27
,,2015 - 2016,3.07
,,2016 - 2017,2.96
,,2017 - 2018,2.89
,,2018 - 2019,2.34
,,2019 - 2020,2.88
,,2020 - 2021,3.14
,,2021 - 2022,1.69
,,2022 - 2023,2.96
,South salmara mancachar,2020 - 2021,2.97
,,2021 - 2022,2.7
,,2022 - 2023,3.01
,Tinsukia,2000 - 2001,2.07
,,2001 - 2002,2.0
,,2002 - 2003,1.9
,,2003 - 2004,1.79
,,2004 - 2005,2.0
,,2005 - 2006,
,,2006 - 2007,2.0
,,2007 - 2008,2.33
,,2008 - 2009,
,,2009 - 2010,2.16
,,2010 - 2011,2.58
,,2011 - 2012,2.78
,,2012 - 2013,2.96
,,2013 - 2014,2.98
,,2014 - 2015,2.94
,,2015 - 2016,2.81
,,2016 - 2017,2.77
,,2017 - 2018,2.97
,,2018 - 2019,2.86
,,2019 - 2020,2.59
,,2020 - 2021,2.82
,,2021 - 2022,2.28
,,2022 - 2023,2.96
,Udalguri,2005 - 2006,1.49
,,2006 - 2007,1.7
,,2007 - 2008,1.96
,,2008 - 2009,1.83
,,2009 - 2010,1.55
,,2010 - 2011,1.62
,,2011 - 2012,1.85
,,2012 - 2013,3.29
,,2013 - 2014,2.99
,,2014 - 2015,2.82
,,2015 - 2016,2.99
,,2016 - 2017,2.48
,,2017 - 2018,2.64
,,2018 - 2019,3.28
,,2019 - 2020,3.37
,,2020 - 2021,3.06
,,2021 - 2022,2.32
,,2022 - 2023,3.58
,West karbi anglong,2020 - 2021,2.82
,,2021 - 2022,2.26
,,2022 - 2023,2.18
Bihar,Araria,2000 - 2001,1.58
,,2001 - 2002,0.74
,,2002 - 2003,1.4
,,2003 - 2004,1.53
,,2004 - 2005,1.42
,,2005 - 2006,1.15
,,2006 - 2007,1.49
,,2007 - 2008,1.46
,,2008 - 2009,1.67
,,2009 - 2010,1.33
,,2010 - 2011,1.96
,,2011 - 2012,2.1
,,2012 - 2013,3.45
,,2013 - 2014,2.4
,,2014 - 2015,2.06
,,2015 - 2016,2.24
,,2016 - 2017,1.98
,,2017 - 2018,1.63
,,2018 - 2019,2.64
,,2019 - 2020,2.32
,,2020 - 2021,2.43
,,2021 - 2022,2.64
,,2022 - 2023,1.98
,Arwal,2003 - 2004,1.3
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,1.16
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Aurangabad,2000 - 2001,
,,2001 - 2002,1.31
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Banka,2000 - 2001,1.85
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,1.0
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Begusarai,2000 - 2001,1.39
,,2001 - 2002,0.55
,,2002 - 2003,1.48
,,2003 - 2004,1.33
,,2004 - 2005,1.58
,,2005 - 2006,0.81
,,2006 - 2007,1.27
,,2007 - 2008,1.18
,,2008 - 2009,1.62
,,2009 - 2010,1.68
,,2010 - 2011,1.93
,,2011 - 2012,1.75
,,2012 - 2013,2.6
,,2013 - 2014,2.33
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhagalpur,2000 - 2001,1.71
,,2001 - 2002,1.12
,,2002 - 2003,1.53
,,2003 - 2004,1.4
,,2004 - 2005,1.5
,,2005 - 2006,1.47
,,2006 - 2007,1.39
,,2007 - 2008,1.38
,,2008 - 2009,1.66
,,2009 - 2010,1.74
,,2010 - 2011,1.92
,,2011 - 2012,1.82
,,2012 - 2013,2.63
,,2013 - 2014,2.33
,,2014 - 2015,2.13
,,2015 - 2016,2.44
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhojpur,2000 - 2001,1.39
,,2001 - 2002,1.2
,,2002 - 2003,1.67
,,2003 - 2004,1.29
,,2004 - 2005,1.49
,,2005 - 2006,1.4
,,2006 - 2007,1.3
,,2007 - 2008,1.31
,,2008 - 2009,
,,2009 - 2010,1.32
,,2010 - 2011,1.89
,,2011 - 2012,1.5
,,2012 - 2013,2.38
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,1.86
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Buxar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Darbhanga,2000 - 2001,1.16
,,2001 - 2002,1.04
,,2002 - 2003,1.45
,,2003 - 2004,1.41
,,2004 - 2005,1.47
,,2005 - 2006,1.63
,,2006 - 2007,1.51
,,2007 - 2008,1.98
,,2008 - 2009,1.47
,,2009 - 2010,1.28
,,2010 - 2011,1.65
,,2011 - 2012,1.61
,,2012 - 2013,2.01
,,2013 - 2014,1.82
,,2014 - 2015,1.69
,,2015 - 2016,2.44
,,2016 - 2017,2.44
,,2017 - 2018,1.71
,,2018 - 2019,1.66
,,2019 - 2020,1.87
,,2020 - 2021,1.69
,,2021 - 2022,3.75
,,2022 - 2023,2.0
,Gaya,2000 - 2001,1.43
,,2001 - 2002,
,,2002 - 2003,1.53
,,2003 - 2004,1.35
,,2004 - 2005,1.56
,,2005 - 2006,1.41
,,2006 - 2007,1.36
,,2007 - 2008,1.23
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.87
,,2011 - 2012,1.46
,,2012 - 2013,2.31
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gopalganj,2000 - 2001,1.85
,,2001 - 2002,1.16
,,2002 - 2003,1.73
,,2003 - 2004,1.45
,,2004 - 2005,1.38
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jamui,2000 - 2001,1.39
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jehanabad,2000 - 2001,1.43
,,2001 - 2002,1.0
,,2002 - 2003,1.5
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.29
,,2007 - 2008,1.0
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kaimur (bhabua),2000 - 2001,
,,2001 - 2002,1.14
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,2.0
,,2021 - 2022,
,,2022 - 2023,
,Katihar,2000 - 2001,1.85
,,2001 - 2002,0.81
,,2002 - 2003,1.81
,,2003 - 2004,1.68
,,2004 - 2005,1.6
,,2005 - 2006,2.21
,,2006 - 2007,1.41
,,2007 - 2008,1.75
,,2008 - 2009,1.86
,,2009 - 2010,2.58
,,2010 - 2011,2.04
,,2011 - 2012,1.87
,,2012 - 2013,2.99
,,2013 - 2014,2.64
,,2014 - 2015,2.43
,,2015 - 2016,2.33
,,2016 - 2017,2.98
,,2017 - 2018,2.46
,,2018 - 2019,2.52
,,2019 - 2020,2.35
,,2020 - 2021,2.3
,,2021 - 2022,2.92
,,2022 - 2023,3.17
,Khagaria,2000 - 2001,1.45
,,2001 - 2002,0.54
,,2002 - 2003,1.45
,,2003 - 2004,1.34
,,2004 - 2005,1.57
,,2005 - 2006,1.13
,,2006 - 2007,1.38
,,2007 - 2008,1.16
,,2008 - 2009,1.61
,,2009 - 2010,1.3
,,2010 - 2011,1.89
,,2011 - 2012,1.51
,,2012 - 2013,2.3
,,2013 - 2014,2.32
,,2014 - 2015,2.05
,,2015 - 2016,2.33
,,2016 - 2017,2.6
,,2017 - 2018,2.23
,,2018 - 2019,2.32
,,2019 - 2020,2.22
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.06
,Kishanganj,2000 - 2001,1.38
,,2001 - 2002,0.72
,,2002 - 2003,1.55
,,2003 - 2004,1.21
,,2004 - 2005,1.39
,,2005 - 2006,1.39
,,2006 - 2007,1.36
,,2007 - 2008,0.86
,,2008 - 2009,1.61
,,2009 - 2010,1.5
,,2010 - 2011,1.9
,,2011 - 2012,1.88
,,2012 - 2013,2.17
,,2013 - 2014,2.49
,,2014 - 2015,2.62
,,2015 - 2016,2.54
,,2016 - 2017,2.72
,,2017 - 2018,2.18
,,2018 - 2019,2.01
,,2019 - 2020,1.87
,,2020 - 2021,2.62
,,2021 - 2022,2.48
,,2022 - 2023,2.92
,Lakhisarai,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Madhepura,2000 - 2001,1.49
,,2001 - 2002,0.95
,,2002 - 2003,1.58
,,2003 - 2004,1.81
,,2004 - 2005,1.42
,,2005 - 2006,1.55
,,2006 - 2007,1.6
,,2007 - 2008,1.62
,,2008 - 2009,1.83
,,2009 - 2010,1.1
,,2010 - 2011,1.76
,,2011 - 2012,1.64
,,2012 - 2013,1.84
,,2013 - 2014,2.02
,,2014 - 2015,1.38
,,2015 - 2016,2.74
,,2016 - 2017,2.57
,,2017 - 2018,2.07
,,2018 - 2019,2.53
,,2019 - 2020,1.96
,,2020 - 2021,2.04
,,2021 - 2022,1.91
,,2022 - 2023,
,Madhubani,2000 - 2001,1.34
,,2001 - 2002,0.9
,,2002 - 2003,1.45
,,2003 - 2004,1.42
,,2004 - 2005,1.49
,,2005 - 2006,1.29
,,2006 - 2007,1.28
,,2007 - 2008,1.26
,,2008 - 2009,1.72
,,2009 - 2010,1.06
,,2010 - 2011,1.82
,,2011 - 2012,1.82
,,2012 - 2013,2.14
,,2013 - 2014,2.03
,,2014 - 2015,1.74
,,2015 - 2016,2.39
,,2016 - 2017,1.84
,,2017 - 2018,1.27
,,2018 - 2019,1.47
,,2019 - 2020,1.67
,,2020 - 2021,1.65
,,2021 - 2022,2.25
,,2022 - 2023,2.2
,Munger,2000 - 2001,1.39
,,2001 - 2002,1.32
,,2002 - 2003,
,,2003 - 2004,1.0
,,2004 - 2005,
,,2005 - 2006,1.09
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,1.76
,,2010 - 2011,1.91
,,2011 - 2012,1.76
,,2012 - 2013,2.56
,,2013 - 2014,2.33
,,2014 - 2015,2.16
,,2015 - 2016,2.42
,,2016 - 2017,2.37
,,2017 - 2018,1.93
,,2018 - 2019,2.17
,,2019 - 2020,2.02
,,2020 - 2021,2.3
,,2021 - 2022,2.52
,,2022 - 2023,2.49
,Muzaffarpur,2000 - 2001,1.83
,,2001 - 2002,1.13
,,2002 - 2003,2.02
,,2003 - 2004,1.02
,,2004 - 2005,1.47
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,1.7
,,2009 - 2010,1.46
,,2010 - 2011,1.69
,,2011 - 2012,1.81
,,2012 - 2013,2.29
,,2013 - 2014,2.35
,,2014 - 2015,2.26
,,2015 - 2016,2.52
,,2016 - 2017,2.82
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nalanda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,1.44
,,2008 - 2009,
,,2009 - 2010,1.94
,,2010 - 2011,1.94
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,2.5
,,2016 - 2017,2.8
,,2017 - 2018,2.3
,,2018 - 2019,
,,2019 - 2020,2.25
,,2020 - 2021,2.38
,,2021 - 2022,
,,2022 - 2023,
,Nawada,2000 - 2001,1.77
,,2001 - 2002,
,,2002 - 2003,1.7
,,2003 - 2004,1.38
,,2004 - 2005,1.37
,,2005 - 2006,
,,2006 - 2007,1.5
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,2.75
,,2017 - 2018,2.33
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pashchim champaran,2000 - 2001,1.95
,,2001 - 2002,1.46
,,2002 - 2003,2.04
,,2003 - 2004,1.04
,,2004 - 2005,1.43
,,2005 - 2006,0.73
,,2006 - 2007,1.51
,,2007 - 2008,1.54
,,2008 - 2009,1.68
,,2009 - 2010,1.32
,,2010 - 2011,1.77
,,2011 - 2012,1.64
,,2012 - 2013,2.3
,,2013 - 2014,2.31
,,2014 - 2015,2.05
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Patna,2000 - 2001,1.42
,,2001 - 2002,1.15
,,2002 - 2003,1.47
,,2003 - 2004,1.46
,,2004 - 2005,1.42
,,2005 - 2006,1.47
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,1.32
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,2.38
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.8
,,2020 - 2021,2.29
,,2021 - 2022,2.24
,,2022 - 2023,2.06
,Purbi champaran,2000 - 2001,1.4
,,2001 - 2002,1.59
,,2002 - 2003,2.08
,,2003 - 2004,1.09
,,2004 - 2005,1.38
,,2005 - 2006,0.65
,,2006 - 2007,1.55
,,2007 - 2008,1.63
,,2008 - 2009,1.71
,,2009 - 2010,1.46
,,2010 - 2011,1.69
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Purnia,2000 - 2001,1.8
,,2001 - 2002,1.78
,,2002 - 2003,1.48
,,2003 - 2004,1.37
,,2004 - 2005,1.14
,,2005 - 2006,1.63
,,2006 - 2007,1.77
,,2007 - 2008,1.8
,,2008 - 2009,1.63
,,2009 - 2010,1.8
,,2010 - 2011,1.86
,,2011 - 2012,1.79
,,2012 - 2013,2.0
,,2013 - 2014,2.14
,,2014 - 2015,2.5
,,2015 - 2016,2.43
,,2016 - 2017,2.86
,,2017 - 2018,2.26
,,2018 - 2019,2.19
,,2019 - 2020,3.02
,,2020 - 2021,2.55
,,2021 - 2022,1.39
,,2022 - 2023,2.21
,Rohtas,2000 - 2001,1.71
,,2001 - 2002,1.21
,,2002 - 2003,1.49
,,2003 - 2004,1.5
,,2004 - 2005,1.38
,,2005 - 2006,1.51
,,2006 - 2007,1.4
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.9
,,2011 - 2012,1.48
,,2012 - 2013,2.29
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.04
,Saharsa,2000 - 2001,1.91
,,2001 - 2002,1.01
,,2002 - 2003,1.51
,,2003 - 2004,1.46
,,2004 - 2005,1.68
,,2005 - 2006,1.56
,,2006 - 2007,1.27
,,2007 - 2008,1.45
,,2008 - 2009,1.21
,,2009 - 2010,1.31
,,2010 - 2011,1.8
,,2011 - 2012,1.95
,,2012 - 2013,1.78
,,2013 - 2014,2.24
,,2014 - 2015,1.29
,,2015 - 2016,3.28
,,2016 - 2017,2.93
,,2017 - 2018,2.18
,,2018 - 2019,2.33
,,2019 - 2020,2.78
,,2020 - 2021,2.45
,,2021 - 2022,2.5
,,2022 - 2023,2.14
,Samastipur,2000 - 2001,1.12
,,2001 - 2002,1.08
,,2002 - 2003,1.46
,,2003 - 2004,1.45
,,2004 - 2005,1.42
,,2005 - 2006,0.7
,,2006 - 2007,1.75
,,2007 - 2008,1.6
,,2008 - 2009,1.76
,,2009 - 2010,
,,2010 - 2011,0.87
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.71
,,2014 - 2015,1.52
,,2015 - 2016,2.42
,,2016 - 2017,2.29
,,2017 - 2018,1.99
,,2018 - 2019,1.81
,,2019 - 2020,1.79
,,2020 - 2021,1.69
,,2021 - 2022,
,,2022 - 2023,
,Saran,2000 - 2001,1.85
,,2001 - 2002,1.06
,,2002 - 2003,1.7
,,2003 - 2004,1.5
,,2004 - 2005,1.38
,,2005 - 2006,1.65
,,2006 - 2007,1.53
,,2007 - 2008,1.16
,,2008 - 2009,1.61
,,2009 - 2010,1.95
,,2010 - 2011,1.94
,,2011 - 2012,2.0
,,2012 - 2013,2.83
,,2013 - 2014,2.33
,,2014 - 2015,
,,2015 - 2016,2.39
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,2.29
,,2021 - 2022,
,,2022 - 2023,2.06
,Sheikhpura,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,1.42
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sheohar,2000 - 2001,2.32
,,2001 - 2002,1.3
,,2002 - 2003,2.1
,,2003 - 2004,1.09
,,2004 - 2005,1.37
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sitamarhi,2000 - 2001,1.88
,,2001 - 2002,1.21
,,2002 - 2003,2.03
,,2003 - 2004,1.01
,,2004 - 2005,1.44
,,2005 - 2006,0.82
,,2006 - 2007,1.44
,,2007 - 2008,1.45
,,2008 - 2009,1.68
,,2009 - 2010,1.46
,,2010 - 2011,2.22
,,2011 - 2012,1.8
,,2012 - 2013,2.8
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
