State,District,Year,Rice,,,,,,,,,,,,,,,,,
,,,Kharif,,,Autumn,,,Rabi,,,Summer,,,Winter,,,Whole Year,,
,,2017 - 2018,,,,"1,570.00","2,840.00",1.81,,,,70,130,1.86,"1,20,240.00","1,65,190.00",1.37,,,
,,2018 - 2019,,,,"1,010.00","1,340.00",1.33,,,,70,180,2.57,"1,23,760.00","1,78,800.00",1.44,,,
,,2019 - 2020,,,,870,"1,800.00",2.07,,,,"1,760.00","3,710.00",2.11,"1,25,170.00","2,67,710.00",2.14,,,
,,2020 - 2021,,,,"1,240.00","2,320.00",1.87,,,,910,"2,900.00",3.19,"1,27,870.00","2,31,430.00",1.81,,,
,,2021 - 2022,,,,382,717.9,1.88,,,,"1,304.00","3,143.50",2.41,"1,21,313.00","1,93,758.80",1.6,,,
,,2022 - 2023,,,,570,"1,260.00",2.21,,,,490,"1,930.00",3.94,"1,20,050.00","2,72,650.00",2.27,,,
,18. Kendujhar,2000 - 2001,,,,"53,520.00","34,260.00",0.64,,,,"1,910.00","4,010.00",2.1,"1,46,070.00","1,72,100.00",1.18,,,
,,2001 - 2002,"2,12,000.00","2,85,000.00",1.34,,,,,,,,,,,,,,,
,,2002 - 2003,"2,13,000.00","1,10,000.00",0.52,,,,,,,,,,,,,,,
,,2003 - 2004,"2,22,000.00","3,45,000.00",1.55,,,,,,,,,,,,,,,
,,2004 - 2005,,,,"55,000.00","48,000.00",0.87,,,,"2,000.00","5,000.00",2.5,"1,48,000.00","2,24,000.00",1.51,,,
,,2005 - 2006,,,,"52,000.00","43,000.00",0.83,,,,"3,000.00","6,000.00",2,"1,46,000.00","2,33,000.00",1.6,,,
,,2006 - 2007,,,,"46,000.00","41,000.00",0.89,,,,"2,000.00","4,000.00",2,"1,44,000.00","2,16,000.00",1.5,,,
,,2007 - 2008,,,,"50,000.00","56,000.00",1.12,,,,"5,000.00","9,000.00",1.8,"1,52,000.00","2,71,000.00",1.78,,,
,,2008 - 2009,,,,"44,000.00","43,000.00",0.98,,,,"2,000.00","3,000.00",1.5,"1,61,000.00","2,28,000.00",1.42,,,
,,2009 - 2010,,,,"46,000.00","46,000.00",1,,,,"2,000.00","4,000.00",2,"1,47,000.00","2,28,000.00",1.55,,,
,,2010 - 2011,,,,"38,000.00","23,000.00",0.61,,,,"3,000.00","7,000.00",2.33,"1,40,000.00","1,62,000.00",1.16,,,
,,2011 - 2012,,,,"32,000.00","37,000.00",1.16,,,,"2,000.00","5,000.00",2.5,"1,38,000.00","2,47,000.00",1.79,,,
,,2012 - 2013,,,,"24,000.00","31,000.00",1.29,,,,"2,77,000.00","8,000.00",0.03,"1,44,000.00","2,46,000.00",1.71,,,
,,2013 - 2014,,,,"30,000.00","40,000.00",1.33,,,,"2,000.00","6,000.00",3,"1,44,000.00","2,27,000.00",1.58,,,
,,2014 - 2015,,,,"34,000.00","54,000.00",1.59,,,,"2,000.00","5,000.00",2.5,"1,40,000.00","3,54,000.00",2.53,,,
,,2015 - 2016,,,,"25,000.00","18,000.00",0.72,,,,"1,000.00","4,000.00",4,"1,57,000.00","1,85,000.00",1.18,,,
,,2016 - 2017,,,,"20,140.00","29,040.00",1.44,,,,"1,010.00","2,660.00",2.63,"1,71,690.00","3,90,550.00",2.27,,,
,,2017 - 2018,,,,"25,650.00","40,970.00",1.6,,,,920,"2,400.00",2.61,"1,61,790.00","3,51,680.00",2.17,,,
,,2018 - 2019,,,,"28,990.00","51,810.00",1.79,,,,570,"1,530.00",2.68,"1,31,130.00","3,14,000.00",2.39,,,
,,2019 - 2020,,,,"27,980.00","63,090.00",2.25,,,,"2,120.00","6,390.00",3.01,"1,47,690.00","4,55,070.00",3.08,,,
,,2020 - 2021,,,,"29,920.00","79,410.00",2.65,,,,"1,740.00","5,830.00",3.35,"1,39,110.00","4,24,620.00",3.05,,,
,,2021 - 2022,,,,"20,792.00","55,220.30",2.66,,,,"1,664.00","6,399.60",3.85,"1,28,539.00","3,94,682.50",3.07,,,
,,2022 - 2023,,,,"17,910.00","63,570.00",3.55,,,,"1,380.00","4,000.00",2.9,"1,55,860.00","5,43,520.00",3.49,,,
,19. Khordha,2000 - 2001,,,,"1,920.00","1,890.00",0.98,,,,"2,220.00","4,520.00",2.04,"1,13,960.00","1,74,970.00",1.54,,,
,,2001 - 2002,"1,31,000.00","1,97,000.00",1.5,,,,,,,,,,,,,,,
,,2002 - 2003,"1,13,000.00","53,000.00",0.47,,,,,,,,,,,,,,,
,,2003 - 2004,"1,13,000.00","1,57,000.00",1.39,,,,,,,,,,,,,,,
,,2004 - 2005,,,,"1,000.00","1,000.00",1,,,,"6,000.00","14,000.00",2.33,"1,04,000.00","1,66,000.00",1.6,,,
,,2005 - 2006,,,,,,,,,,"8,000.00","20,000.00",2.5,"1,13,000.00","1,86,000.00",1.65,,,
,,2006 - 2007,,,,,,,,,,"10,000.00","27,000.00",2.7,"1,12,000.00","1,69,000.00",1.51,,,
,,2007 - 2008,,,,,,,,,,"7,000.00","20,000.00",2.86,"1,03,000.00","1,57,000.00",1.52,,,
,,2008 - 2009,,,,,,,,,,"8,000.00","16,000.00",2,"1,15,000.00","1,45,000.00",1.26,,,
,,2009 - 2010,,,,,,,,,,"2,000.00","4,000.00",2,"1,12,000.00","2,05,000.00",1.83,,,
,,2010 - 2011,,,,,,,,,,"1,000.00","3,000.00",3,"1,00,000.00","1,66,000.00",1.66,,,
,,2011 - 2012,,,,,,,,,,"1,000.00","2,000.00",2,"96,000.00","1,47,000.00",1.53,,,
,,2012 - 2013,,,,,,,,,,"2,02,000.00","3,000.00",0.01,"89,000.00","2,02,000.00",2.27,,,
,,2013 - 2014,,,,,,,,,,"1,000.00","6,000.00",6,"97,000.00","74,000.00",0.76,,,
,,2014 - 2015,,,,,,,,,,"1,000.00","4,000.00",4,"1,01,000.00","2,19,000.00",2.17,,,
,,2015 - 2016,,,,,,,,,,"1,000.00","4,000.00",4,"98,000.00","1,38,000.00",1.41,,,
,,2016 - 2017,,,,10,10,1,,,,280,770,2.75,"94,780.00","2,49,400.00",2.63,,,
,,2017 - 2018,,,,10,10,1,,,,420,"1,320.00",3.14,"83,590.00","1,34,990.00",1.61,,,
,,2018 - 2019,,,,,,,,,,250,230,0.92,"87,910.00","1,91,540.00",2.18,,,
,,2019 - 2020,,,,,,,,,,590,"1,970.00",3.34,"88,470.00","2,30,480.00",2.61,,,
,,2020 - 2021,,,,10,10,1,,,,"1,500.00","5,850.00",3.9,"86,770.00","2,13,030.00",2.46,,,
,,2021 - 2022,,,,11,21.3,1.94,,,,940,"3,219.70",3.43,"85,714.00","1,90,669.40",2.22,,,
,,2022 - 2023,,,,10,20,2,,,,"1,860.00","6,680.00",3.59,"80,220.00","2,36,890.00",2.95,,,
,20. Koraput,2000 - 2001,,,,"37,730.00","31,310.00",0.83,,,,"16,020.00","27,110.00",1.69,"98,690.00","1,69,300.00",1.72,,,
,,2001 - 2002,"1,41,000.00","2,13,000.00",1.51,,,,,,,,,,,,,,,
,,2002 - 2003,"1,27,000.00","1,34,000.00",1.06,,,,,,,,,,,,,,,
,,2003 - 2004,"1,25,000.00","1,99,000.00",1.59,,,,,,,,,,,,,,,
,,2004 - 2005,,,,"26,000.00","24,000.00",0.92,,,,"18,000.00","35,000.00",1.94,"88,000.00","1,50,000.00",1.7,,,
,,2005 - 2006,,,,"27,000.00","23,000.00",0.85,,,,"17,000.00","40,000.00",2.35,"94,000.00","1,60,000.00",1.7,,,
,,2006 - 2007,,,,"24,000.00","27,000.00",1.13,,,,"18,000.00","33,000.00",1.83,"90,000.00","1,61,000.00",1.79,,,
,,2007 - 2008,,,,"25,000.00","30,000.00",1.2,,,,"19,000.00","37,000.00",1.95,"86,000.00","1,78,000.00",2.07,,,
,,2008 - 2009,,,,"24,000.00","23,000.00",0.96,,,,"16,000.00","36,000.00",2.25,"91,000.00","1,50,000.00",1.65,,,
,,2009 - 2010,,,,"23,000.00","18,000.00",0.78,,,,"9,000.00","17,000.00",1.89,"85,000.00","1,21,000.00",1.42,,,
,,2010 - 2011,,,,"29,000.00","35,000.00",1.21,,,,"20,000.00","41,000.00",2.05,"85,000.00","1,74,000.00",2.05,,,
,,2011 - 2012,,,,"24,000.00","22,000.00",0.92,,,,"13,000.00","31,000.00",2.38,"81,000.00","1,19,000.00",1.47,,,
,,2012 - 2013,,,,"23,000.00","28,000.00",1.22,,,,"2,08,000.00","34,000.00",0.16,"80,000.00","1,80,000.00",2.25,,,
,,2013 - 2014,,,,"23,000.00","32,000.00",1.39,,,,"21,000.00","56,000.00",2.67,"89,000.00","2,67,000.00",3,,,
,,2014 - 2015,,,,"20,000.00","23,000.00",1.15,,,,"25,000.00","61,000.00",2.44,"90,000.00","1,91,000.00",2.12,,,
,,2015 - 2016,,,,"13,000.00","13,000.00",1,,,,"25,000.00","64,000.00",2.56,"84,000.00","1,63,000.00",1.94,,,
,,2016 - 2017,,,,"11,800.00","16,100.00",1.36,,,,"26,470.00","75,320.00",2.85,"86,720.00","2,24,790.00",2.59,,,
,,2017 - 2018,,,,"12,110.00","18,390.00",1.52,,,,"23,570.00","65,950.00",2.8,"88,440.00","2,03,380.00",2.3,,,
,,2018 - 2019,,,,"11,210.00","10,350.00",0.92,,,,"28,090.00","82,890.00",2.95,"93,000.00","2,54,610.00",2.74,,,
,,2019 - 2020,,,,"11,810.00","26,130.00",2.21,,,,"27,570.00","81,960.00",2.97,"86,250.00","2,53,870.00",2.94,,,
,,2020 - 2021,,,,"13,090.00","31,980.00",2.44,,,,"23,990.00","65,870.00",2.75,"93,840.00","2,80,930.00",2.99,,,
,,2021 - 2022,,,,"16,786.00","33,591.20",2,,,,"29,037.00","88,153.40",3.04,"85,922.00","2,59,416.00",3.02,,,
,,2022 - 2023,,,,"15,520.00","36,640.00",2.36,,,,"28,100.00","88,100.00",3.14,"88,880.00","2,95,250.00",3.32,,,
,21. Malkangiri,2000 - 2001,,,,"13,030.00","8,830.00",0.68,,,,80,70,0.88,"78,760.00","54,060.00",0.69,,,
,,2001 - 2002,"98,000.00","1,07,000.00",1.09,,,,,,,,,,,,,,,
,,2002 - 2003,"88,000.00","53,000.00",0.6,,,,,,,,,,,,,,,
,,2003 - 2004,"86,000.00","1,14,000.00",1.33,,,,,,,,,,,,,,,
,,2004 - 2005,,,,"12,000.00","10,000.00",0.83,,,,,,,"73,000.00","1,09,000.00",1.49,,,
,,2005 - 2006,,,,"12,000.00","13,000.00",1.08,,,,,,,"83,000.00","1,16,000.00",1.4,,,
,,2006 - 2007,,,,"13,000.00","12,000.00",0.92,,,,,,,"76,000.00","1,10,000.00",1.45,,,
,,2007 - 2008,,,,"15,000.00","14,000.00",0.93,,,,,,,"77,000.00","1,26,000.00",1.64,,,
,,2008 - 2009,,,,"10,000.00","8,000.00",0.8,,,,"1,000.00","2,000.00",2,"83,000.00","1,01,000.00",1.22,,,
,,2009 - 2010,,,,"13,000.00","10,000.00",0.77,,,,,,,"81,000.00","1,00,000.00",1.23,,,
,,2010 - 2011,,,,"13,000.00","15,000.00",1.15,,,,"2,000.00","4,000.00",2,"83,000.00","1,83,000.00",2.2,,,
,,2011 - 2012,,,,"12,000.00","4,000.00",0.33,,,,,,,"82,000.00","48,000.00",0.59,,,
,,2012 - 2013,,,,"10,000.00","9,000.00",0.9,,,,"1,78,000.00","4,000.00",0.02,"85,000.00","1,69,000.00",1.99,,,
,,2013 - 2014,,,,"9,000.00","9,000.00",1,,,,"1,000.00","3,000.00",3,"89,000.00","1,62,000.00",1.82,,,
,,2014 - 2015,,,,"9,000.00","11,000.00",1.22,,,,"1,000.00","2,000.00",2,"93,000.00","1,65,000.00",1.77,,,
,,2015 - 2016,,,,"10,000.00","9,000.00",0.9,,,,"3,000.00","7,000.00",2.33,"86,000.00","1,20,000.00",1.4,,,
,,2016 - 2017,,,,"6,040.00","5,550.00",0.92,,,,110,220,2,"89,690.00","1,80,750.00",2.02,,,
,,2017 - 2018,,,,"7,350.00","7,080.00",0.96,,,,"2,220.00","3,850.00",1.73,"90,010.00","1,64,360.00",1.83,,,
,,2018 - 2019,,,,"8,730.00","5,220.00",0.6,,,,410,850,2.07,"83,610.00","1,68,910.00",2.02,,,
,,2019 - 2020,,,,"12,110.00","17,960.00",1.48,,,,680,"1,220.00",1.79,"91,450.00","2,12,760.00",2.33,,,
,,2020 - 2021,,,,"14,270.00","20,570.00",1.44,,,,940,"2,140.00",2.28,"78,140.00","2,05,420.00",2.63,,,
,,2021 - 2022,,,,"11,885.00","16,626.10",1.4,,,,812,"1,862.00",2.29,"1,03,200.00","2,67,308.10",2.59,,,
,,2022 - 2023,,,,"14,000.00","23,990.00",1.71,,,,270,680,2.52,"1,16,320.00","3,28,930.00",2.83,,,
,22. Mayurbhanj,2000 - 2001,,,,"59,320.00","39,660.00",0.67,,,,"5,260.00","8,570.00",1.63,"2,71,940.00","3,41,520.00",1.26,,,
,,2001 - 2002,"3,51,000.00","5,43,000.00",1.55,,,,,,,,,,,,,,,
,,2002 - 2003,"3,14,000.00","2,58,000.00",0.82,,,,,,,,,,,,,,,
,,2003 - 2004,"3,41,000.00","5,02,000.00",1.47,,,,,,,,,,,,,,,
,,2004 - 2005,,,,"58,000.00","56,000.00",0.97,,,,"6,000.00","11,000.00",1.83,"2,62,000.00","4,23,000.00",1.61,,,
,,2005 - 2006,,,,"53,000.00","49,000.00",0.92,,,,"7,000.00","13,000.00",1.86,"2,56,000.00","4,03,000.00",1.57,,,
,,2006 - 2007,,,,"47,000.00","53,000.00",1.13,,,,"7,000.00","14,000.00",2,"2,63,000.00","4,27,000.00",1.62,,,
,,2007 - 2008,,,,"57,000.00","67,000.00",1.18,,,,"9,000.00","16,000.00",1.78,"2,79,000.00","4,83,000.00",1.73,,,
,,2008 - 2009,,,,"55,000.00","64,000.00",1.16,,,,"6,000.00","10,000.00",1.67,"2,84,000.00","4,60,000.00",1.62,,,
,,2009 - 2010,,,,"46,000.00","43,000.00",0.93,,,,"4,000.00","6,000.00",1.5,"2,79,000.00","4,03,000.00",1.44,,,
,,2010 - 2011,,,,"44,000.00","14,000.00",0.32,,,,"3,000.00","7,000.00",2.33,"2,37,000.00","2,40,000.00",1.01,,,
,,2011 - 2012,,,,"29,000.00","39,000.00",1.34,,,,"4,000.00","9,000.00",2.25,"2,66,000.00","5,08,000.00",1.91,,,
,,2012 - 2013,,,,"25,000.00","30,000.00",1.2,,,,"4,90,000.00","6,000.00",0.01,"2,60,000.00","4,60,000.00",1.77,,,
,,2013 - 2014,,,,"28,000.00","29,000.00",1.04,,,,"4,000.00","8,000.00",2,"2,73,000.00","3,87,000.00",1.42,,,
,,2014 - 2015,,,,"36,000.00","56,000.00",1.56,,,,"4,000.00","8,000.00",2,"2,76,000.00","6,23,000.00",2.26,,,
,,2015 - 2016,,,,"37,000.00","33,000.00",0.89,,,,"3,000.00","6,000.00",2,"2,78,000.00","2,74,000.00",0.99,,,
,,2016 - 2017,,,,"17,380.00","28,520.00",1.64,,,,"2,840.00","7,570.00",2.67,"2,86,450.00","6,87,030.00",2.4,,,
,,2017 - 2018,,,,"18,470.00","30,840.00",1.67,,,,"4,230.00","10,260.00",2.43,"3,01,390.00","6,14,540.00",2.04,,,
,,2018 - 2019,,,,"23,940.00","26,060.00",1.09,,,,"4,450.00","10,970.00",2.47,"3,08,310.00","6,43,560.00",2.09,,,
,,2019 - 2020,,,,"15,480.00","24,580.00",1.59,,,,"9,250.00","26,230.00",2.84,"2,97,110.00","6,63,750.00",2.23,,,
,,2020 - 2021,,,,"10,660.00","22,010.00",2.06,,,,"4,990.00","13,590.00",2.72,"3,11,690.00","8,61,310.00",2.76,,,
,,2021 - 2022,,,,"17,785.00","35,456.00",1.99,,,,"4,339.00","11,585.90",2.67,"2,98,545.00","7,92,091.20",2.65,,,
,,2022 - 2023,,,,"15,830.00","33,380.00",2.11,,,,"3,220.00","9,050.00",2.81,"3,00,180.00","8,30,190.00",2.77,,,
,23. Nabarangpur,2000 - 2001,,,,"46,750.00","30,700.00",0.66,,,,930,"1,610.00",1.73,"1,05,890.00","1,41,360.00",1.33,,,
,,2001 - 2002,"1,66,000.00","2,13,000.00",1.28,,,,,,,,,,,,,,,
,,2002 - 2003,"1,58,000.00","87,000.00",0.55,,,,,,,,,,,,,,,
,,2003 - 2004,"1,62,000.00","2,71,000.00",1.67,,,,,,,,,,,,,,,
,,2004 - 2005,,,,"52,000.00","39,000.00",0.75,,,,"2,000.00","5,000.00",2.5,"1,22,000.00","1,89,000.00",1.55,,,
,,2005 - 2006,,,,"45,000.00","27,000.00",0.6,,,,"1,000.00","2,000.00",2,"1,23,000.00","1,75,000.00",1.42,,,
,,2006 - 2007,,,,"42,000.00","39,000.00",0.93,,,,"1,000.00","2,000.00",2,"1,22,000.00","1,75,000.00",1.43,,,
,,2007 - 2008,,,,"39,000.00","36,000.00",0.92,,,,"2,000.00","3,000.00",1.5,"1,10,000.00","1,88,000.00",1.71,,,
,,2008 - 2009,,,,"35,000.00","34,000.00",0.97,,,,"2,000.00","3,000.00",1.5,"1,22,000.00","1,56,000.00",1.28,,,
,,2009 - 2010,,,,"42,000.00","27,000.00",0.64,,,,"1,000.00","1,000.00",1,"1,18,000.00","1,87,000.00",1.58,,,
,,2010 - 2011,,,,"35,000.00","44,000.00",1.26,,,,"3,000.00","5,000.00",1.67,"1,09,000.00","2,35,000.00",2.16,,,
,,2011 - 2012,,,,"26,000.00","13,000.00",0.5,,,,,,,"1,14,000.00","84,000.00",0.74,,,
,,2012 - 2013,,,,"29,000.00","44,000.00",1.52,,,,"3,27,000.00","2,000.00",0.01,"1,14,000.00","2,83,000.00",2.48,,,
,,2013 - 2014,,,,"20,000.00","34,000.00",1.7,,,,"1,000.00","3,000.00",3,"1,26,000.00","3,84,000.00",3.05,,,
,,2014 - 2015,,,,"25,000.00","39,000.00",1.56,,,,,,,"1,22,000.00","3,03,000.00",2.48,,,
,,2015 - 2016,,,,"21,000.00","17,000.00",0.81,,,,"1,000.00","2,000.00",2,"1,16,000.00","1,54,000.00",1.33,,,
,,2016 - 2017,,,,"39,080.00","77,310.00",1.98,,,,"1,440.00","3,720.00",2.58,"1,06,910.00","3,10,690.00",2.91,,,
,,2017 - 2018,,,,"35,660.00","73,720.00",2.07,,,,"1,120.00","2,500.00",2.23,"88,090.00","2,31,440.00",2.63,,,
,,2018 - 2019,,,,"11,800.00","13,320.00",1.13,,,,590,"1,080.00",1.83,"1,16,590.00","1,42,560.00",1.22,,,
,,2019 - 2020,,,,"16,410.00","45,480.00",2.77,,,,"2,730.00","7,310.00",2.68,"1,05,290.00","3,42,380.00",3.25,,,
,,2020 - 2021,,,,"18,390.00","47,490.00",2.58,,,,520,"1,180.00",2.27,"1,16,810.00","3,49,000.00",2.99,,,
,,2021 - 2022,,,,"15,680.00","35,365.30",2.26,,,,"1,117.00","3,029.20",2.71,"1,18,215.00","3,37,921.40",2.86,,,
,,2022 - 2023,,,,"21,820.00","58,380.00",2.68,,,,430,"1,040.00",2.42,"1,11,520.00","3,75,810.00",3.37,,,
,24. Nayagarh,2000 - 2001,,,,"2,790.00","2,830.00",1.01,,,,260,370,1.42,"95,570.00","1,10,450.00",1.16,,,
,,2001 - 2002,"1,06,000.00","1,74,000.00",1.64,,,,,,,,,,,,,,,
,,2002 - 2003,"1,00,000.00","62,000.00",0.62,,,,,,,,,,,,,,,
,,2003 - 2004,"97,000.00","1,54,000.00",1.59,,,,,,,,,,,,,,,
,,2004 - 2005,,,,"2,000.00","2,000.00",1,,,,,,,"93,000.00","1,18,000.00",1.27,,,
,,2005 - 2006,,,,"2,000.00","2,000.00",1,,,,,,,"98,000.00","1,56,000.00",1.59,,,
,,2006 - 2007,,,,"2,000.00","2,000.00",1,,,,,,,"1,00,000.00","1,49,000.00",1.49,,,
,,2007 - 2008,,,,"2,000.00","2,000.00",1,,,,,,,"94,000.00","1,72,000.00",1.83,,,
,,2008 - 2009,,,,"1,000.00","2,000.00",2,,,,,,,"93,000.00","1,29,000.00",1.39,,,
,,2009 - 2010,,,,"1,000.00","2,000.00",2,,,,,,,"1,01,000.00","1,53,000.00",1.51,,,
,,2010 - 2011,,,,"2,000.00","3,000.00",1.5,,,,,,,"92,000.00","1,53,000.00",1.66,,,
,,2011 - 2012,,,,"1,000.00","1,000.00",1,,,,,,,"85,000.00","54,000.00",0.64,,,
,,2012 - 2013,,,,"1,000.00","1,000.00",1,,,,"2,09,000.00",,0,"95,000.00","2,08,000.00",2.19,,,
,,2013 - 2014,,,,"1,000.00","1,000.00",1,,,,,,,"1,01,000.00","85,000.00",0.84,,,
,,2014 - 2015,,,,"1,000.00","1,000.00",1,,,,"1,000.00","1,000.00",1,"90,000.00","1,90,000.00",2.11,,,
,,2015 - 2016,,,,"1,000.00",,0,,,,,,,"90,000.00","77,000.00",0.86,,,
,,2016 - 2017,,,,70,80,1.14,,,,10,20,2,"91,610.00","2,09,450.00",2.29,,,
,,2017 - 2018,,,,,,,,,,,,,"90,620.00","1,25,110.00",1.38,,,
,,2018 - 2019,,,,,,,,,,,,,"87,470.00","2,09,540.00",2.4,,,
,,2019 - 2020,,,,,,,,,,10,20,2,"86,320.00","2,24,550.00",2.6,,,
,,2020 - 2021,,,,10,10,1,,,,30,30,1,"90,620.00","2,13,910.00",2.36,,,
,,2021 - 2022,,,,15,22.4,1.49,,,,28,42.2,1.51,"88,430.00","1,80,253.20",2.04,,,
,,2022 - 2023,,,,,,,,,,50,140,2.8,"91,940.00","2,52,940.00",2.75,,,
,25. Nuapada,2000 - 2001,,,,"46,440.00","12,380.00",0.27,,,,320,380,1.19,"58,990.00","19,080.00",0.32,,,
,,2001 - 2002,"1,11,000.00","1,41,000.00",1.27,,,,,,,,,,,,,,,
,,2002 - 2003,"1,03,000.00","27,000.00",0.26,,,,,,,,,,,,,,,
,,2003 - 2004,"1,08,000.00","1,40,000.00",1.3,,,,,,,,,,,,,,,
,,2004 - 2005,,,,"45,000.00","28,000.00",0.62,,,,"4,000.00","5,000.00",1.25,"57,000.00","60,000.00",1.05,,,
,,2005 - 2006,,,,"42,000.00","25,000.00",0.6,,,,"4,000.00","7,000.00",1.75,"61,000.00","71,000.00",1.16,,,
,,2006 - 2007,,,,"40,000.00","32,000.00",0.8,,,,"3,000.00","6,000.00",2,"66,000.00","81,000.00",1.23,,,
,,2007 - 2008,,,,"40,000.00","42,000.00",1.05,,,,"3,000.00","8,000.00",2.67,"66,000.00","1,49,000.00",2.26,,,
,,2008 - 2009,,,,"40,000.00","39,000.00",0.98,,,,"4,000.00","9,000.00",2.25,"62,000.00","1,01,000.00",1.63,,,
,,2009 - 2010,,,,"37,000.00","28,000.00",0.76,,,,"1,000.00","2,000.00",2,"62,000.00","89,000.00",1.44,,,
,,2010 - 2011,,,,"39,000.00","57,000.00",1.46,,,,"5,000.00","10,000.00",2,"61,000.00","1,24,000.00",2.03,,,
,,2011 - 2012,,,,"36,000.00","17,000.00",0.47,,,,"4,000.00","7,000.00",1.75,"59,000.00","52,000.00",0.88,,,
,,2012 - 2013,,,,"34,000.00","53,000.00",1.56,,,,"1,98,000.00","8,000.00",0.04,"61,000.00","1,45,000.00",2.38,,,
,,2013 - 2014,,,,"37,000.00","53,000.00",1.43,,,,"5,000.00","14,000.00",2.8,"63,000.00","1,43,000.00",2.27,,,
,,2014 - 2015,,,,"31,000.00","48,000.00",1.55,,,,"3,000.00","8,000.00",2.67,"58,000.00","1,39,000.00",2.4,,,
,,2015 - 2016,,,,"27,000.00","9,000.00",0.33,,,,"6,000.00","18,000.00",3,"60,000.00","52,000.00",0.87,,,
,,2016 - 2017,,,,"32,340.00","29,360.00",0.91,,,,"3,870.00","10,490.00",2.71,"61,380.00","1,02,400.00",1.67,,,
,,2017 - 2018,,,,"36,170.00","15,320.00",0.42,,,,"2,420.00","6,350.00",2.62,"50,650.00","38,750.00",0.77,,,
,,2018 - 2019,,,,"32,710.00","42,490.00",1.3,,,,"3,060.00","8,260.00",2.7,"56,240.00","88,550.00",1.57,,,
,,2019 - 2020,,,,"33,870.00","63,510.00",1.88,,,,"8,730.00","28,200.00",3.23,"51,360.00","1,17,270.00",2.28,,,
,,2020 - 2021,,,,"33,450.00","64,330.00",1.92,,,,"6,470.00","20,190.00",3.12,"54,170.00","1,51,130.00",2.79,,,
,,2021 - 2022,,,,"32,241.00","59,434.10",1.84,,,,"6,569.00","20,305.80",3.09,"59,127.00","1,35,344.70",2.29,,,
,,2022 - 2023,,,,"31,100.00","64,900.00",2.09,,,,"11,150.00","34,500.00",3.09,"64,610.00","1,69,060.00",2.62,,,
,26. Puri,2000 - 2001,,,,"1,980.00","1,970.00",0.99,,,,"15,050.00","26,980.00",1.79,"1,26,560.00","1,50,410.00",1.19,,,
,,2001 - 2002,"1,38,000.00","2,33,000.00",1.69,,,,,,,,,,,,,,,
,,2002 - 2003,"1,46,000.00","1,29,000.00",0.88,,,,,,,,,,,,,,,
,,2003 - 2004,"1,66,000.00","2,02,000.00",1.22,,,,,,,,,,,,,,,
,,2004 - 2005,,,,"1,000.00","1,000.00",1,,,,"45,000.00","84,000.00",1.87,"1,26,000.00","1,84,000.00",1.46,,,
,,2005 - 2006,,,,"1,000.00","1,000.00",1,,,,"60,000.00","1,25,000.00",2.08,"1,28,000.00","1,58,000.00",1.23,,,
,,2006 - 2007,,,,"1,000.00","1,000.00",1,,,,"63,000.00","1,41,000.00",2.24,"1,16,000.00","1,01,000.00",0.87,,,
,,2007 - 2008,,,,"1,000.00","1,000.00",1,,,,"48,000.00","1,03,000.00",2.15,"1,23,000.00","1,55,000.00",1.26,,,
,,2008 - 2009,,,,"1,000.00","2,000.00",2,,,,"52,000.00","1,01,000.00",1.94,"1,18,000.00","1,00,000.00",0.85,,,
,,2009 - 2010,,,,"1,000.00","1,000.00",1,,,,"31,000.00","70,000.00",2.26,"1,10,000.00","1,70,000.00",1.55,,,
,,2010 - 2011,,,,"1,000.00","1,000.00",1,,,,"33,000.00","76,000.00",2.3,"1,20,000.00","1,82,000.00",1.52,,,
,,2011 - 2012,,,,,,,,,,"30,000.00","78,000.00",2.6,"1,20,000.00","1,46,000.00",1.22,,,
,,2012 - 2013,,,,,,,,,,"2,45,000.00","99,000.00",0.4,"1,07,000.00","2,44,000.00",2.28,,,
,,2013 - 2014,,,,,,,,,,"32,000.00","1,08,000.00",3.38,"1,03,000.00","91,000.00",0.88,,,
,,2014 - 2015,,,,,,,,,,"31,000.00","95,000.00",3.06,"1,00,000.00","1,82,000.00",1.82,,,
,,2015 - 2016,,,,,,,,,,"27,000.00","76,000.00",2.81,"1,05,000.00","1,99,000.00",1.9,,,
,,2016 - 2017,,,,,,,,,,"14,780.00","46,410.00",3.14,"92,960.00","2,46,680.00",2.65,,,
,,2017 - 2018,,,,80,170,2.13,,,,"16,510.00","37,480.00",2.27,"85,110.00","1,34,010.00",1.57,,,
,,2018 - 2019,,,,,,,,,,"31,170.00","88,660.00",2.84,"88,980.00","1,86,860.00",2.1,,,
,,2019 - 2020,,,,,,,,,,"27,840.00","85,890.00",3.09,"89,810.00","2,03,510.00",2.27,,,
,,2020 - 2021,,,,,,,,,,"39,040.00","1,30,280.00",3.34,"1,00,490.00","2,14,690.00",2.14,,,
,,2021 - 2022,,,,22,58,2.64,,,,"33,593.00","1,06,295.10",3.16,"1,01,514.00","1,26,150.90",1.24,,,
,,2022 - 2023,,,,,,,,,,"35,920.00","1,25,510.00",3.49,"85,670.00","1,70,730.00",1.99,,,
,27. Rayagada,2000 - 2001,,,,"11,970.00","9,740.00",0.81,,,,"1,910.00","2,850.00",1.49,"55,560.00","60,470.00",1.09,,,
,,2001 - 2002,"66,000.00","1,01,000.00",1.53,,,,,,,,,,,,,,,
