State,District,Year,Arecanut,,,,,,,,
,,2001 - 2002,,,,"12,153.00","11,707.00",0.96,,,
,,2003 - 2004,,,,"14,366.00","13,838.00",0.96,,,
,,2004 - 2005,,,,"14,498.00","13,965.00",0.96,,,
,,2005 - 2006,,,,"12,688.00","59,389.00",4.68,,,
,,2006 - 2007,,,,"14,820.00","14,276.00",0.96,,,
,,2007 - 2008,,,,"15,318.00","71,699.00",4.68,,,
,,2008 - 2009,,,,"15,465.00","72,387.00",4.68,,,
,,2009 - 2010,,,,"16,545.00","77,443.00",4.68,,,
,,2010 - 2011,,,,"16,229.00","1,60,667.00",9.9,,,
,,2011 - 2012,,,,"16,363.00","1,32,511.00",8.1,,,
,,2012 - 2013,,,,"17,251.00","1,38,455.00",8.03,,,
,,2013 - 2014,,,,"16,848.00","2,17,251.00",12.89,,,
,,2014 - 2015,,,,"17,190.00","1,94,006.00",11.29,,,
,,2015 - 2016,,,,"17,506.00","1,79,375.00",10.25,,,
,,2016 - 2017,,,,"17,663.00","1,60,962.00",9.11,,,
,,2017 - 2018,,,,"24,244.00","2,60,057.00",10.73,,,
,,2018 - 2019,,,,"34,385.00","3,79,729.00",11.04,,,
,,2019 - 2020,,,,"35,058.00","3,64,775.00",10.4,,,
,,2020 - 2021,,,,"34,866.00","3,77,773.00",10.83,,,
,,2021 - 2022,,,,"42,883.00","4,64,636.00",10.83,,,
,,2022 - 2023,,,,"52,615.00","4,36,706.00",8.3,,,
,11. Dakshin kannad,2000 - 2001,,,,"25,447.00","45,397.00",1.78,,,
,,2001 - 2002,,,,"25,578.00","45,631.00",1.78,,,
,,2003 - 2004,,,,"27,092.00","48,332.00",1.78,,,
,,2004 - 2005,,,,"27,209.00","48,540.00",1.78,,,
,,2005 - 2006,,,,"27,338.00","2,28,831.00",8.37,,,
,,2006 - 2007,,,,"27,481.00","49,026.00",1.78,,,
,,2007 - 2008,,,,"27,532.00","2,30,455.00",8.37,,,
,,2008 - 2009,,,,"27,575.00","2,30,815.00",8.37,,,
,,2009 - 2010,,,,"27,645.00","2,31,401.00",8.37,,,
,,2010 - 2011,,,,"27,668.00","3,39,926.00",12.29,,,
,,2011 - 2012,,,,"27,734.00","3,42,934.00",12.37,,,
,,2012 - 2013,,,,"27,921.00","3,45,246.00",12.37,,,
,,2013 - 2014,,,,"28,232.00","3,57,756.00",12.67,,,
,,2014 - 2015,,,,"35,183.00","4,47,929.00",12.73,,,
,,2015 - 2016,,,,"35,409.00","3,70,005.00",10.45,,,
,,2016 - 2017,,,,"36,725.00","4,50,109.00",12.26,,,
,,2017 - 2018,,,,"39,396.00","4,25,512.00",10.8,,,
,,2018 - 2019,,,,"84,157.00","7,00,266.00",8.32,,,
,,2019 - 2020,,,,"93,151.00","12,53,263.00",13.45,,,
,,2020 - 2021,,,,"95,541.00","12,95,058.00",13.55,,,
,,2021 - 2022,,,,"1,01,689.00","13,72,798.00",13.5,,,
,,2022 - 2023,,,,"1,07,476.00","7,25,460.00",6.75,,,
,12. Davangere,2000 - 2001,,,,"14,476.00","13,944.00",0.96,,,
,,2001 - 2002,,,,"19,487.00","18,771.00",0.96,,,
,,2003 - 2004,,,,"21,235.00","20,455.00",0.96,,,
,,2004 - 2005,,,,"22,015.00","21,206.00",0.96,,,
,,2005 - 2006,,,,"23,241.00","1,08,785.00",4.68,,,
,,2006 - 2007,,,,"22,779.00","21,942.00",0.96,,,
,,2007 - 2008,,,,"24,229.00","1,13,409.00",4.68,,,
,,2008 - 2009,,,,"26,931.00","1,26,056.00",4.68,,,
,,2009 - 2010,,,,"28,518.00","1,33,485.00",4.68,,,
,,2010 - 2011,,,,"33,336.00","4,22,764.00",12.68,,,
,,2011 - 2012,,,,"32,199.00","2,60,754.00",8.1,,,
,,2012 - 2013,,,,"29,415.00","2,36,083.00",8.03,,,
,,2013 - 2014,,,,"26,291.00","3,45,913.00",13.16,,,
,,2014 - 2015,,,,"32,316.00","2,32,268.00",7.19,,,
,,2015 - 2016,,,,"35,045.00","3,08,955.00",8.82,,,
,,2016 - 2017,,,,"35,796.00","4,06,297.00",11.35,,,
,,2017 - 2018,,,,"44,723.00","6,49,526.00",14.52,,,
,,2018 - 2019,,,,"62,501.00","5,82,253.00",9.32,,,
,,2019 - 2020,,,,"64,850.00","5,39,293.00",8.32,,,
,,2020 - 2021,,,,"68,522.00","7,41,751.00",10.83,,,
,,2021 - 2022,,,,"75,260.00","8,91,456.00",11.85,,,
,,2022 - 2023,,,,"83,088.00","6,97,942.00",8.4,,,
,13. Dharwad,2000 - 2001,,,,17,24,1.41,,,
,,2001 - 2002,,,,10,14,1.4,,,
,,2003 - 2004,,,,8,11,1.38,,,
,,2004 - 2005,,,,11,15,1.36,,,
,,2005 - 2006,,,,15,101,6.73,,,
,,2006 - 2007,,,,18,25,1.39,,,
,,2007 - 2008,,,,17,114,6.71,,,
,,2008 - 2009,,,,9,61,6.78,,,
,,2009 - 2010,,,,15,101,6.73,,,
,,2010 - 2011,,,,16,173,10.81,,,
,,2011 - 2012,,,,16,130,8.13,,,
,,2012 - 2013,,,,4,32,8,,,
,,2013 - 2014,,,,17,189,11.12,,,
,,2014 - 2015,,,,14,130,9.29,,,
,,2015 - 2016,,,,18,176,9.78,,,
,,2016 - 2017,,,,29,295,10.17,,,
,,2017 - 2018,,,,32,347,10.84,,,
,,2018 - 2019,,,,101,902,8.93,,,
,,2019 - 2020,,,,110,"1,189.00",10.81,,,
,,2020 - 2021,,,,167,"1,881.00",11.26,,,
,,2021 - 2022,,,,156,"1,743.00",11.17,,,
,,2022 - 2023,,,,185,"1,500.00",8.11,,,
,14. Gadag,2003 - 2004,,,,2,3,1.5,,,
,,2004 - 2005,,,,3,4,1.33,,,
,,2005 - 2006,,,,3,19,6.33,,,
,,2006 - 2007,,,,3,4,1.33,,,
,,2007 - 2008,,,,3,19,6.33,,,
,,2008 - 2009,,,,3,19,6.33,,,
,,2009 - 2010,,,,3,19,6.33,,,
,,2010 - 2011,,,,3,32,10.67,,,
,,2014 - 2015,,,,5,46,9.2,,,
,,2015 - 2016,,,,2,20,10,,,
,,2016 - 2017,,,,2,20,10,,,
,,2017 - 2018,,,,3,33,11,,,
,,2018 - 2019,,,,9,80,8.89,,,
,,2019 - 2020,,,,17,184,10.82,,,
,,2020 - 2021,,,,20,225,11.25,,,
,,2021 - 2022,,,,38,427,11.24,,,
,,2022 - 2023,,,,145,907,6.26,,,
,15. Gulbarga,2018 - 2019,,,,1,9,9,,,
,16. Hassan,2000 - 2001,,,,"1,922.00","1,878.00",0.98,,,
,,2001 - 2002,,,,"2,128.00","2,079.00",0.98,,,
,,2003 - 2004,,,,"3,193.00","3,120.00",0.98,,,
,,2004 - 2005,,,,"3,483.00","3,403.00",0.98,,,
,,2005 - 2006,,,,"3,680.00","19,706.00",5.35,,,
,,2006 - 2007,,,,"3,819.00","3,732.00",0.98,,,
,,2007 - 2008,,,,"3,880.00","20,777.00",5.35,,,
,,2008 - 2009,,,,"3,928.00","21,034.00",5.35,,,
,,2009 - 2010,,,,"4,110.00","22,009.00",5.35,,,
,,2010 - 2011,,,,"4,192.00","45,327.00",10.81,,,
,,2011 - 2012,,,,"4,325.00","31,193.00",7.21,,,
,,2012 - 2013,,,,"4,598.00","33,161.00",7.21,,,
,,2013 - 2014,,,,"4,405.00","34,430.00",7.82,,,
,,2014 - 2015,,,,32,296,9.25,,,
,,2015 - 2016,,,,"3,650.00","35,777.00",9.8,,,
,,2016 - 2017,,,,"3,436.00","34,904.00",10.16,,,
,,2017 - 2018,,,,"3,553.00","38,534.00",10.85,,,
,,2018 - 2019,,,,"7,624.00","68,073.00",8.93,,,
,,2019 - 2020,,,,"8,579.00","92,720.00",10.81,,,
,,2020 - 2021,,,,"12,102.00","1,36,293.00",11.26,,,
,,2021 - 2022,,,,"14,207.00","1,63,381.00",11.5,,,
,,2022 - 2023,,,,"15,875.00","1,02,394.00",6.45,,,
,17. Haveri,2000 - 2001,,,,360,503,1.4,,,
,,2001 - 2002,,,,507,708,1.4,,,
,,2003 - 2004,,,,634,886,1.4,,,
,,2004 - 2005,,,,717,"1,002.00",1.4,,,
,,2005 - 2006,,,,715,"4,816.00",6.74,,,
,,2006 - 2007,,,,794,"1,109.00",1.4,,,
,,2007 - 2008,,,,922,"6,210.00",6.74,,,
,,2008 - 2009,,,,"1,043.00","7,025.00",6.74,,,
,,2009 - 2010,,,,"1,288.00","8,675.00",6.74,,,
,,2010 - 2011,,,,"1,580.00","17,084.00",10.81,,,
,,2011 - 2012,,,,"1,655.00","13,403.00",8.1,,,
,,2012 - 2013,,,,"1,873.00","15,033.00",8.03,,,
,,2013 - 2014,,,,"1,882.00","20,963.00",11.14,,,
,,2014 - 2015,,,,"2,314.00","21,410.00",9.25,,,
,,2015 - 2016,,,,"2,414.00","23,662.00",9.8,,,
,,2016 - 2017,,,,"2,848.00","28,931.00",10.16,,,
,,2017 - 2018,,,,"4,053.00","43,957.00",10.85,,,
,,2018 - 2019,,,,"6,409.00","57,225.00",8.93,,,
,,2019 - 2020,,,,"7,158.00","77,362.00",10.81,,,
,,2020 - 2021,,,,"8,372.00","94,285.00",11.26,,,
,,2021 - 2022,,,,"12,355.00","1,38,164.00",11.18,,,
,,2022 - 2023,,,,"16,587.00","1,44,311.00",8.7,,,
,18. Kodagu,2000 - 2001,,,,"1,198.00","1,676.00",1.4,,,
,,2001 - 2002,,,,"1,230.00","1,721.00",1.4,,,
,,2003 - 2004,,,,"1,344.00","1,880.00",1.4,,,
,,2004 - 2005,,,,"1,386.00","1,939.00",1.4,,,
,,2005 - 2006,,,,"1,423.00","9,582.00",6.73,,,
,,2006 - 2007,,,,"2,298.00","3,215.00",1.4,,,
,,2007 - 2008,,,,"2,851.00","19,199.00",6.73,,,
,,2008 - 2009,,,,"2,994.00","20,162.00",6.73,,,
,,2009 - 2010,,,,"3,067.00","20,653.00",6.73,,,
,,2010 - 2011,,,,"3,612.00","39,056.00",10.81,,,
,,2011 - 2012,,,,"3,838.00","31,081.00",8.1,,,
,,2012 - 2013,,,,"3,877.00","31,117.00",8.03,,,
,,2013 - 2014,,,,"3,894.00","43,373.00",11.14,,,
,,2014 - 2015,,,,"4,613.00","42,682.00",9.25,,,
,,2015 - 2016,,,,"4,584.00","44,932.00",9.8,,,
,,2016 - 2017,,,,"4,588.00","46,607.00",10.16,,,
,,2017 - 2018,,,,"4,513.00","48,946.00",10.85,,,
,,2018 - 2019,,,,"7,714.00","68,877.00",8.93,,,
,,2019 - 2020,,,,"12,437.00","1,34,417.00",10.81,,,
,,2020 - 2021,,,,"22,840.00","2,57,224.00",11.26,,,
,,2021 - 2022,,,,"25,708.00","2,19,678.00",8.55,,,
,,2022 - 2023,,,,"28,861.00","2,36,660.00",8.2,,,
,19. Kolar,2000 - 2001,,,,86,120,1.4,,,
,,2001 - 2002,,,,81,113,1.4,,,
,,2003 - 2004,,,,67,94,1.4,,,
,,2004 - 2005,,,,54,76,1.41,,,
,,2005 - 2006,,,,54,364,6.74,,,
,,2006 - 2007,,,,54,76,1.41,,,
,,2018 - 2019,,,,5,45,9,,,
,,2019 - 2020,,,,8,86,10.75,,,
,,2020 - 2021,,,,4,45,11.25,,,
,,2021 - 2022,,,,12,132,11,,,
,,2022 - 2023,,,,15,74,4.93,,,
,20. Koppal,2020 - 2021,,,,8,90,11.25,,,
,,2021 - 2022,,,,4,44,11,,,
,,2022 - 2023,,,,11,56,5.09,,,
,21. Mandya,2000 - 2001,,,,700,979,1.4,,,
,,2001 - 2002,,,,732,"1,023.00",1.4,,,
,,2003 - 2004,,,,816,"1,141.00",1.4,,,
,,2004 - 2005,,,,879,"1,229.00",1.4,,,
,,2005 - 2006,,,,833,"5,610.00",6.73,,,
,,2006 - 2007,,,,868,"1,213.00",1.4,,,
,,2007 - 2008,,,,620,"4,176.00",6.74,,,
,,2008 - 2009,,,,653,"4,398.00",6.74,,,
,,2009 - 2010,,,,851,"5,731.00",6.73,,,
,,2010 - 2011,,,,873,"9,440.00",10.81,,,
,,2011 - 2012,,,,883,"7,151.00",8.1,,,
,,2012 - 2013,,,,"1,081.00","8,676.00",8.03,,,
,,2013 - 2014,,,,986,"10,983.00",11.14,,,
,,2014 - 2015,,,,674,"6,236.00",9.25,,,
,,2015 - 2016,,,,873,"8,557.00",9.8,,,
,,2016 - 2017,,,,565,"5,739.00",10.16,,,
,,2017 - 2018,,,,370,"4,013.00",10.85,,,
,,2018 - 2019,,,,"1,842.00","16,447.00",8.93,,,
,,2019 - 2020,,,,"1,878.00","20,297.00",10.81,,,
,,2020 - 2021,,,,"2,765.00","31,139.00",11.26,,,
,,2021 - 2022,,,,"2,981.00","33,338.00",11.18,,,
,,2022 - 2023,,,,"4,359.00","25,064.00",5.75,,,
,22. Mysore,2000 - 2001,,,,400,284,0.71,,,
,,2001 - 2002,,,,798,566,0.71,,,
,,2003 - 2004,,,,645,458,0.71,,,
,,2004 - 2005,,,,676,480,0.71,,,
,,2005 - 2006,,,,556,"1,950.00",3.51,,,
,,2006 - 2007,,,,"1,026.00",728,0.71,,,
,,2007 - 2008,,,,911,"3,195.00",3.51,,,
,,2008 - 2009,,,,"1,109.00","3,890.00",3.51,,,
,,2009 - 2010,,,,"1,066.00","3,739.00",3.51,,,
,,2010 - 2011,,,,"1,375.00","14,868.00",10.81,,,
,,2011 - 2012,,,,"1,424.00","11,532.00",8.1,,,
,,2012 - 2013,,,,"1,527.00","12,256.00",8.03,,,
,,2013 - 2014,,,,"1,617.00","18,011.00",11.14,,,
,,2014 - 2015,,,,"1,786.00","16,525.00",9.25,,,
,,2015 - 2016,,,,"1,485.00","14,556.00",9.8,,,
,,2016 - 2017,,,,"1,567.00","15,918.00",10.16,,,
,,2017 - 2018,,,,"1,616.00","17,526.00",10.85,,,
,,2018 - 2019,,,,"3,130.00","27,947.00",8.93,,,
,,2019 - 2020,,,,"3,205.00","34,639.00",10.81,,,
,,2020 - 2021,,,,"3,647.00","41,073.00",11.26,,,
,,2021 - 2022,,,,"3,935.00","44,002.00",11.18,,,
,,2022 - 2023,,,,"5,800.00","37,698.00",6.5,,,
,23. Ramanagara,2007 - 2008,,,,868,"5,846.00",6.74,,,
,,2008 - 2009,,,,"2,051.00","13,813.00",6.73,,,
,,2009 - 2010,,,,"2,063.00","13,894.00",6.73,,,
,,2010 - 2011,,,,"2,330.00","25,194.00",10.81,,,
,,2011 - 2012,,,,"2,331.00","18,877.00",8.1,,,
,,2012 - 2013,,,,"1,329.00","10,666.00",8.03,,,
,,2013 - 2014,,,,"1,274.00","14,190.00",11.14,,,
,,2014 - 2015,,,,"1,452.00","13,435.00",9.25,,,
,,2015 - 2016,,,,"1,736.00","17,016.00",9.8,,,
,,2016 - 2017,,,,"1,878.00","19,077.00",10.16,,,
,,2017 - 2018,,,,"1,878.00","20,368.00",10.85,,,
,,2018 - 2019,,,,"1,811.00","16,170.00",8.93,,,
,,2019 - 2020,,,,"2,907.00","31,418.00",10.81,,,
,,2020 - 2021,,,,"3,050.00","34,349.00",11.26,,,
,,2021 - 2022,,,,"3,278.00","36,659.00",11.18,,,
,,2022 - 2023,,,,"3,760.00","18,989.00",5.05,,,
,24. Shimoga,2000 - 2001,,,,"23,927.00","36,005.00",1.5,,,
,,2001 - 2002,,,,"26,359.00","39,665.00",1.5,,,
,,2003 - 2004,,,,"28,039.00","42,193.00",1.5,,,
,,2004 - 2005,,,,"29,150.00","43,865.00",1.5,,,
,,2005 - 2006,,,,"31,167.00","2,22,961.00",7.15,,,
,,2006 - 2007,,,,"32,938.00","49,565.00",1.5,,,
,,2007 - 2008,,,,"35,492.00","2,53,901.00",7.15,,,
,,2008 - 2009,,,,"37,631.00","2,69,202.00",7.15,,,
,,2009 - 2010,,,,"41,185.00","2,94,627.00",7.15,,,
,,2010 - 2011,,,,"43,530.00","3,73,631.00",8.58,,,
,,2011 - 2012,,,,"45,411.00","2,43,442.00",5.36,,,
,,2012 - 2013,,,,"47,478.00","2,54,522.00",5.36,,,
,,2013 - 2014,,,,"48,401.00","5,38,587.00",11.13,,,
,,2014 - 2015,,,,"51,689.00","3,86,605.00",7.48,,,
,,2015 - 2016,,,,"52,550.00","5,05,418.00",9.62,,,
,,2016 - 2017,,,,"55,256.00","6,29,637.00",11.39,,,
,,2017 - 2018,,,,"58,855.00","6,45,592.00",10.97,,,
,,2018 - 2019,,,,"92,241.00","8,46,523.00",9.18,,,
,,2019 - 2020,,,,"93,584.00","9,21,386.00",9.85,,,
,,2020 - 2021,,,,"1,00,486.00","11,84,730.00",11.79,,,
,,2021 - 2022,,,,"1,11,758.00","11,88,549.00",10.64,,,
,,2022 - 2023,,,,"1,18,836.00","7,60,549.00",6.4,,,
,25. Tumkur,2000 - 2001,,,,"10,428.00","12,791.00",1.23,,,
,,2001 - 2002,,,,"12,628.00","15,490.00",1.23,,,
,,2003 - 2004,,,,"15,459.00","18,962.00",1.23,,,
,,2004 - 2005,,,,"16,197.00","19,867.00",1.23,,,
,,2005 - 2006,,,,"19,044.00","1,07,710.00",5.66,,,
,,2006 - 2007,,,,"19,584.00","24,022.00",1.23,,,
,,2007 - 2008,,,,"19,937.00","1,12,761.00",5.66,,,
,,2008 - 2009,,,,"22,058.00","1,24,757.00",5.66,,,
,,2009 - 2010,,,,"25,045.00","1,41,651.00",5.66,,,
,,2010 - 2011,,,,"29,014.00","2,59,664.00",8.95,,,
,,2011 - 2012,,,,"29,807.00","2,17,923.00",7.31,,,
,,2012 - 2013,,,,"30,917.00","2,26,039.00",7.31,,,
,,2013 - 2014,,,,"29,334.00","2,41,183.00",8.22,,,
,,2014 - 2015,,,,"32,775.00","3,14,901.00",9.61,,,
,,2015 - 2016,,,,"34,719.00","3,51,452.00",10.12,,,
,,2016 - 2017,,,,"35,680.00","2,62,981.00",7.37,,,
,,2017 - 2018,,,,"37,211.00","3,09,631.00",8.32,,,
,,2018 - 2019,,,,"55,148.00","5,01,469.00",9.09,,,
,,2019 - 2020,,,,"55,710.00","6,02,104.00",10.81,,,
,,2020 - 2021,,,,"64,457.00","7,67,683.00",11.91,,,
,,2021 - 2022,,,,"69,083.00","8,02,401.00",11.62,,,
,,2022 - 2023,,,,"85,972.00","5,41,626.00",6.3,,,
,26. Udupi,2000 - 2001,,,,"4,012.00","7,157.00",1.78,,,
,,2001 - 2002,,,,"4,877.00","8,700.00",1.78,,,
,,2003 - 2004,,,,"4,954.00","8,838.00",1.78,,,
,,2004 - 2005,,,,"5,019.00","8,954.00",1.78,,,
,,2005 - 2006,,,,"5,127.00","42,915.00",8.37,,,
,,2006 - 2007,,,,"5,174.00","9,230.00",1.78,,,
,,2007 - 2008,,,,"5,294.00","44,313.00",8.37,,,
,,2008 - 2009,,,,"5,474.00","45,820.00",8.37,,,
,,2009 - 2010,,,,"5,864.00","49,084.00",8.37,,,
,,2010 - 2011,,,,"7,028.00","86,311.00",12.28,,,
,,2011 - 2012,,,,"7,403.00","57,642.00",7.79,,,
,,2012 - 2013,,,,"7,501.00","58,405.00",7.79,,,
,,2013 - 2014,,,,"7,714.00","60,751.00",7.88,,,
,,2014 - 2015,,,,"7,856.00","1,09,506.00",13.94,,,
,,2015 - 2016,,,,"7,905.00","1,51,863.00",19.21,,,
,,2016 - 2017,,,,"7,980.00","81,570.00",10.22,,,
,,2017 - 2018,,,,"8,106.00","1,14,476.00",14.12,,,
,,2018 - 2019,,,,"21,628.00","1,61,551.00",7.47,,,
,,2019 - 2020,,,,"21,818.00","1,83,922.00",8.43,,,
,,2020 - 2021,,,,"23,702.00","2,84,661.00",12.01,,,
,,2021 - 2022,,,,"23,207.00","3,62,151.00",15.61,,,
,,2022 - 2023,,,,"23,052.00","1,95,938.00",8.5,,,
,27. Uttar kannad,2000 - 2001,,,,"11,160.00","15,169.00",1.36,,,
,,2001 - 2002,,,,"11,483.00","15,608.00",1.36,,,
,,2003 - 2004,,,,"12,177.00","16,552.00",1.36,,,
,,2004 - 2005,,,,"12,287.00","16,701.00",1.36,,,
,,2005 - 2006,,,,"14,324.00","92,799.00",6.48,,,
,,2006 - 2007,,,,"14,813.00","20,135.00",1.36,,,
,,2007 - 2008,,,,"14,988.00","97,101.00",6.48,,,
,,2008 - 2009,,,,"15,801.00","1,02,368.00",6.48,,,
,,2009 - 2010,,,,"16,078.00","1,04,162.00",6.48,,,
,,2010 - 2011,,,,"16,634.00","2,32,441.00",13.97,,,
,,2011 - 2012,,,,"17,075.00","2,40,463.00",14.08,,,
,,2012 - 2013,,,,"17,746.00","2,49,912.00",14.08,,,
,,2013 - 2014,,,,"17,671.00","1,96,828.00",11.14,,,
,,2014 - 2015,,,,"17,912.00","2,27,247.00",12.69,,,
,,2015 - 2016,,,,"18,431.00","2,43,411.00",13.21,,,
,,2016 - 2017,,,,"18,527.00","2,46,513.00",13.31,,,
,,2017 - 2018,,,,"18,925.00","2,25,204.00",11.9,,,
,,2018 - 2019,,,,"30,989.00","4,36,410.00",14.08,,,
,,2019 - 2020,,,,"30,549.00","4,37,472.00",14.32,,,
,,2020 - 2021,,,,"30,670.00","4,39,961.00",14.34,,,
,,2021 - 2022,,,,"32,698.00","4,74,117.00",14.5,,,
,,2022 - 2023,,,,"34,515.00","4,46,964.00",12.95,,,
,28. Vijayanagar,2022 - 2023,,,,"2,611.00","21,277.00",8.15,,,
,29. Yadgir,2021 - 2022,,,,1,11,11,,,
6. Kerala,1. Alappuzha,2000 - 2001,,,,"2,205.00",917,0.42,,,
,,2001 - 2002,,,,"2,389.00",792,0.33,,,
,,2002 - 2003,,,,"2,441.00","1,016.00",0.42,,,
,,2003 - 2004,,,,"2,416.00",978,0.4,,,
,,2004 - 2005,,,,"2,376.00","1,006.00",0.42,,,
,,2005 - 2006,,,,"2,353.00",950,0.4,,,
,,2006 - 2007,,,,"2,021.00",671,0.33,,,
,,2007 - 2008,,,,"1,696.00",687,0.41,,,
,,2008 - 2009,,,,"1,577.00",955,0.61,,,
,,2009 - 2010,,,,"1,711.00","1,008.00",0.59,,,
,,2010 - 2011,,,,"1,608.73",769.05,0.48,,,
,,2011 - 2012,,,,"1,615.43",659.29,0.41,,,
,,2012 - 2013,,,,"1,387.00",682,0.49,,,
,,2013 - 2014,,,,"1,304.00",513,0.39,,,
,,2014 - 2015,,,,"1,332.00",641,0.48,,,
,,2015 - 2016,,,,"1,325.49",466.69,0.35,,,
,,2016 - 2017,,,,"1,321.00",437,0.33,,,
,,2017 - 2018,,,,"1,304.00",352,0.27,,,
,,2018 - 2019,,,,"1,370.32",385,0.28,,,
,,2019 - 2020,,,,"1,586.00",433,0.27,,,
,,2020 - 2021,,,,"1,382.91",402.59,0.29,,,
,,2021 - 2022,,,,"1,536.00",444,0.29,,,
,,2022 - 2023,,,,"1,408.14",433.68,0.31,,,
,2. Ernakulam,2000 - 2001,,,,"4,238.00","3,349.00",0.79,,,
,,2001 - 2002,,,,"4,662.00","3,607.00",0.77,,,
,,2002 - 2003,,,,"4,886.00","3,728.00",0.76,,,
,,2003 - 2004,,,,"5,275.00","3,813.00",0.72,,,
,,2004 - 2005,,,,"5,679.00","4,245.00",0.75,,,
,,2005 - 2006,,,,"5,644.00","6,050.00",1.07,,,
,,2006 - 2007,,,,"4,908.00","5,020.00",1.02,,,
,,2007 - 2008,,,,"5,207.00","6,395.00",1.23,,,
,,2008 - 2009,,,,"4,783.00","5,564.00",1.16,,,
,,2009 - 2010,,,,"4,674.00","5,130.00",1.1,,,
,,2010 - 2011,,,,"4,549.93","4,889.90",1.07,,,
,,2011 - 2012,,,,"4,943.83","4,639.87",0.94,,,
,,2012 - 2013,,,,"4,754.00","4,052.00",0.85,,,
,,2013 - 2014,,,,"4,463.00","3,924.00",0.88,,,
,,2014 - 2015,,,,"4,133.00","4,533.00",1.1,,,
,,2015 - 2016,,,,"4,134.20","3,459.94",0.84,,,
,,2016 - 2017,,,,"4,069.00","3,109.00",0.76,,,
,,2017 - 2018,,,,"3,946.00","2,779.00",0.7,,,
,,2018 - 2019,,,,"4,107.73","3,033.00",0.74,,,
,,2019 - 2020,,,,"4,033.00","2,919.00",0.72,,,
,,2020 - 2021,,,,"3,890.77","2,442.08",0.63,,,
,,2021 - 2022,,,,"3,891.00","2,890.00",0.74,,,
,,2022 - 2023,,,,"3,776.47","2,633.91",0.7,,,
,3. Idukki,2000 - 2001,,,,"3,682.00","3,805.00",1.03,,,
,,2001 - 2002,,,,"3,942.00","3,432.00",0.87,,,
,,2002 - 2003,,,,"4,096.00","3,846.00",0.94,,,
,,2003 - 2004,,,,"3,831.00","3,635.00",0.95,,,
,,2004 - 2005,,,,"4,054.00","4,351.00",1.07,,,
,,2005 - 2006,,,,"4,009.00","4,669.00",1.16,,,
,,2006 - 2007,,,,"3,416.00","5,041.00",1.48,,,
,,2007 - 2008,,,,"3,451.00","3,886.00",1.13,,,
,,2008 - 2009,,,,"3,173.00","3,778.00",1.19,,,
,,2009 - 2010,,,,"2,753.00","3,148.00",1.14,,,
,,2010 - 2011,,,,"2,520.54","1,789.52",0.71,,,
,,2011 - 2012,,,,"2,708.92","2,507.34",0.93,,,
,,2012 - 2013,,,,"2,569.00","2,379.00",0.93,,,
,,2013 - 2014,,,,"2,381.00","1,795.00",0.75,,,
,,2014 - 2015,,,,"2,264.00","1,748.00",0.77,,,
,,2015 - 2016,,,,"2,244.22","1,597.19",0.71,,,
,,2016 - 2017,,,,"2,017.00","1,973.00",0.98,,,
,,2017 - 2018,,,,"1,928.00","1,626.00",0.84,,,
,,2018 - 2019,,,,"1,784.24","1,395.00",0.78,,,
,,2019 - 2020,,,,"1,696.00",592,0.35,,,
,,2020 - 2021,,,,"1,747.83","1,858.81",1.06,,,
,,2021 - 2022,,,,"1,716.00","1,715.00",1,,,
,,2022 - 2023,,,,"1,599.68","1,351.74",0.85,,,
,4. Kannur,2000 - 2001,,,,"13,274.00","12,923.00",0.97,,,
,,2001 - 2002,,,,"14,436.00","14,237.00",0.99,,,
,,2002 - 2003,,,,"14,182.00","14,737.00",1.04,,,
,,2003 - 2004,,,,"13,489.00","14,692.00",1.09,,,
,,2004 - 2005,,,,"13,776.00","14,743.00",1.07,,,
,,2005 - 2006,,,,"14,104.00","16,486.00",1.17,,,
,,2006 - 2007,,,,"12,806.00","14,207.00",1.11,,,
,,2007 - 2008,,,,"11,262.00","10,605.00",0.94,,,
,,2008 - 2009,,,,"11,520.00","14,655.00",1.27,,,
,,2009 - 2010,,,,"10,674.00","13,516.00",1.27,,,
,,2010 - 2011,,,,"11,666.43","12,018.10",1.03,,,
,,2011 - 2012,,,,"10,687.29","13,925.23",1.3,,,
,,2012 - 2013,,,,"10,649.00","13,529.00",1.27,,,
,,2013 - 2014,,,,"9,959.00","12,103.00",1.22,,,
,,2014 - 2015,,,,"9,180.00","10,660.00",1.16,,,
,,2015 - 2016,,,,"9,385.52","14,172.47",1.51,,,
,,2016 - 2017,,,,"9,543.00","12,684.00",1.33,,,
,,2017 - 2018,,,,"9,493.00","12,026.00",1.27,,,
,,2018 - 2019,,,,"9,362.01","9,532.00",1.02,,,
,,2019 - 2020,,,,"9,612.00","7,699.00",0.8,,,
,,2020 - 2021,,,,"9,510.66","7,974.30",0.84,,,
,,2021 - 2022,,,,"8,551.00","8,079.00",0.94,,,
,,2022 - 2023,,,,"8,989.86","8,113.09",0.9,,,
,5. Kasaragod,2000 - 2001,,,,"13,515.00","26,359.00",1.95,,,
,,2001 - 2002,,,,"14,579.00","21,813.00",1.5,,,
,,2002 - 2003,,,,"15,183.00","30,363.00",2,,,
,,2003 - 2004,,,,"15,832.00","29,577.00",1.87,,,
,,2004 - 2005,,,,"17,432.00","31,702.00",1.82,,,
,,2005 - 2006,,,,"17,622.00","32,701.00",1.86,,,
