State,District,Year,Cotton(lint),,,,,,,,,,,
,,2002 - 2003,"9,800.00","5,900.00",0.6,,,,,,,,,
,,2003 - 2004,"5,600.00","5,000.00",0.89,,,,,,,,,
,,2004 - 2005,"7,000.00","6,700.00",0.96,,,,,,,,,
,,2005 - 2006,"3,400.00","3,400.00",1,,,,,,,,,
,,2006 - 2007,"2,600.00","2,500.00",0.96,,,,,,,,,
,,2007 - 2008,"1,800.00","2,700.00",1.5,,,,,,,,,
,,2008 - 2009,"2,700.00","4,700.00",1.74,,,,,,,,,
,,2009 - 2010,"3,200.00","6,000.00",1.88,,,,,,,,,
,,2010 - 2011,"3,400.00","8,000.00",2.35,,,,,,,,,
,,2011 - 2012,"4,900.00","13,600.00",2.78,,,,,,,,,
,,2012 - 2013,"5,500.00","17,800.00",3.24,,,,,,,,,
,,2013 - 2014,"4,400.00","14,200.00",3.23,,,,,,,,,
,,2014 - 2015,"3,800.00","2,700.00",0.71,,,,,,,,,
,,2015 - 2016,"3,300.00","1,600.00",0.48,,,,,,,,,
,,2016 - 2017,"2,700.00","11,800.00",4.37,,,,,,,,,
,,2017 - 2018,"3,111.00","11,700.00",3.76,,,,,,,,,
,,2018 - 2019,"5,861.00","4,963.00",0.85,,,,,,,,,
,,2019 - 2020,"6,269.00","9,557.00",1.52,,,,,,,,,
,,2020 - 2021,"7,900.00","19,800.00",2.51,,,,,,,,,
,,2021 - 2022,"7,900.00","12,600.00",1.59,,,,,,,,,
,,2022 - 2023,"7,283.88","27,221.14",3.74,,,,,,,,,
,18. Nagpur,2000 - 2001,"71,100.00","63,100.00",0.89,,,,,,,,,
,,2001 - 2002,"80,100.00","76,700.00",0.96,,,,,,,,,
,,2002 - 2003,"73,400.00","71,200.00",0.97,,,,,,,,,
,,2003 - 2004,"74,300.00","1,15,400.00",1.55,,,,,,,,,
,,2004 - 2005,"75,300.00","1,04,300.00",1.39,,,,,,,,,
,,2005 - 2006,"73,300.00","98,800.00",1.35,,,,,,,,,
,,2006 - 2007,"67,500.00","84,000.00",1.24,,,,,,,,,
,,2007 - 2008,"63,100.00","1,06,600.00",1.69,,,,,,,,,
,,2008 - 2009,"44,300.00","63,500.00",1.43,,,,,,,,,
,,2009 - 2010,"63,600.00","89,000.00",1.4,,,,,,,,,
,,2010 - 2011,"80,800.00","1,26,000.00",1.56,,,,,,,,,
,,2011 - 2012,"1,02,100.00","1,41,800.00",1.39,,,,,,,,,
,,2012 - 2013,"89,400.00","1,76,700.00",1.98,,,,,,,,,
,,2013 - 2014,"92,400.00","1,50,400.00",1.63,,,,,,,,,
,,2014 - 2015,"1,11,300.00","1,50,200.00",1.35,,,,,,,,,
,,2015 - 2016,"1,26,400.00","1,61,400.00",1.28,,,,,,,,,
,,2016 - 2017,"1,36,500.00","5,50,200.00",4.03,,,,,,,,,
,,2017 - 2018,"1,45,168.00","3,47,600.00",2.39,,,,,,,,,
,,2018 - 2019,"1,42,626.00","3,24,685.00",2.28,,,,,,,,,
,,2019 - 2020,"1,53,345.00","4,09,516.00",2.67,,,,,,,,,
,,2020 - 2021,"1,58,900.00","5,08,200.00",3.2,,,,,,,,,
,,2021 - 2022,"1,58,900.00","4,51,800.00",2.84,,,,,,,,,
,,2022 - 2023,"2,14,085.24","5,86,809.06",2.74,,,,,,,,,
,19. Nanded,2000 - 2001,"2,70,000.00","83,400.00",0.31,,,,,,,,,
,,2001 - 2002,"2,45,700.00","1,65,100.00",0.67,,,,,,,,,
,,2002 - 2003,"2,14,600.00","1,26,100.00",0.59,,,,,,,,,
,,2003 - 2004,"2,15,500.00","2,02,900.00",0.94,,,,,,,,,
,,2004 - 2005,"2,33,200.00","1,94,900.00",0.84,,,,,,,,,
,,2005 - 2006,"2,27,800.00","1,29,200.00",0.57,,,,,,,,,
,,2006 - 2007,"2,15,700.00","1,29,400.00",0.6,,,,,,,,,
,,2007 - 2008,"2,07,800.00","2,73,000.00",1.31,,,,,,,,,
,,2008 - 2009,"2,69,300.00","1,91,300.00",0.71,,,,,,,,,
,,2009 - 2010,"2,57,400.00","1,97,200.00",0.77,,,,,,,,,
,,2010 - 2011,"3,02,100.00","4,62,200.00",1.53,,,,,,,,,
,,2011 - 2012,"3,26,600.00","5,20,900.00",1.59,,,,,,,,,
,,2012 - 2013,"3,26,600.00","5,27,200.00",1.61,,,,,,,,,
,,2013 - 2014,"3,21,100.00","3,60,900.00",1.12,,,,,,,,,
,,2014 - 2015,"3,42,300.00","1,76,800.00",0.52,,,,,,,,,
,,2015 - 2016,"3,52,700.00","2,40,600.00",0.68,,,,,,,,,
,,2016 - 2017,"3,64,300.00","6,35,400.00",1.74,,,,,,,,,
,,2017 - 2018,"2,99,543.00","3,11,700.00",1.04,,,,,,,,,
,,2018 - 2019,"2,40,876.00","3,64,857.00",1.51,,,,,,,,,
,,2019 - 2020,"2,44,704.00","2,58,461.00",1.06,,,,,,,,,
,,2020 - 2021,"2,44,700.00","4,12,100.00",1.68,,,,,,,,,
,,2021 - 2022,"2,34,600.00","3,07,300.00",1.31,,,,,,,,,
,,2022 - 2023,"1,97,291.42","3,33,033.72",1.69,,,,,,,,,
,20. Nandurbar,2000 - 2001,"29,600.00","17,400.00",0.59,,,,,,,,,
,,2001 - 2002,"33,100.00","23,100.00",0.7,,,,,,,,,
,,2002 - 2003,"34,200.00","22,800.00",0.67,,,,,,,,,
,,2003 - 2004,"36,200.00","40,900.00",1.13,,,,,,,,,
,,2004 - 2005,"38,100.00","34,400.00",0.9,,,,,,,,,
,,2005 - 2006,"34,900.00","50,400.00",1.44,,,,,,,,,
,,2006 - 2007,"34,700.00","31,300.00",0.9,,,,,,,,,
,,2007 - 2008,"46,100.00","1,07,600.00",2.33,,,,,,,,,
,,2008 - 2009,"56,900.00","1,07,600.00",1.89,,,,,,,,,
,,2009 - 2010,"54,500.00","1,07,500.00",1.97,,,,,,,,,
,,2010 - 2011,"56,000.00","1,16,600.00",2.08,,,,,,,,,
,,2011 - 2012,"57,200.00","81,300.00",1.42,,,,,,,,,
,,2012 - 2013,"79,200.00","96,500.00",1.22,,,,,,,,,
,,2013 - 2014,"1,02,200.00","1,49,800.00",1.47,,,,,,,,,
,,2014 - 2015,"1,18,600.00","1,01,200.00",0.85,,,,,,,,,
,,2015 - 2016,"1,16,600.00","1,10,600.00",0.95,,,,,,,,,
,,2016 - 2017,"85,500.00","1,52,100.00",1.78,,,,,,,,,
,,2017 - 2018,"96,600.00","1,92,200.00",1.99,,,,,,,,,
,,2018 - 2019,"1,11,064.00","1,20,233.00",1.08,,,,,,,,,
,,2019 - 2020,"1,18,092.00","1,86,752.00",1.58,,,,,,,,,
,,2020 - 2021,"1,21,300.00","3,07,700.00",2.54,,,,,,,,,
,,2021 - 2022,"1,25,900.00","1,72,600.00",1.37,,,,,,,,,
,,2022 - 2023,"1,29,061.00","2,12,362.09",1.65,,,,,,,,,
,21. Nashik,2000 - 2001,"5,700.00","5,700.00",1,,,,,,,,,
,,2001 - 2002,"6,200.00","3,900.00",0.63,,,,,,,,,
,,2002 - 2003,"5,400.00","6,700.00",1.24,,,,,,,,,
,,2003 - 2004,"7,200.00","4,700.00",0.65,,,,,,,,,
,,2004 - 2005,"14,100.00","20,000.00",1.42,,,,,,,,,
,,2005 - 2006,"17,400.00","34,600.00",1.99,,,,,,,,,
,,2006 - 2007,"34,300.00","49,000.00",1.43,,,,,,,,,
,,2007 - 2008,"39,300.00","76,100.00",1.94,,,,,,,,,
,,2008 - 2009,"28,000.00","36,300.00",1.3,,,,,,,,,
,,2009 - 2010,"46,400.00","69,200.00",1.49,,,,,,,,,
,,2010 - 2011,"50,500.00","1,00,600.00",1.99,,,,,,,,,
,,2011 - 2012,"47,000.00","96,500.00",2.05,,,,,,,,,
,,2012 - 2013,"45,700.00","76,700.00",1.68,,,,,,,,,
,,2013 - 2014,"46,000.00","1,00,800.00",2.19,,,,,,,,,
,,2014 - 2015,"46,000.00","44,700.00",0.97,,,,,,,,,
,,2015 - 2016,"43,300.00","26,900.00",0.62,,,,,,,,,
,,2016 - 2017,"46,700.00","1,58,500.00",3.39,,,,,,,,,
,,2017 - 2018,"65,400.00","1,44,100.00",2.2,,,,,,,,,
,,2018 - 2019,"62,430.00","30,849.00",0.49,,,,,,,,,
,,2019 - 2020,"64,192.00","75,784.00",1.18,,,,,,,,,
,,2020 - 2021,"66,300.00","1,79,100.00",2.7,,,,,,,,,
,,2021 - 2022,"62,200.00","1,25,300.00",2.01,,,,,,,,,
,,2022 - 2023,"40,082.15","1,12,437.26",2.81,,,,,,,,,
,22. Parbhani,2000 - 2001,"2,02,400.00","90,500.00",0.45,,,,,,,,,
,,2001 - 2002,"2,03,400.00","1,79,700.00",0.88,,,,,,,,,
,,2002 - 2003,"1,93,500.00","1,94,900.00",1.01,,,,,,,,,
,,2003 - 2004,"1,84,700.00","2,26,800.00",1.23,,,,,,,,,
,,2004 - 2005,"1,98,000.00","1,72,700.00",0.87,,,,,,,,,
,,2005 - 2006,"1,85,000.00","2,21,600.00",1.2,,,,,,,,,
,,2006 - 2007,"1,94,700.00","2,98,800.00",1.53,,,,,,,,,
,,2007 - 2008,"1,98,100.00","5,44,500.00",2.75,,,,,,,,,
,,2008 - 2009,"2,04,400.00","3,61,000.00",1.77,,,,,,,,,
,,2009 - 2010,"2,17,700.00","3,43,800.00",1.58,,,,,,,,,
,,2010 - 2011,"2,32,400.00","4,04,800.00",1.74,,,,,,,,,
,,2011 - 2012,"2,40,500.00","4,13,400.00",1.72,,,,,,,,,
,,2012 - 2013,"2,73,600.00","5,48,000.00",2,,,,,,,,,
,,2013 - 2014,"2,65,900.00","5,59,000.00",2.1,,,,,,,,,
,,2014 - 2015,"2,73,500.00","2,04,800.00",0.75,,,,,,,,,
,,2015 - 2016,"2,72,200.00","1,07,700.00",0.4,,,,,,,,,
,,2016 - 2017,"1,67,630.00","7,68,376.00",4.58,,,,,,,,,
,,2017 - 2018,"1,85,129.00","3,67,600.00",1.99,,,,,,,,,
,,2018 - 2019,"1,99,869.00","3,27,347.00",1.64,,,,,,,,,
,,2019 - 2020,"2,14,404.00","2,97,153.00",1.39,,,,,,,,,
,,2020 - 2021,"2,14,400.00","3,90,700.00",1.82,,,,,,,,,
,,2021 - 2022,"2,19,000.00","3,96,400.00",1.81,,,,,,,,,
,,2022 - 2023,"1,82,292.98","5,33,158.21",2.92,,,,,,,,,
,23. Pune,2000 - 2001,700,"1,600.00",2.29,,,,,,,,,
,,2001 - 2002,200,400,2,,,,,,,,,
,,2002 - 2003,200,500,2.5,,,,,,,,,
,,2003 - 2004,100,300,3,,,,,,,,,
,,2004 - 2005,100,200,2,,,,,,,,,
,,2005 - 2006,100,300,3,,,,,,,,,
,,2006 - 2007,100,200,2,,,,,,,,,
,,2007 - 2008,100,200,2,,,,,,,,,
,,2008 - 2009,100,300,3,,,,,,,,,
,,2019 - 2020,14,478,34.14,,,,,,,,,
,,2020 - 2021,41,97,2.37,,,,,,,,,
,,2021 - 2022,30,149,4.97,,,,,,,,,
,,2022 - 2023,423.1,"1,017.00",2.4,,,,,,,,,
,24. Sangli,2000 - 2001,"3,600.00","6,500.00",1.81,,,,,,,,,
,,2001 - 2002,"3,100.00","3,000.00",0.97,,,,,,,,,
,,2002 - 2003,"3,000.00","3,300.00",1.1,,,,,,,,,
,,2003 - 2004,600,900,1.5,,,,,,,,,
,,2004 - 2005,"1,300.00",200,0.15,,,,,,,,,
,,2005 - 2006,"2,700.00","2,400.00",0.89,,,,,,,,,
,,2006 - 2007,"1,600.00","1,900.00",1.19,,,,,,,,,
,,2007 - 2008,"1,900.00","6,300.00",3.32,,,,,,,,,
,,2008 - 2009,"1,500.00","1,600.00",1.07,,,,,,,,,
,,2009 - 2010,"2,500.00","1,800.00",0.72,,,,,,,,,
,,2010 - 2011,"3,500.00","4,100.00",1.17,,,,,,,,,
,,2011 - 2012,"3,000.00","5,200.00",1.73,,,,,,,,,
,,2012 - 2013,"2,600.00","8,700.00",3.35,,,,,,,,,
,,2013 - 2014,"2,800.00","6,200.00",2.21,,,,,,,,,
,,2014 - 2015,"1,400.00","1,400.00",1,,,,,,,,,
,,2015 - 2016,"1,000.00",500,0.5,,,,,,,,,
,,2016 - 2017,600,"1,800.00",3,,,,,,,,,
,,2017 - 2018,254,200,0.79,,,,,,,,,
,,2018 - 2019,178,251,1.41,,,,,,,,,
,,2019 - 2020,95,179,1.88,,,,,,,,,
,,2020 - 2021,160,80,0.5,,,,,,,,,
,,2022 - 2023,125,278.79,2.23,,,,,,,,,
,25. Satara,2000 - 2001,"5,600.00","10,600.00",1.89,,,,,,,,,
,,2001 - 2002,"3,100.00","3,000.00",0.97,,,,,,,,,
,,2002 - 2003,"3,600.00","4,100.00",1.14,,,,,,,,,
,,2003 - 2004,600,900,1.5,,,,,,,,,
,,2004 - 2005,600,600,1,,,,,,,,,
,,2005 - 2006,"4,700.00","4,300.00",0.91,,,,,,,,,
,,2006 - 2007,"4,000.00","4,400.00",1.1,,,,,,,,,
,,2007 - 2008,"3,200.00","10,800.00",3.38,,,,,,,,,
,,2008 - 2009,"1,400.00","1,500.00",1.07,,,,,,,,,
,,2009 - 2010,"1,600.00","1,100.00",0.69,,,,,,,,,
,,2010 - 2011,"1,600.00","1,300.00",0.81,,,,,,,,,
,,2011 - 2012,"1,000.00","1,700.00",1.7,,,,,,,,,
,,2012 - 2013,100,300,3,,,,,,,,,
,,2013 - 2014,200,500,2.5,,,,,,,,,
,,2014 - 2015,100,100,1,,,,,,,,,
,,2015 - 2016,100,30,0.3,,,,,,,,,
,,2016 - 2017,100,200,2,,,,,,,,,
,,2017 - 2018,85,100,1.18,,,,,,,,,
,,2018 - 2019,21,37,1.76,,,,,,,,,
,,2019 - 2020,14,26,1.86,,,,,,,,,
,,2020 - 2021,9,5,0.56,,,,,,,,,
,,2021 - 2022,162,243,1.5,,,,,,,,,
,,2022 - 2023,503.36,"1,088.81",2.16,,,,,,,,,
,26. Solapur,2000 - 2001,"6,500.00","11,200.00",1.72,,,,,,,,,
,,2001 - 2002,"4,000.00","3,500.00",0.88,,,,,,,,,
,,2002 - 2003,"4,400.00","7,500.00",1.7,,,,,,,,,
,,2003 - 2004,"1,100.00","1,500.00",1.36,,,,,,,,,
,,2004 - 2005,"1,000.00","1,900.00",1.9,,,,,,,,,
,,2005 - 2006,800,"1,300.00",1.63,,,,,,,,,
,,2006 - 2007,900,"1,500.00",1.67,,,,,,,,,
,,2007 - 2008,"1,100.00","3,000.00",2.73,,,,,,,,,
,,2008 - 2009,100,200,2,,,,,,,,,
,,2009 - 2010,"1,400.00","2,400.00",1.71,,,,,,,,,
,,2010 - 2011,"1,800.00","5,200.00",2.89,,,,,,,,,
,,2011 - 2012,900,"2,400.00",2.67,,,,,,,,,
,,2012 - 2013,500,"1,700.00",3.4,,,,,,,,,
,,2013 - 2014,500,700,1.4,,,,,,,,,
,,2014 - 2015,600,"1,200.00",2,,,,,,,,,
,,2015 - 2016,900,700,0.78,,,,,,,,,
,,2016 - 2017,900,"1,370.00",1.52,,,,,,,,,
,,2017 - 2018,300,400,1.33,,,,,,,,,
,,2018 - 2019,163,88,0.54,,,,,,,,,
,,2019 - 2020,521,240,0.46,,,,,,,,,
,,2020 - 2021,400,900,2.25,,,,,,,,,
,,2021 - 2022,300,400,1.33,,,,,,,,,
,,2022 - 2023,413.96,667.8,1.61,,,,,,,,,
,27. Wardha,2000 - 2001,"1,40,400.00","1,59,400.00",1.14,,,,,,,,,
,,2001 - 2002,"1,50,000.00","1,36,200.00",0.91,,,,,,,,,
,,2002 - 2003,"1,36,200.00","1,29,300.00",0.95,,,,,,,,,
,,2003 - 2004,"1,11,300.00","1,49,900.00",1.35,,,,,,,,,
,,2004 - 2005,"99,800.00","1,28,800.00",1.29,,,,,,,,,
,,2005 - 2006,"80,100.00","87,700.00",1.09,,,,,,,,,
,,2006 - 2007,"83,900.00","1,11,900.00",1.33,,,,,,,,,
,,2007 - 2008,"80,700.00","1,55,100.00",1.92,,,,,,,,,
,,2008 - 2009,"68,500.00","83,800.00",1.22,,,,,,,,,
,,2009 - 2010,"1,45,400.00","1,98,900.00",1.37,,,,,,,,,
,,2010 - 2011,"1,90,600.00","2,63,000.00",1.38,,,,,,,,,
,,2011 - 2012,"1,78,400.00","3,36,700.00",1.89,,,,,,,,,
,,2012 - 2013,"1,72,400.00","3,24,900.00",1.88,,,,,,,,,
,,2013 - 2014,"1,76,900.00","2,54,500.00",1.44,,,,,,,,,
,,2014 - 2015,"2,07,700.00","1,84,600.00",0.89,,,,,,,,,
,,2015 - 2016,"2,23,400.00","3,20,900.00",1.44,,,,,,,,,
,,2016 - 2017,"2,40,500.00","7,18,900.00",2.99,,,,,,,,,
,,2017 - 2018,"2,51,062.00","6,28,500.00",2.5,,,,,,,,,
,,2018 - 2019,"2,43,002.00","6,55,247.00",2.7,,,,,,,,,
,,2019 - 2020,"2,50,759.00","6,89,607.00",2.75,,,,,,,,,
,,2020 - 2021,"2,43,500.00","5,94,900.00",2.44,,,,,,,,,
,,2021 - 2022,"2,53,100.00","7,52,100.00",2.97,,,,,,,,,
,,2022 - 2023,"2,54,370.99","6,25,617.97",2.46,,,,,,,,,
,28. Washim,2000 - 2001,"1,05,700.00","53,500.00",0.51,,,,,,,,,
,,2001 - 2002,"98,200.00","88,400.00",0.9,,,,,,,,,
,,2002 - 2003,"86,000.00","72,600.00",0.84,,,,,,,,,
,,2003 - 2004,"75,200.00","62,500.00",0.83,,,,,,,,,
,,2004 - 2005,"67,800.00","48,600.00",0.72,,,,,,,,,
,,2005 - 2006,"66,800.00","69,700.00",1.04,,,,,,,,,
,,2006 - 2007,"62,200.00","62,900.00",1.01,,,,,,,,,
,,2007 - 2008,"60,300.00","1,49,200.00",2.47,,,,,,,,,
,,2008 - 2009,"52,400.00","45,200.00",0.86,,,,,,,,,
,,2009 - 2010,"45,000.00","60,900.00",1.35,,,,,,,,,
,,2010 - 2011,"62,000.00","1,28,700.00",2.08,,,,,,,,,
,,2011 - 2012,"64,000.00","1,03,900.00",1.62,,,,,,,,,
,,2012 - 2013,"56,700.00","88,000.00",1.55,,,,,,,,,
,,2013 - 2014,"34,500.00","37,300.00",1.08,,,,,,,,,
,,2014 - 2015,"20,200.00","16,800.00",0.83,,,,,,,,,
,,2015 - 2016,"18,700.00","19,600.00",1.05,,,,,,,,,
,,2016 - 2017,"18,400.00","37,500.00",2.04,,,,,,,,,
,,2017 - 2018,"19,252.00","17,700.00",0.92,,,,,,,,,
,,2018 - 2019,"19,679.00","35,638.00",1.81,,,,,,,,,
,,2019 - 2020,"21,440.00","36,081.00",1.68,,,,,,,,,
,,2020 - 2021,"21,800.00","81,800.00",3.75,,,,,,,,,
,,2021 - 2022,"18,200.00","60,400.00",3.32,,,,,,,,,
,,2022 - 2023,"19,518.47","41,327.47",2.12,,,,,,,,,
,29. Yavatmal,2000 - 2001,"4,47,700.00","2,38,200.00",0.53,,,,,,,,,
,,2001 - 2002,"4,37,000.00","3,05,600.00",0.7,,,,,,,,,
,,2002 - 2003,"4,03,300.00","3,13,600.00",0.78,,,,,,,,,
,,2003 - 2004,"3,76,000.00","3,82,300.00",1.02,,,,,,,,,
,,2004 - 2005,"3,32,800.00","2,86,300.00",0.86,,,,,,,,,
,,2005 - 2006,"3,24,000.00","2,81,500.00",0.87,,,,,,,,,
,,2006 - 2007,"4,13,500.00","4,92,200.00",1.19,,,,,,,,,
,,2007 - 2008,"4,16,500.00","10,08,600.00",2.42,,,,,,,,,
,,2008 - 2009,"3,79,400.00","7,11,800.00",1.88,,,,,,,,,
,,2009 - 2010,"3,92,100.00","5,06,600.00",1.29,,,,,,,,,
,,2010 - 2011,"4,79,800.00","7,75,900.00",1.62,,,,,,,,,
,,2011 - 2012,"4,81,100.00","7,13,500.00",1.48,,,,,,,,,
,,2012 - 2013,"4,67,600.00","9,81,400.00",2.1,,,,,,,,,
,,2013 - 2014,"4,16,300.00","7,00,400.00",1.68,,,,,,,,,
,,2014 - 2015,"4,21,000.00","2,87,400.00",0.68,,,,,,,,,
,,2015 - 2016,"4,32,900.00","4,83,400.00",1.12,,,,,,,,,
,,2016 - 2017,"4,20,700.00","10,97,900.00",2.61,,,,,,,,,
,,2017 - 2018,"4,70,300.00","4,77,500.00",1.02,,,,,,,,,
,,2018 - 2019,"4,59,532.00","8,44,084.00",1.84,,,,,,,,,
,,2019 - 2020,"4,73,396.00","5,52,718.00",1.17,,,,,,,,,
,,2020 - 2021,"4,73,400.00","7,62,000.00",1.61,,,,,,,,,
,,2021 - 2022,"4,73,400.00","7,20,800.00",1.52,,,,,,,,,
,,2022 - 2023,"4,67,608.19","5,69,835.59",1.22,,,,,,,,,
12. Manipur,1. Churachandpur,2000 - 2001,60,20,0.33,,,,,,,,,
,,2001 - 2002,90,30,0.33,,,,,,,,,
,,2006 - 2007,210,70,0.33,,,,,,,,,
,,2007 - 2008,210,70,0.33,,,,,,,,,
13. Meghalaya,1. East garo hills,2000 - 2001,"2,734.00","3,506.00",1.28,,,,,,,,,
,,2001 - 2002,"2,730.00","3,533.00",1.29,,,,,,,,,
,,2002 - 2003,"2,722.00","3,522.00",1.29,,,,,,,,,
,,2003 - 2004,"2,705.00","3,501.00",1.29,,,,,,,,,
,,2004 - 2005,"2,674.00","3,460.00",1.29,,,,,,,,,
,,2005 - 2006,"2,660.00","3,471.00",1.3,,,,,,,,,
,,2006 - 2007,,,,"2,640.00","3,440.00",1.3,,,,,,
,,2007 - 2008,"2,618.00","2,233.00",0.85,,,,,,,,,
,,2008 - 2009,"2,539.00","1,867.00",0.74,,,,,,,,,
,,2009 - 2010,"2,540.00","1,868.00",0.74,,,,,,,,,
,,2010 - 2011,"2,506.00","1,740.00",0.69,,,,,,,,,
,,2011 - 2012,"2,516.00","1,776.00",0.71,,,,,,,,,
,,2012 - 2013,"2,655.00","2,328.00",0.88,,,,,,,,,
,,2013 - 2014,"1,801.00","1,653.00",0.92,,,,,,,,,
,,2014 - 2015,"1,809.00","1,741.00",0.96,,,,,,,,,
,,2015 - 2016,"1,805.00","1,726.00",0.96,,,,,,,,,
,,2016 - 2017,"1,795.00","1,689.00",0.94,,,,,,,,,
,,2017 - 2018,"1,795.00","1,711.00",0.95,,,,,,,,,
,,2018 - 2019,"1,796.00","1,722.00",0.96,,,,,,,,,
,,2019 - 2020,"1,793.00","1,688.00",0.94,,,,,,,,,
,,2020 - 2021,"1,792.00","1,680.00",0.94,,,,,,,,,
,,2021 - 2022,"1,791.00","1,672.00",0.93,,,,,,,,,
,,2022 - 2023,753,704,0.93,,,,,,,,,
,2. North garo hills,2013 - 2014,863,743,0.86,,,,,,,,,
,,2014 - 2015,866,773,0.89,,,,,,,,,
,,2015 - 2016,864,758,0.88,,,,,,,,,
,,2016 - 2017,860,769,0.89,,,,,,,,,
,,2017 - 2018,860,779,0.91,,,,,,,,,
,,2018 - 2019,861,785,0.91,,,,,,,,,
,,2019 - 2020,858,762,0.89,,,,,,,,,
,,2020 - 2021,857,758,0.88,,,,,,,,,
,,2021 - 2022,856,754,0.88,,,,,,,,,
,,2022 - 2023,539,301,0.56,,,,,,,,,
,3. South garo hills,2000 - 2001,240,220,0.92,,,,,,,,,
,,2001 - 2002,220,201,0.91,,,,,,,,,
,,2002 - 2003,215,196,0.91,,,,,,,,,
,,2003 - 2004,208,183,0.88,,,,,,,,,
,,2004 - 2005,195,176,0.9,,,,,,,,,
,,2005 - 2006,193,174,0.9,,,,,,,,,
,,2006 - 2007,,,,189,172,0.91,,,,,,
,,2007 - 2008,189,170,0.9,,,,,,,,,
,,2008 - 2009,185,169,0.91,,,,,,,,,
,,2009 - 2010,187,167,0.89,,,,,,,,,
,,2010 - 2011,185,165,0.89,,,,,,,,,
,,2011 - 2012,190,179,0.94,,,,,,,,,
,,2012 - 2013,201,238,1.18,,,,,,,,,
,,2013 - 2014,202,245,1.21,,,,,,,,,
,,2014 - 2015,203,258,1.27,,,,,,,,,
,,2015 - 2016,203,256,1.26,,,,,,,,,
,,2016 - 2017,196,242,1.23,,,,,,,,,
,,2017 - 2018,196,244,1.24,,,,,,,,,
,,2018 - 2019,197,247,1.25,,,,,,,,,
,,2019 - 2020,194,242,1.25,,,,,,,,,
,,2020 - 2021,193,240,1.24,,,,,,,,,
,,2021 - 2022,192,238,1.24,,,,,,,,,
,,2022 - 2023,15,10,0.67,,,,,,,,,
,4. South west garo hills,2013 - 2014,441,565,1.28,,,,,,,,,
,,2014 - 2015,448,625,1.4,,,,,,,,,
,,2015 - 2016,447,619,1.38,,,,,,,,,
,,2016 - 2017,438,595,1.36,,,,,,,,,
,,2017 - 2018,438,598,1.37,,,,,,,,,
,,2018 - 2019,439,602,1.37,,,,,,,,,
,,2019 - 2020,436,585,1.34,,,,,,,,,
,,2020 - 2021,435,581,1.34,,,,,,,,,
,,2021 - 2022,434,577,1.33,,,,,,,,,
,,2022 - 2023,142,108,0.76,,,,,,,,,
,5. West garo hills,2000 - 2001,"4,366.00","3,958.00",0.91,,,,,,,,,
,,2001 - 2002,"4,373.00","4,139.00",0.95,,,,,,,,,
,,2002 - 2003,"4,373.00","4,111.00",0.94,,,,,,,,,
,,2003 - 2004,"4,368.00","4,108.00",0.94,,,,,,,,,
,,2004 - 2005,"4,362.00","4,129.00",0.95,,,,,,,,,
,,2005 - 2006,"4,378.00","4,123.00",0.94,,,,,,,,,
,,2006 - 2007,,,,"4,379.00","4,126.00",0.94,,,,,,
,,2007 - 2008,"4,379.00","4,128.00",0.94,,,,,,,,,
,,2008 - 2009,"4,382.00","3,581.00",0.82,,,,,,,,,
,,2009 - 2010,"4,164.00","3,456.00",0.83,,,,,,,,,
,,2010 - 2011,"4,125.00","3,666.00",0.89,,,,,,,,,
,,2011 - 2012,"4,165.00","4,434.00",1.06,,,,,,,,,
,,2012 - 2013,"4,394.00","5,793.00",1.32,,,,,,,,,
,,2013 - 2014,"3,968.00","5,396.00",1.36,,,,,,,,,
,,2014 - 2015,"3,979.00","5,627.00",1.41,,,,,,,,,
,,2015 - 2016,"3,976.00","5,569.00",1.4,,,,,,,,,
,,2016 - 2017,"3,966.00","5,412.00",1.36,,,,,,,,,
,,2017 - 2018,"3,966.00","5,459.00",1.38,,,,,,,,,
,,2018 - 2019,"3,967.00","5,484.00",1.38,,,,,,,,,
,,2019 - 2020,"3,964.00","5,420.00",1.37,,,,,,,,,
,,2020 - 2021,"3,963.00","5,395.00",1.36,,,,,,,,,
,,2021 - 2022,"3,962.00","5,370.00",1.36,,,,,,,,,
,,2022 - 2023,693,689,0.99,,,,,,,,,
14. Mizoram,1. Aizawl,2000 - 2001,337,871,2.58,,,,,,,,,
,,2001 - 2002,450,843,1.87,,,,,,,,,
,,2002 - 2003,224,641,2.86,,,,,,,,,
,,2003 - 2004,50,141,2.82,,,,,,,,,
,,2004 - 2005,68,323,4.75,,,,,,,,,
,,2005 - 2006,74,40,0.54,,,,,,,,,
,,2006 - 2007,64,26,0.41,,,,,,,,,
,,2007 - 2008,47,4,0.09,,,,,,,,,
,,2008 - 2009,36,5,0.14,,,,,,,,,
,,2009 - 2010,23,13,0.57,,,,,,,,,
,,2010 - 2011,7,2,0.29,,,,,,,,,
,,2015 - 2016,17,7,0.41,,,,,,,,,
,2. Champhai,2000 - 2001,4,12,3,,,,,,,,,
,,2001 - 2002,18,72,4,,,,,,,,,
,,2002 - 2003,9,18,2,,,,,,,,,
,,2003 - 2004,70,471,6.73,,,,,,,,,
,,2004 - 2005,47,276,5.87,,,,,,,,,
,,2005 - 2006,56,31,0.55,,,,,,,,,
,,2006 - 2007,59,40,0.68,,,,,,,,,
,,2008 - 2009,47,47,1,,,,,,,,,
,,2009 - 2010,58,47,0.81,,,,,,,,,
