state,district,year,sunflower_summer_yield_tonne_per_hectare
,,2016 - 2017,1.22
,,2019 - 2020,1.33
,,2020 - 2021,1.37
,,2021 - 2022,1.33
,Jalaun,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,2.0
,,2008 - 2009,2.0
,,2009 - 2010,2.0
,,2014 - 2015,1.5
,Jaunpur,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,2.0
,,2006 - 2007,1.5
,,2007 - 2008,2.0
,,2008 - 2009,1.82
,,2009 - 2010,2.21
,,2010 - 2011,2.17
,,2011 - 2012,1.78
,,2013 - 2014,1.61
,,2014 - 2015,1.69
,,2015 - 2016,1.59
,,2016 - 2017,1.17
,,2017 - 2018,1.4
,,2018 - 2019,1.43
,,2019 - 2020,1.38
,,2020 - 2021,1.4
,,2021 - 2022,1.33
,,2022 - 2023,1.0
,Jhansi,2004 - 2005,1.92
,,2009 - 2010,2.22
,,2010 - 2011,2.14
,,2013 - 2014,1.6
,,2014 - 2015,1.71
,,2015 - 2016,1.61
,,2016 - 2017,1.17
,,2019 - 2020,1.38
,Kannauj,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,2.05
,,2005 - 2006,1.22
,,2006 - 2007,1.36
,,2007 - 2008,1.2
,,2008 - 2009,1.31
,,2009 - 2010,1.45
,,2010 - 2011,1.37
,,2011 - 2012,1.71
,,2013 - 2014,1.6
,,2014 - 2015,1.62
,,2015 - 2016,1.61
,,2016 - 2017,1.18
,,2017 - 2018,1.44
,,2019 - 2020,1.38
,,2020 - 2021,1.37
,,2021 - 2022,1.34
,,2022 - 2023,1.38
,Kanpur dehat,2003 - 2004,
,,2004 - 2005,1.97
,,2005 - 2006,1.39
,,2006 - 2007,1.36
,,2007 - 2008,1.17
,,2008 - 2009,1.83
,,2009 - 2010,2.24
,,2011 - 2012,1.72
,,2012 - 2013,0.78
,,2013 - 2014,1.61
,,2015 - 2016,1.61
,,2016 - 2017,1.18
,,2017 - 2018,1.45
,,2020 - 2021,1.39
,,2021 - 2022,1.36
,Kanpur nagar,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.95
,,2005 - 2006,1.33
,,2006 - 2007,2.1
,,2007 - 2008,0.53
,,2008 - 2009,3.73
,,2009 - 2010,1.76
,,2010 - 2011,1.76
,,2011 - 2012,1.71
,,2012 - 2013,0.78
,,2013 - 2014,1.6
,,2014 - 2015,1.61
,,2015 - 2016,1.61
,,2016 - 2017,1.17
,,2018 - 2019,1.37
,,2020 - 2021,1.37
,,2021 - 2022,1.34
,Kasganj,2009 - 2010,2.2
,,2010 - 2011,1.53
,,2011 - 2012,1.71
,,2012 - 2013,0.8
,,2013 - 2014,1.5
,,2014 - 2015,1.0
,,2017 - 2018,1.43
,,2019 - 2020,1.33
,,2021 - 2022,1.29
,,2022 - 2023,1.35
,Kaushambi,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,2.0
,,2005 - 2006,1.5
,,2006 - 2007,1.0
,,2007 - 2008,1.5
,,2008 - 2009,1.8
,,2009 - 2010,2.25
,,2010 - 2011,2.25
,,2011 - 2012,1.75
,,2012 - 2013,0.86
,,2015 - 2016,2.0
,,2016 - 2017,1.2
,,2018 - 2019,1.33
,,2021 - 2022,1.4
,Kheri,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,1.96
,,2005 - 2006,1.25
,,2006 - 2007,1.5
,,2008 - 2009,2.0
,,2012 - 2013,1.0
,,2014 - 2015,2.09
,,2015 - 2016,1.5
,,2022 - 2023,1.36
,Kushi nagar,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,1.6
,,2010 - 2011,2.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,2.0
,,2016 - 2017,1.0
,,2019 - 2020,1.5
,Lalitpur,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,2.0
,,2005 - 2006,1.33
,,2013 - 2014,1.6
,,2014 - 2015,1.8
,,2015 - 2016,1.61
,,2016 - 2017,1.18
,,2017 - 2018,1.33
,,2019 - 2020,1.38
,,2020 - 2021,1.33
,,2021 - 2022,1.33
,Lucknow,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.96
,,2005 - 2006,1.0
,,2006 - 2007,2.0
,,2015 - 2016,2.0
,Maharajganj,2001 - 2002,
,,2002 - 2003,
,,2007 - 2008,2.0
,,2008 - 2009,2.0
,,2009 - 2010,2.2
,,2010 - 2011,2.0
,,2011 - 2012,1.71
,,2012 - 2013,0.75
,,2013 - 2014,1.58
,,2014 - 2015,1.69
,,2015 - 2016,1.6
,,2016 - 2017,1.18
,,2019 - 2020,1.36
,Mahoba,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.97
,,2005 - 2006,1.26
,,2015 - 2016,1.6
,,2016 - 2017,1.22
,,2019 - 2020,1.4
,Mainpuri,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.96
,,2005 - 2006,1.21
,,2006 - 2007,1.49
,,2007 - 2008,2.82
,,2008 - 2009,1.77
,,2009 - 2010,2.2
,,2010 - 2011,2.12
,,2011 - 2012,1.71
,,2012 - 2013,0.78
,,2013 - 2014,1.64
,,2014 - 2015,1.71
,,2015 - 2016,1.61
,,2016 - 2017,1.17
,,2017 - 2018,1.42
,,2018 - 2019,1.36
,,2019 - 2020,1.43
,,2020 - 2021,1.33
,,2021 - 2022,1.36
,,2022 - 2023,1.37
,Mathura,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,2.0
,,2005 - 2006,1.33
,,2006 - 2007,1.43
,Mau,2002 - 2003,
,,2009 - 2010,2.17
,,2010 - 2011,2.13
,,2011 - 2012,1.73
,,2012 - 2013,0.79
,,2013 - 2014,1.57
,,2014 - 2015,1.74
,,2015 - 2016,1.58
,,2016 - 2017,1.2
,,2017 - 2018,1.43
,,2018 - 2019,1.36
,,2019 - 2020,1.36
,,2020 - 2021,1.37
,,2021 - 2022,1.36
,Meerut,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,2.0
,,2007 - 2008,1.5
,,2022 - 2023,1.5
,Mirzapur,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,2.0
,,2005 - 2006,1.33
,,2006 - 2007,1.67
,,2015 - 2016,1.61
,,2016 - 2017,1.0
,,2019 - 2020,1.0
,Moradabad,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.8
,,2005 - 2006,1.43
,,2006 - 2007,1.6
,,2007 - 2008,2.75
,,2008 - 2009,2.0
,,2020 - 2021,1.39
,Muzaffarnagar,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.95
,,2005 - 2006,1.5
,,2006 - 2007,1.47
,,2009 - 2010,2.0
,Pilibhit,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.96
,,2005 - 2006,1.2
,,2006 - 2007,1.57
,,2007 - 2008,3.0
,,2008 - 2009,1.89
,,2009 - 2010,2.0
,,2010 - 2011,2.17
,,2011 - 2012,1.8
,,2012 - 2013,0.8
,,2013 - 2014,1.6
,,2014 - 2015,1.71
,,2015 - 2016,1.67
,,2016 - 2017,1.17
,,2018 - 2019,1.33
,,2020 - 2021,1.44
,,2021 - 2022,1.36
,Pratapgarh,2001 - 2002,
,Rae bareli,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,2.0
,,2005 - 2006,1.2
,,2006 - 2007,1.5
,,2007 - 2008,2.82
,,2008 - 2009,2.0
,,2009 - 2010,2.31
,,2010 - 2011,2.0
,,2011 - 2012,1.73
,,2012 - 2013,0.79
,,2014 - 2015,2.0
,,2016 - 2017,1.0
,,2019 - 2020,1.5
,,2021 - 2022,1.0
,,2022 - 2023,1.25
,Rampur,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.8
,,2005 - 2006,1.46
,,2006 - 2007,1.66
,,2007 - 2008,2.82
,,2008 - 2009,1.97
,,2009 - 2010,1.48
,,2010 - 2011,1.33
,,2011 - 2012,1.67
,,2012 - 2013,1.33
,,2013 - 2014,1.43
,,2014 - 2015,0.75
,,2015 - 2016,1.38
,,2016 - 2017,1.38
,,2017 - 2018,1.29
,,2018 - 2019,1.4
,,2019 - 2020,1.4
,,2020 - 2021,1.36
,,2021 - 2022,1.33
,Saharanpur,2003 - 2004,
,,2005 - 2006,1.2
,Sambhal,2013 - 2014,1.42
,,2016 - 2017,1.38
,,2022 - 2023,1.38
,Sant kabeer nagar,2001 - 2002,
,,2007 - 2008,1.57
,,2008 - 2009,1.91
,,2015 - 2016,1.0
,Sant ravidas nagar,2006 - 2007,1.33
,,2008 - 2009,1.89
,,2010 - 2011,2.17
,,2011 - 2012,1.69
,,2013 - 2014,1.6
,,2016 - 2017,1.17
,,2018 - 2019,1.33
,,2021 - 2022,1.33
,Shahjahanpur,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,2.0
,,2005 - 2006,1.21
,,2006 - 2007,1.5
,,2007 - 2008,2.82
,,2008 - 2009,2.0
,,2009 - 2010,2.0
,,2010 - 2011,2.0
,,2011 - 2012,1.67
,,2013 - 2014,1.6
,,2015 - 2016,1.67
,,2018 - 2019,1.36
,,2020 - 2021,1.33
,,2021 - 2022,1.25
,Shamli,2015 - 2016,2.0
,Shravasti,2001 - 2002,
,,2003 - 2004,
,Siddharth nagar,2001 - 2002,
,,2002 - 2003,
,,2022 - 2023,1.0
,Sitapur,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.97
,,2005 - 2006,1.0
,,2006 - 2007,1.52
,,2009 - 2010,2.25
,,2014 - 2015,2.0
,,2016 - 2017,1.0
,,2019 - 2020,1.0
,,2021 - 2022,1.0
,Sonbhadra,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2010 - 2011,2.0
,Sultanpur,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.96
,,2005 - 2006,1.28
,,2006 - 2007,1.56
,,2007 - 2008,1.63
,,2008 - 2009,1.86
,,2009 - 2010,2.21
,,2010 - 2011,2.12
,,2011 - 2012,1.71
,,2012 - 2013,0.79
,,2013 - 2014,1.62
,,2014 - 2015,1.67
,,2015 - 2016,1.75
,,2016 - 2017,1.17
,,2017 - 2018,1.44
,,2018 - 2019,1.38
,,2019 - 2020,1.38
,,2020 - 2021,1.39
,,2021 - 2022,1.35
,,2022 - 2023,1.43
,Unnao,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.96
,,2005 - 2006,1.21
,,2006 - 2007,1.52
,,2007 - 2008,2.82
,,2008 - 2009,1.99
,,2009 - 2010,2.29
,,2010 - 2011,2.11
,,2011 - 2012,1.72
,,2012 - 2013,0.77
,,2013 - 2014,1.6
,,2014 - 2015,2.09
,,2015 - 2016,1.63
,,2016 - 2017,1.18
,,2018 - 2019,1.36
,,2019 - 2020,1.38
,,2020 - 2021,1.37
,,2021 - 2022,1.34
,,2022 - 2023,1.37
,Varanasi,2001 - 2002,
,,2003 - 2004,
,,2005 - 2006,1.26
,,2008 - 2009,2.0
,,2009 - 2010,2.0
Uttarakhand,Almora,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2013 - 2014,
,Bageshwar,2002 - 2003,
,Chamoli,2003 - 2004,
,Dehradun,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,Haridwar,2001 - 2002,
,,2003 - 2004,
,,2005 - 2006,
,,2011 - 2012,
,,2018 - 2019,1.0
,Nainital,2006 - 2007,
,,2011 - 2012,
,,2013 - 2014,
,,2015 - 2016,
,,2020 - 2021,
,Pauri garhwal,2002 - 2003,
,,2004 - 2005,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2019 - 2020,
,,2021 - 2022,
,Pithoragarh,2000 - 2001,
,,2016 - 2017,
,Tehri garhwal,2019 - 2020,
,Udam singh nagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,1.0
,,2020 - 2021,0.67
,,2021 - 2022,0.67
,,2022 - 2023,0.67
,Uttar kashi,2004 - 2005,
,,2005 - 2006,
,,2011 - 2012,
,,2014 - 2015,
,,2015 - 2016,
,,2019 - 2020,
West Bengal,paraganas north,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,paraganas south,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Alipurduar,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Bankura,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Birbhum,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Coochbehar,2003 - 2004,
,,2004 - 2005,
,,2009 - 2010,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Darjeeling,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,Dinajpur dakshin,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,Dinajpur uttar,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hooghly,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Howrah,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jalpaiguri,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jhargram,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kalimpong,2017 - 2018,
,Maldah,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,Medinipur east,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Medinipur west,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Murshidabad,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,Nadia,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Paschim bardhaman,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Purba bardhaman,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Purulia,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
