state,district,year,onion_whole_year_yield_tonne_per_hectare
,Giridih,2003 - 2004,14.27
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,Godda,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,Gumla,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,Hazaribagh,2003 - 2004,7.6
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,Jamtara,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,Khunti,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,Koderma,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,Latehar,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,Lohardaga,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,Pakur,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,Palamu,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,Ramgarh,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,Ranchi,2003 - 2004,6.44
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,Sahebganj,2006 - 2007,
,,2008 - 2009,
,,2010 - 2011,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,Saraikela kharsawan,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,Simdega,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,West singhbhum,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2020 - 2021,
Karnataka,Bagalkot,2000 - 2001,8.78
,,2001 - 2002,10.29
,,2002 - 2003,9.19
,,2003 - 2004,6.53
,,2004 - 2005,9.37
,,2005 - 2006,
,,2006 - 2007,7.13
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bangalore rural,2000 - 2001,5.76
,,2001 - 2002,9.26
,,2002 - 2003,4.0
,,2003 - 2004,2.58
,,2004 - 2005,6.65
,,2005 - 2006,
,,2006 - 2007,5.86
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Belgaum,2000 - 2001,3.17
,,2001 - 2002,7.03
,,2002 - 2003,2.46
,,2003 - 2004,2.3
,,2004 - 2005,4.4
,,2005 - 2006,
,,2006 - 2007,7.83
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bellary,2000 - 2001,7.2
,,2001 - 2002,11.99
,,2002 - 2003,16.19
,,2003 - 2004,11.32
,,2004 - 2005,10.22
,,2005 - 2006,
,,2006 - 2007,6.5
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bengaluru urban,2000 - 2001,5.88
,,2001 - 2002,7.28
,,2002 - 2003,7.44
,,2003 - 2004,5.51
,,2004 - 2005,8.27
,,2005 - 2006,
,,2006 - 2007,5.56
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bidar,2000 - 2001,5.8
,,2001 - 2002,12.26
,,2002 - 2003,11.84
,,2003 - 2004,9.21
,,2004 - 2005,8.7
,,2005 - 2006,
,,2006 - 2007,6.17
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bijapur,2000 - 2001,5.63
,,2001 - 2002,12.27
,,2002 - 2003,11.24
,,2003 - 2004,5.92
,,2004 - 2005,9.59
,,2005 - 2006,
,,2006 - 2007,5.74
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chamarajanagar,2000 - 2001,10.09
,,2001 - 2002,8.67
,,2002 - 2003,7.47
,,2003 - 2004,10.32
,,2004 - 2005,11.38
,,2005 - 2006,
,,2006 - 2007,8.96
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chikballapur,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chikmagalur,2000 - 2001,7.91
,,2001 - 2002,4.98
,,2002 - 2003,6.92
,,2003 - 2004,4.18
,,2004 - 2005,6.76
,,2005 - 2006,
,,2006 - 2007,6.3
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chitradurga,2000 - 2001,9.01
,,2001 - 2002,6.11
,,2002 - 2003,7.14
,,2003 - 2004,6.29
,,2004 - 2005,7.66
,,2005 - 2006,
,,2006 - 2007,7.26
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Davangere,2000 - 2001,6.38
,,2001 - 2002,7.6
,,2002 - 2003,5.8
,,2003 - 2004,11.11
,,2004 - 2005,11.49
,,2005 - 2006,
,,2006 - 2007,8.71
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dharwad,2000 - 2001,2.82
,,2001 - 2002,2.65
,,2002 - 2003,2.25
,,2003 - 2004,0.24
,,2004 - 2005,3.01
,,2005 - 2006,
,,2006 - 2007,4.25
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gadag,2000 - 2001,5.59
,,2001 - 2002,3.76
,,2002 - 2003,2.04
,,2003 - 2004,2.07
,,2004 - 2005,6.25
,,2005 - 2006,
,,2006 - 2007,5.28
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gulbarga,2000 - 2001,5.65
,,2001 - 2002,7.44
,,2002 - 2003,8.11
,,2003 - 2004,13.12
,,2004 - 2005,8.78
,,2005 - 2006,
,,2006 - 2007,8.36
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hassan,2000 - 2001,5.46
,,2001 - 2002,6.79
,,2002 - 2003,5.49
,,2003 - 2004,2.89
,,2004 - 2005,5.83
,,2005 - 2006,
,,2006 - 2007,5.57
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Haveri,2000 - 2001,2.55
,,2001 - 2002,3.11
,,2002 - 2003,1.35
,,2003 - 2004,3.11
,,2004 - 2005,5.16
,,2005 - 2006,
,,2006 - 2007,2.73
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kolar,2000 - 2001,7.3
,,2001 - 2002,10.2
,,2002 - 2003,5.69
,,2003 - 2004,4.9
,,2004 - 2005,11.86
,,2005 - 2006,
,,2006 - 2007,6.3
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Koppal,2000 - 2001,6.1
,,2001 - 2002,8.72
,,2002 - 2003,7.09
,,2003 - 2004,7.29
,,2004 - 2005,8.06
,,2005 - 2006,
,,2006 - 2007,6.33
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mandya,2000 - 2001,6.16
,,2001 - 2002,7.85
,,2002 - 2003,7.81
,,2003 - 2004,8.65
,,2004 - 2005,7.82
,,2005 - 2006,
,,2006 - 2007,6.21
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mysore,2000 - 2001,5.33
,,2001 - 2002,4.2
,,2002 - 2003,3.4
,,2003 - 2004,2.6
,,2004 - 2005,5.8
,,2005 - 2006,
,,2006 - 2007,5.6
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Raichur,2000 - 2001,5.72
,,2001 - 2002,6.93
,,2002 - 2003,6.41
,,2003 - 2004,3.35
,,2004 - 2005,8.72
,,2005 - 2006,
,,2006 - 2007,10.78
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ramanagara,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Shimoga,2000 - 2001,5.1
,,2001 - 2002,4.3
,,2002 - 2003,3.38
,,2003 - 2004,3.58
,,2004 - 2005,6.3
,,2005 - 2006,
,,2006 - 2007,5.58
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Tumkur,2000 - 2001,5.28
,,2001 - 2002,5.34
,,2002 - 2003,6.91
,,2003 - 2004,4.38
,,2004 - 2005,6.59
,,2005 - 2006,
,,2006 - 2007,5.68
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Udupi,2000 - 2001,5.86
,,2001 - 2002,14.33
,,2002 - 2003,13.2
,,2003 - 2004,10.5
,,2004 - 2005,9.0
,,2005 - 2006,
,,2006 - 2007,6.0
,,2021 - 2022,
,Uttar kannad,2000 - 2001,5.88
,,2001 - 2002,14.41
,,2002 - 2003,13.27
,,2003 - 2004,10.44
,,2004 - 2005,9.05
,,2005 - 2006,
,,2006 - 2007,6.18
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vijayanagar,2022 - 2023,
,Yadgir,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Kerala,Idukki,2013 - 2014,0.0
,,2014 - 2015,0.0
,,2018 - 2019,0.0
,Palakkad,2012 - 2013,0.0
,,2013 - 2014,0.0
,,2014 - 2015,0.0
,,2015 - 2016,0.0
,,2016 - 2017,0.0
,,2017 - 2018,0.0
,,2018 - 2019,0.0
,Thiruvananthapuram,2018 - 2019,0.0
,Wayanad,2018 - 2019,0.0
Ladakh,Kargil,2022 - 2023,
,Leh ladakh,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Madhya Pradesh,Agar malwa,2013 - 2014,12.86
,,2015 - 2016,31.18
,,2016 - 2017,30.0
,,2017 - 2018,30.5
,,2018 - 2019,30.5
,,2019 - 2020,30.5
,Alirajpur,2008 - 2009,9.9
,,2009 - 2010,10.59
,,2010 - 2011,12.48
,,2011 - 2012,12.43
,,2012 - 2013,13.73
,,2013 - 2014,8.23
,,2015 - 2016,25.0
,,2016 - 2017,25.0
,,2017 - 2018,25.09
,,2018 - 2019,25.1
,,2019 - 2020,25.12
,Anuppur,2003 - 2004,9.07
,,2004 - 2005,12.55
,,2005 - 2006,10.59
,,2006 - 2007,6.42
,,2007 - 2008,9.11
,,2008 - 2009,9.03
,,2009 - 2010,8.87
,,2010 - 2011,9.99
,,2011 - 2012,9.13
,,2012 - 2013,12.41
,,2013 - 2014,10.46
,,2015 - 2016,16.0
,,2016 - 2017,20.7
,,2017 - 2018,21.8
,,2018 - 2019,23.0
,,2019 - 2020,23.48
,Ashoknagar,2003 - 2004,11.31
,,2004 - 2005,13.57
,,2005 - 2006,14.55
,,2006 - 2007,14.44
,,2007 - 2008,10.7
,,2008 - 2009,13.02
,,2009 - 2010,12.57
,,2010 - 2011,20.75
,,2011 - 2012,18.07
,,2012 - 2013,17.95
,,2013 - 2014,19.26
,,2015 - 2016,22.0
,,2016 - 2017,22.0
,,2017 - 2018,22.0
,,2018 - 2019,22.01
,,2019 - 2020,22.01
,Balaghat,2000 - 2001,21.77
,,2001 - 2002,21.79
,,2002 - 2003,20.93
,,2003 - 2004,19.59
,,2004 - 2005,22.81
,,2005 - 2006,22.67
,,2006 - 2007,22.81
,,2007 - 2008,19.73
,,2008 - 2009,20.03
,,2009 - 2010,20.75
,,2010 - 2011,24.03
,,2011 - 2012,27.5
,,2012 - 2013,27.31
,,2013 - 2014,25.12
,,2015 - 2016,14.91
,,2016 - 2017,23.0
,,2017 - 2018,21.58
,,2018 - 2019,21.63
,,2019 - 2020,21.63
,Barwani,2000 - 2001,7.96
,,2001 - 2002,8.41
,,2002 - 2003,8.79
,,2003 - 2004,7.3
,,2004 - 2005,8.5
,,2005 - 2006,6.6
,,2006 - 2007,7.77
,,2007 - 2008,7.26
,,2008 - 2009,5.94
,,2009 - 2010,7.52
,,2010 - 2011,5.91
,,2011 - 2012,8.5
,,2012 - 2013,10.49
,,2013 - 2014,12.53
,,2015 - 2016,24.42
,,2016 - 2017,25.0
,,2017 - 2018,25.0
,,2018 - 2019,25.0
,,2019 - 2020,25.0
,Betul,2000 - 2001,19.03
,,2001 - 2002,19.05
,,2002 - 2003,18.3
,,2003 - 2004,16.87
,,2004 - 2005,19.65
,,2005 - 2006,19.3
,,2006 - 2007,19.42
,,2007 - 2008,15.81
,,2008 - 2009,15.29
,,2009 - 2010,16.37
,,2010 - 2011,18.42
,,2011 - 2012,21.17
,,2012 - 2013,29.31
,,2013 - 2014,26.86
,,2015 - 2016,16.8
,,2016 - 2017,24.75
,,2017 - 2018,25.0
,,2018 - 2019,25.0
,,2019 - 2020,25.0
,Bhind,2000 - 2001,9.81
,,2001 - 2002,9.82
,,2002 - 2003,9.43
,,2003 - 2004,7.8
,,2004 - 2005,10.27
,,2005 - 2006,8.99
,,2006 - 2007,8.77
,,2007 - 2008,5.68
,,2008 - 2009,5.76
,,2009 - 2010,7.97
,,2010 - 2011,6.98
,,2011 - 2012,5.33
,,2012 - 2013,8.95
,,2013 - 2014,7.07
,,2015 - 2016,18.48
,,2016 - 2017,20.01
,,2017 - 2018,20.01
,,2018 - 2019,19.86
,,2019 - 2020,19.86
,Bhopal,2000 - 2001,11.84
,,2001 - 2002,10.04
,,2002 - 2003,9.65
,,2003 - 2004,10.83
,,2004 - 2005,13.46
,,2005 - 2006,11.79
,,2006 - 2007,12.97
,,2007 - 2008,9.62
,,2008 - 2009,10.73
,,2009 - 2010,11.8
,,2010 - 2011,5.27
,,2011 - 2012,22.64
,,2012 - 2013,31.27
,,2013 - 2014,14.68
,,2015 - 2016,25.14
,,2016 - 2017,25.23
,,2017 - 2018,26.47
,,2018 - 2019,26.45
,,2019 - 2020,26.31
,Burhanpur,2003 - 2004,32.47
,,2004 - 2005,34.8
,,2005 - 2006,34.85
,,2006 - 2007,30.68
,,2007 - 2008,30.33
,,2008 - 2009,30.79
,,2009 - 2010,31.9
,,2010 - 2011,30.81
,,2011 - 2012,42.25
,,2012 - 2013,54.48
,,2013 - 2014,43.99
,,2015 - 2016,20.0
,,2016 - 2017,20.0
,,2017 - 2018,20.0
,,2018 - 2019,20.0
,,2019 - 2020,20.0
,Chhatarpur,2000 - 2001,9.16
,,2001 - 2002,9.49
,,2002 - 2003,9.12
,,2003 - 2004,8.53
,,2004 - 2005,9.94
,,2005 - 2006,8.02
,,2006 - 2007,6.83
,,2007 - 2008,6.03
,,2008 - 2009,5.88
,,2009 - 2010,6.09
,,2010 - 2011,5.43
,,2011 - 2012,5.69
,,2012 - 2013,6.78
,,2013 - 2014,5.71
,,2015 - 2016,30.7
,,2016 - 2017,32.06
,,2017 - 2018,0.03
,,2018 - 2019,0.45
,,2019 - 2020,7.55
,Chhindwara,2000 - 2001,24.89
,,2001 - 2002,21.6
,,2002 - 2003,19.95
,,2003 - 2004,22.4
,,2004 - 2005,26.09
,,2005 - 2006,24.33
,,2006 - 2007,24.47
,,2007 - 2008,22.08
,,2008 - 2009,22.41
,,2009 - 2010,23.22
,,2010 - 2011,28.3
,,2011 - 2012,31.45
,,2012 - 2013,30.03
,,2013 - 2014,27.02
,,2015 - 2016,25.0
,,2016 - 2017,25.0
,,2017 - 2018,25.0
,,2018 - 2019,25.0
,,2019 - 2020,25.0
,Damoh,2000 - 2001,14.79
,,2001 - 2002,21.24
,,2002 - 2003,20.4
,,2003 - 2004,19.96
,,2004 - 2005,23.24
,,2005 - 2006,20.29
,,2006 - 2007,17.31
,,2007 - 2008,17.15
,,2008 - 2009,20.78
,,2009 - 2010,22.34
,,2010 - 2011,12.68
,,2011 - 2012,27.09
,,2012 - 2013,26.9
,,2013 - 2014,21.37
,,2015 - 2016,19.9
,,2016 - 2017,20.0
,,2017 - 2018,20.0
,,2018 - 2019,20.0
,,2019 - 2020,20.0
,Datia,2000 - 2001,10.24
,,2001 - 2002,10.7
,,2002 - 2003,6.38
,,2003 - 2004,9.02
,,2004 - 2005,9.64
,,2005 - 2006,9.18
,,2006 - 2007,8.06
,,2007 - 2008,10.17
,,2008 - 2009,6.64
,,2009 - 2010,6.89
,,2010 - 2011,6.63
,,2011 - 2012,9.21
,,2012 - 2013,11.95
,,2013 - 2014,7.56
,,2015 - 2016,25.0
,,2016 - 2017,25.0
,,2017 - 2018,25.0
,,2018 - 2019,25.0
,,2019 - 2020,25.0
,Dewas,2000 - 2001,9.63
,,2001 - 2002,12.15
,,2002 - 2003,11.48
,,2003 - 2004,12.31
,,2004 - 2005,12.11
,,2005 - 2006,10.72
,,2006 - 2007,12.3
,,2007 - 2008,10.06
,,2008 - 2009,11.1
,,2009 - 2010,11.5
,,2010 - 2011,14.43
,,2011 - 2012,14.45
,,2012 - 2013,15.31
,,2013 - 2014,17.15
,,2015 - 2016,30.15
,,2016 - 2017,38.23
,,2017 - 2018,30.6
,,2018 - 2019,30.61
,,2019 - 2020,30.61
,Dhar,2000 - 2001,10.53
,,2001 - 2002,9.74
,,2002 - 2003,9.35
,,2003 - 2004,9.48
,,2004 - 2005,11.21
,,2005 - 2006,10.02
,,2006 - 2007,12.4
,,2007 - 2008,10.73
,,2008 - 2009,9.53
,,2009 - 2010,10.16
,,2010 - 2011,11.98
,,2011 - 2012,13.16
,,2012 - 2013,13.61
,,2013 - 2014,11.57
,,2015 - 2016,25.0
,,2016 - 2017,25.3
,,2017 - 2018,25.3
,,2018 - 2019,25.68
,,2019 - 2020,25.73
,Dindori,2000 - 2001,17.45
,,2001 - 2002,17.48
,,2002 - 2003,14.42
,,2003 - 2004,15.46
,,2004 - 2005,15.96
,,2005 - 2006,14.28
,,2006 - 2007,12.54
,,2007 - 2008,10.67
,,2008 - 2009,10.41
,,2009 - 2010,12.67
,,2010 - 2011,13.71
,,2011 - 2012,12.38
,,2012 - 2013,12.97
,,2013 - 2014,17.42
,,2015 - 2016,19.0
,,2016 - 2017,19.0
,,2017 - 2018,19.8
,,2018 - 2019,19.5
,,2019 - 2020,19.5
,Guna,2000 - 2001,14.19
,,2001 - 2002,14.4
,,2002 - 2003,8.95
,,2003 - 2004,12.58
,,2004 - 2005,14.66
,,2005 - 2006,14.34
