state,district,year,khesari_rabi_area_hectare,khesari_rabi_production_tonne,khesari_rabi_yield_tonne_per_hectare,khesari_whole_year_area_hectare,khesari_whole_year_production_tonne,khesari_whole_year_yield_tonne_per_hectare,khesari_kharif_area_hectare,khesari_kharif_production_tonne,khesari_kharif_yield_tonne_per_hectare
,,2020 - 2021,244.0,148.0,0.61,,,,,,
,,2021 - 2022,233.0,118.0,0.51,,,,,,
,,2022 - 2023,113.0,72.0,0.64,,,,,,
,Korea,2000 - 2001,422.0,188.0,0.45,,,,,,
,,2001 - 2002,480.0,257.0,0.54,,,,,,
,,2002 - 2003,337.0,119.0,0.35,,,,,,
,,2003 - 2004,478.0,238.0,0.5,,,,,,
,,2004 - 2005,468.0,154.0,0.33,,,,,,
,,2005 - 2006,542.0,186.0,0.34,,,,,,
,,2006 - 2007,522.0,224.0,0.43,,,,,,
,,2007 - 2008,471.0,197.0,0.42,,,,,,
,,2008 - 2009,550.0,102.0,0.19,,,,,,
,,2009 - 2010,503.0,205.0,0.41,,,,,,
,,2010 - 2011,384.0,191.0,0.5,,,,,,
,,2011 - 2012,382.0,164.0,0.43,,,,,,
,,2012 - 2013,381.0,157.0,0.41,,,,,,
,,2013 - 2014,398.0,160.0,0.4,,,,,,
,,2014 - 2015,370.0,325.0,0.88,,,,,,
,,2015 - 2016,279.0,100.0,0.36,,,,,,
,,2016 - 2017,193.0,330.0,1.71,,,,,,
,,2017 - 2018,263.0,94.0,0.36,,,,,,
,,2018 - 2019,205.0,86.0,0.42,,,,,,
,,2019 - 2020,216.0,48.0,0.22,,,,,,
,,2020 - 2021,150.0,66.0,0.44,,,,,,
,,2021 - 2022,141.0,52.0,0.37,,,,,,
,,2022 - 2023,111.0,56.0,0.5,,,,,,
,Mahasamund,2000 - 2001,,,0.45,,,,,,
,,2001 - 2002,,,0.57,,,,,,
,,2002 - 2003,,,0.51,,,,,,
,,2003 - 2004,,,0.62,,,,,,
,,2004 - 2005,,,0.4,,,,,,
,,2005 - 2006,,,0.39,,,,,,
,,2006 - 2007,,,0.52,,,,,,
,,2007 - 2008,,,0.55,,,,,,
,,2008 - 2009,,,0.24,,,,,,
,,2009 - 2010,,,0.56,,,,,,
,,2010 - 2011,,,0.52,,,,,,
,,2011 - 2012,,,0.48,,,,,,
,,2012 - 2013,,,0.41,,,,,,
,,2013 - 2014,,,0.57,,,,,,
,,2014 - 2015,,,0.96,,,,,,
,,2015 - 2016,,,0.49,,,,,,
,,2016 - 2017,,,1.51,,,,,,
,,2017 - 2018,,620.0,0.42,,,,,,
,,2018 - 2019,973.0,577.0,0.59,,,,,,
,,2019 - 2020,935.0,205.0,0.22,,,,,,
,,2020 - 2021,284.0,168.0,0.59,,,,,,
,,2021 - 2022,143.0,71.0,0.5,,,,,,
,,2022 - 2023,57.0,34.0,0.6,,,,,,
,Manendragarh chirimiri bharatpur,2022 - 2023,23.0,12.0,0.52,,,,,,
,Mohla manpur ambagarh chouki,2022 - 2023,,,0.53,,,,,,
,Mungeli,2011 - 2012,,,0.77,,,,,,
,,2012 - 2013,,,0.56,,,,,,
,,2013 - 2014,,,0.67,,,,,,
,,2014 - 2015,,,0.78,,,,,,
,,2015 - 2016,,,1.12,,,,,,
,,2016 - 2017,,,0.72,,,,,,
,,2017 - 2018,,,0.86,,,,,,
,,2018 - 2019,,,1.0,,,,,,
,,2019 - 2020,,,0.51,,,,,,
,,2020 - 2021,,,0.99,,,,,,
,,2021 - 2022,,,0.83,,,,,,
,,2022 - 2023,,,1.17,,,,,,
,Narayanpur,2008 - 2009,1.0,1.0,1.0,,,,,,
,,2010 - 2011,30.0,14.0,0.47,,,,,,
,,2013 - 2014,9.0,6.0,0.67,,,,,,
,,2014 - 2015,1.0,,0.0,,,,,,
,,2015 - 2016,1.0,,0.0,,,,,,
,,2016 - 2017,1.0,1.0,1.0,,,,,,
,,2017 - 2018,1.0,1.0,1.0,,,,,,
,,2018 - 2019,4.0,3.0,0.75,,,,,,
,,2020 - 2021,2.0,1.0,0.5,,,,,,
,,2021 - 2022,3.0,3.0,1.0,,,,,,
,,2022 - 2023,1.0,1.0,1.0,,,,,,
,Raigarh,2000 - 2001,,779.0,0.44,,,,,,
,,2001 - 2002,,834.0,0.43,,,,,,
,,2002 - 2003,,,0.51,,,,,,
,,2003 - 2004,,,0.57,,,,,,
,,2004 - 2005,,,0.4,,,,,,
,,2005 - 2006,,,0.43,,,,,,
,,2006 - 2007,,,0.55,,,,,,
,,2007 - 2008,,,0.57,,,,,,
,,2008 - 2009,,749.0,0.25,,,,,,
,,2009 - 2010,,935.0,0.45,,,,,,
,,2010 - 2011,,,0.55,,,,,,
,,2011 - 2012,,772.0,0.48,,,,,,
,,2012 - 2013,,695.0,0.46,,,,,,
,,2013 - 2014,,880.0,0.62,,,,,,
,,2014 - 2015,,,1.02,,,,,,
,,2015 - 2016,,557.0,0.53,,,,,,
,,2016 - 2017,609.0,898.0,1.47,,,,,,
,,2017 - 2018,827.0,430.0,0.52,,,,,,
,,2018 - 2019,350.0,185.0,0.53,,,,,,
,,2019 - 2020,436.0,104.0,0.24,,,,,,
,,2020 - 2021,189.0,131.0,0.69,,,,,,
,,2021 - 2022,352.0,195.0,0.55,,,,,,
,,2022 - 2023,350.0,205.0,0.59,,,,,,
,Raipur,2000 - 2001,,,0.37,,,,,,
,,2001 - 2002,,,0.57,,,,,,
,,2002 - 2003,,,0.52,,,,,,
,,2003 - 2004,,,0.6,,,,,,
,,2004 - 2005,,,0.38,,,,,,
,,2005 - 2006,,,0.42,,,,,,
,,2006 - 2007,,,0.49,,,,,,
,,2007 - 2008,,,0.54,,,,,,
,,2008 - 2009,,,0.24,,,,,,
,,2009 - 2010,,,0.6,,,,,,
,,2010 - 2011,,,0.54,,,,,,
,,2011 - 2012,,,0.46,,,,,,
,,2012 - 2013,,,0.49,,,,,,
,,2013 - 2014,,,0.54,,,,,,
,,2014 - 2015,,,1.07,,,,,,
,,2015 - 2016,,,0.55,,,,,,
,,2016 - 2017,,,1.25,,,,,,
,,2017 - 2018,,,0.53,,,,,,
,,2018 - 2019,,,0.62,,,,,,
,,2019 - 2020,,,0.23,,,,,,
,,2020 - 2021,,,0.67,,,,,,
,,2021 - 2022,,,0.65,,,,,,
,,2022 - 2023,,,0.68,,,,,,
,Rajnandgaon,2000 - 2001,,,0.38,,,,,,
,,2001 - 2002,,,0.46,,,,,,
,,2002 - 2003,,,0.41,,,,,,
,,2003 - 2004,,,0.49,,,,,,
,,2004 - 2005,,,0.37,,,,,,
,,2005 - 2006,,,0.38,,,,,,
,,2006 - 2007,,,0.43,,,,,,
,,2007 - 2008,,,0.48,,,,,,
,,2008 - 2009,,,0.21,,,,,,
,,2009 - 2010,,,0.39,,,,,,
,,2010 - 2011,,,0.5,,,,,,
,,2011 - 2012,,,0.49,,,,,,
,,2012 - 2013,,,0.38,,,,,,
,,2013 - 2014,,,0.38,,,,,,
,,2014 - 2015,,,0.77,,,,,,
,,2015 - 2016,,,0.4,,,,,,
,,2016 - 2017,,,1.72,,,,,,
,,2017 - 2018,,,0.48,,,,,,
,,2018 - 2019,,,0.47,,,,,,
,,2019 - 2020,,,0.19,,,,,,
,,2020 - 2021,,,0.58,,,,,,
,,2021 - 2022,,,0.48,,,,,,
,,2022 - 2023,,,0.53,,,,,,
,Sarangarh bilaigarh,2022 - 2023,20.0,12.0,0.6,,,,,,
,Surajpur,2011 - 2012,361.0,176.0,0.49,,,,,,
,,2012 - 2013,358.0,164.0,0.46,,,,,,
,,2013 - 2014,343.0,197.0,0.57,,,,,,
,,2014 - 2015,331.0,309.0,0.93,,,,,,
,,2015 - 2016,331.0,130.0,0.39,,,,,,
,,2016 - 2017,221.0,302.0,1.37,,,,,,
,,2017 - 2018,342.0,164.0,0.48,,,,,,
,,2018 - 2019,222.0,132.0,0.59,,,,,,
,,2019 - 2020,180.0,50.0,0.28,,,,,,
,,2020 - 2021,175.0,121.0,0.69,,,,,,
,,2021 - 2022,163.0,95.0,0.58,,,,,,
,,2022 - 2023,103.0,59.0,0.57,,,,,,
,Surguja,2000 - 2001,371.0,155.0,0.42,,,,,,
,,2001 - 2002,433.0,209.0,0.48,,,,,,
,,2002 - 2003,413.0,230.0,0.56,,,,,,
,,2003 - 2004,411.0,223.0,0.54,,,,,,
,,2004 - 2005,448.0,206.0,0.46,,,,,,
,,2005 - 2006,193.0,77.0,0.4,,,,,,
,,2006 - 2007,423.0,184.0,0.43,,,,,,
,,2007 - 2008,249.0,113.0,0.45,,,,,,
,,2008 - 2009,438.0,88.0,0.2,,,,,,
,,2009 - 2010,452.0,204.0,0.45,,,,,,
,,2010 - 2011,382.0,237.0,0.62,,,,,,
,,2011 - 2012,8.0,4.0,0.5,,,,,,
,,2012 - 2013,12.0,6.0,0.5,,,,,,
,,2013 - 2014,4.0,3.0,0.75,,,,,,
,,2014 - 2015,13.0,14.0,1.08,,,,,,
,,2015 - 2016,12.0,2.0,0.17,,,,,,
,,2017 - 2018,4.0,2.0,0.5,,,,,,
,,2019 - 2020,16.0,6.0,0.38,,,,,,
,,2020 - 2021,11.0,8.0,0.73,,,,,,
,,2021 - 2022,11.0,9.0,0.82,,,,,,
,,2022 - 2023,11.0,6.0,0.55,,,,,,
Madhya Pradesh,Anuppur,2006 - 2007,163.0,69.0,0.42,,,,,,
,,2007 - 2008,150.0,47.0,0.31,,,,,,
,,2008 - 2009,177.0,65.0,0.37,,,,,,
,,2009 - 2010,,,,185.0,65.0,0.35,,,
,,2010 - 2011,179.0,41.0,0.23,,,,,,
,,2011 - 2012,206.0,78.0,0.38,,,,,,
,,2012 - 2013,285.0,141.0,0.49,,,,,,
,,2013 - 2014,305.0,118.0,0.39,,,,,,
,Ashoknagar,2006 - 2007,99.0,114.0,1.15,,,,,,
,,2007 - 2008,113.0,86.0,0.76,,,,,,
,,2008 - 2009,192.0,198.0,1.03,,,,,,
,,2009 - 2010,,,,275.0,257.0,0.93,,,
,,2010 - 2011,251.0,156.0,0.62,,,,,,
,,2011 - 2012,346.0,419.0,1.21,,,,,,
,,2012 - 2013,472.0,674.0,1.43,,,,,,
,,2013 - 2014,515.0,426.0,0.83,,,,,,
,Balaghat,2006 - 2007,,,0.54,,,,,,
,,2007 - 2008,,,0.43,,,,,,
,,2008 - 2009,,,0.52,,,,,,
,,2009 - 2010,,,,,,0.55,,,
,,2010 - 2011,,,0.5,,,,,,
,,2011 - 2012,,,0.62,,,,,,
,,2012 - 2013,,,0.79,,,,,,
,,2013 - 2014,,,0.49,,,,,,
,Betul,2006 - 2007,19.0,10.0,0.53,,,,,,
,,2007 - 2008,271.0,90.0,0.33,,,,,,
,,2008 - 2009,297.0,165.0,0.56,,,,,,
,,2009 - 2010,,,,67.0,35.0,0.52,,,
,,2010 - 2011,87.0,37.0,0.43,,,,,,
,,2011 - 2012,38.0,21.0,0.55,,,,,,
,,2012 - 2013,41.0,35.0,0.85,,,,,,
,,2013 - 2014,109.0,38.0,0.35,,,,,,
,Bhind,2013 - 2014,86.0,43.0,0.5,,,,,,
,Bhopal,2006 - 2007,204.0,154.0,0.75,,,,,,
,,2007 - 2008,297.0,183.0,0.62,,,,,,
,,2008 - 2009,370.0,285.0,0.77,,,,,,
,,2009 - 2010,,,,324.0,240.0,0.74,,,
,,2010 - 2011,343.0,159.0,0.46,,,,,,
,,2011 - 2012,314.0,273.0,0.87,,,,,,
,,2012 - 2013,331.0,399.0,1.21,,,,,,
,,2013 - 2014,241.0,202.0,0.84,,,,,,
,Burhanpur,2012 - 2013,17.0,12.0,0.71,,,,,,
,Chhatarpur,2006 - 2007,46.0,33.0,0.72,,,,,,
,,2007 - 2008,43.0,17.0,0.4,,,,,,
,,2010 - 2011,20.0,8.0,0.4,,,,,,
,,2011 - 2012,23.0,10.0,0.43,,,,,,
,,2012 - 2013,18.0,7.0,0.39,,,,,,
,Chhindwara,2006 - 2007,119.0,78.0,0.66,,,,,,
,,2007 - 2008,147.0,88.0,0.6,,,,,,
,,2008 - 2009,99.0,61.0,0.62,,,,,,
,,2009 - 2010,,,,89.0,57.0,0.64,,,
,,2010 - 2011,236.0,142.0,0.6,,,,,,
,,2011 - 2012,222.0,198.0,0.89,,,,,,
,,2012 - 2013,202.0,183.0,0.91,,,,,,
,,2013 - 2014,36.0,23.0,0.64,,,,,,
,Damoh,2006 - 2007,121.0,69.0,0.57,,,,,,
,,2007 - 2008,109.0,49.0,0.45,,,,,,
,,2008 - 2009,173.0,139.0,0.8,,,,,,
,,2009 - 2010,,,,128.0,99.0,0.77,,,
,,2010 - 2011,56.0,36.0,0.64,,,,,,
,,2011 - 2012,,,0.9,,,,,,
,,2012 - 2013,46.0,39.0,0.85,,,,,,
,,2013 - 2014,6.0,4.0,0.67,,,,,,
,Datia,2009 - 2010,,,,412.0,154.0,0.37,,,
,,2010 - 2011,131.0,40.0,0.31,,,,,,
,,2012 - 2013,228.0,139.0,0.61,,,,,,
,Dewas,2006 - 2007,3.0,1.0,0.33,,,,,,
,,2007 - 2008,2.0,1.0,0.5,,,,,,
,,2008 - 2009,2.0,1.0,0.5,,,,,,
,,2009 - 2010,,,,2.0,1.0,0.5,,,
,Dhar,2006 - 2007,,,0.81,,,,,,
,,2007 - 2008,,693.0,0.6,,,,,,
,,2008 - 2009,711.0,499.0,0.7,,,,,,
,,2009 - 2010,,,,492.0,329.0,0.67,,,
,,2010 - 2011,342.0,204.0,0.6,,,,,,
,,2011 - 2012,171.0,203.0,1.19,,,,,,
,,2012 - 2013,25.0,26.0,1.04,,,,,,
,,2013 - 2014,13.0,13.0,1.0,,,,,,
,Dindori,2006 - 2007,145.0,69.0,0.48,,,,,,
,,2007 - 2008,94.0,32.0,0.34,,,,,,
,,2008 - 2009,108.0,48.0,0.44,,,,,,
,,2009 - 2010,,,,101.0,43.0,0.43,,,
,,2010 - 2011,126.0,37.0,0.29,,,,,,
,,2011 - 2012,56.0,20.0,0.36,,,,,,
,,2012 - 2013,63.0,22.0,0.35,,,,,,
,,2013 - 2014,69.0,34.0,0.49,,,,,,
,Guna,2011 - 2012,4.0,4.0,1.0,,,,,,
,Harda,2006 - 2007,12.0,12.0,1.0,,,,,,
,,2007 - 2008,39.0,22.0,0.56,,,,,,
,,2009 - 2010,,,,19.0,16.0,0.84,,,
,,2010 - 2011,12.0,11.0,0.92,,,,,,
,,2011 - 2012,11.0,16.0,1.45,,,,,,
,,2012 - 2013,15.0,15.0,1.0,,,,,,
,,2013 - 2014,10.0,5.0,0.5,,,,,,
,Hoshangabad,2006 - 2007,152.0,114.0,0.75,,,,,,
,,2007 - 2008,229.0,130.0,0.57,,,,,,
,,2008 - 2009,276.0,193.0,0.7,,,,,,
,,2009 - 2010,,,,188.0,126.0,0.67,,,
,,2010 - 2011,100.0,65.0,0.65,,,,,,
,,2011 - 2012,43.0,35.0,0.81,,,,,,
,,2012 - 2013,31.0,28.0,0.9,,,,,,
,,2013 - 2014,13.0,7.0,0.54,,,,,,
,Indore,2006 - 2007,12.0,13.0,1.08,,,,,,
,,2007 - 2008,47.0,41.0,0.87,,,,,,
,,2008 - 2009,26.0,28.0,1.08,,,,,,
,,2009 - 2010,,,,30.0,28.0,0.93,,,
,,2010 - 2011,32.0,24.0,0.75,,,,,,
,,2011 - 2012,4.0,4.0,1.0,,,,,,
,,2013 - 2014,3.0,3.0,1.0,,,,,,
,Jabalpur,2006 - 2007,39.0,40.0,1.03,,,,,,
,,2007 - 2008,41.0,20.0,0.49,,,,,,
,,2008 - 2009,11.0,11.0,1.0,,,,,,
,,2009 - 2010,,,,14.0,10.0,0.71,,,
,,2010 - 2011,20.0,15.0,0.75,,,,,,
,,2011 - 2012,14.0,13.0,0.93,,,,,,
,,2012 - 2013,13.0,15.0,1.15,,,,,,
,,2013 - 2014,13.0,12.0,0.92,,,,,,
,Katni,2006 - 2007,23.0,10.0,0.43,,,,,,
,,2007 - 2008,16.0,6.0,0.38,,,,,,
,,2008 - 2009,32.0,20.0,0.63,,,,,,
,,2009 - 2010,,,,18.0,10.0,0.56,,,
,,2010 - 2011,22.0,7.0,0.32,,,,,,
,,2011 - 2012,2.0,1.0,0.5,,,,,,
,,2012 - 2013,1.0,1.0,1.0,,,,,,
,,2013 - 2014,3.0,2.0,0.67,,,,,,
,Khandwa,2006 - 2007,3.0,1.0,0.33,,,,,,
,,2007 - 2008,1.0,,0.0,,,,,,
,,2008 - 2009,2.0,1.0,0.5,,,,,,
,,2009 - 2010,,,,2.0,1.0,0.5,,,
,,2010 - 2011,1.0,,0.0,,,,,,
,,2011 - 2012,5.0,3.0,0.6,,,,,,
,,2012 - 2013,2.0,1.0,0.5,,,,,,
,Mandla,2006 - 2007,,832.0,0.54,,,,,,
,,2007 - 2008,,734.0,0.43,,,,,,
,,2008 - 2009,,831.0,0.52,,,,,,
,,2009 - 2010,,,,,707.0,0.47,,,
,,2010 - 2011,,813.0,0.36,,,,,,
,,2011 - 2012,,,0.46,,,,,,
,,2012 - 2013,,,0.56,,,,,,
,,2013 - 2014,,,0.7,,,,,,
,Narsinghpur,2006 - 2007,815.0,,1.31,,,,,,
,,2007 - 2008,681.0,601.0,0.88,,,,,,
,,2008 - 2009,329.0,351.0,1.07,,,,,,
,,2009 - 2010,,,,632.0,728.0,1.15,,,
,,2010 - 2011,448.0,462.0,1.03,,,,,,
,,2011 - 2012,381.0,505.0,1.33,,,,,,
,,2012 - 2013,434.0,695.0,1.6,,,,,,
,,2013 - 2014,415.0,465.0,1.12,,,,,,
,Panna,2006 - 2007,2.0,1.0,0.5,,,,,,
,Raisen,2006 - 2007,,,1.25,,,,,,
,,2007 - 2008,,,0.99,,,,,,
,,2008 - 2009,,,1.2,,,,,,
,,2009 - 2010,,,,,,1.15,,,
,,2010 - 2011,,,0.93,,,,,,
,,2011 - 2012,,,1.41,,,,,,
,,2012 - 2013,,,1.1,,,,,,
,,2013 - 2014,,,0.58,,,,,,
,Rewa,2006 - 2007,,705.0,0.4,,,,,,
,,2007 - 2008,,574.0,0.34,,,,,,
,,2008 - 2009,,938.0,0.49,,,,,,
,,2009 - 2010,,,,,890.0,0.48,,,
,,2010 - 2011,,,0.32,,,,,,
,,2011 - 2012,,,0.43,,,,,,
,,2012 - 2013,,,0.54,,,,,,
,,2013 - 2014,,905.0,0.38,,,,,,
,Sagar,2006 - 2007,,920.0,0.56,,,,,,
,,2007 - 2008,,,0.44,,,,,,
,,2008 - 2009,,,0.59,,,,,,
,,2009 - 2010,,,,,,0.56,,,
,,2010 - 2011,,,0.54,,,,,,
,,2011 - 2012,,,0.54,,,,,,
,,2012 - 2013,,,0.76,,,,,,
,,2013 - 2014,,,0.55,,,,,,
,Sehore,2006 - 2007,653.0,460.0,0.7,,,,,,
,,2007 - 2008,504.0,344.0,0.68,,,,,,
,,2008 - 2009,504.0,410.0,0.81,,,,,,
,,2009 - 2010,,,,270.0,278.0,1.03,,,
,,2010 - 2011,204.0,218.0,1.07,,,,,,
,,2011 - 2012,18.0,31.0,1.72,,,,,,
,,2012 - 2013,10.0,11.0,1.1,,,,,,
,,2013 - 2014,4.0,3.0,0.75,,,,,,
,Seoni,2006 - 2007,,,0.67,,,,,,
,,2007 - 2008,,,0.53,,,,,,
,,2008 - 2009,,,0.7,,,,,,
,,2009 - 2010,,,,,,0.67,,,
,,2010 - 2011,,,0.57,,,,,,
,,2011 - 2012,,,0.65,,,,,,
,,2012 - 2013,,,0.84,,,,,,
,,2013 - 2014,,,0.66,,,,,,
,Shahdol,2006 - 2007,33.0,15.0,0.45,,,,,,
,,2007 - 2008,35.0,12.0,0.34,,,,,,
,,2008 - 2009,21.0,9.0,0.43,,,,,,
,,2009 - 2010,,,,28.0,11.0,0.39,,,
,,2010 - 2011,40.0,14.0,0.35,,,,,,
,,2011 - 2012,111.0,38.0,0.34,,,,,,
,,2012 - 2013,47.0,36.0,0.77,,,,,,
,,2013 - 2014,,,0.63,,,,,,
,Shivpuri,2008 - 2009,5.0,3.0,0.6,,,,,,
,,2013 - 2014,45.0,19.0,0.42,,,,,,
,Sidhi,2006 - 2007,929.0,374.0,0.4,,,,,,
,,2007 - 2008,963.0,275.0,0.29,,,,,,
,,2008 - 2009,920.0,386.0,0.42,,,,,,
,,2009 - 2010,,,,856.0,355.0,0.41,,,
,,2010 - 2011,926.0,239.0,0.26,,,,,,
,,2011 - 2012,893.0,433.0,0.48,,,,,,
,,2012 - 2013,929.0,539.0,0.58,,,,,,
,,2013 - 2014,851.0,350.0,0.41,,,,,,
,Singrauli,2008 - 2009,54.0,23.0,0.43,,,,,,
,,2009 - 2010,,,,114.0,62.0,0.54,,,
,,2010 - 2011,101.0,41.0,0.41,,,,,,
,,2011 - 2012,105.0,61.0,0.58,,,,,,
,,2012 - 2013,104.0,94.0,0.9,,,,,,
,,2013 - 2014,92.0,52.0,0.57,,,,,,
,Tikamgarh,2006 - 2007,67.0,33.0,0.49,,,,,,
,,2007 - 2008,6.0,2.0,0.33,,,,,,
,,2008 - 2009,37.0,26.0,0.7,,,,,,
,,2009 - 2010,,,,26.0,16.0,0.62,,,
,,2010 - 2011,269.0,85.0,0.32,,,,,,
,,2011 - 2012,179.0,102.0,0.57,,,,,,
,,2012 - 2013,121.0,50.0,0.41,,,,,,
,Ujjain,2008 - 2009,2.0,1.0,0.5,,,,,,
,Umaria,2009 - 2010,,,,18.0,7.0,0.39,,,
,,2010 - 2011,14.0,3.0,0.21,,,,,,
,,2013 - 2014,2.0,1.0,0.5,,,,,,
,Vidisha,2006 - 2007,,,0.89,,,,,,
,,2007 - 2008,,,0.48,,,,,,
,,2008 - 2009,,,0.82,,,,,,
,,2009 - 2010,,,,,,0.86,,,
,,2010 - 2011,,,0.5,,,,,,
,,2011 - 2012,,,0.79,,,,,,
,,2012 - 2013,,,0.91,,,,,,
,,2013 - 2014,,,0.53,,,,,,
Tripura,Dhalai,2019 - 2020,4.0,3.0,0.75,,,,,,
,,2020 - 2021,2.0,2.0,1.0,,,,,,
,,2021 - 2022,2.0,1.0,0.5,,,,,,
,,2022 - 2023,2.0,2.0,1.0,,,,,,
,Gomati,2018 - 2019,7.0,4.96,0.71,,,,,,
,,2019 - 2020,6.0,4.0,0.67,,,,,,
,,2020 - 2021,6.0,4.0,0.67,,,,,,
,,2021 - 2022,4.0,3.0,0.75,,,,,,
,,2022 - 2023,4.0,4.0,1.0,,,,,,
,Khowai,2019 - 2020,4.0,3.0,0.75,,,,,,
,,2020 - 2021,5.0,3.0,0.6,,,,,,
,,2022 - 2023,2.0,2.0,1.0,,,,,,
,North tripura,2018 - 2019,3.0,1.89,0.63,,,,,,
,,2019 - 2020,5.0,3.0,0.6,,,,,,
,,2020 - 2021,1.0,1.0,1.0,,,,,,
,,2021 - 2022,1.0,1.0,1.0,,,,,,
,Sepahijala,2018 - 2019,2.0,1.26,0.63,,,,,,
,,2022 - 2023,2.0,2.0,1.0,,,,,,
,South tripura,2018 - 2019,5.0,3.19,0.64,,,,,,
,,2019 - 2020,9.0,6.0,0.67,,,,,,
,,2020 - 2021,4.0,3.0,0.75,,,,,,
,,2021 - 2022,4.0,3.0,0.75,,,,,,
,,2022 - 2023,5.0,5.0,1.0,,,,,,
,Unakoti,2018 - 2019,11.0,7.11,0.65,,,,,,
,,2019 - 2020,14.0,10.0,0.71,,,,,,
,,2021 - 2022,4.0,4.0,1.0,,,,,,
,,2022 - 2023,4.0,4.0,1.0,,,,,,
,West tripura,2019 - 2020,10.0,6.5,0.65,,,,,,
West Bengal,paraganas north,2000 - 2001,284.0,290.0,1.02,,,,,,
,,2001 - 2002,487.0,391.0,0.8,,,,,,
,,2002 - 2003,404.0,555.0,1.37,,,,,,
,,2003 - 2004,81.0,124.0,1.53,,,,,,
,,2004 - 2005,831.0,828.0,1.0,,,,,,
,,2005 - 2006,685.0,573.0,0.84,,,,,,
,,2006 - 2007,822.0,730.0,0.89,,,,,,
,,2007 - 2008,556.0,537.0,0.97,,,,,,
,,2008 - 2009,446.0,571.0,1.28,,,,,,
,,2009 - 2010,190.0,258.0,1.36,,,,,,
,,2010 - 2011,255.0,207.0,0.81,,,,,,
,,2011 - 2012,454.0,310.0,0.68,,,,,,
,,2012 - 2013,372.0,452.0,1.22,,,,,,
,,2013 - 2014,402.0,520.0,1.29,,,,,,
,,2014 - 2015,619.0,615.0,0.99,,,,,,
,,2015 - 2016,471.0,343.0,0.73,,,,,,
,,2016 - 2017,665.0,674.0,1.01,,,,,,
,,2017 - 2018,,,0.94,,,,,,
,,2018 - 2019,,,0.64,,,,,,
,,2019 - 2020,,,0.45,,,,,,
,,2020 - 2021,,,1.4,,,,,,
,,2021 - 2022,,,1.22,,,,,,
,,2022 - 2023,,,1.46,,,,,,
,paraganas south,2000 - 2001,,,0.91,,,,,,
,,2001 - 2002,,,0.94,,,,,,
,,2002 - 2003,,,1.15,,,,,,
,,2003 - 2004,,,1.02,,,,,,
,,2004 - 2005,,,1.26,,,,,,
,,2005 - 2006,,,1.21,,,,,,
,,2006 - 2007,,,1.02,,,,,,
,,2007 - 2008,,,0.78,,,,,,
,,2008 - 2009,,,1.14,,,,,,
,,2009 - 2010,,,1.1,,,,,,
,,2010 - 2011,,,1.4,,,,,,
,,2011 - 2012,,,0.79,,,,,,
,,2012 - 2013,,,1.1,,,,,,
,,2013 - 2014,,,1.16,,,,,,
,,2014 - 2015,,,1.16,,,,,,
,,2015 - 2016,,,0.8,,,,,,
,,2016 - 2017,,,1.02,,,,,,
,,2017 - 2018,,,0.87,,,,,,
,,2018 - 2019,,,0.64,,,,,,
,,2019 - 2020,,,0.46,,,,,,
,,2020 - 2021,,,1.5,,,,,,
,,2021 - 2022,,,1.32,,,,,,
,,2022 - 2023,,,1.48,,,,,,
,Alipurduar,2016 - 2017,658.0,798.0,1.21,,,,,,
,,2017 - 2018,,,0.97,,,,,,
,,2018 - 2019,,,0.85,,,,,,
,,2019 - 2020,,,1.12,,,,,,
,,2020 - 2021,,,1.29,,,,,,
,,2021 - 2022,,,1.1,,,,,,
,,2022 - 2023,,,1.27,,,,,,
,Bankura,2000 - 2001,95.0,70.0,0.74,,,,,,
,,2001 - 2002,3.0,3.0,1.0,,,,,,
,,2002 - 2003,65.0,,0.0,,,,,,
,,2003 - 2004,101.0,129.0,1.28,,,,,,
,,2005 - 2006,2.0,1.0,0.5,,,,,,
,,2006 - 2007,4.0,5.0,1.25,,,,,,
,,2007 - 2008,1.0,1.0,1.0,,,,,,
,,2016 - 2017,10.0,13.0,1.3,,,,,,
,,2017 - 2018,,,1.2,,,,,,
,,2018 - 2019,,,1.43,,,,,,
,,2019 - 2020,,,1.01,,,,,,
,,2020 - 2021,,,1.24,,,,,,
,,2021 - 2022,,,1.25,,,,,,
,,2022 - 2023,,,1.99,,,,,,
,Birbhum,2000 - 2001,,,1.21,,,,,,
,,2001 - 2002,,,1.05,,,,,,
,,2002 - 2003,,,0.96,,,,,,
,,2003 - 2004,,,0.89,,,,,,
,,2004 - 2005,,,1.25,,,,,,
,,2005 - 2006,,,1.1,,,,,,
,,2006 - 2007,,,1.19,,,,,,
,,2007 - 2008,,867.0,0.73,,,,,,
,,2008 - 2009,595.0,638.0,1.07,,,,,,
,,2009 - 2010,798.0,66.0,0.08,,,,,,
,,2010 - 2011,,,1.3,,,,,,
,,2011 - 2012,,,1.28,,,,,,
,,2012 - 2013,,,1.52,,,,,,
,,2013 - 2014,,,1.42,,,,,,
,,2014 - 2015,,,1.97,,,,,,
,,2015 - 2016,,,1.16,,,,,,
,,2016 - 2017,,,0.98,,,,,,
,,2017 - 2018,,,0.97,,,,,,
,,2018 - 2019,,,0.88,,,,,,
,,2019 - 2020,,,1.12,,,,,,
,,2020 - 2021,,,1.24,,,,,,
,,2021 - 2022,,,1.01,,,,,,
