state,district,year,small_millets_kharif_area_hectare,small_millets_kharif_production_tonne,small_millets_kharif_yield_tonne_per_hectare,small_millets_rabi_area_hectare,small_millets_rabi_production_tonne,small_millets_rabi_yield_tonne_per_hectare,small_millets_whole_year_area_hectare,small_millets_whole_year_production_tonne,small_millets_whole_year_yield_tonne_per_hectare,small_millets_summer_area_hectare,small_millets_summer_production_tonne,small_millets_summer_yield_tonne_per_hectare,small_millets_autumn_area_hectare,small_millets_autumn_production_tonne,small_millets_autumn_yield_tonne_per_hectare
,,2003 - 2004,,318.0,0.22,,,,,,,,,,,,
,,2004 - 2005,,263.0,0.18,,,,,,,,,,,,
,,2005 - 2006,938.0,,1.36,,,,,,,,,,,,
,,2006 - 2007,809.0,174.0,0.22,8.0,,0.0,,,,,,,,,
,,2007 - 2008,,,,,,,734.0,181.0,0.25,,,,,,
,,2008 - 2009,,,,,,,701.0,172.0,0.25,,,,,,
,,2009 - 2010,656.0,137.0,0.21,,,,,,,,,,,,
,,2010 - 2011,386.0,95.0,0.25,,,,,,,,,,,,
,,2011 - 2012,372.0,90.0,0.24,,,,,,,,,,,,
,,2012 - 2013,192.0,50.0,0.26,,,,,,,,,,,,
,,2013 - 2014,180.0,48.0,0.27,,,,,,,,,,,,
,,2014 - 2015,,0.0,0.0,,,,,,,,,,,,
,,2018 - 2019,15.0,9.0,0.6,,,,,,,,,,,,
,,2019 - 2020,2.0,,0.0,,,,,,,,,,,,
,Betul,2000 - 2001,,,0.14,,,,,,,,,,,,
,,2001 - 2002,,,0.23,,,,,,,,,,,,
,,2002 - 2003,,,0.19,,,,,,,,,,,,
,,2003 - 2004,,,0.22,,,,,,,,,,,,
,,2004 - 2005,,,0.16,,,,,,,,,,,,
,,2005 - 2006,156.0,66.0,0.42,,,,,,,,,,,,
,,2006 - 2007,,,0.2,,,,,,,,,,,,
,,2008 - 2009,,,,,,,,,0.21,,,,,,
,,2009 - 2010,,834.0,0.22,,,,,,,,,,,,
,,2010 - 2011,,,0.32,,,,,,,,,,,,
,,2011 - 2012,,876.0,0.27,,,,,,,,,,,,
,,2012 - 2013,,,0.39,,,,,,,,,,,,
,,2013 - 2014,,,0.41,,,,,,,,,,,,
,,2014 - 2015,,,0.75,,,,,,,,,,,,
,,2015 - 2016,,,0.33,,,,,,,,,,,,
,,2016 - 2017,,,0.67,,,,,,,,,,,,
,,2017 - 2018,,,0.83,,,,,,,,,,,,
,,2018 - 2019,885.0,260.0,0.29,,,,,,,,,,,,
,,2019 - 2020,768.0,88.0,0.11,,,,,,,,,,,,
,,2021 - 2022,500.0,248.0,0.5,,,,,,,,,,,,
,,2022 - 2023,630.0,425.0,0.67,,,,,,,,,,,,
,Bhind,2001 - 2002,17.0,7.0,0.41,,,,,,,,,,,,
,,2002 - 2003,1.0,0.0,0.0,,,,,,,,,,,,
,,2004 - 2005,2.0,,0.0,,,,,,,,,,,,
,,2005 - 2006,2.0,,0.0,,,,,,,,,,,,
,,2008 - 2009,,,,,,,4.0,1.0,0.25,,,,,,
,,2012 - 2013,5.0,1.0,0.2,,,,,,,,,,,,
,,2018 - 2019,6.0,4.0,0.67,,,,,,,,,,,,
,Bhopal,2022 - 2023,,,0.93,,,,,,,,,,,,
,Burhanpur,2003 - 2004,293.0,76.0,0.26,,,,,,,,,,,,
,,2004 - 2005,256.0,42.0,0.16,,,,,,,,,,,,
,,2005 - 2006,73.0,24.0,0.33,,,,,,,,,,,,
,,2006 - 2007,114.0,29.0,0.25,,,,,,,,,,,,
,,2007 - 2008,,,,,,,1.0,,0.0,,,,,,
,,2008 - 2009,,,,,,,40.0,10.0,0.25,,,,,,
,,2009 - 2010,39.0,6.0,0.15,2.0,4.0,2.0,,,,,,,,,
,,2010 - 2011,10.0,2.0,0.2,,,,,,,,,,,,
,,2011 - 2012,12.0,4.0,0.33,,,,,,,,,,,,
,,2012 - 2013,3.0,1.0,0.33,,,,,,,,,,,,
,,2018 - 2019,3.0,1.0,0.33,,,,,,,,,,,,
,Chhatarpur,2000 - 2001,,,0.2,,,,,,,,,,,,
,,2001 - 2002,,,0.3,,,,,,,,,,,,
,,2002 - 2003,,775.0,0.22,,,,,,,,,,,,
,,2003 - 2004,,,0.35,,,,,,,,,,,,
,,2004 - 2005,,,0.35,,,,,,,,,,,,
,,2005 - 2006,,357.0,0.27,,,,,,,,,,,,
,,2006 - 2007,,567.0,0.3,2.0,,0.0,,,,,,,,,
,,2008 - 2009,,,,,,,,516.0,0.3,,,,,,
,,2009 - 2010,,396.0,0.31,,,,,,,,,,,,
,,2010 - 2011,681.0,212.0,0.31,,,,,,,,,,,,
,,2011 - 2012,448.0,143.0,0.32,,,,,,,,,,,,
,,2012 - 2013,244.0,62.0,0.25,,,,,,,,,,,,
,,2013 - 2014,108.0,64.0,0.59,,,,,,,,,,,,
,,2014 - 2015,,,0.67,,,,,,,,,,,,
,,2018 - 2019,13.0,7.0,0.54,,,,,,,,,,,,
,,2019 - 2020,1.0,,0.0,,,,,,,,,,,,
,,2021 - 2022,28.0,22.0,0.79,,,,,,,,,,,,
,,2022 - 2023,180.0,140.0,0.78,,,,,,,,,,,,
,Chhindwara,2000 - 2001,,,0.12,,,,,,,,,,,,
,,2001 - 2002,,,0.17,,,,,,,,,,,,
,,2002 - 2003,,,0.15,,,,,,,,,,,,
,,2003 - 2004,,,0.26,,,,,,,,,,,,
,,2004 - 2005,,,0.23,,,,,,,,,,,,
,,2005 - 2006,,817.0,0.56,,,,,,,,,,,,
,,2006 - 2007,,,0.26,82.0,,0.0,,,,,,,,,
,,2007 - 2008,,,,,,,377.0,104.0,0.28,,,,,,
,,2008 - 2009,,,,,,,,,0.25,,,,,,
,,2009 - 2010,,,0.34,60.0,23.0,0.38,,,,,,,,,
,,2010 - 2011,,,0.26,,,,,,,,,,,,
,,2011 - 2012,,,0.41,,,,,,,,,,,,
,,2012 - 2013,,,0.51,,,,,,,,,,,,
,,2013 - 2014,,,0.36,,,,,,,,,,,,
,,2014 - 2015,,,0.7,,,,,,,,,,,,
,,2015 - 2016,,,0.53,,,,,,,,,,,,
,,2016 - 2017,,,1.11,,,,,,,,,,,,
,,2017 - 2018,,,0.98,,,,,,,,,,,,
,,2018 - 2019,,,0.37,,,,,,,,,,,,
,,2019 - 2020,,,0.66,,,,,,,,,,,,
,,2021 - 2022,,,0.56,,,,,,,,,,,,
,,2022 - 2023,,,1.06,,,,,,,,,,,,
,Damoh,2000 - 2001,,220.0,0.15,,,,,,,,,,,,
,,2001 - 2002,,326.0,0.26,,,,,,,,,,,,
,,2002 - 2003,,163.0,0.14,,,,,,,,,,,,
,,2003 - 2004,951.0,292.0,0.31,,,,,,,,,,,,
,,2004 - 2005,781.0,210.0,0.27,,,,,,,,,,,,
,,2005 - 2006,110.0,19.0,0.17,,,,,,,,,,,,
,,2006 - 2007,580.0,130.0,0.22,26.0,,0.0,,,,,,,,,
,,2007 - 2008,,,,,,,30.0,5.0,0.17,,,,,,
,,2008 - 2009,,,,,,,478.0,170.0,0.36,,,,,,
,,2009 - 2010,355.0,107.0,0.3,21.0,8.0,0.38,,,,,,,,,
,,2010 - 2011,167.0,74.0,0.44,,,,,,,,,,,,
,,2011 - 2012,,,0.45,,,,,,,,,,,,
,,2012 - 2013,98.0,34.0,0.35,,,,,,,,,,,,
,,2013 - 2014,97.0,24.0,0.25,,,,,,,,,,,,
,,2017 - 2018,120.0,70.0,0.58,,,,,,,,,,,,
,,2019 - 2020,1.0,,0.0,,,,,,,,,,,,
,Datia,2000 - 2001,10.0,4.0,0.4,,,,,,,,,,,,
,,2001 - 2002,11.0,4.0,0.36,,,,,,,,,,,,
,,2002 - 2003,8.0,2.0,0.25,,,,,,,,,,,,
,,2003 - 2004,6.0,3.0,0.5,,,,,,,,,,,,
,,2004 - 2005,6.0,1.0,0.17,,,,,,,,,,,,
,,2005 - 2006,3.0,1.0,0.33,,,,,,,,,,,,
,,2012 - 2013,100.0,34.0,0.34,,,,,,,,,,,,
,Dewas,2000 - 2001,14.0,4.0,0.29,,,,,,,,,,,,
,,2001 - 2002,77.0,12.0,0.16,,,,,,,,,,,,
,,2002 - 2003,13.0,3.0,0.23,,,,,,,,,,,,
,,2003 - 2004,5.0,1.0,0.2,,,,,,,,,,,,
,Dhar,2000 - 2001,167.0,15.0,0.09,,,,,,,,,,,,
,,2001 - 2002,138.0,14.0,0.1,,,,,,,,,,,,
,,2002 - 2003,258.0,48.0,0.19,,,,,,,,,,,,
,,2003 - 2004,154.0,42.0,0.27,,,,,,,,,,,,
,,2004 - 2005,110.0,28.0,0.25,,,,,,,,,,,,
,,2005 - 2006,114.0,26.0,0.23,,,,,,,,,,,,
,,2006 - 2007,98.0,28.0,0.29,1.0,,0.0,,,,,,,,,
,,2007 - 2008,,,,,,,24.0,4.0,0.17,,,,,,
,,2008 - 2009,,,,,,,58.0,16.0,0.28,,,,,,
,,2009 - 2010,49.0,14.0,0.29,3.0,1.0,0.33,,,,,,,,,
,,2010 - 2011,51.0,23.0,0.45,,,,,,,,,,,,
,,2011 - 2012,24.0,8.0,0.33,,,,,,,,,,,,
,,2012 - 2013,18.0,8.0,0.44,,,,,,,,,,,,
,,2013 - 2014,20.0,,0.0,,,,,,,,,,,,
,,2018 - 2019,1.0,,0.0,,,,,,,,,,,,
,,2019 - 2020,51.0,33.0,0.65,,,,,,,,,,,,
,,2021 - 2022,35.0,19.0,0.54,,,,,,,,,,,,
,,2022 - 2023,158.0,96.0,0.61,,,,,,,,,,,,
,Dindori,2000 - 2001,,,0.12,,,,,,,,,,,,
,,2001 - 2002,,,0.24,,,,,,,,,,,,
,,2002 - 2003,,,0.17,,,,,,,,,,,,
,,2003 - 2004,,,0.22,,,,,,,,,,,,
,,2004 - 2005,,,0.19,,,,,,,,,,,,
,,2005 - 2006,305.0,5.0,0.02,,,,,,,,,,,,
,,2006 - 2007,,,0.17,,,,,,,,,,,,
,,2008 - 2009,,,,,,,,,0.21,,,,,,
,,2009 - 2010,,,0.19,,,,,,,,,,,,
,,2010 - 2011,,,0.23,,,,,,,,,,,,
,,2011 - 2012,,,0.24,,,,,,,,,,,,
,,2012 - 2013,,,0.49,,,,,,,,,,,,
,,2013 - 2014,,,0.88,,,,,,,,,,,,
,,2014 - 2015,,,0.33,,,,,,,,,,,,
,,2015 - 2016,,,0.81,,,,,,,,,,,,
,,2016 - 2017,,,1.05,,,,,,,,,,,,
,,2017 - 2018,,,0.98,,,,,,,,,,,,
,,2018 - 2019,,,0.74,,,,,,,,,,,,
,,2019 - 2020,,,0.98,,,,,,,,,,,,
,,2021 - 2022,,,0.8,,,,,,,,,,,,
,,2022 - 2023,,,1.04,,,,,,,,,,,,
,Guna,2000 - 2001,5.0,2.0,0.4,,,,,,,,,,,,
,,2001 - 2002,2.0,1.0,0.5,,,,,,,,,,,,
,,2002 - 2003,12.0,2.0,0.17,,,,,,,,,,,,
,,2003 - 2004,18.0,6.0,0.33,,,,,,,,,,,,
,Gwalior,2018 - 2019,2.0,,0.0,,,,,,,,,,,,
,Harda,2000 - 2001,,213.0,0.17,,,,,,,,,,,,
,,2001 - 2002,,273.0,0.23,,,,,,,,,,,,
,,2003 - 2004,900.0,202.0,0.22,,,,,,,,,,,,
,,2004 - 2005,,244.0,0.21,,,,,,,,,,,,
,,2005 - 2006,47.0,16.0,0.34,,,,,,,,,,,,
,,2006 - 2007,493.0,94.0,0.19,,,,,,,,,,,,
,,2008 - 2009,,,,,,,203.0,50.0,0.25,,,,,,
,,2009 - 2010,183.0,40.0,0.22,,,,,,,,,,,,
,,2010 - 2011,286.0,87.0,0.3,,,,,,,,,,,,
,,2011 - 2012,64.0,16.0,0.25,,,,,,,,,,,,
,,2012 - 2013,14.0,3.0,0.21,,,,,,,,,,,,
,,2013 - 2014,86.0,28.0,0.33,,,,,,,,,,,,
,,2018 - 2019,14.0,5.0,0.36,,,,,,,,,,,,
,,2019 - 2020,3.0,1.0,0.33,,,,,,,,,,,,
,,2021 - 2022,9.0,3.0,0.33,,,,,,,,,,,,
,Hoshangabad,2000 - 2001,,452.0,0.19,,,,,,,,,,,,
,,2001 - 2002,,648.0,0.23,,,,,,,,,,,,
,,2002 - 2003,,651.0,0.25,,,,,,,,,,,,
,,2003 - 2004,,725.0,0.27,,,,,,,,,,,,
,,2004 - 2005,,524.0,0.21,,,,,,,,,,,,
,,2005 - 2006,257.0,103.0,0.4,,,,,,,,,,,,
,,2006 - 2007,,518.0,0.24,,,,,,,,,,,,
,,2007 - 2008,,,,,,,11.0,3.0,0.27,,,,,,
,,2008 - 2009,,,,,,,,386.0,0.27,,,,,,
,,2009 - 2010,,344.0,0.26,2.0,1.0,0.5,,,,,,,,,
,,2010 - 2011,768.0,283.0,0.37,,,,,,,,,,,,
,,2011 - 2012,237.0,75.0,0.32,,,,,,,,,,,,
,,2012 - 2013,164.0,61.0,0.37,,,,,,,,,,,,
,,2013 - 2014,154.0,52.0,0.34,,,,,,,,,,,,
,,2014 - 2015,,0.0,0.0,,,,,,,,,,,,
,,2015 - 2016,,285.0,0.29,,,,,,,,,,,,
,,2016 - 2017,,800.0,0.8,,,,,,,,,,,,
,,2017 - 2018,40.0,30.0,0.75,,,,,,,,,,,,
,,2018 - 2019,32.0,19.0,0.59,,,,,,,,,,,,
,,2019 - 2020,1.0,,0.0,,,,,,,,,,,,
,,2021 - 2022,8.0,3.0,0.38,,,,,,,,,,,,
,,2022 - 2023,160.0,100.0,0.63,,,,,,,,,,,,
,Indore,2000 - 2001,7.0,2.0,0.29,,,,,,,,,,,,
,,2002 - 2003,3.0,1.0,0.33,,,,,,,,,,,,
,,2004 - 2005,2.0,1.0,0.5,,,,,,,,,,,,
,Jabalpur,2000 - 2001,,,0.14,,,,,,,,,,,,
,,2001 - 2002,,,0.24,,,,,,,,,,,,
,,2002 - 2003,,,0.24,,,,,,,,,,,,
,,2003 - 2004,,,0.42,,,,,,,,,,,,
,,2004 - 2005,,,0.37,,,,,,,,,,,,
,,2005 - 2006,28.0,134.0,4.79,,,,,,,,,,,,
,,2006 - 2007,,,0.36,,,,,,,,,,,,
,,2008 - 2009,,,,,,,,,0.33,,,,,,
,,2009 - 2010,,,0.3,4.0,6.0,1.5,,,,,,,,,
,,2010 - 2011,,,0.53,,,,,,,,,,,,
,,2011 - 2012,,,0.39,,,,,,,,,,,,
,,2012 - 2013,,,0.37,,,,,,,,,,,,
,,2013 - 2014,,,0.75,,,,,,,,,,,,
,,2014 - 2015,,,0.43,,,,,,,,,,,,
,,2015 - 2016,,,0.33,,,,,,,,,,,,
,,2016 - 2017,,,1.0,,,,,,,,,,,,
,,2017 - 2018,,,1.09,,,,,,,,,,,,
,,2018 - 2019,,,0.71,,,,,,,,,,,,
,,2019 - 2020,,,0.93,,,,,,,,,,,,
,,2021 - 2022,,,0.85,,,,,,,,,,,,
,,2022 - 2023,,,0.92,,,,,,,,,,,,
,Jhabua,2000 - 2001,,739.0,0.12,,,,,,,,,,,,
,,2001 - 2002,,,0.19,,,,,,,,,,,,
,,2002 - 2003,,,0.18,,,,,,,,,,,,
,,2003 - 2004,,,0.25,,,,,,,,,,,,
,,2004 - 2005,,981.0,0.24,,,,,,,,,,,,
,,2005 - 2006,,853.0,0.24,,,,,,,,,,,,
,,2006 - 2007,,774.0,0.24,1.0,,0.0,,,,,,,,,
,,2007 - 2008,,,,,,,985.0,200.0,0.2,,,,,,
,,2008 - 2009,,,,,,,559.0,148.0,0.26,,,,,,
,,2009 - 2010,568.0,129.0,0.23,,,,,,,,,,,,
,,2010 - 2011,475.0,117.0,0.25,,,,,,,,,,,,
,,2011 - 2012,412.0,91.0,0.22,,,,,,,,,,,,
,,2012 - 2013,323.0,88.0,0.27,,,,,,,,,,,,
,,2013 - 2014,282.0,130.0,0.46,,,,,,,,,,,,
,,2014 - 2015,,,0.75,,,,,,,,,,,,
,,2018 - 2019,6.0,2.0,0.33,,,,,,,,,,,,
,,2019 - 2020,2.0,1.0,0.5,,,,,,,,,,,,
,,2021 - 2022,2.0,1.0,0.5,,,,,,,,,,,,
,,2022 - 2023,165.0,119.0,0.72,,,,,,,,,,,,
,Katni,2000 - 2001,,957.0,0.13,,,,,,,,,,,,
,,2001 - 2002,,,0.24,,,,,,,,,,,,
,,2002 - 2003,,,0.16,,,,,,,,,,,,
,,2003 - 2004,,,0.26,,,,,,,,,,,,
,,2004 - 2005,,,0.23,,,,,,,,,,,,
,,2005 - 2006,,2.0,0.0,,,,,,,,,,,,
,,2006 - 2007,,646.0,0.11,,,,,,,,,,,,
,,2008 - 2009,,,,,,,,,0.23,,,,,,
,,2009 - 2010,,392.0,0.12,,,,,,,,,,,,
,,2010 - 2011,,715.0,0.21,,,,,,,,,,,,
,,2011 - 2012,,508.0,0.17,,,,,,,,,,,,
,,2012 - 2013,,,0.39,,,,,,,,,,,,
,,2013 - 2014,,,1.39,,,,,,,,,,,,
,,2014 - 2015,,,0.5,,,,,,,,,,,,
,,2015 - 2016,,,0.67,,,,,,,,,,,,
,,2016 - 2017,,,1.0,,,,,,,,,,,,
,,2017 - 2018,660.0,710.0,1.08,,,,,,,,,,,,
,,2018 - 2019,328.0,356.0,1.09,,,,,,,,,,,,
,,2019 - 2020,302.0,418.0,1.38,,,,,,,,,,,,
,,2021 - 2022,655.0,576.0,0.88,,,,,,,,,,,,
,,2022 - 2023,614.0,677.0,1.1,,,,,,,,,,,,
,Khandwa,2000 - 2001,,751.0,0.13,,,,,,,,,,,,
,,2001 - 2002,,868.0,0.19,,,,,,,,,,,,
,,2002 - 2003,,741.0,0.2,,,,,,,,,,,,
,,2003 - 2004,,671.0,0.25,,,,,,,,,,,,
,,2004 - 2005,,455.0,0.18,,,,,,,,,,,,
,,2005 - 2006,485.0,114.0,0.24,,,,,,,,,,,,
,,2006 - 2007,,517.0,0.23,,,,,,,,,,,,
,,2007 - 2008,,,,,,,225.0,50.0,0.22,,,,,,
,,2008 - 2009,,,,,,,,452.0,0.26,,,,,,
,,2009 - 2010,,348.0,0.23,13.0,5.0,0.38,,,,,,,,,
,,2010 - 2011,,350.0,0.31,,,,,,,,,,,,
,,2011 - 2012,,287.0,0.26,,,,,,,,,,,,
,,2012 - 2013,654.0,145.0,0.22,,,,,,,,,,,,
,,2013 - 2014,272.0,60.0,0.22,,,,,,,,,,,,
,,2014 - 2015,,,0.5,,,,,,,,,,,,
,,2016 - 2017,,,5.0,,,,,,,,,,,,
,,2017 - 2018,480.0,310.0,0.65,,,,,,,,,,,,
,,2018 - 2019,40.0,19.0,0.48,,,,,,,,,,,,
,,2019 - 2020,45.0,20.0,0.44,,,,,,,,,,,,
,,2021 - 2022,8.0,2.0,0.25,,,,,,,,,,,,
,,2022 - 2023,70.0,43.0,0.61,,,,,,,,,,,,
,Khargone,2000 - 2001,247.0,40.0,0.16,,,,,,,,,,,,
,,2001 - 2002,372.0,73.0,0.2,,,,,,,,,,,,
,,2002 - 2003,337.0,73.0,0.22,,,,,,,,,,,,
,,2003 - 2004,89.0,23.0,0.26,,,,,,,,,,,,
,,2004 - 2005,228.0,42.0,0.18,,,,,,,,,,,,
,,2005 - 2006,100.0,14.0,0.14,,,,,,,,,,,,
,,2006 - 2007,163.0,34.0,0.21,13.0,,0.0,,,,,,,,,
,,2007 - 2008,,,,,,,178.0,47.0,0.26,,,,,,
,,2008 - 2009,,,,,,,469.0,118.0,0.25,,,,,,
,,2012 - 2013,9.0,2.0,0.22,,,,,,,,,,,,
,,2013 - 2014,12.0,2.0,0.17,,,,,,,,,,,,
,,2014 - 2015,,,0.5,,,,,,,,,,,,
,Mandla,2000 - 2001,,,0.09,,,,,,,,,,,,
,,2001 - 2002,,,0.21,,,,,,,,,,,,
,,2002 - 2003,,,0.2,,,,,,,,,,,,
,,2003 - 2004,,,0.25,,,,,,,,,,,,
,,2004 - 2005,,,0.22,,,,,,,,,,,,
,,2005 - 2006,,215.0,0.08,,,,,,,,,,,,
,,2006 - 2007,,,0.22,46.0,,0.0,,,,,,,,,
,,2007 - 2008,,,,,,,167.0,37.0,0.22,,,,,,
,,2008 - 2009,,,,,,,,,0.24,,,,,,
,,2009 - 2010,,,0.2,29.0,7.0,0.24,,,,,,,,,
,,2010 - 2011,,,0.3,,,,,,,,,,,,
,,2011 - 2012,,,0.25,,,,,,,,,,,,
,,2012 - 2013,,,0.18,,,,,,,,,,,,
,,2013 - 2014,,,0.78,,,,,,,,,,,,
,,2014 - 2015,,,0.27,,,,,,,,,,,,
,,2015 - 2016,,,0.81,,,,,,,,,,,,
,,2016 - 2017,,,1.0,,,,,,,,,,,,
,,2017 - 2018,,,0.92,,,,,,,,,,,,
,,2018 - 2019,,,1.04,,,,,,,,,,,,
,,2019 - 2020,,,1.06,,,,,,,,,,,,
,,2021 - 2022,,,1.07,,,,,,,,,,,,
,,2022 - 2023,,,1.17,,,,,,,,,,,,
,Mandsaur,2018 - 2019,1.0,1.0,1.0,,,,,,,,,,,,
,Morena,2018 - 2019,12.0,6.0,0.5,,,,,,,,,,,,
,Narsinghpur,2000 - 2001,,687.0,0.17,,,,,,,,,,,,
,,2001 - 2002,,,0.34,,,,,,,,,,,,
,,2002 - 2003,,,0.31,,,,,,,,,,,,
,,2003 - 2004,,,0.37,,,,,,,,,,,,
,,2004 - 2005,,963.0,0.34,,,,,,,,,,,,
,,2005 - 2006,248.0,167.0,0.67,,,,,,,,,,,,
,,2006 - 2007,,692.0,0.31,,,,,,,,,,,,
,,2008 - 2009,,,,,,,,529.0,0.31,,,,,,
,,2009 - 2010,,580.0,0.33,1.0,,0.0,,,,,,,,,
,,2010 - 2011,,516.0,0.44,,,,,,,,,,,,
,,2011 - 2012,,394.0,0.38,,,,,,,,,,,,
,,2012 - 2013,,316.0,0.31,,,,,,,,,,,,
,,2013 - 2014,445.0,149.0,0.33,,,,,,,,,,,,
,,2017 - 2018,40.0,40.0,1.0,,,,,,,,,,,,
,,2018 - 2019,145.0,41.0,0.28,,,,,,,,,,,,
,,2019 - 2020,139.0,57.0,0.41,,,,,,,,,,,,
,,2021 - 2022,100.0,45.0,0.45,,,,,,,,,,,,
,,2022 - 2023,173.0,102.0,0.59,,,,,,,,,,,,
,Neemuch,2011 - 2012,668.0,435.0,0.65,,,,,,,,,,,,
,,2012 - 2013,1.0,,0.0,,,,,,,,,,,,
,Panna,2000 - 2001,,595.0,0.13,,,,,,,,,,,,
,,2001 - 2002,,766.0,0.22,,,,,,,,,,,,
,,2002 - 2003,,408.0,0.14,,,,,,,,,,,,
,,2003 - 2004,,479.0,0.18,,,,,,,,,,,,
,,2004 - 2005,,554.0,0.18,,,,,,,,,,,,
,,2005 - 2006,73.0,45.0,0.62,,,,,,,,,,,,
,,2006 - 2007,,238.0,0.16,11.0,,0.0,,,,,,,,,
,,2008 - 2009,,,,,,,,370.0,0.27,,,,,,
,,2009 - 2010,,281.0,0.27,8.0,3.0,0.38,,,,,,,,,
,,2010 - 2011,,402.0,0.34,,,,,,,,,,,,
,,2011 - 2012,,459.0,0.33,,,,,,,,,,,,
,,2012 - 2013,720.0,242.0,0.34,,,,,,,,,,,,
,,2013 - 2014,667.0,225.0,0.34,,,,,,,,,,,,
,,2014 - 2015,,,0.75,,,,,,,,,,,,
,,2018 - 2019,8.0,4.0,0.5,,,,,,,,,,,,
,,2019 - 2020,24.0,12.0,0.5,,,,,,,,,,,,
,,2021 - 2022,13.0,6.0,0.46,,,,,,,,,,,,
,,2022 - 2023,250.0,131.0,0.52,,,,,,,,,,,,
,Raisen,2000 - 2001,839.0,281.0,0.33,,,,,,,,,,,,
,,2001 - 2002,910.0,342.0,0.38,,,,,,,,,,,,
,,2002 - 2003,883.0,345.0,0.39,,,,,,,,,,,,
,,2003 - 2004,,472.0,0.45,,,,,,,,,,,,
,,2004 - 2005,994.0,410.0,0.41,,,,,,,,,,,,
,,2005 - 2006,104.0,68.0,0.65,,,,,,,,,,,,
,,2006 - 2007,815.0,395.0,0.48,91.0,,0.0,,,,,,,,,
,,2008 - 2009,,,,,,,614.0,288.0,0.47,,,,,,
,,2009 - 2010,568.0,248.0,0.44,34.0,18.0,0.53,,,,,,,,,
,,2010 - 2011,229.0,116.0,0.51,,,,,,,,,,,,
,,2011 - 2012,129.0,74.0,0.57,,,,,,,,,,,,
,,2012 - 2013,60.0,56.0,0.93,,,,,,,,,,,,
,,2013 - 2014,131.0,128.0,0.98,,,,,,,,,,,,
,,2014 - 2015,,0.0,0.0,,,,,,,,,,,,
,,2015 - 2016,,532.0,0.53,,,,,,,,,,,,
,,2016 - 2017,,820.0,0.82,,,,,,,,,,,,
,,2018 - 2019,2.0,2.0,1.0,,,,,,,,,,,,
,,2019 - 2020,10.0,12.0,1.2,,,,,,,,,,,,
,,2021 - 2022,4.0,3.0,0.75,,,,,,,,,,,,
,Rajgarh,2001 - 2002,1.0,0.0,0.0,,,,,,,,,,,,
,,2008 - 2009,,,,,,,1.0,,0.0,,,,,,
,,2018 - 2019,17.0,7.0,0.41,,,,,,,,,,,,
,,2022 - 2023,,,0.79,,,,,,,,,,,,
,Ratlam,2000 - 2001,641.0,189.0,0.29,,,,,,,,,,,,
,,2001 - 2002,686.0,181.0,0.26,,,,,,,,,,,,
,,2002 - 2003,806.0,257.0,0.32,,,,,,,,,,,,
,,2003 - 2004,769.0,340.0,0.44,,,,,,,,,,,,
,,2004 - 2005,571.0,173.0,0.3,,,,,,,,,,,,
,,2005 - 2006,368.0,107.0,0.29,,,,,,,,,,,,
,,2006 - 2007,563.0,232.0,0.41,,,,,,,,,,,,
,,2008 - 2009,,,,,,,383.0,171.0,0.45,,,,,,
,,2009 - 2010,540.0,218.0,0.4,,,,,,,,,,,,
,,2010 - 2011,444.0,261.0,0.59,,,,,,,,,,,,
,,2011 - 2012,23.0,,0.0,,,,,,,,,,,,
,,2012 - 2013,45.0,17.0,0.38,,,,,,,,,,,,
,,2013 - 2014,54.0,25.0,0.46,,,,,,,,,,,,
,,2018 - 2019,1.0,1.0,1.0,,,,,,,,,,,,
,,2021 - 2022,260.0,190.0,0.73,,,,,,,,,,,,
,Rewa,2000 - 2001,,,0.28,,,,,,,,,,,,
,,2001 - 2002,,,0.33,,,,,,,,,,,,
,,2002 - 2003,,,0.28,,,,,,,,,,,,
,,2003 - 2004,,,0.31,,,,,,,,,,,,
,,2004 - 2005,,,0.34,,,,,,,,,,,,
,,2005 - 2006,19.0,5.0,0.26,,,,,,,,,,,,
,,2006 - 2007,,,0.34,,,,,,,,,,,,
,,2008 - 2009,,,,,,,,,0.4,,,,,,
,,2009 - 2010,,971.0,0.35,,,,,,,,,,,,
,,2010 - 2011,,916.0,0.52,,,,,,,,,,,,
,,2011 - 2012,,705.0,0.37,,,,,,,,,,,,
,,2012 - 2013,,351.0,0.26,,,,,,,,,,,,
,,2013 - 2014,,471.0,0.46,,,,,,,,,,,,
,,2014 - 2015,,,0.5,,,,,,,,,,,,
,,2015 - 2016,,,0.5,,,,,,,,,,,,
,,2016 - 2017,,,1.0,,,,,,,,,,,,
,,2017 - 2018,900.0,940.0,1.04,,,,,,,,,,,,
,,2018 - 2019,182.0,98.0,0.54,,,,,,,,,,,,
,,2019 - 2020,256.0,170.0,0.66,,,,,,,,,,,,
,,2021 - 2022,194.0,129.0,0.66,,,,,,,,,,,,
,,2022 - 2023,656.0,543.0,0.83,,,,,,,,,,,,
,Sagar,2000 - 2001,,480.0,0.22,,,,,,,,,,,,
,,2001 - 2002,,515.0,0.23,,,,,,,,,,,,
,,2002 - 2003,979.0,206.0,0.21,,,,,,,,,,,,
,,2003 - 2004,,576.0,0.29,,,,,,,,,,,,
,,2004 - 2005,,524.0,0.27,,,,,,,,,,,,
,,2005 - 2006,118.0,200.0,1.69,,,,,,,,,,,,
