state,district,year,ragi_kharif_area_hectare,ragi_kharif_production_tonne,ragi_kharif_yield_tonne_per_hectare,ragi_rabi_area_hectare,ragi_rabi_production_tonne,ragi_rabi_yield_tonne_per_hectare,ragi_autumn_area_hectare,ragi_autumn_production_tonne,ragi_autumn_yield_tonne_per_hectare,ragi_summer_area_hectare,ragi_summer_production_tonne,ragi_summer_yield_tonne_per_hectare,ragi_whole_year_area_hectare,ragi_whole_year_production_tonne,ragi_whole_year_yield_tonne_per_hectare,ragi_winter_area_hectare,ragi_winter_production_tonne,ragi_winter_yield_tonne_per_hectare
,,2005 - 2006,17.0,21.0,1.24,10.0,17.0,1.7,,,,,,,,,,,,
,,2006 - 2007,16.0,14.0,0.88,7.0,7.0,1.0,,,,,,,,,,,,
,,2007 - 2008,19.0,26.0,1.37,7.0,13.0,1.86,,,,,,,,,,,,
,,2008 - 2009,28.0,18.0,0.64,2.0,3.0,1.5,,,,,,,,,,,,
,,2009 - 2010,8.0,9.0,1.13,,,,,,,,,,,,,,,
,,2010 - 2011,8.0,8.0,1.0,4.0,7.0,1.75,,,,,,,,,,,,
,,2011 - 2012,6.0,7.0,1.17,4.0,7.0,1.75,,,,,,,,,,,,
,,2012 - 2013,12.0,18.0,1.5,4.0,6.0,1.5,,,,,,,,,,,,
,,2013 - 2014,8.0,15.0,1.88,1.0,1.0,1.0,,,,,,,,,,,,
,,2014 - 2015,8.0,15.0,1.88,1.0,2.0,2.0,,,,,,,,,,,,
,,2015 - 2016,5.0,8.0,1.6,,,,,,,,,,,,,,,
,,2018 - 2019,3.0,4.0,1.33,3.0,4.0,1.33,,,,,,,,,,,,
,,2019 - 2020,6.0,10.0,1.67,15.0,21.0,1.4,,,,,,,,,,,,
,,2020 - 2021,3.0,5.0,1.67,10.0,15.0,1.5,,,,,,,,,,,,
,,2021 - 2022,4.0,5.0,1.25,3.0,4.0,1.33,,,,,,,,,,,,
,,2022 - 2023,6.0,8.0,1.33,2.0,3.0,1.5,,,,,,,,,,,,
,Vijayanagar,2022 - 2023,,,1.16,,,1.37,,,,,,1.16,,,,,,
,Yadgir,2018 - 2019,10.0,12.0,1.2,,,,,,,,,,,,,,,
,,2019 - 2020,4.0,7.0,1.75,14.0,20.0,1.43,,,,3.0,5.0,1.67,,,,,,
,,2020 - 2021,9.0,16.0,1.78,5.0,8.0,1.6,,,,3.0,6.0,2.0,,,,,,
,,2021 - 2022,9.0,12.0,1.33,64.0,86.0,1.34,,,,1.0,2.0,2.0,,,,,,
,,2022 - 2023,6.0,8.0,1.33,3.0,4.0,1.33,,,,,,,,,,,,
Kerala,Alappuzha,2007 - 2008,1.0,1.0,1.0,,,,,,,,,,,,,,,
,,2020 - 2021,,,,,,,,,,,,,3.81,4.76,1.25,,,
,Ernakulam,2004 - 2005,1.0,1.0,1.0,,,,,,,,,,,,,,,
,,2006 - 2007,4.0,3.0,0.75,,,,,,,,,,,,,,,
,Idukki,2000 - 2001,8.0,7.0,0.88,,,,,,,,,,,,,,,
,,2001 - 2002,11.0,9.0,0.82,,,,,,,,,,,,,,,
,,2002 - 2003,25.0,20.0,0.8,,,,,,,,,,,,,,,
,,2003 - 2004,74.0,59.0,0.8,,,,,,,,,,,,,,,
,,2004 - 2005,65.0,52.0,0.8,,,,,,,,,,,,,,,
,,2006 - 2007,6.0,5.0,0.83,,,,,,,,,,,,,,,
,,2007 - 2008,1.0,1.0,1.0,,,,,,,,,,,,,,,
,,2008 - 2009,5.0,4.0,0.8,,,,,,,,,,,,,,,
,,2014 - 2015,,,,,,,,,,,,,2.0,2.0,1.0,,,
,,2015 - 2016,,,,,,,,,,,,,14.0,25.0,1.79,,,
,,2016 - 2017,,,,,,,,,,,,,13.0,24.0,1.85,,,
,,2017 - 2018,,,,,,,,,,,,,34.5,62.0,1.8,,,
,,2018 - 2019,,,,,,,,,,,,,73.2,130.65,1.78,,,
,,2019 - 2020,,,,,,,,,,,,,76.0,140.0,1.84,,,
,,2020 - 2021,,,,,,,,,,,,,132.05,240.29,1.82,,,
,,2021 - 2022,,,,,,,,,,,,,43.0,72.0,1.67,,,
,,2022 - 2023,,,,,,,,,,,,,34.52,60.99,1.77,,,
,Kannur,2022 - 2023,,,,,,,,,,,,,3.3,2.13,0.65,,,
,Kasaragod,2008 - 2009,1.0,1.0,1.0,,,,,,,,,,,,,,,
,,2009 - 2010,1.0,,0.0,,,,,,,,,,,,,,,
,,2020 - 2021,,,,,,,,,,,,,0.8,0.9,1.13,,,
,Kollam,2008 - 2009,1.0,1.0,1.0,,,,,,,,,,,,,,,
,Malappuram,2000 - 2001,4.0,3.0,0.75,,,,,,,,,,,,,,,
,,2001 - 2002,3.0,2.0,0.67,,,,,,,,,,,,,,,
,,2002 - 2003,1.0,1.0,1.0,,,,,,,,,,,,,,,
,,2004 - 2005,5.0,4.0,0.8,,,,,,,,,,,,,,,
,,2007 - 2008,2.0,2.0,1.0,,,,,,,,,,,,,,,
,,2012 - 2013,,,,,,,,,,,,,1.0,,0.0,,,
,Palakkad,2000 - 2001,,,0.81,,,,,,,,,,,,,,,
,,2001 - 2002,,,0.81,,,,,,,,,,,,,,,
,,2002 - 2003,,,0.81,,,,,,,,,,,,,,,
,,2003 - 2004,,,0.81,,,,,,,,,,,,,,,
,,2004 - 2005,,,0.81,,,,,,,,,,,,,,,
,,2005 - 2006,414.0,335.0,0.81,,,,,,,,,,,,,,,
,,2006 - 2007,504.0,408.0,0.81,,,,,,,,,,,,,,,
,,2007 - 2008,260.0,210.0,0.81,,,,,,,,,,,,,,,
,,2008 - 2009,598.0,484.0,0.81,,,,,,,,,,,,,,,
,,2009 - 2010,292.0,236.0,0.81,,,,,,,,,,,,,,,
,,2012 - 2013,,,,,,,,,,,,,112.0,123.0,1.1,,,
,,2013 - 2014,,,,,,,,,,,,,82.0,85.0,1.04,,,
,,2014 - 2015,,,,,,,,,,,,,77.0,76.0,0.99,,,
,,2015 - 2016,,,,,,,,,,,,,50.0,51.0,1.02,,,
,,2016 - 2017,,,,,,,,,,,,,20.0,18.0,0.9,,,
,,2017 - 2018,,,,,,,,,,,,,52.0,48.0,0.92,,,
,,2018 - 2019,,,,,,,,,,,,,151.5,140.8,0.93,,,
,,2019 - 2020,,,,,,,,,,,,,137.0,121.0,0.88,,,
,,2020 - 2021,,,,,,,,,,,,,93.6,83.6,0.89,,,
,,2021 - 2022,,,,,,,,,,,,,124.0,207.0,1.67,,,
,,2022 - 2023,,,,,,,,,,,,,87.14,148.65,1.71,,,
,Thiruvananthapuram,2007 - 2008,1.0,1.0,1.0,,,,,,,,,,,,,,,
,,2022 - 2023,,,,,,,,,,,,,0.02,0.01,0.5,,,
,Wayanad,2003 - 2004,3.0,2.0,0.67,,,,,,,,,,,,,,,
,,2004 - 2005,2.0,1.0,0.5,,,,,,,,,,,,,,,
,,2006 - 2007,2.0,1.0,0.5,,,,,,,,,,,,,,,
,,2007 - 2008,1.0,1.0,1.0,,,,,,,,,,,,,,,
,,2008 - 2009,3.0,2.0,0.67,,,,,,,,,,,,,,,
,,2021 - 2022,,,,,,,,,,,,,1.0,0.1,0.1,,,
Madhya Pradesh,Balaghat,2000 - 2001,412.0,110.0,0.27,,,,,,,,,,,,,,,
,,2001 - 2002,384.0,103.0,0.27,,,,,,,,,,,,,,,
,,2002 - 2003,440.0,118.0,0.27,,,,,,,,,,,,,,,
,,2003 - 2004,469.0,125.0,0.27,,,,,,,,,,,,,,,
,,2004 - 2005,329.0,88.0,0.27,,,,,,,,,,,,,,,
,,2005 - 2006,415.0,111.0,0.27,,,,,,,,,,,,,,,
,,2007 - 2008,413.0,129.0,0.31,,,,,,,,,,,,,,,
,,2008 - 2009,424.0,132.0,0.31,,,,,,,,,,,,,,,
,,2009 - 2010,,,,,,,,,,,,,379.0,119.0,0.31,,,
,,2010 - 2011,279.0,87.0,0.31,,,,,,,,,,,,,,,
,,2011 - 2012,261.0,68.0,0.26,,,,,,,,,,,,,,,
,,2012 - 2013,223.0,64.0,0.29,,,,,,,,,,,,,,,
,,2013 - 2014,220.0,67.0,0.3,,,,,,,,,,,,,,,
,Betul,2000 - 2001,26.0,5.0,0.19,,,,,,,,,,,,,,,
,,2001 - 2002,23.0,6.0,0.26,,,,,,,,,,,,,,,
,,2002 - 2003,38.0,9.0,0.24,,,,,,,,,,,,,,,
,,2003 - 2004,21.0,5.0,0.24,,,,,,,,,,,,,,,
,Chhatarpur,2001 - 2002,3.0,1.0,0.33,,,,,,,,,,,,,,,
,,2002 - 2003,5.0,1.0,0.2,,,,,,,,,,,,,,,
,Chhindwara,2000 - 2001,3.0,1.0,0.33,,,,,,,,,,,,,,,
,,2003 - 2004,3.0,1.0,0.33,,,,,,,,,,,,,,,
,,2005 - 2006,2.0,1.0,0.5,,,,,,,,,,,,,,,
,,2009 - 2010,,,,,,,,,,,,,3.0,1.0,0.33,,,
,,2010 - 2011,1.0,,0.0,,,,,,,,,,,,,,,
,,2012 - 2013,76.0,30.0,0.39,,,,,,,,,,,,,,,
,Dhar,2002 - 2003,2.0,0.1,0.05,,,,,,,,,,,,,,,
,,2004 - 2005,10.0,3.0,0.3,,,,,,,,,,,,,,,
,,2008 - 2009,16.0,5.0,0.31,,,,,,,,,,,,,,,
,Dindori,2000 - 2001,1.0,0.1,0.1,,,,,,,,,,,,,,,
,,2001 - 2002,5.0,1.0,0.2,,,,,,,,,,,,,,,
,,2002 - 2003,1.0,0.1,0.1,,,,,,,,,,,,,,,
,,2003 - 2004,1.0,0.1,0.1,,,,,,,,,,,,,,,
,Hoshangabad,2000 - 2001,7.0,2.0,0.29,,,,,,,,,,,,,,,
,,2001 - 2002,4.0,1.0,0.25,,,,,,,,,,,,,,,
,,2002 - 2003,21.0,5.0,0.24,,,,,,,,,,,,,,,
,,2003 - 2004,4.0,1.0,0.25,,,,,,,,,,,,,,,
,,2012 - 2013,1.0,,0.0,,,,,,,,,,,,,,,
,Jabalpur,2004 - 2005,50.0,17.0,0.34,,,,,,,,,,,,,,,
,Jhabua,2008 - 2009,1.0,,0.0,,,,,,,,,,,,,,,
,Katni,2012 - 2013,114.0,33.0,0.29,,,,,,,,,,,,,,,
,,2013 - 2014,115.0,125.0,1.09,,,,,,,,,,,,,,,
,Khandwa,2000 - 2001,12.0,2.0,0.17,,,,,,,,,,,,,,,
,,2002 - 2003,3.0,1.0,0.33,,,,,,,,,,,,,,,
,Mandla,2003 - 2004,5.0,1.0,0.2,,,,,,,,,,,,,,,
,,2004 - 2005,3.0,1.0,0.33,,,,,,,,,,,,,,,
,,2005 - 2006,2.0,,0.0,,,,,,,,,,,,,,,
,Narsinghpur,2007 - 2008,25.0,7.0,0.28,,,,,,,,,,,,,,,
,Panna,2002 - 2003,23.0,4.0,0.17,,,,,,,,,,,,,,,
,Sagar,2002 - 2003,68.0,11.0,0.16,,,,,,,,,,,,,,,
,,2004 - 2005,11.0,3.0,0.27,,,,,,,,,,,,,,,
,,2007 - 2008,16.0,4.0,0.25,,,,,,,,,,,,,,,
,,2008 - 2009,1.0,,0.0,,,,,,,,,,,,,,,
,,2010 - 2011,1.0,,0.0,,,,,,,,,,,,,,,
,,2011 - 2012,1.0,,0.0,,,,,,,,,,,,,,,
,,2012 - 2013,1.0,,0.0,,,,,,,,,,,,,,,
,,2013 - 2014,1.0,,0.0,,,,,,,,,,,,,,,
,Satna,2001 - 2002,6.0,1.0,0.17,,,,,,,,,,,,,,,
,,2010 - 2011,2.0,,0.0,,,,,,,,,,,,,,,
,Seoni,2000 - 2001,3.0,0.1,0.03,,,,,,,,,,,,,,,
,,2001 - 2002,3.0,1.0,0.33,,,,,,,,,,,,,,,
,,2002 - 2003,3.0,0.1,0.03,,,,,,,,,,,,,,,
,,2003 - 2004,11.0,3.0,0.27,,,,,,,,,,,,,,,
,Shivpuri,2001 - 2002,12.0,3.0,0.25,,,,,,,,,,,,,,,
,Sidhi,2002 - 2003,4.0,1.0,0.25,,,,,,,,,,,,,,,
,,2005 - 2006,2.0,1.0,0.5,,,,,,,,,,,,,,,
,,2007 - 2008,2.0,,0.0,,,,,,,,,,,,,,,
,Singrauli,2008 - 2009,2.0,1.0,0.5,,,,,,,,,,,,,,,
,Tikamgarh,2000 - 2001,,542.0,0.41,,,,,,,,,,,,,,,
,,2001 - 2002,68.0,18.0,0.26,,,,,,,,,,,,,,,
Maharashtra,Ahilyanagar,2000 - 2001,,,0.9,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.52,,,,,,,,,,,,,,,
,,2002 - 2003,,,0.85,,,,,,,,,,,,,,,
,,2003 - 2004,,,0.8,,,,,,,,,,,,,,,
,,2004 - 2005,,,0.8,,,,,,,,,,,,,,,
,,2005 - 2006,,,0.79,,,,,,,,,,,,,,,
,,2006 - 2007,,,0.68,,,,,,,,,,,,,,,
,,2007 - 2008,,,0.88,,,,,,,,,,,,,,,
,,2008 - 2009,,,1.0,,,,,,,,,,,,,,,
,,2009 - 2010,,,0.65,,,,,,,,,,,,,,,
,,2010 - 2011,,,0.93,,,,,,,,,,,,,,,
,,2011 - 2012,,,1.14,,,,,,,,,,,,,,,
,,2012 - 2013,,,1.11,,,,,,,,,,,,,,,
,,2013 - 2014,,,1.29,,,,,,,,,,,,,,,
,,2014 - 2015,,,1.1,,,,,,,,,,,,,,,
,,2015 - 2016,100.0,100.0,1.0,,,,,,,,,,,,,,,
,,2016 - 2017,100.0,100.0,1.0,,,,,,,,,,,,,,,
,,2017 - 2018,100.0,100.0,1.0,,,,,,,,,,,,,,,
,,2018 - 2019,118.0,84.0,0.71,,,,,,,,,,,,,,,
,,2019 - 2020,142.0,164.0,1.15,,,,,,,,,,,,,,,
,,2020 - 2021,130.01,102.24,0.79,,,,,,,,,,,,,,,
,,2021 - 2022,150.76,178.25,1.18,,,,,,,,,,,,,,,
,,2022 - 2023,190.0,181.0,0.95,,,,,,,,,,,,,,,
,Beed,2019 - 2020,38.0,40.0,1.05,,,,,,,,,,,,,,,
,Buldhana,2016 - 2017,5.0,3.0,0.6,,,,,,,,,,,,,,,
,,2019 - 2020,10.0,10.0,1.0,,,,,,,,,,,,,,,
,Chhatrapati Sambhajinagar,2019 - 2020,317.0,331.0,1.04,,,,,,,,,,,,,,,
,Dharashiv,2019 - 2020,1.0,1.0,1.0,,,,,,,,,,,,,,,
,,2020 - 2021,10.0,7.86,0.79,,,,,,,,,,,,,,,
,,2021 - 2022,10.0,11.82,1.18,,,,,,,,,,,,,,,
,Dhule,2000 - 2001,,,0.46,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.37,,,,,,,,,,,,,,,
,,2002 - 2003,,,0.72,,,,,,,,,,,,,,,
,,2003 - 2004,,,1.09,,,,,,,,,,,,,,,
,,2004 - 2005,,,1.17,,,,,,,,,,,,,,,
,,2005 - 2006,,,0.72,,,,,,,,,,,,,,,
,,2006 - 2007,,,0.63,,,,,,,,,,,,,,,
,,2007 - 2008,,,0.97,,,,,,,,,,,,,,,
,,2008 - 2009,,,0.57,,,,,,,,,,,,,,,
,,2009 - 2010,,,0.62,,,,,,,,,,,,,,,
,,2010 - 2011,,,1.2,,,,,,,,,,,,,,,
,,2011 - 2012,800.0,600.0,0.75,,,,,,,,,,,,,,,
,,2012 - 2013,800.0,,1.38,,,,,,,,,,,,,,,
,,2013 - 2014,800.0,,1.63,,,,,,,,,,,,,,,
,,2014 - 2015,,,1.3,,,,,,,,,,,,,,,
,,2015 - 2016,,500.0,0.45,,,,,,,,,,,,,,,
,,2016 - 2017,,,1.11,,,,,,,,,,,,,,,
,,2017 - 2018,,,1.38,,,,,,,,,,,,,,,
,,2018 - 2019,,,0.66,,,,,,,,,,,,,,,
,,2019 - 2020,,998.0,0.65,,,,,,,,,,,,,,,
,,2020 - 2021,,,0.97,,,,,,,,,,,,,,,
,,2021 - 2022,,828.76,0.62,,,,,,,,,,,,,,,
,,2022 - 2023,,,1.07,,,,,,,,,,,,,,,
,Kolhapur,2000 - 2001,,,1.4,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.91,,,,,,,,,,,,,,,
,,2002 - 2003,,,1.41,,,,,,,,,,,,,,,
,,2003 - 2004,,,1.58,,,,,,,,,,,,,,,
,,2004 - 2005,,,1.28,,,,,,,,,,,,,,,
,,2005 - 2006,,,1.33,,,,,,,,,,,,,,,
,,2006 - 2007,,,1.32,,,,,,,,,,,,,,,
,,2007 - 2008,,,1.49,,,,,,,,,,,,,,,
,,2008 - 2009,,,1.32,,,,,,,,,,,,,,,
,,2009 - 2010,,,1.54,,,,,,,,,,,,,,,
,,2010 - 2011,,,1.86,,,,,,,,,,,,,,,
,,2011 - 2012,,,1.45,,,,,,,,,,,,,,,
,,2012 - 2013,,,1.62,,,,,,,,,,,,,,,
,,2013 - 2014,,,1.5,,,,,,,,,,,,,,,
,,2014 - 2015,,,1.6,,,,,,,,,,,,,,,
,,2015 - 2016,,,1.31,,,,,,,,,,,,,,,
,,2016 - 2017,,,1.66,,,,,,,,,,,,,,,
,,2017 - 2018,,,1.6,,,,,,,,,,,,,,,
,,2018 - 2019,,,1.61,,,,,,,,,,,,,,,
,,2019 - 2020,,,1.67,,,,,,,,,,,,,,,
,,2020 - 2021,,,1.85,,,,,,,,,,,,,,,
,,2021 - 2022,,,1.97,,,,,,,,,,,,,,,
,,2022 - 2023,,,2.37,,,,,,,,,,,,,,,
,Nandurbar,2000 - 2001,400.0,200.0,0.5,,,,,,,,,,,,,,,
,,2001 - 2002,400.0,400.0,1.0,,,,,,,,,,,,,,,
,,2002 - 2003,300.0,200.0,0.67,,,,,,,,,,,,,,,
,,2003 - 2004,300.0,300.0,1.0,,,,,,,,,,,,,,,
,,2004 - 2005,300.0,300.0,1.0,,,,,,,,,,,,,,,
,,2005 - 2006,200.0,200.0,1.0,,,,,,,,,,,,,,,
,,2006 - 2007,100.0,100.0,1.0,,,,,,,,,,,,,,,
,,2008 - 2009,400.0,300.0,0.75,,,,,,,,,,,,,,,
,,2009 - 2010,400.0,200.0,0.5,,,,,,,,,,,,,,,
,,2010 - 2011,400.0,200.0,0.5,,,,,,,,,,,,,,,
,,2015 - 2016,100.0,0.0,0.0,,,,,,,,,,,,,,,
,,2016 - 2017,20.0,20.0,1.0,,,,,,,,,,,,,,,
,,2017 - 2018,17.0,10.0,0.59,,,,,,,,,,,,,,,
,,2018 - 2019,27.0,23.0,0.85,,,,,,,,,,,,,,,
,,2019 - 2020,45.0,26.0,0.58,,,,,,,,,,,,,,,
,,2020 - 2021,15.98,11.43,0.72,,,,,,,,,,,,,,,
,,2021 - 2022,6.05,4.7,0.78,,,,,,,,,,,,,,,
,,2022 - 2023,4.0,5.0,1.25,,,,,,,,,,,,,,,
,Nashik,2000 - 2001,,,0.48,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.04,,,,,,,,,,,,,,,
,,2002 - 2003,,,0.61,,,,,,,,,,,,,,,
,,2003 - 2004,,,0.94,,,,,,,,,,,,,,,
,,2004 - 2005,,,0.97,,,,,,,,,,,,,,,
,,2005 - 2006,,,0.9,,,,,,,,,,,,,,,
,,2006 - 2007,,,0.76,,,,,,,,,,,,,,,
,,2007 - 2008,,,0.79,,,,,,,,,,,,,,,
,,2008 - 2009,,,0.89,,,,,,,,,,,,,,,
,,2009 - 2010,,,0.47,,,,,,,,,,,,,,,
,,2010 - 2011,,,0.45,,,,,,,,,,,,,,,
,,2011 - 2012,,,0.91,,,,,,,,,,,,,,,
,,2012 - 2013,,,0.99,,,,,,,,,,,,,,,
,,2013 - 2014,,,0.94,,,,,,,,,,,,,,,
,,2014 - 2015,,,0.67,,,,,,,,,,,,,,,
,,2015 - 2016,,,0.76,,,,,,,,,,,,,,,
,,2016 - 2017,,,0.92,,,,,,,,,,,,,,,
,,2017 - 2018,,,0.73,,,,,,,,,,,,,,,
,,2018 - 2019,,,0.87,,,,,,,,,,,,,,,
,,2019 - 2020,,,0.64,,,,,,,,,,,,,,,
,,2020 - 2021,,,0.7,,,,,,,,,,,,,,,
,,2021 - 2022,,,0.79,,,,,,,,,,,,,,,
,,2022 - 2023,,,1.18,,,,,,,,,,,,,,,
,Palghar,2014 - 2015,,,0.69,,,,,,,,,,,,,,,
,,2015 - 2016,,,0.79,,,,,,,,,,,,,,,
,,2016 - 2017,,,0.93,,,,,,,,,,,,,,,
,,2017 - 2018,,,0.93,,,,,,,,,,,,,,,
,,2018 - 2019,,,0.71,,,,,,,,,,,,,,,
,,2019 - 2020,,,0.77,,,,,,,,,,,,,,,
,,2020 - 2021,,,0.69,,,,,,,,,,,,,,,
,,2021 - 2022,,,0.74,,,,,,,,,,,,,,,
,,2022 - 2023,,,0.88,,,,,,,,,,,,,,,
,Pune,2000 - 2001,,,0.9,,,,,,,,,,,,,,,
,,2001 - 2002,,,0.83,,,,,,,,,,,,,,,
,,2002 - 2003,,,0.86,,,,,,,,,,,,,,,
,,2003 - 2004,,,0.8,,,,,,,,,,,,,,,
,,2004 - 2005,,,0.81,,,,,,,,,,,,,,,
,,2005 - 2006,,,0.8,,,,,,,,,,,,,,,
,,2006 - 2007,,,0.69,,,,,,,,,,,,,,,
,,2007 - 2008,,,0.89,,,,,,,,,,,,,,,
,,2008 - 2009,,,1.01,,,,,,,,,,,,,,,
,,2009 - 2010,,,0.67,,,,,,,,,,,,,,,
,,2010 - 2011,,,0.91,,,,,,,,,,,,,,,
,,2011 - 2012,,,1.16,,,,,,,,,,,,,,,
,,2012 - 2013,,,1.1,,,,,,,,,,,,,,,
,,2013 - 2014,,,1.28,,,,,,,,,,,,,,,
,,2014 - 2015,,,1.09,,,,,,,,,,,,,,,
,,2015 - 2016,,,0.84,,,,,,,,,,,,,,,
,,2016 - 2017,,,0.83,,,,,,,,,,,,,,,
,,2017 - 2018,,,0.81,,,,,,,,,,,,,,,
,,2018 - 2019,,,0.71,,,,,,,,,,,,,,,
,,2019 - 2020,,,0.72,,,,,,,,,,,,,,,
,,2020 - 2021,,,0.79,,,,,,,,,,,,,,,
,,2021 - 2022,,,1.18,,,,,,,,,,,,,,,
,,2022 - 2023,,,0.95,,,,,,,,,,,,,,,
,Raigad,2000 - 2001,,,0.66,,,,,,,,,,,,,,,
,,2001 - 2002,,,0.9,,,,,,,,,,,,,,,
,,2002 - 2003,,,0.65,,,,,,,,,,,,,,,
,,2003 - 2004,,,0.87,,,,,,,,,,,,,,,
,,2004 - 2005,,,0.76,,,,,,,,,,,,,,,
,,2005 - 2006,,,0.77,,,,,,,,,,,,,,,
,,2006 - 2007,,,0.73,,,,,,,,,,,,,,,
,,2007 - 2008,,,0.74,,,,,,,,,,,,,,,
,,2008 - 2009,,,0.85,,,,,,,,,,,,,,,
,,2009 - 2010,,,0.82,,,,,,,,,,,,,,,
,,2010 - 2011,,,0.77,,,,,,,,,,,,,,,
,,2011 - 2012,,,0.86,,,,,,,,,,,,,,,
,,2012 - 2013,,,0.82,,,,,,,,,,,,,,,
,,2013 - 2014,,,0.85,,,,,,,,,,,,,,,
,,2014 - 2015,,,0.95,,,,,,,,,,,,,,,
,,2015 - 2016,,,1.0,,,,,,,,,,,,,,,
,,2016 - 2017,,,0.82,,,,,,,,,,,,,,,
,,2017 - 2018,,,0.79,,,,,,,,,,,,,,,
,,2018 - 2019,,,0.92,,,,,,,,,,,,,,,
,,2019 - 2020,,,0.82,,,,,,,,,,,,,,,
,,2020 - 2021,,,0.95,,,,,,,,,,,,,,,
,,2021 - 2022,,,1.21,,,,,,,,,,,,,,,
,,2022 - 2023,,,1.01,,,,,,,,,,,,,,,
,Ratnagiri,2000 - 2001,,,1.23,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.26,,,,,,,,,,,,,,,
,,2002 - 2003,,,1.12,,,,,,,,,,,,,,,
,,2003 - 2004,,,1.57,,,,,,,,,,,,,,,
,,2004 - 2005,,,1.18,,,,,,,,,,,,,,,
,,2005 - 2006,,,1.22,,,,,,,,,,,,,,,
,,2006 - 2007,,,1.15,,,,,,,,,,,,,,,
,,2007 - 2008,,,1.12,,,,,,,,,,,,,,,
,,2008 - 2009,,,1.3,,,,,,,,,,,,,,,
,,2009 - 2010,,,1.3,,,,,,,,,,,,,,,
,,2010 - 2011,,,1.22,,,,,,,,,,,,,,,
,,2011 - 2012,,,1.36,,,,,,,,,,,,,,,
,,2012 - 2013,,,1.32,,,,,,,,,,,,,,,
,,2013 - 2014,,,1.36,,,,,,,,,,,,,,,
,,2014 - 2015,,,1.33,,,,,,,,,,,,,,,
,,2015 - 2016,,,1.19,,,,,,,,,,,,,,,
,,2016 - 2017,,,1.41,,,,,,,,,,,,,,,
,,2017 - 2018,,,1.51,,,,,,,,,,,,,,,
,,2018 - 2019,,,1.45,,,,,,,,,,,,,,,
,,2019 - 2020,,,1.4,,,,,,,,,,,,,,,
,,2020 - 2021,,,1.45,,,,,,,,,,,,,,,
,,2021 - 2022,,,1.7,,,,,,,,,,,,,,,
,,2022 - 2023,,,1.41,,,,,,,,,,,,,,,
,Sangli,2000 - 2001,900.0,,1.33,,,,,,,,,,,,,,,
,,2001 - 2002,900.0,,1.56,,,,,,,,,,,,,,,
,,2002 - 2003,500.0,700.0,1.4,,,,,,,,,,,,,,,
,,2003 - 2004,400.0,700.0,1.75,,,,,,,,,,,,,,,
,,2004 - 2005,400.0,500.0,1.25,,,,,,,,,,,,,,,
,,2005 - 2006,400.0,500.0,1.25,,,,,,,,,,,,,,,
,,2006 - 2007,100.0,100.0,1.0,,,,,,,,,,,,,,,
,,2007 - 2008,100.0,100.0,1.0,,,,,,,,,,,,,,,
,,2008 - 2009,100.0,100.0,1.0,,,,,,,,,,,,,,,
,,2009 - 2010,100.0,100.0,1.0,,,,,,,,,,,,,,,
,,2010 - 2011,100.0,200.0,2.0,,,,,,,,,,,,,,,
,,2011 - 2012,100.0,100.0,1.0,,,,,,,,,,,,,,,
,,2020 - 2021,128.0,223.65,1.75,,,,,,,,,,,,,,,
,,2021 - 2022,135.53,244.98,1.81,,,,,,,,,,,,,,,
,,2022 - 2023,136.0,284.0,2.09,,,,,,,,,,,,,,,
,Satara,2000 - 2001,,,1.09,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.37,,,,,,,,,,,,,,,
,,2002 - 2003,,,1.08,,,,,,,,,,,,,,,
,,2003 - 2004,,,1.78,,,,,,,,,,,,,,,
,,2004 - 2005,,,0.82,,,,,,,,,,,,,,,
,,2005 - 2006,,,0.55,,,,,,,,,,,,,,,
,,2006 - 2007,,,0.72,,,,,,,,,,,,,,,
,,2007 - 2008,,,0.65,,,,,,,,,,,,,,,
,,2008 - 2009,,,0.45,,,,,,,,,,,,,,,
,,2009 - 2010,,,0.79,,,,,,,,,,,,,,,
,,2010 - 2011,,,1.09,,,,,,,,,,,,,,,
,,2011 - 2012,,,1.07,,,,,,,,,,,,,,,
,,2012 - 2013,,,0.88,,,,,,,,,,,,,,,
,,2013 - 2014,,,1.15,,,,,,,,,,,,,,,
,,2014 - 2015,,,1.02,,,,,,,,,,,,,,,
,,2015 - 2016,,,1.06,,,,,,,,,,,,,,,
,,2016 - 2017,,,0.98,,,,,,,,,,,,,,,
,,2017 - 2018,,,1.13,,,,,,,,,,,,,,,
,,2018 - 2019,,,1.06,,,,,,,,,,,,,,,
,,2019 - 2020,,,1.07,,,,,,,,,,,,,,,
,,2020 - 2021,,,1.32,,,,,,,,,,,,,,,
,,2021 - 2022,,,1.2,,,,,,,,,,,,,,,
,,2022 - 2023,,,1.13,,,,,,,,,,,,,,,
,Sindhudurg,2000 - 2001,,,1.19,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.1,,,,,,,,,,,,,,,
,,2002 - 2003,,,0.78,,,,,,,,,,,,,,,
,,2003 - 2004,,,1.71,,,,,,,,,,,,,,,
,,2004 - 2005,,,1.11,,,,,,,,,,,,,,,
