state,district,year,ginger_whole_year_area_hectare,ginger_whole_year_production_tonne,ginger_whole_year_yield_tonne_per_hectare,ginger_rabi_area_hectare,ginger_rabi_production_tonne,ginger_rabi_yield_tonne_per_hectare,ginger_kharif_area_hectare,ginger_kharif_production_tonne,ginger_kharif_yield_tonne_per_hectare,ginger_summer_area_hectare,ginger_summer_production_tonne,ginger_summer_yield_tonne_per_hectare
,,2020 - 2021,41.29,214.17,5.19,,,,,,,,,
,,2021 - 2022,38.0,147.0,3.87,,,,,,,,,
,,2022 - 2023,30.84,95.23,3.09,,,,,,,,,
,Malappuram,2000 - 2001,184.0,394.0,2.14,,,,,,,,,
,,2001 - 2002,212.0,426.0,2.01,,,,,,,,,
,,2002 - 2003,181.0,424.0,2.34,,,,,,,,,
,,2003 - 2004,146.0,365.0,2.5,,,,,,,,,
,,2004 - 2005,133.0,282.0,2.12,,,,,,,,,
,,2005 - 2006,175.0,336.0,1.92,,,,,,,,,
,,2006 - 2007,151.0,288.0,1.91,,,,,,,,,
,,2007 - 2008,75.0,149.0,1.99,,,,,,,,,
,,2008 - 2009,77.0,161.0,2.09,,,,,,,,,
,,2009 - 2010,62.0,141.0,2.27,,,,,,,,,
,,2010 - 2011,61.15,124.69,2.04,,,,,,,,,
,,2011 - 2012,47.41,96.82,2.04,,,,,,,,,
,,2012 - 2013,42.0,77.0,1.83,,,,,,,,,
,,2013 - 2014,28.0,61.0,2.18,,,,,,,,,
,,2014 - 2015,44.0,98.0,2.23,,,,,,,,,
,,2015 - 2016,53.09,116.92,2.2,,,,,,,,,
,,2016 - 2017,50.0,115.0,2.3,,,,,,,,,
,,2017 - 2018,41.0,115.0,2.8,,,,,,,,,
,,2018 - 2019,31.9,73.0,2.29,,,,,,,,,
,,2019 - 2020,26.0,66.0,2.54,,,,,,,,,
,,2020 - 2021,30.36,79.15,2.61,,,,,,,,,
,,2021 - 2022,22.0,96.0,4.36,,,,,,,,,
,,2022 - 2023,24.29,72.2,2.97,,,,,,,,,
,Palakkad,2000 - 2001,,,3.9,,,,,,,,,
,,2001 - 2002,,,4.46,,,,,,,,,
,,2002 - 2003,,,3.7,,,,,,,,,
,,2003 - 2004,902.0,,2.14,,,,,,,,,
,,2004 - 2005,969.0,,3.42,,,,,,,,,
,,2005 - 2006,,,4.66,,,,,,,,,
,,2006 - 2007,,,4.91,,,,,,,,,
,,2007 - 2008,,,4.63,,,,,,,,,
,,2008 - 2009,,,4.3,,,,,,,,,
,,2009 - 2010,812.0,,4.65,,,,,,,,,
,,2010 - 2011,,,5.48,,,,,,,,,
,,2011 - 2012,,,5.19,,,,,,,,,
,,2012 - 2013,738.0,,4.49,,,,,,,,,
,,2013 - 2014,836.0,,4.88,,,,,,,,,
,,2014 - 2015,,,4.52,,,,,,,,,
,,2015 - 2016,,,5.0,,,,,,,,,
,,2016 - 2017,,,4.25,,,,,,,,,
,,2017 - 2018,429.0,,4.39,,,,,,,,,
,,2018 - 2019,193.12,742.0,3.84,,,,,,,,,
,,2019 - 2020,160.0,708.0,4.43,,,,,,,,,
,,2020 - 2021,144.51,678.04,4.69,,,,,,,,,
,,2021 - 2022,159.0,776.0,4.88,,,,,,,,,
,,2022 - 2023,112.36,440.72,3.92,,,,,,,,,
,Pathanamthitta,2000 - 2001,490.0,,3.02,,,,,,,,,
,,2001 - 2002,482.0,,2.8,,,,,,,,,
,,2002 - 2003,619.0,,2.48,,,,,,,,,
,,2003 - 2004,470.0,,2.45,,,,,,,,,
,,2004 - 2005,526.0,,2.58,,,,,,,,,
,,2005 - 2006,632.0,,3.02,,,,,,,,,
,,2006 - 2007,604.0,,2.98,,,,,,,,,
,,2007 - 2008,545.0,,3.26,,,,,,,,,
,,2008 - 2009,166.0,463.0,2.79,,,,,,,,,
,,2009 - 2010,305.0,860.0,2.82,,,,,,,,,
,,2010 - 2011,323.56,985.4,3.05,,,,,,,,,
,,2011 - 2012,313.77,,3.22,,,,,,,,,
,,2012 - 2013,294.0,814.0,2.77,,,,,,,,,
,,2013 - 2014,276.0,834.0,3.02,,,,,,,,,
,,2014 - 2015,289.0,,3.61,,,,,,,,,
,,2015 - 2016,295.03,927.57,3.14,,,,,,,,,
,,2016 - 2017,317.0,993.0,3.13,,,,,,,,,
,,2017 - 2018,301.0,,4.54,,,,,,,,,
,,2018 - 2019,280.72,,4.11,,,,,,,,,
,,2019 - 2020,271.0,,4.92,,,,,,,,,
,,2020 - 2021,297.64,,4.51,,,,,,,,,
,,2021 - 2022,314.0,,4.66,,,,,,,,,
,,2022 - 2023,328.86,,4.16,,,,,,,,,
,Thiruvananthapuram,2000 - 2001,103.0,312.0,3.03,,,,,,,,,
,,2001 - 2002,121.0,441.0,3.64,,,,,,,,,
,,2002 - 2003,106.0,282.0,2.66,,,,,,,,,
,,2003 - 2004,91.0,284.0,3.12,,,,,,,,,
,,2004 - 2005,103.0,306.0,2.97,,,,,,,,,
,,2005 - 2006,127.0,298.0,2.35,,,,,,,,,
,,2006 - 2007,89.0,247.0,2.78,,,,,,,,,
,,2007 - 2008,94.0,248.0,2.64,,,,,,,,,
,,2008 - 2009,95.0,291.0,3.06,,,,,,,,,
,,2009 - 2010,61.0,152.0,2.49,,,,,,,,,
,,2010 - 2011,69.73,180.25,2.58,,,,,,,,,
,,2011 - 2012,73.58,177.97,2.42,,,,,,,,,
,,2012 - 2013,67.0,154.0,2.3,,,,,,,,,
,,2013 - 2014,65.0,138.0,2.12,,,,,,,,,
,,2014 - 2015,75.0,203.0,2.71,,,,,,,,,
,,2015 - 2016,95.18,346.37,3.64,,,,,,,,,
,,2016 - 2017,89.0,261.0,2.93,,,,,,,,,
,,2017 - 2018,73.0,224.0,3.07,,,,,,,,,
,,2018 - 2019,72.12,214.0,2.97,,,,,,,,,
,,2019 - 2020,62.0,178.0,2.87,,,,,,,,,
,,2020 - 2021,94.38,353.55,3.75,,,,,,,,,
,,2021 - 2022,82.0,263.0,3.21,,,,,,,,,
,,2022 - 2023,83.89,297.21,3.54,,,,,,,,,
,Thrissur,2000 - 2001,87.0,133.0,1.53,,,,,,,,,
,,2001 - 2002,123.0,353.0,2.87,,,,,,,,,
,,2002 - 2003,136.0,285.0,2.1,,,,,,,,,
,,2003 - 2004,124.0,150.0,1.21,,,,,,,,,
,,2004 - 2005,136.0,260.0,1.91,,,,,,,,,
,,2005 - 2006,157.0,467.0,2.97,,,,,,,,,
,,2006 - 2007,111.0,221.0,1.99,,,,,,,,,
,,2007 - 2008,75.0,158.0,2.11,,,,,,,,,
,,2008 - 2009,59.0,124.0,2.1,,,,,,,,,
,,2009 - 2010,80.0,164.0,2.05,,,,,,,,,
,,2010 - 2011,52.63,136.42,2.59,,,,,,,,,
,,2011 - 2012,48.99,124.34,2.54,,,,,,,,,
,,2012 - 2013,46.0,113.0,2.46,,,,,,,,,
,,2013 - 2014,39.0,104.0,2.67,,,,,,,,,
,,2014 - 2015,41.0,100.0,2.44,,,,,,,,,
,,2015 - 2016,50.18,130.21,2.59,,,,,,,,,
,,2016 - 2017,48.0,127.0,2.65,,,,,,,,,
,,2017 - 2018,55.0,166.0,3.02,,,,,,,,,
,,2018 - 2019,43.01,119.0,2.77,,,,,,,,,
,,2019 - 2020,36.0,93.0,2.58,,,,,,,,,
,,2020 - 2021,43.51,120.61,2.77,,,,,,,,,
,,2021 - 2022,44.0,120.0,2.73,,,,,,,,,
,,2022 - 2023,38.93,106.21,2.73,,,,,,,,,
,Wayanad,2000 - 2001,,,4.0,,,,,,,,,
,,2001 - 2002,,,4.31,,,,,,,,,
,,2002 - 2003,,,4.4,,,,,,,,,
,,2003 - 2004,,,4.84,,,,,,,,,
,,2004 - 2005,,,5.65,,,,,,,,,
,,2005 - 2006,,,5.34,,,,,,,,,
,,2006 - 2007,,,3.96,,,,,,,,,
,,2007 - 2008,,,3.7,,,,,,,,,
,,2008 - 2009,,,4.73,,,,,,,,,
,,2009 - 2010,,,7.54,,,,,,,,,
,,2010 - 2011,,,7.26,,,,,,,,,
,,2011 - 2012,,,6.78,,,,,,,,,
,,2012 - 2013,,,6.26,,,,,,,,,
,,2013 - 2014,,,5.53,,,,,,,,,
,,2014 - 2015,,,5.71,,,,,,,,,
,,2015 - 2016,,,4.69,,,,,,,,,
,,2016 - 2017,,,4.34,,,,,,,,,
,,2017 - 2018,,,4.64,,,,,,,,,
,,2018 - 2019,,,5.77,,,,,,,,,
,,2019 - 2020,,,4.32,,,,,,,,,
,,2020 - 2021,988.32,,4.56,,,,,,,,,
,,2021 - 2022,,,4.66,,,,,,,,,
,,2022 - 2023,,,4.58,,,,,,,,,
Madhya Pradesh,Agar malwa,2013 - 2014,2.0,2.0,1.0,,,,,,,,,
,,2015 - 2016,48.5,958.3,19.76,,,,,,,,,
,,2016 - 2017,64.3,,19.76,,,,,,,,,
,,2017 - 2018,64.3,,19.76,,,,,,,,,
,,2018 - 2019,67.25,,19.76,,,,,,,,,
,,2019 - 2020,72.5,,19.76,,,,,,,,,
,Alirajpur,2009 - 2010,9.0,11.0,1.22,,,,,,,,,
,,2010 - 2011,8.0,11.0,1.38,,,,,,,,,
,,2011 - 2012,19.0,19.0,1.0,,,,,,,,,
,,2012 - 2013,24.0,33.0,1.38,,,,,,,,,
,,2013 - 2014,27.0,62.0,2.3,,,,,,,,,
,,2015 - 2016,368.0,,25.0,,,,,,,,,
,,2016 - 2017,390.0,,26.5,,,,,,,,,
,,2017 - 2018,394.0,,26.5,,,,,,,,,
,,2018 - 2019,398.0,,26.5,,,,,,,,,
,,2019 - 2020,438.0,,19.52,,,,,,,,,
,Anuppur,2003 - 2004,,,,,,,112.0,148.0,1.32,,,
,,2004 - 2005,,,,,,,129.0,176.0,1.36,,,
,,2006 - 2007,,,,,,,161.0,223.0,1.39,,,
,,2009 - 2010,169.0,138.0,0.82,,,,,,,,,
,,2010 - 2011,191.0,127.0,0.66,,,,,,,,,
,,2011 - 2012,220.0,237.0,1.08,,,,,,,,,
,,2012 - 2013,256.0,449.0,1.75,,,,,,,,,
,,2013 - 2014,257.0,451.0,1.75,,,,,,,,,
,,2015 - 2016,645.0,,16.0,,,,,,,,,
,,2016 - 2017,680.0,,17.0,,,,,,,,,
,,2017 - 2018,757.0,,17.0,,,,,,,,,
,,2018 - 2019,831.0,,17.2,,,,,,,,,
,,2019 - 2020,,,18.0,,,,,,,,,
,Ashoknagar,2003 - 2004,,,,,,,33.0,28.0,0.85,,,
,,2006 - 2007,,,,,,,9.0,9.0,1.0,,,
,,2009 - 2010,19.0,20.0,1.05,,,,,,,,,
,,2010 - 2011,18.0,14.0,0.78,,,,,,,,,
,,2011 - 2012,7.0,6.0,0.86,,,,,,,,,
,,2012 - 2013,3.0,5.0,1.67,,,,,,,,,
,,2013 - 2014,6.0,9.0,1.5,,,,,,,,,
,,2015 - 2016,145.0,,15.0,,,,,,,,,
,,2016 - 2017,147.0,,15.0,,,,,,,,,
,,2017 - 2018,147.0,,15.0,,,,,,,,,
,,2018 - 2019,147.0,,15.1,,,,,,,,,
,,2019 - 2020,147.0,,15.1,,,,,,,,,
,Balaghat,2000 - 2001,,,,,,,104.0,181.0,1.74,,,
,,2001 - 2002,,,,,,,118.0,239.0,2.03,,,
,,2002 - 2003,,,,,,,115.0,199.0,1.73,,,
,,2003 - 2004,,,,,,,126.0,219.0,1.74,,,
,,2004 - 2005,,,,,,,116.0,202.0,1.74,,,
,,2006 - 2007,,,,,,,112.0,243.0,2.17,,,
,,2009 - 2010,133.0,269.0,2.02,,,,,,,,,
,,2010 - 2011,155.0,313.0,2.02,,,,,,,,,
,,2011 - 2012,144.0,254.0,1.76,,,,,,,,,
,,2012 - 2013,181.0,319.0,1.76,,,,,,,,,
,,2013 - 2014,182.0,344.0,1.89,,,,,,,,,
,,2015 - 2016,250.0,,15.81,,,,,,,,,
,,2016 - 2017,262.0,,15.16,,,,,,,,,
,,2017 - 2018,271.0,,17.14,,,,,,,,,
,,2018 - 2019,275.5,,17.21,,,,,,,,,
,,2019 - 2020,287.0,,17.29,,,,,,,,,
,Barwani,2000 - 2001,,,,,,,351.0,211.0,0.6,,,
,,2001 - 2002,,,,,,,401.0,301.0,0.75,,,
,,2002 - 2003,,,,,,,411.0,301.0,0.73,,,
,,2003 - 2004,,,,,,,423.0,335.0,0.79,,,
,,2004 - 2005,,,,,,,389.0,314.0,0.81,,,
,,2006 - 2007,,,,,,,355.0,194.0,0.55,,,
,,2009 - 2010,494.0,298.0,0.6,,,,,,,,,
,,2010 - 2011,497.0,323.0,0.65,,,,,,,,,
,,2011 - 2012,508.0,243.0,0.48,,,,,,,,,
,,2012 - 2013,458.0,842.0,1.84,,,,,,,,,
,,2013 - 2014,461.0,820.0,1.78,,,,,,,,,
,,2015 - 2016,324.0,,10.0,,,,,,,,,
,,2016 - 2017,299.0,,15.0,,,,,,,,,
,,2017 - 2018,345.8,,15.0,,,,,,,,,
,,2018 - 2019,347.0,,15.0,,,,,,,,,
,,2019 - 2020,423.0,,15.0,,,,,,,,,
,Betul,2000 - 2001,,,,,,,7.0,12.0,1.71,,,
,,2001 - 2002,,,,,,,6.0,10.0,1.67,,,
,,2010 - 2011,10.0,16.0,1.6,,,,,,,,,
,,2011 - 2012,14.0,15.0,1.07,,,,,,,,,
,,2012 - 2013,110.0,147.0,1.34,,,,,,,,,
,,2013 - 2014,44.0,85.0,1.93,,,,,,,,,
,,2015 - 2016,84.0,798.0,9.5,,,,,,,,,
,,2016 - 2017,85.0,807.5,9.5,,,,,,,,,
,,2017 - 2018,85.0,808.0,9.51,,,,,,,,,
,,2018 - 2019,84.0,796.0,9.48,,,,,,,,,
,,2019 - 2020,85.0,796.0,9.36,,,,,,,,,
,Bhind,2002 - 2003,,,,,,,2.0,0.1,0.05,,,
,,2003 - 2004,,,,,,,2.0,2.0,1.0,,,
,Bhopal,2000 - 2001,,,,,,,11.0,8.0,0.73,,,
,,2001 - 2002,,,,,,,3.0,3.0,1.0,,,
,,2002 - 2003,,,,,,,6.0,5.0,0.83,,,
,,2003 - 2004,,,,,,,6.0,5.0,0.83,,,
,,2004 - 2005,,,,,,,9.0,8.0,0.89,,,
,,2006 - 2007,,,,,,,10.0,9.0,0.9,,,
,,2009 - 2010,4.0,4.0,1.0,,,,,,,,,
,,2010 - 2011,16.0,18.0,1.13,,,,,,,,,
,,2011 - 2012,10.0,10.0,1.0,,,,,,,,,
,,2012 - 2013,7.0,10.0,1.43,,,,,,,,,
,,2013 - 2014,5.0,7.0,1.4,,,,,,,,,
,,2015 - 2016,185.0,978.0,5.29,,,,,,,,,
,,2016 - 2017,232.0,,5.43,,,,,,,,,
,,2017 - 2018,262.0,,20.0,,,,,,,,,
,,2018 - 2019,129.0,,20.0,,,,,,,,,
,,2019 - 2020,130.0,,19.69,,,,,,,,,
,Burhanpur,2003 - 2004,,,,,,,7.0,8.0,1.14,,,
,,2004 - 2005,,,,,,,12.0,11.0,0.92,,,
,,2006 - 2007,,,,,,,14.0,18.0,1.29,,,
,,2009 - 2010,10.0,13.0,1.3,,,,,,,,,
,,2010 - 2011,14.0,13.0,0.93,,,,,,,,,
,,2011 - 2012,15.0,15.0,1.0,,,,,,,,,
,,2012 - 2013,23.0,25.0,1.09,,,,,,,,,
,,2013 - 2014,27.0,28.0,1.04,,,,,,,,,
,,2015 - 2016,193.0,,23.32,,,,,,,,,
,,2016 - 2017,200.0,,23.35,,,,,,,,,
,,2017 - 2018,200.0,,23.35,,,,,,,,,
,,2018 - 2019,204.0,,23.35,,,,,,,,,
,,2019 - 2020,212.0,,19.74,,,,,,,,,
,Chhatarpur,2000 - 2001,,,,,,,202.0,137.0,0.68,,,
,,2001 - 2002,,,,,,,369.0,269.0,0.73,,,
,,2002 - 2003,,,,,,,501.0,259.0,0.52,,,
,,2003 - 2004,,,,,,,465.0,290.0,0.62,,,
,,2004 - 2005,,,,,,,561.0,380.0,0.68,,,
,,2006 - 2007,,,,,,,495.0,315.0,0.64,,,
,,2009 - 2010,666.0,406.0,0.61,,,,,,,,,
,,2010 - 2011,765.0,446.0,0.58,,,,,,,,,
,,2011 - 2012,880.0,327.0,0.37,,,,,,,,,
,,2012 - 2013,845.0,571.0,0.68,,,,,,,,,
,,2013 - 2014,910.0,760.0,0.84,,,,,,,,,
,,2015 - 2016,,,14.0,,,,,,,,,
,,2016 - 2017,,,14.0,,,,,,,,,
,,2017 - 2018,,,13.56,,,,,,,,,
,,2018 - 2019,,,13.42,,,,,,,,,
,,2019 - 2020,,,13.41,,,,,,,,,
,Chhindwara,2000 - 2001,,,,,,,538.0,836.0,1.55,,,
,,2001 - 2002,,,,,,,585.0,,1.81,,,
,,2002 - 2003,,,,,,,623.0,,1.71,,,
,,2003 - 2004,,,,,,,606.0,,1.74,,,
,,2004 - 2005,,,,,,,636.0,989.0,1.56,,,
,,2006 - 2007,,,,,,,919.0,,1.72,,,
,,2009 - 2010,,,1.72,,,,,,,,,
,,2010 - 2011,,,1.72,,,,,,,,,
,,2011 - 2012,,,1.77,,,,,,,,,
,,2012 - 2013,,,2.65,,,,,,,,,
,,2013 - 2014,,,2.65,,,,,,,,,
,,2015 - 2016,,,20.0,,,,,,,,,
,,2016 - 2017,,,20.0,,,,,,,,,
,,2017 - 2018,,,20.0,,,,,,,,,
,,2018 - 2019,,,20.0,,,,,,,,,
,,2019 - 2020,,,19.74,,,,,,,,,
,Damoh,2000 - 2001,,,,,,,69.0,74.0,1.07,,,
,,2001 - 2002,,,,,,,87.0,107.0,1.23,,,
,,2002 - 2003,,,,,,,66.0,81.0,1.23,,,
,,2003 - 2004,,,,,,,58.0,70.0,1.21,,,
,,2004 - 2005,,,,,,,81.0,101.0,1.25,,,
,,2006 - 2007,,,,,,,141.0,122.0,0.87,,,
,,2009 - 2010,173.0,250.0,1.45,,,,,,,,,
,,2010 - 2011,173.0,260.0,1.5,,,,,,,,,
,,2011 - 2012,201.0,236.0,1.17,,,,,,,,,
,,2012 - 2013,230.0,371.0,1.61,,,,,,,,,
,,2013 - 2014,184.0,357.0,1.94,,,,,,,,,
,,2015 - 2016,130.0,,15.0,,,,,,,,,
,,2016 - 2017,140.0,,15.0,,,,,,,,,
,,2017 - 2018,150.0,,15.0,,,,,,,,,
,,2018 - 2019,182.0,,15.25,,,,,,,,,
,,2019 - 2020,198.0,,15.0,,,,,,,,,
,Datia,2000 - 2001,,,,,,,17.0,14.0,0.82,,,
,,2001 - 2002,,,,,,,8.0,7.0,0.88,,,
,,2002 - 2003,,,,,,,21.0,6.0,0.29,,,
,,2003 - 2004,,,,,,,10.0,10.0,1.0,,,
,,2004 - 2005,,,,,,,15.0,11.0,0.73,,,
,,2006 - 2007,,,,,,,8.0,6.0,0.75,,,
,,2009 - 2010,15.0,11.0,0.73,,,,,,,,,
,,2010 - 2011,9.0,5.0,0.56,,,,,,,,,
,,2011 - 2012,9.0,5.0,0.56,,,,,,,,,
,,2013 - 2014,25.0,22.0,0.88,,,,,,,,,
,,2015 - 2016,42.0,630.0,15.0,,,,,,,,,
,,2016 - 2017,185.0,,15.0,,,,,,,,,
,,2017 - 2018,192.0,,15.0,,,,,,,,,
,,2018 - 2019,193.0,,15.0,,,,,,,,,
,,2019 - 2020,194.0,,15.0,,,,,,,,,
,Dewas,2000 - 2001,,,,,,,130.0,108.0,0.83,,,
,,2001 - 2002,,,,,,,121.0,101.0,0.83,,,
,,2002 - 2003,,,,,,,100.0,83.0,0.83,,,
,,2003 - 2004,,,,,,,194.0,188.0,0.97,,,
,,2004 - 2005,,,,,,,70.0,60.0,0.86,,,
,,2006 - 2007,,,,,,,59.0,61.0,1.03,,,
,,2009 - 2010,43.0,41.0,0.95,,,,,,,,,
,,2010 - 2011,34.0,37.0,1.09,,,,,,,,,
,,2011 - 2012,100.0,87.0,0.87,,,,,,,,,
,,2012 - 2013,123.0,112.0,0.91,,,,,,,,,
,,2013 - 2014,55.0,47.0,0.85,,,,,,,,,
,,2015 - 2016,115.0,,21.1,,,,,,,,,
,,2016 - 2017,115.0,,21.1,,,,,,,,,
,,2017 - 2018,122.0,,21.16,,,,,,,,,
,,2018 - 2019,127.0,,21.18,,,,,,,,,
,,2019 - 2020,145.0,,21.18,,,,,,,,,
,Dhar,2000 - 2001,,,,,,,63.0,47.0,0.75,,,
,,2001 - 2002,,,,,,,106.0,113.0,1.07,,,
,,2002 - 2003,,,,,,,109.0,143.0,1.31,,,
,,2003 - 2004,,,,,,,68.0,90.0,1.32,,,
,,2004 - 2005,,,,,,,92.0,116.0,1.26,,,
,,2006 - 2007,,,,,,,112.0,149.0,1.33,,,
,,2009 - 2010,151.0,220.0,1.46,,,,,,,,,
,,2010 - 2011,231.0,337.0,1.46,,,,,,,,,
,,2011 - 2012,308.0,375.0,1.22,,,,,,,,,
,,2012 - 2013,443.0,680.0,1.53,,,,,,,,,
,,2013 - 2014,275.0,,3.69,,,,,,,,,
,,2015 - 2016,776.3,,12.0,,,,,,,,,
,,2016 - 2017,,,19.03,,,,,,,,,
,,2017 - 2018,,,23.5,,,,,,,,,
,,2018 - 2019,,,23.3,,,,,,,,,
,,2019 - 2020,,,18.91,,,,,,,,,
,Dindori,2015 - 2016,100.0,10.0,0.1,,,,,,,,,
,,2016 - 2017,105.0,,12.0,,,,,,,,,
,,2017 - 2018,109.0,,12.0,,,,,,,,,
,,2018 - 2019,112.0,,12.0,,,,,,,,,
,,2019 - 2020,124.0,,12.0,,,,,,,,,
,Guna,2000 - 2001,,,,,,,36.0,35.0,0.97,,,
,,2001 - 2002,,,,,,,7.0,7.0,1.0,,,
,,2002 - 2003,,,,,,,37.0,19.0,0.51,,,
,,2003 - 2004,,,,,,,16.0,16.0,1.0,,,
,,2004 - 2005,,,,,,,12.0,11.0,0.92,,,
,,2006 - 2007,,,,,,,28.0,28.0,1.0,,,
,,2009 - 2010,33.0,35.0,1.06,,,,,,,,,
,,2010 - 2011,29.0,29.0,1.0,,,,,,,,,
,,2011 - 2012,28.0,23.0,0.82,,,,,,,,,
,,2012 - 2013,54.0,56.0,1.04,,,,,,,,,
,,2013 - 2014,21.0,25.0,1.19,,,,,,,,,
,,2015 - 2016,18.0,270.0,15.0,,,,,,,,,
,,2016 - 2017,32.0,480.0,15.0,,,,,,,,,
,,2017 - 2018,48.0,720.0,15.0,,,,,,,,,
,,2018 - 2019,62.0,930.0,15.0,,,,,,,,,
,,2019 - 2020,78.0,,15.0,,,,,,,,,
,Gwalior,2002 - 2003,,,,,,,3.0,1.0,0.33,,,
,,2015 - 2016,127.0,,25.0,,,,,,,,,
,,2016 - 2017,146.0,,25.0,,,,,,,,,
,,2017 - 2018,146.0,,25.0,,,,,,,,,
,,2018 - 2019,149.0,,25.0,,,,,,,,,
,,2019 - 2020,175.0,,25.0,,,,,,,,,
,Harda,2000 - 2001,,,,,,,9.0,12.0,1.33,,,
,,2001 - 2002,,,,,,,10.0,12.0,1.2,,,
,,2002 - 2003,,,,,,,9.0,11.0,1.22,,,
,,2003 - 2004,,,,,,,17.0,21.0,1.24,,,
,,2004 - 2005,,,,,,,11.0,12.0,1.09,,,
,,2006 - 2007,,,,,,,20.0,22.0,1.1,,,
,,2009 - 2010,34.0,49.0,1.44,,,,,,,,,
,,2010 - 2011,16.0,17.0,1.06,,,,,,,,,
,,2011 - 2012,10.0,11.0,1.1,,,,,,,,,
,,2012 - 2013,19.0,26.0,1.37,,,,,,,,,
,,2013 - 2014,14.0,23.0,1.64,,,,,,,,,
,,2015 - 2016,98.0,,11.7,,,,,,,,,
,,2016 - 2017,100.0,,11.8,,,,,,,,,
,,2017 - 2018,105.0,,11.81,,,,,,,,,
,,2018 - 2019,160.0,,11.81,,,,,,,,,
,,2019 - 2020,160.0,,11.81,,,,,,,,,
,Hoshangabad,2000 - 2001,,,,,,,71.0,92.0,1.3,,,
,,2001 - 2002,,,,,,,87.0,108.0,1.24,,,
,,2002 - 2003,,,,,,,126.0,155.0,1.23,,,
,,2003 - 2004,,,,,,,133.0,166.0,1.25,,,
,,2004 - 2005,,,,,,,137.0,174.0,1.27,,,
,,2006 - 2007,,,,,,,146.0,188.0,1.29,,,
,,2009 - 2010,171.0,221.0,1.29,,,,,,,,,
,,2010 - 2011,103.0,141.0,1.37,,,,,,,,,
,,2011 - 2012,153.0,170.0,1.11,,,,,,,,,
,,2012 - 2013,114.0,159.0,1.39,,,,,,,,,
,,2013 - 2014,76.0,124.0,1.63,,,,,,,,,
,,2015 - 2016,128.0,,16.0,,,,,,,,,
,,2016 - 2017,130.0,,15.5,,,,,,,,,
,,2017 - 2018,132.0,,15.5,,,,,,,,,
,,2018 - 2019,131.0,,14.91,,,,,,,,,
,,2019 - 2020,131.0,,14.91,,,,,,,,,
,Indore,2000 - 2001,,,,,,,10.0,17.0,1.7,,,
,,2001 - 2002,,,,,,,14.0,20.0,1.43,,,
,,2002 - 2003,,,,,,,2.0,3.0,1.5,,,
,,2003 - 2004,,,,,,,17.0,27.0,1.59,,,
,,2004 - 2005,,,,,,,16.0,26.0,1.63,,,
,,2006 - 2007,,,,,,,11.0,19.0,1.73,,,
,,2009 - 2010,26.0,48.0,1.85,,,,,,,,,
,,2010 - 2011,11.0,21.0,1.91,,,,,,,,,
,,2011 - 2012,27.0,39.0,1.44,,,,,,,,,
,,2012 - 2013,6.0,9.0,1.5,,,,,,,,,
,,2013 - 2014,11.0,24.0,2.18,,,,,,,,,
,,2015 - 2016,65.0,,20.0,,,,,,,,,
,,2016 - 2017,72.0,,25.0,,,,,,,,,
,,2017 - 2018,80.0,,20.0,,,,,,,,,
,,2018 - 2019,112.0,,20.0,,,,,,,,,
,,2019 - 2020,118.0,,20.0,,,,,,,,,
,Jabalpur,2000 - 2001,,,,,,,60.0,79.0,1.32,,,
,,2001 - 2002,,,,,,,47.0,73.0,1.55,,,
,,2002 - 2003,,,,,,,59.0,86.0,1.46,,,
,,2003 - 2004,,,,,,,42.0,66.0,1.57,,,
,,2004 - 2005,,,,,,,41.0,68.0,1.66,,,
,,2006 - 2007,,,,,,,48.0,93.0,1.94,,,
,,2009 - 2010,42.0,65.0,1.55,,,,,,,,,
,,2010 - 2011,52.0,83.0,1.6,,,,,,,,,
,,2011 - 2012,49.0,76.0,1.55,,,,,,,,,
,,2012 - 2013,51.0,86.0,1.69,,,,,,,,,
,,2013 - 2014,36.0,61.0,1.69,,,,,,,,,
,,2015 - 2016,531.5,,15.0,,,,,,,,,
,,2016 - 2017,544.0,,15.0,,,,,,,,,
,,2017 - 2018,550.0,,15.01,,,,,,,,,
,,2018 - 2019,577.5,,14.0,,,,,,,,,
,,2019 - 2020,577.5,,15.01,,,,,,,,,
,Jhabua,2000 - 2001,,,,,,,30.0,17.0,0.57,,,
,,2001 - 2002,,,,,,,19.0,22.0,1.16,,,
,,2002 - 2003,,,,,,,29.0,42.0,1.45,,,
,,2003 - 2004,,,,,,,18.0,26.0,1.44,,,
,,2004 - 2005,,,,,,,29.0,35.0,1.21,,,
,,2006 - 2007,,,,,,,32.0,42.0,1.31,,,
,,2009 - 2010,29.0,36.0,1.24,,,,,,,,,
,,2010 - 2011,42.0,53.0,1.26,,,,,,,,,
,,2011 - 2012,53.0,50.0,0.94,,,,,,,,,
,,2012 - 2013,55.0,91.0,1.65,,,,,,,,,
,,2013 - 2014,53.0,124.0,2.34,,,,,,,,,
,,2015 - 2016,135.0,,20.0,,,,,,,,,
,,2016 - 2017,187.0,,12.0,,,,,,,,,
,,2017 - 2018,199.0,,12.0,,,,,,,,,
,,2018 - 2019,200.0,,12.0,,,,,,,,,
,,2019 - 2020,188.0,,12.0,,,,,,,,,
,Katni,2000 - 2001,,,,,,,98.0,95.0,0.97,,,
,,2001 - 2002,,,,,,,124.0,149.0,1.2,,,
,,2002 - 2003,,,,,,,112.0,85.0,0.76,,,
