state,district,year,sannhamp_whole_year_area_hectare,sannhamp_whole_year_production_tonne,sannhamp_whole_year_yield_tonne_per_hectare,sannhamp_kharif_area_hectare,sannhamp_kharif_production_tonne,sannhamp_kharif_yield_tonne_per_hectare,sannhamp_rabi_area_hectare,sannhamp_rabi_production_tonne,sannhamp_rabi_yield_tonne_per_hectare,sannhamp_winter_area_hectare,sannhamp_winter_production_tonne,sannhamp_winter_yield_tonne_per_hectare
,,2004 - 2005,16.0,,0.0,,,,,,,,,
,,2005 - 2006,5.0,,0.0,,,,,,,,,
,,2006 - 2007,14.0,,0.0,,,,,,,,,
,,2007 - 2008,8.0,,0.0,,,,,,,,,
,,2008 - 2009,1.0,,0.0,,,,,,,,,
,,2011 - 2012,,,,1.0,,0.0,,,,,,
,,2013 - 2014,,,,1.0,,0.0,,,,,,
,Rohtak,2000 - 2001,96.0,0.0,0.0,,,,,,,,,
,,2001 - 2002,130.0,100.0,0.77,,,,,,,,,
,,2002 - 2003,274.0,100.0,0.36,,,,,,,,,
,,2003 - 2004,178.0,100.0,0.56,,,,,,,,,
,,2004 - 2005,155.0,100.0,0.65,,,,,,,,,
,,2005 - 2006,112.0,,0.0,,,,,,,,,
,,2006 - 2007,87.0,100.0,1.15,,,,,,,,,
,,2007 - 2008,117.0,100.0,0.85,,,,,,,,,
,,2008 - 2009,62.0,100.0,1.61,,,,,,,,,
,,2010 - 2011,27.0,,0.0,,,,,,,,,
,,2011 - 2012,,,,30.0,,0.0,,,,,,
,,2012 - 2013,,,,38.0,13.0,0.34,,,,,,
,,2013 - 2014,,,,8.0,,0.0,,,,,,
,Sirsa,2000 - 2001,2.0,0.0,0.0,,,,,,,,,
,,2003 - 2004,3.0,0.0,0.0,,,,,,,,,
,,2005 - 2006,1.0,,0.0,,,,,,,,,
,,2006 - 2007,2.0,,0.0,,,,,,,,,
,,2007 - 2008,1.0,,0.0,,,,,,,,,
,,2008 - 2009,1.0,,0.0,,,,,,,,,
,,2010 - 2011,1.0,,0.0,,,,,,,,,
,,2011 - 2012,,,,1.0,,0.0,,,,,,
,Sonipat,2000 - 2001,56.0,0.0,0.0,,,,,,,,,
,,2001 - 2002,18.0,0.0,0.0,,,,,,,,,
,,2002 - 2003,9.0,0.0,0.0,,,,,,,,,
,,2003 - 2004,14.0,0.0,0.0,,,,,,,,,
,,2004 - 2005,14.0,,0.0,,,,,,,,,
,,2005 - 2006,129.0,100.0,0.78,,,,,,,,,
,,2006 - 2007,75.0,,0.0,,,,,,,,,
,,2007 - 2008,60.0,,0.0,,,,,,,,,
,,2008 - 2009,23.0,,0.0,,,,,,,,,
,,2010 - 2011,24.0,,0.0,,,,,,,,,
,,2011 - 2012,,,,11.0,,0.0,,,,,,
Himachal Pradesh,Bilaspur,2001 - 2002,1.0,1.0,1.0,,,,,,,,,
,,2005 - 2006,,,,1.0,1.0,1.0,,,,,,
,Hamirpur,2008 - 2009,,,,1.0,,0.0,,,,,,
,,2016 - 2017,,,,1.0,,0.0,,,,,,
,Kangra,2001 - 2002,10.0,10.0,1.0,,,,,,,,,
,,2005 - 2006,,,,19.0,8.0,0.42,,,,,,
,,2006 - 2007,,,,17.0,3.0,0.18,,,,,,
,,2007 - 2008,,,,11.0,2.0,0.18,,,,,,
,Sirmaur,2005 - 2006,,,,2.0,1.0,0.5,,,,,,
,,2008 - 2009,,,,5.0,1.0,0.2,,,,,,
,,2016 - 2017,,,,4.0,1.0,0.25,,,,,,
,Solan,2018 - 2019,,,,2.0,0.5,0.25,,,,,,
,Una,2001 - 2002,27.0,27.0,1.0,,,,,,,,,
,,2005 - 2006,,,,15.0,8.0,0.53,,,,,,
,,2006 - 2007,,,,59.0,11.0,0.19,,,,,,
,,2007 - 2008,,,,21.0,4.0,0.19,,,,,,
,,2018 - 2019,,,,6.0,1.5,0.25,,,,,,
Jammu and Kashmir,Anantnag,2014 - 2015,,,,2.0,0.7,0.35,,,,,,
,Jammu,2000 - 2001,194.0,97.0,0.5,,,,,,,,,
,,2001 - 2002,190.0,95.0,0.5,,,,,,,,,
,,2003 - 2004,61.0,30.0,0.49,,,,,,,,,
,,2005 - 2006,,,,184.0,92.0,0.5,,,,,,
,,2006 - 2007,,,,335.0,167.5,0.5,,,,,,
,,2007 - 2008,,,,306.0,153.0,0.5,,,,,,
,,2009 - 2010,,,,100.0,50.0,0.5,,,,,,
,,2010 - 2011,,,,114.0,57.0,0.5,,,,,,
,,2011 - 2012,,,,39.0,19.5,0.5,,,,,,
,,2012 - 2013,,,,17.0,8.5,0.5,,,,,,
,,2014 - 2015,,,,18.0,9.0,0.5,,,,,,
,,2016 - 2017,,,,15.0,13.0,0.87,,,,,,
,,2017 - 2018,,,,24.0,21.1,0.88,,,,,,
,Kathua,2000 - 2001,24.0,12.0,0.5,,,,,,,,,
,,2001 - 2002,20.0,10.0,0.5,,,,,,,,,
,,2003 - 2004,14.0,7.0,0.5,,,,,,,,,
,,2005 - 2006,,,,11.0,5.5,0.5,,,,,,
,,2007 - 2008,,,,8.0,4.0,0.5,,,,,,
,,2009 - 2010,,,,2.0,1.1,0.55,,,,,,
,,2010 - 2011,,,,3.0,1.6,0.53,,,,,,
,,2011 - 2012,,,,1.0,0.6,0.6,,,,,,
,,2012 - 2013,,,,1.0,0.6,0.6,,,,,,
,,2014 - 2015,,,,2.0,1.0,0.5,,,,,,
,Poonch,2000 - 2001,4.0,2.0,0.5,,,,,,,,,
,,2001 - 2002,4.0,2.0,0.5,,,,,,,,,
,,2003 - 2004,2.0,0.1,0.05,,,,,,,,,
,Rajauri,2000 - 2001,2.0,1.0,0.5,,,,,,,,,
,,2001 - 2002,15.0,7.0,0.47,,,,,,,,,
,,2003 - 2004,2.0,1.0,0.5,,,,,,,,,
,,2005 - 2006,,,,2.0,1.0,0.5,,,,,,
,,2011 - 2012,,,,2.0,2.1,1.05,,,,,,
,Reasi,2007 - 2008,,,,11.0,11.5,1.05,,,,,,
,,2012 - 2013,,,,3.0,3.2,1.07,,,,,,
,Samba,2007 - 2008,,,,53.0,26.5,0.5,,,,,,
,,2009 - 2010,,,,35.0,17.5,0.5,,,,,,
,,2010 - 2011,,,,22.0,11.0,0.5,,,,,,
,,2011 - 2012,,,,17.0,8.5,0.5,,,,,,
,,2012 - 2013,,,,17.0,8.5,0.5,,,,,,
,,2015 - 2016,,,,2.0,1.0,0.5,,,,,,
,,2016 - 2017,,,,2.0,1.0,0.5,,,,,,
,,2017 - 2018,,,,3.0,1.5,0.5,,,,,,
,Udhampur,2000 - 2001,51.0,24.0,0.47,,,,,,,,,
,,2001 - 2002,42.0,20.0,0.48,,,,,,,,,
,,2003 - 2004,44.0,21.0,0.48,,,,,,,,,
,,2005 - 2006,,,,28.0,29.3,1.05,,,,,,
,,2007 - 2008,,,,13.0,13.6,1.05,,,,,,
,,2009 - 2010,,,,11.0,11.6,1.05,,,,,,
,,2010 - 2011,,,,17.0,17.9,1.05,,,,,,
,,2011 - 2012,,,,27.0,28.5,1.06,,,,,,
,,2012 - 2013,,,,17.0,17.9,1.05,,,,,,
,,2014 - 2015,,,,8.0,8.4,1.05,,,,,,
,,2015 - 2016,,,,4.0,4.2,1.05,,,,,,
,,2016 - 2017,,,,8.0,8.4,1.05,,,,,,
,,2017 - 2018,,,,8.0,8.6,1.08,,,,,,
Karnataka,Bagalkot,2000 - 2001,35.0,9.0,0.26,,,,,,,,,
,,2001 - 2002,22.0,5.0,0.23,,,,,,,,,
,,2002 - 2003,22.0,5.0,0.23,,,,,,,,,
,,2003 - 2004,19.0,5.0,0.26,,,,,,,,,
,,2013 - 2014,3.0,1.0,0.33,,,,,,,,,
,,2018 - 2019,12.0,3.0,0.25,,,,,,,,,
,,2019 - 2020,122.0,72.0,0.59,,,,,,,,,
,,2020 - 2021,,,,156.0,39.0,0.25,,,,,,
,,2021 - 2022,,,,98.0,36.0,0.37,,,,,,
,,2022 - 2023,,,,140.0,57.0,0.41,,,,,,
,Bangalore rural,2019 - 2020,2.0,1.0,0.5,,,,,,,,,
,,2020 - 2021,,,,2.0,1.0,0.5,,,,,,
,,2021 - 2022,,,,17.0,6.0,0.35,,,,,,
,Belgaum,2000 - 2001,,266.0,0.25,,,,,,,,,
,,2001 - 2002,,526.0,0.25,,,,,,,,,
,,2013 - 2014,213.0,53.0,0.25,,,,,,,,,
,,2014 - 2015,77.0,19.0,0.25,,,,,,,,,
,,2015 - 2016,17.0,4.0,0.24,,,,,,,,,
,,2016 - 2017,1.0,,0.0,,,,,,,,,
,,2018 - 2019,19.0,5.0,0.26,,,,,,,,,
,,2019 - 2020,195.0,116.0,0.59,,,,,,,,,
,,2020 - 2021,,,,280.0,70.0,0.25,,,,,,
,,2021 - 2022,,,,161.0,59.0,0.37,,,,,,
,,2022 - 2023,,,,180.0,73.0,0.41,,,,,,
,Bellary,2000 - 2001,29.0,7.0,0.24,,,,,,,,,
,,2001 - 2002,18.0,5.0,0.28,,,,,,,,,
,,2002 - 2003,22.0,6.0,0.27,,,,,,,,,
,,2004 - 2005,127.0,32.0,0.25,,,,,,,,,
,,2007 - 2008,81.0,20.0,0.25,,,,,,,,,
,,2014 - 2015,130.0,32.0,0.25,,,,,,,,,
,,2018 - 2019,2.0,,0.0,,,,,,,,,
,,2019 - 2020,6.0,4.0,0.67,,,,,,,,,
,,2020 - 2021,,,,62.0,16.0,0.26,,,,,,
,,2021 - 2022,,,,53.0,19.0,0.36,,,,,,
,,2022 - 2023,,,,31.0,13.0,0.42,,,,,,
,Bengaluru urban,2019 - 2020,1.0,1.0,1.0,,,,,,,,,
,,2020 - 2021,,,,1.0,0.25,0.25,,,,,,
,,2021 - 2022,,,,1.0,0.36,0.36,,,,,,
,,2022 - 2023,,,,1.0,0.4,0.4,,,,,,
,Bidar,2000 - 2001,268.0,67.0,0.25,,,,,,,,,
,,2001 - 2002,329.0,82.0,0.25,,,,,,,,,
,,2002 - 2003,337.0,84.0,0.25,,,,,,,,,
,,2003 - 2004,423.0,106.0,0.25,,,,,,,,,
,,2007 - 2008,306.0,76.0,0.25,,,,,,,,,
,,2008 - 2009,249.0,62.0,0.25,,,,,,,,,
,,2009 - 2010,264.0,66.0,0.25,,,,,,,,,
,,2010 - 2011,308.0,77.0,0.25,,,,,,,,,
,,2011 - 2012,32.0,8.0,0.25,,,,,,,,,
,,2012 - 2013,97.0,24.0,0.25,,,,,,,,,
,,2013 - 2014,120.0,30.0,0.25,,,,,,,,,
,,2014 - 2015,26.0,6.0,0.23,,,,,,,,,
,,2015 - 2016,18.0,4.0,0.22,,,,,,,,,
,,2016 - 2017,6.0,1.0,0.17,,,,,,,,,
,,2017 - 2018,313.0,78.0,0.25,,,,,,,,,
,,2018 - 2019,10.0,2.0,0.2,,,,,,,,,
,,2019 - 2020,92.0,55.0,0.6,,,,,,,,,
,,2020 - 2021,,,,51.0,13.0,0.25,,,,,,
,,2021 - 2022,,,,78.0,29.0,0.37,,,,,,
,,2022 - 2023,,,,25.0,10.0,0.4,,,,,,
,Bijapur,2018 - 2019,44.0,11.0,0.25,,,,,,,,,
,,2019 - 2020,23.0,14.0,0.61,,,,,,,,,
,,2020 - 2021,,,,52.0,13.0,0.25,,,,,,
,,2021 - 2022,,,,15.0,5.0,0.33,,,,,,
,,2022 - 2023,,,,15.0,6.0,0.4,,,,,,
,Chamarajanagar,2012 - 2013,97.0,24.0,0.25,,,,,,,,,
,,2018 - 2019,54.0,13.0,0.24,,,,,,,,,
,,2019 - 2020,512.0,304.0,0.59,,,,,,,,,
,,2020 - 2021,,,,264.0,66.0,0.25,,,,,,
,,2021 - 2022,,,,319.0,117.0,0.37,,,,,,
,,2022 - 2023,,,,113.0,46.0,0.41,,,,,,
,Chikballapur,2019 - 2020,7.0,4.0,0.57,,,,,,,,,
,,2020 - 2021,,,,2.0,1.0,0.5,,,,,,
,,2021 - 2022,,,,6.0,2.0,0.33,,,,,,
,,2022 - 2023,,,,12.0,5.0,0.42,,,,,,
,Chikmagalur,2019 - 2020,1.0,1.0,1.0,,,,,,,,,
,,2020 - 2021,,,,1.0,0.25,0.25,,,,,,
,,2021 - 2022,,,,3.0,1.0,0.33,,,,,,
,,2022 - 2023,,,,6.0,2.0,0.33,,,,,,
,Chitradurga,2018 - 2019,7.0,2.0,0.29,,,,,,,,,
,,2019 - 2020,8.0,5.0,0.63,,,,,,,,,
,,2020 - 2021,,,,49.0,12.0,0.24,,,,,,
,,2021 - 2022,,,,33.0,12.0,0.36,,,,,,
,,2022 - 2023,,,,28.0,12.0,0.43,,,,,,
,Davangere,2001 - 2002,58.0,14.0,0.24,,,,,,,,,
,,2002 - 2003,7.0,2.0,0.29,,,,,,,,,
,,2004 - 2005,2.0,,0.0,,,,,,,,,
,,2005 - 2006,6.0,1.0,0.17,,,,,,,,,
,,2019 - 2020,13.0,8.0,0.62,,,,,,,,,
,,2020 - 2021,,,,27.0,7.0,0.26,,,,,,
,,2021 - 2022,,,,20.0,7.0,0.35,,,,,,
,,2022 - 2023,,,,14.0,6.0,0.43,,,,,,
,Dharwad,2003 - 2004,8.0,2.0,0.25,,,,,,,,,
,,2009 - 2010,1.0,,0.0,,,,,,,,,
,,2016 - 2017,1.0,,0.0,,,,,,,,,
,,2017 - 2018,1.0,,0.0,,,,,,,,,
,,2019 - 2020,12.0,7.0,0.58,,,,,,,,,
,,2020 - 2021,,,,4.0,1.0,0.25,,,,,,
,,2021 - 2022,,,,9.0,3.0,0.33,,,,,,
,Gadag,2005 - 2006,21.0,5.0,0.24,,,,,,,,,
,,2006 - 2007,17.0,4.0,0.24,,,,,,,,,
,,2016 - 2017,1.0,,0.0,,,,,,,,,
,,2018 - 2019,7.0,2.0,0.29,,,,,,,,,
,,2019 - 2020,14.0,8.0,0.57,,,,,,,,,
,,2020 - 2021,,,,2.0,1.0,0.5,,,,,,
,,2021 - 2022,,,,13.0,5.0,0.38,,,,,,
,,2022 - 2023,,,,5.0,2.0,0.4,,,,,,
,Gulbarga,2000 - 2001,19.0,4.0,0.21,,,,,,,,,
,,2001 - 2002,11.0,2.0,0.18,,,,,,,,,
,,2002 - 2003,10.0,2.0,0.2,,,,,,,,,
,,2003 - 2004,12.0,3.0,0.25,,,,,,,,,
,,2004 - 2005,16.0,4.0,0.25,,,,,,,,,
,,2008 - 2009,4.0,1.0,0.25,,,,,,,,,
,,2018 - 2019,1.0,,0.0,,,,,,,,,
,,2019 - 2020,3.0,2.0,0.67,,,,,,,,,
,,2020 - 2021,,,,4.0,1.0,0.25,,,,,,
,,2021 - 2022,,,,11.0,4.0,0.36,,,,,,
,,2022 - 2023,,,,27.0,11.0,0.41,,,,,,
,Hassan,2006 - 2007,6.0,1.0,0.17,,,,,,,,,
,,2018 - 2019,2.0,,0.0,,,,,,,,,
,,2019 - 2020,205.0,122.0,0.6,,,,,,,,,
,,2020 - 2021,,,,24.0,6.0,0.25,,,,,,
,,2021 - 2022,,,,121.0,44.0,0.36,,,,,,
,,2022 - 2023,,,,59.0,24.0,0.41,,,,,,
,Haveri,2000 - 2001,2.0,1.0,0.5,,,,,,,,,
,,2002 - 2003,6.0,1.0,0.17,,,,,,,,,
,,2003 - 2004,1.0,0.0,0.0,,,,,,,,,
,,2004 - 2005,2.0,1.0,0.5,,,,,,,,,
,,2013 - 2014,5.0,1.0,0.2,,,,,,,,,
,,2014 - 2015,5.0,1.0,0.2,,,,,,,,,
,,2018 - 2019,13.0,3.0,0.23,,,,,,,,,
,,2019 - 2020,14.0,8.0,0.57,,,,,,,,,
,,2020 - 2021,,,,22.0,6.0,0.27,,,,,,
,,2021 - 2022,,,,21.0,8.0,0.38,,,,,,
,,2022 - 2023,,,,35.0,14.0,0.4,,,,,,
,Kolar,2018 - 2019,38.0,9.0,0.24,,,,,,,,,
,,2019 - 2020,1.0,1.0,1.0,,,,,,,,,
,,2020 - 2021,,,,2.0,1.0,0.5,,,,,,
,,2021 - 2022,,,,2.0,1.0,0.5,,,,,,
,,2022 - 2023,,,,1.0,0.4,0.4,,,,,,
,Koppal,2005 - 2006,86.0,19.0,0.22,,,,,,,,,
,,2018 - 2019,56.0,14.0,0.25,,,,,,,,,
,,2019 - 2020,17.0,10.0,0.59,,,,,,,,,
,,2020 - 2021,,,,35.0,9.0,0.26,,,,,,
,,2021 - 2022,,,,26.0,10.0,0.38,,,,,,
,,2022 - 2023,,,,15.0,6.0,0.4,,,,,,
,Mandya,2018 - 2019,2.0,,0.0,,,,,,,,,
,,2019 - 2020,3.0,2.0,0.67,,,,,,,,,
,,2020 - 2021,,,,7.0,2.0,0.29,,,,,,
,,2021 - 2022,,,,17.0,6.0,0.35,,,,,,
,,2022 - 2023,,,,16.0,6.0,0.38,,,,,,
,Mysore,2018 - 2019,39.0,10.0,0.26,,,,,,,,,
,,2019 - 2020,795.0,472.0,0.59,,,,,,,,,
,,2020 - 2021,,,,53.0,13.0,0.25,,,,,,
,,2021 - 2022,,,,,413.0,0.37,,,,,,
,,2022 - 2023,,,,,495.0,0.41,,,,,,
,Raichur,2005 - 2006,92.0,21.0,0.23,,,,,,,,,
,,2007 - 2008,13.0,3.0,0.23,,,,,,,,,
,,2008 - 2009,13.0,3.0,0.23,,,,,,,,,
,,2018 - 2019,1.0,,0.0,,,,,,,,,
,,2019 - 2020,13.0,8.0,0.62,,,,,,,,,
,,2020 - 2021,,,,5.0,1.0,0.2,,,,,,
,,2021 - 2022,,,,5.0,2.0,0.4,,,,,,
,,2022 - 2023,,,,13.0,5.0,0.38,,,,,,
,Ramanagara,2018 - 2019,14.0,3.0,0.21,,,,,,,,,
,,2019 - 2020,2.0,1.0,0.5,,,,,,,,,
,,2020 - 2021,,,,11.0,3.0,0.27,,,,,,
,,2021 - 2022,,,,4.0,1.0,0.25,,,,,,
,,2022 - 2023,,,,1.0,0.4,0.4,,,,,,
,Shimoga,2019 - 2020,9.0,5.0,0.56,,,,,,,,,
,,2020 - 2021,,,,4.0,1.0,0.25,,,,,,
,,2021 - 2022,,,,3.0,1.0,0.33,,,,,,
,,2022 - 2023,,,,1.0,0.4,0.4,,,,,,
,Tumkur,2003 - 2004,2.0,0.0,0.0,,,,,,,,,
,,2006 - 2007,2.0,,0.0,,,,,,,,,
,,2011 - 2012,10.0,2.0,0.2,,,,,,,,,
,,2012 - 2013,5.0,1.0,0.2,,,,,,,,,
,,2016 - 2017,1.0,,0.0,,,,,,,,,
,,2017 - 2018,3.0,1.0,0.33,,,,,,,,,
,,2018 - 2019,10.0,2.0,0.2,,,,,,,,,
,,2019 - 2020,5.0,3.0,0.6,,,,,,,,,
,,2020 - 2021,,,,25.0,6.0,0.24,,,,,,
,,2021 - 2022,,,,13.0,5.0,0.38,,,,,,
,,2022 - 2023,,,,14.0,6.0,0.43,,,,,,
,Udupi,2020 - 2021,,,,1.0,0.25,0.25,,,,,,
,Uttar kannad,2003 - 2004,1.0,0.0,0.0,,,,,,,,,
,,2009 - 2010,17.0,4.0,0.24,,,,,,,,,
,,2010 - 2011,33.0,8.0,0.24,,,,,,,,,
,,2012 - 2013,59.0,15.0,0.25,,,,,,,,,
,,2014 - 2015,73.0,18.0,0.25,,,,,,,,,
,,2015 - 2016,78.0,19.0,0.24,,,,,,,,,
,,2016 - 2017,47.0,12.0,0.26,,,,,,,,,
,,2017 - 2018,31.0,8.0,0.26,,,,,,,,,
,,2018 - 2019,26.0,6.0,0.23,,,,,,,,,
,,2019 - 2020,6.0,4.0,0.67,,,,,,,,,
,,2020 - 2021,,,,3.0,1.0,0.33,,,,,,
,Vijayanagar,2022 - 2023,,,,21.0,8.0,0.38,,,,,,
,Yadgir,2018 - 2019,1.0,,0.0,,,,,,,,,
,,2021 - 2022,,,,2.0,1.0,0.5,,,,,,
Madhya Pradesh,Agar malwa,2013 - 2014,,,,21.0,50.0,2.38,,,,,,
,Alirajpur,2008 - 2009,,,,37.0,17.0,0.46,,,,,,
,,2009 - 2010,56.0,23.0,0.41,,,,,,,,,
,,2010 - 2011,68.0,156.0,2.29,,,,,,,,,
,,2011 - 2012,,,,64.0,106.0,1.66,,,,,,
,,2012 - 2013,,,,57.0,100.0,1.75,,,,,,
,,2013 - 2014,,,,66.0,134.0,2.03,,,,,,
,Anuppur,2003 - 2004,70.0,122.0,1.74,,,,,,,,,
,,2007 - 2008,,,,66.0,20.0,0.3,,,,,,
,,2008 - 2009,,,,63.0,18.0,0.29,,,,,,
,,2009 - 2010,70.0,15.0,0.21,,,,,,,,,
,,2010 - 2011,62.0,61.0,0.98,,,,,,,,,
,,2011 - 2012,,,,50.0,67.0,1.34,,,,,,
,,2012 - 2013,,,,43.0,83.0,1.93,,,,,,
,,2013 - 2014,,,,41.0,83.0,2.02,,,,,,
,Balaghat,2000 - 2001,91.0,183.0,2.01,,,,,,,,,
,,2001 - 2002,107.0,217.0,2.03,,,,,,,,,
,,2002 - 2003,102.0,206.0,2.02,,,,,,,,,
,,2003 - 2004,98.0,195.0,1.99,,,,,,,,,
,,2007 - 2008,,,,84.0,35.0,0.42,,,,,,
,,2008 - 2009,,,,71.0,30.0,0.42,,,,,,
,,2009 - 2010,53.0,23.0,0.43,,,,,,,,,
,,2010 - 2011,43.0,100.0,2.33,,,,,,,,,
,,2011 - 2012,,,,45.0,94.0,2.09,,,,,,
,,2012 - 2013,,,,41.0,89.0,2.17,,,,,,
,,2013 - 2014,,,,41.0,95.0,2.32,,,,,,
,Barwani,2000 - 2001,304.0,327.0,1.08,,,,,,,,,
,,2001 - 2002,291.0,389.0,1.34,,,,,,,,,
,,2002 - 2003,253.0,356.0,1.41,,,,,,,,,
,,2003 - 2004,321.0,644.0,2.01,,,,,,,,,
,,2007 - 2008,,,,335.0,289.0,0.86,,,,,,
,,2008 - 2009,,,,389.0,69.0,0.18,,,,,,
,,2009 - 2010,309.0,53.0,0.17,,,,,,,,,
,,2010 - 2011,263.0,244.0,0.93,,,,,,,,,
,,2011 - 2012,,,,204.0,144.0,0.71,,,,,,
,,2012 - 2013,,,,145.0,189.0,1.3,,,,,,
,,2013 - 2014,,,,91.0,122.0,1.34,,,,,,
,Betul,2000 - 2001,463.0,683.0,1.48,,,,,,,,,
,,2001 - 2002,399.0,706.0,1.77,,,,,,,,,
,,2002 - 2003,417.0,683.0,1.64,,,,,,,,,
,,2003 - 2004,312.0,522.0,1.67,,,,,,,,,
,,2007 - 2008,,,,33.0,13.0,0.39,,,,,,
,,2008 - 2009,,,,53.0,20.0,0.38,,,,,,
,,2009 - 2010,109.0,44.0,0.4,,,,,,,,,
,,2010 - 2011,108.0,261.0,2.42,,,,,,,,,
,,2011 - 2012,,,,64.0,106.0,1.66,,,,,,
,,2012 - 2013,,,,71.0,150.0,2.11,,,,,,
,,2013 - 2014,,,,40.0,72.0,1.8,,,,,,
,Bhind,2000 - 2001,21.0,28.0,1.33,,,,,,,,,
,,2001 - 2002,27.0,50.0,1.85,,,,,,,,,
,,2002 - 2003,36.0,67.0,1.86,,,,,,,,,
,,2003 - 2004,20.0,39.0,1.95,,,,,,,,,
,,2007 - 2008,,,,4.0,1.0,0.25,,,,,,
,,2008 - 2009,,,,9.0,3.0,0.33,,,,,,
,,2009 - 2010,3.0,1.0,0.33,,,,,,,,,
,,2010 - 2011,5.0,11.0,2.2,,,,,,,,,
,,2011 - 2012,,,,4.0,6.0,1.5,,,,,,
,,2012 - 2013,,,,25.0,33.0,1.32,,,,,,
,,2013 - 2014,,,,103.0,133.0,1.29,,,,,,
,Bhopal,2000 - 2001,111.0,239.0,2.15,,,,,,,,,
,,2001 - 2002,86.0,155.0,1.8,,,,,,,,,
,,2002 - 2003,61.0,111.0,1.82,,,,,,,,,
,,2003 - 2004,44.0,78.0,1.77,,,,,,,,,
,,2007 - 2008,,,,27.0,10.0,0.37,,,,,,
,,2008 - 2009,,,,21.0,7.0,0.33,,,,,,
,,2009 - 2010,13.0,4.0,0.31,,,,,,,,,
,,2010 - 2011,2.0,6.0,3.0,,,,,,,,,
,,2011 - 2012,,,,12.0,22.0,1.83,,,,,,
,,2012 - 2013,,,,4.0,11.0,2.75,,,,,,
,,2013 - 2014,,,,5.0,5.0,1.0,,,,,,
,Burhanpur,2003 - 2004,13.0,28.0,2.15,,,,,,,,,
,,2007 - 2008,,,,63.0,139.0,2.21,,,,,,
,,2008 - 2009,,,,50.0,18.0,0.36,,,,,,
,,2009 - 2010,66.0,23.0,0.35,,,,,,,,,
,,2010 - 2011,24.0,33.0,1.38,,,,,,,,,
,,2011 - 2012,,,,26.0,44.0,1.69,,,,,,
,,2012 - 2013,,,,9.0,17.0,1.89,,,,,,
,,2013 - 2014,,,,21.0,33.0,1.57,,,,,,
,Chhatarpur,2000 - 2001,637.0,661.0,1.04,,,,,,,,,
,,2001 - 2002,637.0,933.0,1.46,,,,,,,,,
,,2002 - 2003,668.0,739.0,1.11,,,,,,,,,
,,2003 - 2004,699.0,,1.5,,,,,,,,,
,,2007 - 2008,,,,,230.0,0.23,,,,,,
,,2008 - 2009,,,,806.0,209.0,0.26,,,,,,
,,2009 - 2010,810.0,225.0,0.28,,,,,,,,,
,,2010 - 2011,798.0,,1.54,,,,,,,,,
,,2011 - 2012,,,,863.0,706.0,0.82,,,,,,
,,2012 - 2013,,,,621.0,955.0,1.54,,,,,,
,,2013 - 2014,,,,685.0,,3.2,,,,,,
,Chhindwara,2000 - 2001,537.0,972.0,1.81,,,,,,,,,
,,2001 - 2002,476.0,728.0,1.53,,,,,,,,,
,,2002 - 2003,428.0,600.0,1.4,,,,,,,,,
,,2003 - 2004,417.0,,2.45,,,,,,,,,
,,2007 - 2008,,,,280.0,141.0,0.5,,,,,,
,,2008 - 2009,,,,290.0,125.0,0.43,,,,,,
,,2009 - 2010,313.0,137.0,0.44,,,,,,,,,
,,2010 - 2011,259.0,667.0,2.58,,,,,,,,,
,,2011 - 2012,,,,189.0,356.0,1.88,,,,,,
,,2012 - 2013,,,,279.0,778.0,2.79,,,,,,
,,2013 - 2014,,,,181.0,267.0,1.48,,,,,,
,Damoh,2000 - 2001,4.0,6.0,1.5,,,,,,,,,
,,2001 - 2002,8.0,11.0,1.38,,,,,,,,,
,,2002 - 2003,12.0,11.0,0.92,,,,,,,,,
,,2003 - 2004,11.0,22.0,2.0,,,,,,,,,
,,2008 - 2009,,,,4.0,2.0,0.5,,,,,,
,Datia,2000 - 2001,46.0,139.0,3.02,,,,,,,,,
,,2001 - 2002,36.0,106.0,2.94,,,,,,,,,
,,2002 - 2003,19.0,39.0,2.05,,,,,,,,,
,,2003 - 2004,34.0,78.0,2.29,,,,,,,,,
,,2007 - 2008,,,,20.0,6.0,0.3,,,,,,
,,2008 - 2009,,,,12.0,4.0,0.33,,,,,,
,,2009 - 2010,177.0,69.0,0.39,,,,,,,,,
,,2011 - 2012,,,,7.0,11.0,1.57,,,,,,
,,2012 - 2013,,,,12.0,28.0,2.33,,,,,,
,,2013 - 2014,,,,275.0,,0.0,,,,,,
,Dewas,2000 - 2001,46.0,78.0,1.7,,,,,,,,,
,,2001 - 2002,39.0,94.0,2.41,,,,,,,,,
,,2002 - 2003,37.0,78.0,2.11,,,,,,,,,
,,2003 - 2004,46.0,106.0,2.3,,,,,,,,,
,,2007 - 2008,,,,40.0,19.0,0.48,,,,,,
,,2008 - 2009,,,,51.0,26.0,0.51,,,,,,
,,2009 - 2010,37.0,19.0,0.51,,,,,,,,,
,,2010 - 2011,26.0,78.0,3.0,,,,,,,,,
,,2011 - 2012,,,,24.0,50.0,2.08,,,,,,
,,2012 - 2013,,,,25.0,61.0,2.44,,,,,,
,,2013 - 2014,,,,24.0,78.0,3.25,,,,,,
,Dhar,2000 - 2001,220.0,228.0,1.04,,,,,,,,,
,,2001 - 2002,206.0,295.0,1.43,,,,,,,,,
,,2002 - 2003,213.0,422.0,1.98,,,,,,,,,
