state,district,year,cowpea_rabi_area_hectare,cowpea_rabi_production_tonne,cowpea_rabi_yield_tonne_per_hectare,cowpea_kharif_area_hectare,cowpea_kharif_production_tonne,cowpea_kharif_yield_tonne_per_hectare,cowpea_summer_area_hectare,cowpea_summer_production_tonne,cowpea_summer_yield_tonne_per_hectare,cowpea_whole_year_area_hectare,cowpea_whole_year_production_tonne,cowpea_whole_year_yield_tonne_per_hectare
,,2012 - 2013,,,,85.0,82.0,0.96,,,,,,
,,2013 - 2014,,,,92.0,92.0,1.0,,,,,,
,,2014 - 2015,,,,105.0,103.0,0.98,,,,,,
,,2015 - 2016,,,,107.0,112.0,1.05,,,,,,
,,2016 - 2017,,,,107.0,119.0,1.11,,,,,,
,,2017 - 2018,,,,106.0,115.0,1.08,,,,,,
,,2018 - 2019,,,,106.0,107.0,1.01,,,,,,
,Thoubal,2008 - 2009,,,,52.0,59.0,1.13,,,,,,
,,2009 - 2010,,,,50.0,47.0,0.94,,,,,,
,,2010 - 2011,,,,35.0,41.7,1.19,,,,,,
,,2011 - 2012,,,,56.0,58.0,1.04,,,,,,
,,2012 - 2013,,,,56.0,54.0,0.96,,,,,,
,,2013 - 2014,,,,77.0,75.8,0.98,,,,,,
,,2014 - 2015,,,,45.0,44.0,0.98,,,,,,
,,2015 - 2016,,,,50.0,53.0,1.06,,,,,,
,,2016 - 2017,,,,50.0,55.0,1.1,,,,,,
,,2017 - 2018,,,,50.0,54.0,1.08,,,,,,
,,2018 - 2019,,,,50.0,52.9,1.06,,,,,,
,Ukhrul,2008 - 2009,,,,132.0,155.0,1.17,,,,,,
,,2009 - 2010,,,,13.0,9.0,0.69,,,,,,
,,2010 - 2011,,,,126.0,146.8,1.17,,,,,,
,,2011 - 2012,,,,132.0,158.0,1.2,,,,,,
,,2012 - 2013,,,,121.0,122.0,1.01,,,,,,
,,2013 - 2014,,,,147.0,154.0,1.05,,,,,,
,,2014 - 2015,,,,128.0,127.0,0.99,,,,,,
,,2015 - 2016,,,,128.0,138.0,1.08,,,,,,
,,2016 - 2017,,,,128.0,143.0,1.12,,,,,,
,,2017 - 2018,,,,128.0,165.0,1.29,,,,,,
,,2018 - 2019,,,,128.0,128.0,1.0,,,,,,
Meghalaya,East garo hills,2013 - 2014,119.0,94.0,0.79,,,,,,,,,
,,2014 - 2015,122.0,106.0,0.87,,,,,,,,,
,,2015 - 2016,123.0,117.0,0.95,,,,,,,,,
,,2016 - 2017,137.0,119.0,0.87,,,,,,,,,
,,2017 - 2018,138.0,120.0,0.87,,,,,,,,,
,,2018 - 2019,140.0,122.0,0.87,,,,,,,,,
,,2019 - 2020,141.0,123.0,0.87,,,,,,,,,
,,2020 - 2021,142.0,123.0,0.87,,,,,,,,,
,,2022 - 2023,144.0,125.0,0.87,,,,,,,,,
,East jaintia hills,2013 - 2014,22.0,21.0,0.95,,,,,,,,,
,,2014 - 2015,22.0,22.0,1.0,,,,,,,,,
,,2015 - 2016,22.0,23.0,1.05,,,,,,,,,
,,2016 - 2017,22.0,23.0,1.05,,,,,,,,,
,,2017 - 2018,22.0,23.0,1.05,,,,,,,,,
,,2018 - 2019,22.0,23.0,1.05,,,,,,,,,
,,2019 - 2020,22.0,23.0,1.05,,,,,,,,,
,,2020 - 2021,22.0,23.0,1.05,,,,,,,,,
,,2022 - 2023,23.0,26.0,1.13,,,,,,,,,
,East khasi hills,2013 - 2014,15.0,48.0,3.2,,,,,,,,,
,,2014 - 2015,16.0,52.0,3.25,,,,,,,,,
,,2015 - 2016,17.0,59.0,3.47,,,,,,,,,
,,2016 - 2017,19.0,60.0,3.16,,,,,,,,,
,,2017 - 2018,19.0,60.0,3.16,,,,,,,,,
,,2018 - 2019,19.0,60.0,3.16,,,,,,,,,
,,2019 - 2020,19.0,60.0,3.16,,,,,,,,,
,,2020 - 2021,19.0,60.0,3.16,,,,,,,,,
,,2022 - 2023,20.0,64.0,3.2,,,,,,,,,
,North garo hills,2013 - 2014,106.0,81.0,0.76,,,,,,,,,
,,2014 - 2015,107.0,88.0,0.82,,,,,,,,,
,,2015 - 2016,108.0,95.0,0.88,,,,,,,,,
,,2016 - 2017,109.0,96.0,0.88,,,,,,,,,
,,2017 - 2018,110.0,97.0,0.88,,,,,,,,,
,,2018 - 2019,112.0,99.0,0.88,,,,,,,,,
,,2019 - 2020,113.0,100.0,0.88,,,,,,,,,
,,2020 - 2021,113.0,100.0,0.88,,,,,,,,,
,,2022 - 2023,114.0,103.0,0.9,,,,,,,,,
,Ri bhoi,2013 - 2014,10.0,14.0,1.4,,,,,,,,,
,,2014 - 2015,11.0,16.0,1.45,,,,,,,,,
,,2015 - 2016,12.0,19.0,1.58,,,,,,,,,
,,2016 - 2017,13.0,19.0,1.46,,,,,,,,,
,,2017 - 2018,13.0,19.0,1.46,,,,,,,,,
,,2018 - 2019,13.0,19.0,1.46,,,,,,,,,
,,2019 - 2020,13.0,19.0,1.46,,,,,,,,,
,,2020 - 2021,13.0,19.0,1.46,,,,,,,,,
,,2022 - 2023,14.0,21.0,1.5,,,,,,,,,
,South garo hills,2013 - 2014,323.0,275.0,0.85,,,,,,,,,
,,2014 - 2015,325.0,299.0,0.92,,,,,,,,,
,,2015 - 2016,330.0,318.0,0.96,,,,,,,,,
,,2016 - 2017,331.0,323.0,0.98,,,,,,,,,
,,2017 - 2018,333.0,326.0,0.98,,,,,,,,,
,,2018 - 2019,334.0,328.0,0.98,,,,,,,,,
,,2019 - 2020,335.0,330.0,0.99,,,,,,,,,
,,2020 - 2021,335.0,330.0,0.99,,,,,,,,,
,,2022 - 2023,336.0,333.0,0.99,,,,,,,,,
,South west garo hills,2013 - 2014,148.0,224.0,1.51,,,,,,,,,
,,2014 - 2015,149.0,227.0,1.52,,,,,,,,,
,,2015 - 2016,151.0,253.0,1.68,,,,,,,,,
,,2016 - 2017,152.0,257.0,1.69,,,,,,,,,
,,2017 - 2018,154.0,261.0,1.69,,,,,,,,,
,,2018 - 2019,155.0,263.0,1.7,,,,,,,,,
,,2019 - 2020,156.0,265.0,1.7,,,,,,,,,
,,2020 - 2021,156.0,265.0,1.7,,,,,,,,,
,,2022 - 2023,157.0,267.0,1.7,,,,,,,,,
,South west khasi hills,2013 - 2014,3.0,7.0,2.33,,,,,,,,,
,,2014 - 2015,3.0,8.0,2.67,,,,,,,,,
,,2015 - 2016,3.0,9.0,3.0,,,,,,,,,
,,2016 - 2017,3.0,9.0,3.0,,,,,,,,,
,,2017 - 2018,3.0,9.0,3.0,,,,,,,,,
,,2018 - 2019,3.0,9.0,3.0,,,,,,,,,
,,2019 - 2020,3.0,9.0,3.0,,,,,,,,,
,,2020 - 2021,3.0,9.0,3.0,,,,,,,,,
,,2022 - 2023,4.0,12.0,3.0,,,,,,,,,
,West garo hills,2013 - 2014,817.0,,1.81,,,,,,,,,
,,2014 - 2015,819.0,,1.82,,,,,,,,,
,,2015 - 2016,821.0,,1.86,,,,,,,,,
,,2016 - 2017,825.0,,1.86,,,,,,,,,
,,2017 - 2018,827.0,,1.86,,,,,,,,,
,,2018 - 2019,828.0,,1.86,,,,,,,,,
,,2019 - 2020,829.0,,1.87,,,,,,,,,
,,2020 - 2021,829.0,,1.87,,,,,,,,,
,,2022 - 2023,830.0,,1.87,,,,,,,,,
,West jaintia hills,2013 - 2014,32.0,34.0,1.06,,,,,,,,,
,,2014 - 2015,34.0,39.0,1.15,,,,,,,,,
,,2015 - 2016,35.0,44.0,1.26,,,,,,,,,
,,2016 - 2017,35.0,44.0,1.26,,,,,,,,,
,,2017 - 2018,35.0,44.0,1.26,,,,,,,,,
,,2018 - 2019,35.0,44.0,1.26,,,,,,,,,
,,2019 - 2020,35.0,44.0,1.26,,,,,,,,,
,,2020 - 2021,35.0,44.0,1.26,,,,,,,,,
,,2022 - 2023,37.0,48.0,1.3,,,,,,,,,
,West khasi hills,2013 - 2014,13.0,20.0,1.54,,,,,,,,,
,,2014 - 2015,14.0,22.0,1.57,,,,,,,,,
,,2015 - 2016,15.0,26.0,1.73,,,,,,,,,
,,2016 - 2017,15.0,26.0,1.73,,,,,,,,,
,,2017 - 2018,15.0,26.0,1.73,,,,,,,,,
,,2018 - 2019,15.0,26.0,1.73,,,,,,,,,
,,2019 - 2020,15.0,26.0,1.73,,,,,,,,,
,,2020 - 2021,15.0,26.0,1.73,,,,,,,,,
,,2022 - 2023,16.0,28.0,1.75,,,,,,,,,
Mizoram,Aizawl,2010 - 2011,150.0,211.0,1.41,431.0,643.0,1.49,,,,,,
,,2011 - 2012,82.0,137.0,1.67,363.0,406.0,1.12,,,,,,
,,2012 - 2013,33.0,28.0,0.85,351.0,399.0,1.14,,,,,,
,,2013 - 2014,51.0,29.0,0.57,341.0,280.0,0.82,,,,,,
,,2014 - 2015,42.0,18.0,0.43,310.0,255.0,0.82,,,,,,
,,2015 - 2016,,,,322.0,409.0,1.27,,,,,,
,,2016 - 2017,,,,226.0,293.0,1.3,,,,,,
,,2017 - 2018,58.0,249.0,4.29,240.0,,4.45,,,,,,
,,2018 - 2019,15.0,59.0,3.93,302.0,,4.32,,,,,,
,,2019 - 2020,15.0,27.0,1.8,302.0,604.0,2.0,,,,,,
,,2020 - 2021,40.0,52.0,1.3,201.0,346.0,1.72,,,,,,
,,2021 - 2022,42.0,60.0,1.43,202.0,342.0,1.69,,,,,,
,,2022 - 2023,16.0,19.0,1.19,154.0,149.0,0.97,,,,,,
,Champhai,2010 - 2011,,,,210.0,231.0,1.1,,,,,,
,,2011 - 2012,,,,221.0,269.0,1.22,,,,,,
,,2012 - 2013,,,,60.0,3.0,0.05,,,,,,
,,2013 - 2014,,,,200.0,241.0,1.21,,,,,,
,,2014 - 2015,,,,104.0,114.0,1.1,,,,,,
,,2015 - 2016,,,,93.0,123.0,1.32,,,,,,
,,2016 - 2017,,,,78.0,87.0,1.12,,,,,,
,,2017 - 2018,,,,83.0,88.1,1.06,,,,,,
,,2018 - 2019,,,,75.0,81.0,1.08,,,,,,
,,2019 - 2020,,,,76.0,80.0,1.05,,,,,,
,,2020 - 2021,,,,49.0,36.0,0.73,,,,,,
,,2021 - 2022,,,,40.0,32.0,0.8,,,,,,
,,2022 - 2023,,,,43.0,35.0,0.81,,,,,,
,Hnahthial,2020 - 2021,,,,21.0,35.0,1.67,,,,,,
,,2022 - 2023,,,,21.0,36.0,1.71,,,,,,
,Khawzawl,2020 - 2021,,,,8.0,10.0,1.25,,,,,,
,,2021 - 2022,,,,10.0,12.0,1.2,,,,,,
,,2022 - 2023,,,,9.0,11.0,1.22,,,,,,
,Kolasib,2010 - 2011,46.0,59.0,1.28,123.0,123.0,1.0,,,,,,
,,2011 - 2012,48.0,66.0,1.38,114.0,123.0,1.08,,,,,,
,,2012 - 2013,35.0,67.0,1.91,124.0,157.0,1.27,,,,,,
,,2013 - 2014,43.0,82.0,1.91,133.0,170.0,1.28,,,,,,
,,2014 - 2015,40.0,55.0,1.38,135.0,173.0,1.28,,,,,,
,,2015 - 2016,42.0,59.0,1.4,139.0,180.0,1.29,,,,,,
,,2016 - 2017,45.0,63.0,1.4,129.0,167.0,1.29,,,,,,
,,2017 - 2018,46.0,64.0,1.39,115.0,150.0,1.3,,,,,,
,,2018 - 2019,46.0,65.0,1.41,115.0,154.0,1.34,,,,,,
,,2019 - 2020,48.0,77.0,1.6,108.0,216.0,2.0,,,,,,
,,2020 - 2021,42.0,67.0,1.6,152.0,304.0,2.0,,,,,,
,,2021 - 2022,45.0,72.0,1.6,162.0,318.0,1.96,,,,,,
,,2022 - 2023,46.0,71.0,1.54,176.0,352.0,2.0,,,,,,
,Lawngtlai,2010 - 2011,,,,23.0,12.0,0.52,,,,,,
,,2011 - 2012,,,,22.0,11.0,0.5,,,,,,
,,2013 - 2014,,,,31.0,14.0,0.45,,,,,,
,,2014 - 2015,21.0,8.0,0.38,38.0,17.0,0.45,,,,,,
,,2015 - 2016,,,,41.0,38.0,0.93,,,,,,
,,2016 - 2017,,,,40.0,37.0,0.93,,,,,,
,,2017 - 2018,,,,82.5,75.8,0.92,,,,,,
,,2018 - 2019,,,,68.0,66.0,0.97,,,,,,
,,2019 - 2020,2.0,4.0,2.0,75.0,74.0,0.99,,,,,,
,,2020 - 2021,,,,76.0,76.0,1.0,,,,,,
,,2021 - 2022,,,,73.0,68.0,0.93,,,,,,
,,2022 - 2023,,,,48.0,43.0,0.9,,,,,,
,Lunglei,2010 - 2011,23.0,35.0,1.52,228.0,456.0,2.0,,,,,,
,,2011 - 2012,8.0,5.0,0.63,187.0,213.0,1.14,,,,,,
,,2012 - 2013,5.0,4.0,0.8,,,,,,,,,
,,2013 - 2014,7.0,4.0,0.57,94.0,104.0,1.11,,,,,,
,,2014 - 2015,2.0,1.0,0.5,68.0,68.0,1.0,,,,,,
,,2015 - 2016,6.0,4.0,0.67,62.0,69.0,1.11,,,,,,
,,2016 - 2017,8.0,11.0,1.38,62.0,76.0,1.23,,,,,,
,,2017 - 2018,8.0,12.0,1.5,67.5,89.1,1.32,,,,,,
,,2018 - 2019,8.0,13.0,1.63,59.0,87.0,1.47,,,,,,
,,2019 - 2020,9.0,13.0,1.44,64.0,89.0,1.39,,,,,,
,,2020 - 2021,8.0,12.0,1.5,43.0,55.0,1.28,,,,,,
,,2021 - 2022,8.0,11.0,1.38,41.0,50.0,1.22,,,,,,
,,2022 - 2023,9.0,12.0,1.33,43.0,52.0,1.21,,,,,,
,Mamit,2010 - 2011,,,,193.0,158.0,0.82,,,,,,
,,2011 - 2012,89.0,75.0,0.84,300.0,278.0,0.93,,,,,,
,,2012 - 2013,57.0,50.0,0.88,179.0,161.0,0.9,,,,,,
,,2013 - 2014,87.0,89.0,1.02,306.0,302.0,0.99,,,,,,
,,2014 - 2015,80.0,132.0,1.65,311.0,616.0,1.98,,,,,,
,,2015 - 2016,59.0,54.0,0.92,300.0,284.0,0.95,,,,,,
,,2016 - 2017,60.0,50.0,0.83,310.0,290.0,0.94,,,,,,
,,2017 - 2018,40.0,34.0,0.85,249.0,231.0,0.93,,,,,,
,,2018 - 2019,27.0,39.0,1.44,237.0,229.0,0.97,,,,,,
,,2019 - 2020,39.0,32.0,0.82,213.0,206.0,0.97,,,,,,
,,2020 - 2021,32.0,26.0,0.81,232.0,211.0,0.91,,,,,,
,,2021 - 2022,15.0,23.0,1.53,75.0,94.0,1.25,,,,,,
,,2022 - 2023,14.0,14.0,1.0,38.0,44.0,1.16,,,,,,
,Saiha,2010 - 2011,3.0,5.0,1.67,23.0,31.0,1.35,,,,,,
,,2011 - 2012,,,,28.0,24.0,0.86,,,,,,
,,2012 - 2013,,,,28.0,16.0,0.57,,,,,,
,,2013 - 2014,,,,12.0,10.0,0.83,,,,,,
,,2014 - 2015,,,,14.0,8.0,0.57,,,,,,
,,2015 - 2016,,,,18.0,18.0,1.0,,,,,,
,,2016 - 2017,2.0,2.0,1.0,18.0,21.0,1.17,,,,,,
,,2017 - 2018,,,,13.0,13.6,1.05,,,,,,
,,2018 - 2019,,,,17.0,19.0,1.12,,,,,,
,,2019 - 2020,,,,15.0,18.0,1.2,,,,,,
,,2020 - 2021,,,,16.0,17.0,1.06,,,,,,
,,2021 - 2022,,,,9.0,10.0,1.11,,,,,,
,,2022 - 2023,,,,9.0,10.0,1.11,,,,,,
,Saitual,2020 - 2021,,,,82.0,158.0,1.93,,,,,,
,,2021 - 2022,,,,66.0,82.0,1.24,,,,,,
,,2022 - 2023,,,,90.0,106.0,1.18,,,,,,
,Serchhip,2010 - 2011,,,,150.0,132.0,0.88,,,,,,
,,2011 - 2012,,,,152.0,133.7,0.88,,,,,,
,,2012 - 2013,,,,196.0,170.0,0.87,,,,,,
,,2013 - 2014,,,,205.0,175.0,0.85,,,,,,
,,2014 - 2015,,,,220.0,242.0,1.1,,,,,,
,,2015 - 2016,,,,220.0,242.0,1.1,,,,,,
,,2016 - 2017,,,,233.0,262.0,1.12,,,,,,
,,2017 - 2018,,,,174.7,170.7,0.98,,,,,,
,,2018 - 2019,,,,180.0,176.0,0.98,,,,,,
,,2019 - 2020,,,,180.0,182.0,1.01,,,,,,
,,2020 - 2021,,,,180.0,182.0,1.01,,,,,,
,,2021 - 2022,,,,180.0,181.0,1.01,,,,,,
,,2022 - 2023,,,,180.0,181.0,1.01,,,,,,
Nagaland,Chumoukedima,2022 - 2023,,,,84.0,119.0,1.42,,,,,,
,Dimapur,2013 - 2014,,,,200.0,290.0,1.45,,,,,,
,,2014 - 2015,,,,210.0,310.0,1.48,,,,,,
,,2015 - 2016,,,,220.0,330.0,1.5,,,,,,
,,2016 - 2017,,,,230.0,330.0,1.43,,,,,,
,,2017 - 2018,,,,230.0,340.0,1.48,,,,,,
,,2018 - 2019,,,,230.0,340.0,1.48,,,,,,
,,2019 - 2020,,,,234.0,350.0,1.5,,,,,,
,,2020 - 2021,,,,238.0,358.0,1.5,,,,,,
,,2021 - 2022,,,,200.0,257.0,1.29,,,,,,
,,2022 - 2023,,,,105.0,149.0,1.42,,,,,,
,Kiphire,2021 - 2022,,,,5.0,6.0,1.2,,,,,,
,,2022 - 2023,,,,8.0,11.0,1.38,,,,,,
,Kohima,2021 - 2022,,,,19.0,25.0,1.32,,,,,,
,,2022 - 2023,,,,20.0,30.0,1.5,,,,,,
,Mokokchung,2021 - 2022,,,,18.0,26.0,1.44,,,,,,
,,2022 - 2023,,,,28.0,41.0,1.46,,,,,,
,Mon,2013 - 2014,,,,160.0,230.0,1.44,,,,,,
,,2014 - 2015,,,,160.0,230.0,1.44,,,,,,
,,2015 - 2016,,,,170.0,250.0,1.47,,,,,,
,,2016 - 2017,,,,170.0,250.0,1.47,,,,,,
,,2017 - 2018,,,,180.0,260.0,1.44,,,,,,
,,2018 - 2019,,,,180.0,260.0,1.44,,,,,,
,,2019 - 2020,,,,183.0,270.0,1.48,,,,,,
,,2020 - 2021,,,,186.0,276.0,1.48,,,,,,
,,2021 - 2022,,,,150.0,188.0,1.25,,,,,,
,,2022 - 2023,,,,237.0,337.0,1.42,,,,,,
,Nuiland,2022 - 2023,,,,126.0,180.0,1.43,,,,,,
,Peren,2021 - 2022,,,,5.0,7.0,1.4,,,,,,
,,2022 - 2023,,,,8.0,12.0,1.5,,,,,,
,Phek,2013 - 2014,,,,120.0,180.0,1.5,,,,,,
,,2014 - 2015,,,,120.0,180.0,1.5,,,,,,
,,2015 - 2016,,,,130.0,190.0,1.46,,,,,,
,,2016 - 2017,,,,130.0,190.0,1.46,,,,,,
,,2017 - 2018,,,,130.0,190.0,1.46,,,,,,
,,2018 - 2019,,,,140.0,210.0,1.5,,,,,,
,,2019 - 2020,,,,143.0,210.0,1.47,,,,,,
,,2020 - 2021,,,,146.0,216.0,1.48,,,,,,
,,2021 - 2022,,,,136.0,191.0,1.4,,,,,,
,,2022 - 2023,,,,215.0,333.0,1.55,,,,,,
,Tseminyu,2022 - 2023,,,,10.0,14.0,1.4,,,,,,
,Wokha,2021 - 2022,,,,19.0,28.0,1.47,,,,,,
,,2022 - 2023,,,,30.0,44.0,1.47,,,,,,
Odisha,Balangir,2019 - 2020,,970.0,0.73,,,0.73,,,,,,
,Baleshwar,2019 - 2020,330.0,250.0,0.76,,,,,,,,,
,Bargarh,2019 - 2020,,,0.78,200.0,140.0,0.7,,,,,,
,Bhadrak,2019 - 2020,190.0,150.0,0.79,,,,,,,,,
,Cuttack,2019 - 2020,860.0,680.0,0.79,,,,,,,,,
,Deogarh,2019 - 2020,250.0,220.0,0.88,,820.0,0.73,,,,,,
,Gajapati,2019 - 2020,640.0,510.0,0.8,880.0,670.0,0.76,,,,,,
,Ganjam,2019 - 2020,590.0,470.0,0.8,,,,,,,,,
,Jagatsinghapur,2019 - 2020,350.0,260.0,0.74,,,,,,,,,
,Jajapur,2019 - 2020,,,,120.0,80.0,0.67,,,,,,
,Jharsuguda,2019 - 2020,610.0,460.0,0.75,,,0.72,,,,,,
,Kalahandi,2019 - 2020,240.0,180.0,0.75,,,,,,,,,
,Kandhamal,2019 - 2020,40.0,20.0,0.5,,960.0,0.77,,,,,,
,Kendrapara,2019 - 2020,,800.0,0.75,,,,,,,,,
,Kendujhar,2019 - 2020,,,0.72,,,0.75,,,,,,
,Khordha,2019 - 2020,540.0,390.0,0.72,300.0,210.0,0.7,,,,,,
,Koraput,2019 - 2020,,,0.74,,,,,,,,,
,Malkangiri,2019 - 2020,,840.0,0.71,,,,,,,,,
,Mayurbhanj,2019 - 2020,,,0.72,,,0.74,,,,,,
,Nabarangpur,2019 - 2020,,,0.72,,,,,,,,,
,Nayagarh,2019 - 2020,650.0,490.0,0.75,250.0,180.0,0.72,,,,,,
,Puri,2019 - 2020,80.0,60.0,0.75,,,,,,,,,
,Rayagada,2019 - 2020,720.0,550.0,0.76,340.0,260.0,0.76,,,,,,
,Sambalpur,2019 - 2020,,,0.73,,,0.73,,,,,,
,Sonepur,2019 - 2020,,960.0,0.72,,,0.72,,,,,,
,Sundargarh,2019 - 2020,,,0.72,,,0.76,,,,,,
Tamil Nadu,Ariyalur,2018 - 2019,,,,3.0,3.0,1.0,,,,,,
,,2019 - 2020,,,,26.0,20.0,0.77,,,,,,
,,2020 - 2021,8.0,5.0,0.63,,,,,,,,,
,,2022 - 2023,,,,12.0,10.0,0.83,,,,,,
,Chengalpattu,2020 - 2021,2.0,2.0,1.0,,,,,,,,,
,,2021 - 2022,2.0,1.0,0.5,2.0,2.0,1.0,,,,,,
,,2022 - 2023,,,,1.0,1.0,1.0,,,,,,
,Coimbatore,2017 - 2018,,490.0,0.46,,623.0,0.34,,,,,,
,,2018 - 2019,,,0.87,,,0.72,,,,,,
,,2019 - 2020,,560.0,0.41,,814.0,0.73,,,,,,
,,2020 - 2021,969.0,280.0,0.29,,614.0,0.56,,,,,,
,,2021 - 2022,968.0,241.0,0.25,819.0,337.0,0.41,,,,,,
,,2022 - 2023,951.0,203.0,0.21,662.0,286.0,0.43,,,,,,
,Cuddalore,2017 - 2018,97.0,63.0,0.65,59.0,43.0,0.73,,,,,,
,,2018 - 2019,149.0,127.0,0.85,9.0,8.0,0.89,,,,,,
,,2019 - 2020,167.0,117.0,0.7,1.0,1.0,1.0,,,,,,
,,2020 - 2021,123.0,82.0,0.67,2.0,2.0,1.0,,,,,,
,,2021 - 2022,118.0,73.0,0.62,22.0,16.0,0.73,,,,,,
,,2022 - 2023,111.0,52.0,0.47,,,,,,,,,
,Dharmapuri,2017 - 2018,20.0,12.0,0.6,,,0.83,,,,,,
,,2018 - 2019,45.0,38.0,0.84,,,0.9,,,,,,
,,2019 - 2020,107.0,75.0,0.7,,,0.92,,,,,,
,,2020 - 2021,,,,,,0.78,,,,,,
,,2021 - 2022,3.0,2.0,0.67,,,0.93,,,,,,
,,2022 - 2023,134.0,63.0,0.47,,,0.93,,,,,,
,Dindigul,2017 - 2018,,,0.72,,,0.54,,,,,,
,,2018 - 2019,,,0.96,814.0,695.0,0.85,,,,,,
,,2019 - 2020,,,0.84,,,0.86,,,,,,
,,2020 - 2021,,,0.49,,,0.64,,,,,,
,,2021 - 2022,,,0.54,,726.0,0.58,,,,,,
,,2022 - 2023,,,0.57,,,0.99,,,,,,
,Erode,2017 - 2018,164.0,107.0,0.65,582.0,418.0,0.72,,,,,,
,,2018 - 2019,449.0,383.0,0.85,459.0,363.0,0.79,,,,,,
,,2019 - 2020,210.0,147.0,0.7,773.0,606.0,0.78,,,,,,
,,2020 - 2021,100.0,66.0,0.66,878.0,738.0,0.84,,,,,,
,,2021 - 2022,288.0,178.0,0.62,,807.0,0.79,,,,,,
,,2022 - 2023,155.0,73.0,0.47,875.0,701.0,0.8,,,,,,
,Kallakurichi,2020 - 2021,10.0,7.0,0.7,,,,,,,,,
,,2021 - 2022,,,,1.0,1.0,1.0,,,,,,
,Kanchipuram,2017 - 2018,9.0,6.0,0.67,1.0,1.0,1.0,,,,,,
,,2018 - 2019,2.0,2.0,1.0,8.0,6.0,0.75,,,,,,
,,2019 - 2020,76.0,53.0,0.7,,,,,,,,,
,,2022 - 2023,65.0,31.0,0.48,3.0,2.0,0.67,,,,,,
,Kanniyakumari,2017 - 2018,2.0,1.0,0.5,4.0,2.0,0.5,,,,,,
,,2018 - 2019,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
,,2019 - 2020,,,,2.0,2.0,1.0,,,,,,
,,2020 - 2021,2.0,1.0,0.5,,,,,,,,,
,,2021 - 2022,2.0,1.0,0.5,1.0,1.0,1.0,,,,,,
,Karur,2017 - 2018,372.0,242.0,0.65,50.0,36.0,0.72,,,,,,
,,2018 - 2019,337.0,287.0,0.85,1.0,1.0,1.0,,,,,,
,,2019 - 2020,317.0,223.0,0.7,54.0,43.0,0.8,,,,,,
,,2020 - 2021,301.0,201.0,0.67,24.0,20.0,0.83,,,,,,
,,2021 - 2022,313.0,193.0,0.62,26.0,20.0,0.77,,,,,,
,,2022 - 2023,339.0,159.0,0.47,29.0,24.0,0.83,,,,,,
,Krishnagiri,2017 - 2018,187.0,121.0,0.65,,,0.63,,,,,,
,,2018 - 2019,172.0,146.0,0.85,,,0.66,,,,,,
,,2019 - 2020,734.0,515.0,0.7,,,1.01,,,,,,
,,2020 - 2021,3.0,2.0,0.67,,,0.84,,,,,,
,,2021 - 2022,377.0,233.0,0.62,,,0.68,,,,,,
,,2022 - 2023,400.0,188.0,0.47,,,0.78,,,,,,
,Madurai,2017 - 2018,552.0,358.0,0.65,,,0.72,,,,,,
,,2018 - 2019,888.0,743.0,0.84,,,0.79,,,,,,
,,2019 - 2020,732.0,452.0,0.62,,439.0,0.38,,,,,,
,,2020 - 2021,396.0,343.0,0.87,,594.0,0.52,,,,,,
,,2021 - 2022,817.0,510.0,0.62,871.0,249.0,0.29,,,,,,
,,2022 - 2023,596.0,360.0,0.6,977.0,455.0,0.47,,,,,,
,Namakkal,2017 - 2018,359.0,234.0,0.65,314.0,226.0,0.72,,,,,,
,,2018 - 2019,296.0,252.0,0.85,370.0,292.0,0.79,,,,,,
,,2019 - 2020,400.0,281.0,0.7,351.0,275.0,0.78,,,,,,
,,2020 - 2021,355.0,237.0,0.67,432.0,364.0,0.84,,,,,,
,,2021 - 2022,364.0,225.0,0.62,436.0,343.0,0.79,,,,,,
,,2022 - 2023,412.0,194.0,0.47,346.0,278.0,0.8,,,,,,
,Perambalur,2017 - 2018,,,,1.0,1.0,1.0,,,,,,
,,2018 - 2019,,,,3.0,2.0,0.67,,,,,,
,,2019 - 2020,3.0,2.0,0.67,92.0,72.0,0.78,,,,,,
,,2020 - 2021,,,,33.0,28.0,0.85,,,,,,
,,2021 - 2022,4.0,3.0,0.75,10.0,8.0,0.8,,,,,,
,,2022 - 2023,,,,4.0,4.0,1.0,,,,,,
,Pudukkottai,2017 - 2018,238.0,155.0,0.65,324.0,233.0,0.72,,,,,,
,,2018 - 2019,177.0,150.0,0.85,118.0,93.0,0.79,,,,,,
,,2019 - 2020,230.0,161.0,0.7,263.0,207.0,0.79,,,,,,
,,2020 - 2021,96.0,64.0,0.67,447.0,377.0,0.84,,,,,,
,,2021 - 2022,56.0,35.0,0.63,275.0,218.0,0.79,,,,,,
,,2022 - 2023,50.0,24.0,0.48,173.0,139.0,0.8,,,,,,
,Ramanathapuram,2017 - 2018,326.0,211.0,0.65,,,,,,,,,
,,2018 - 2019,359.0,306.0,0.85,,,,,,,,,
,,2019 - 2020,384.0,270.0,0.7,,,,,,,,,
,,2020 - 2021,373.0,249.0,0.67,,,,,,,,,
,,2021 - 2022,518.0,320.0,0.62,3.0,2.0,0.67,,,,,,
,,2022 - 2023,242.0,114.0,0.47,1.0,1.0,1.0,,,,,,
,Ranipet,2020 - 2021,196.0,131.0,0.67,612.0,515.0,0.84,,,,,,
,,2021 - 2022,256.0,158.0,0.62,348.0,274.0,0.79,,,,,,
