state,district,year,safflower_rabi_area_hectare,safflower_rabi_production_tonne,safflower_rabi_yield_tonne_per_hectare,safflower_kharif_area_hectare,safflower_kharif_production_tonne,safflower_kharif_yield_tonne_per_hectare,safflower_whole_year_area_hectare,safflower_whole_year_production_tonne,safflower_whole_year_yield_tonne_per_hectare
,,2004 - 2005,15.0,7.0,0.47,,,,,,
,,2006 - 2007,8.0,4.0,0.5,,,,,,
,,2007 - 2008,1.0,1.0,1.0,,,,,,
,,2008 - 2009,22.0,8.0,0.36,,,,,,
,,2010 - 2011,1.0,,0.0,,,,,,
,,2016 - 2017,,880.0,0.66,,,,,,
,,2018 - 2019,1.0,,0.0,,,,,,
,Rewa,2009 - 2010,,,,,,,5.0,1.0,0.2
,,2016 - 2017,170.0,180.0,1.06,,,,,,
,Sagar,2000 - 2001,18.0,3.0,0.17,,,,,,
,,2001 - 2002,30.0,6.0,0.2,,,,,,
,,2002 - 2003,21.0,3.0,0.14,,,,,,
,,2003 - 2004,12.0,3.0,0.25,,,,,,
,,2004 - 2005,11.0,3.0,0.27,,,,,,
,,2006 - 2007,3.0,1.0,0.33,,,,,,
,,2015 - 2016,,550.0,0.55,,,,,,
,,2016 - 2017,,160.0,0.11,,,,,,
,,2018 - 2019,2.0,1.0,0.5,,,,,,
,Satna,2016 - 2017,,140.0,0.12,,,,,,
,Sehore,2016 - 2017,90.0,30.0,0.33,,,,,,
,Seoni,2000 - 2001,6.0,1.0,0.17,,,,,,
,,2001 - 2002,7.0,2.0,0.29,,,,,,
,,2002 - 2003,4.0,1.0,0.25,,,,,,
,,2003 - 2004,3.0,1.0,0.33,,,,,,
,,2004 - 2005,5.0,1.0,0.2,,,,,,
,,2006 - 2007,4.0,1.0,0.25,,,,,,
,,2009 - 2010,,,,,,,16.0,4.0,0.25
,,2016 - 2017,60.0,50.0,0.83,,,,,,
,Shahdol,2011 - 2012,4.0,1.0,0.25,,,,,,
,,2012 - 2013,4.0,1.0,0.25,,,,,,
,,2015 - 2016,,565.0,0.57,,,,,,
,,2016 - 2017,,,0.45,,,,,,
,Shajapur,2003 - 2004,2.0,1.0,0.5,,,,,,
,,2018 - 2019,2.0,1.0,0.5,,,,,,
,,2019 - 2020,7.0,2.0,0.29,,,,,,
,Sheopur,2016 - 2017,10.0,3.0,0.3,,,,,,
,Shivpuri,2000 - 2001,3.0,1.0,0.33,,,,,,
,,2001 - 2002,1.0,0.01,0.01,,,,,,
,,2003 - 2004,53.0,13.0,0.25,,,,,,
,,2004 - 2005,75.0,13.0,0.17,,,,,,
,,2009 - 2010,,,,,,,13.0,3.0,0.23
,,2012 - 2013,2.0,,0.0,,,,,,
,,2016 - 2017,40.0,10.0,0.25,,,,,,
,Sidhi,2000 - 2001,1.0,0.1,0.1,,,,,,
,,2016 - 2017,170.0,200.0,1.18,,,,,,
,Singrauli,2016 - 2017,100.0,90.0,0.9,,,,,,
,Tikamgarh,2000 - 2001,1.0,0.1,0.1,,,,,,
,,2003 - 2004,3.0,0.0,0.0,,,,,,
,,2016 - 2017,30.0,10.0,0.33,,,,,,
,Ujjain,2001 - 2002,2.0,1.0,0.5,,,,,,
,,2002 - 2003,2.0,0.01,0.01,,,,,,
,,2003 - 2004,38.0,9.0,0.24,,,,,,
,,2004 - 2005,70.0,18.0,0.26,,,,,,
,,2006 - 2007,32.0,8.0,0.25,,,,,,
,,2016 - 2017,10.0,10.0,1.0,,,,,,
,Umaria,2016 - 2017,310.0,350.0,1.13,,,,,,
,Vidisha,2000 - 2001,1.0,0.1,0.1,,,,,,
,,2001 - 2002,1.0,0.01,0.01,,,,,,
,,2002 - 2003,2.0,0.01,0.01,,,,,,
,,2016 - 2017,40.0,10.0,0.25,,,,,,
Maharashtra,Ahilyanagar,2000 - 2001,,,0.48,,,,,,
,,2001 - 2002,,,0.43,,,,,,
,,2002 - 2003,,,0.32,,,,,,
,,2003 - 2004,,,0.17,,,,,,
,,2004 - 2005,,,0.6,,,,,,
,,2005 - 2006,,,0.34,,,,,,
,,2006 - 2007,,,0.54,,,,,,
,,2007 - 2008,,,0.6,,,,,,
,,2008 - 2009,,,0.63,,,,,,
,,2009 - 2010,,,0.77,,,,,,
,,2010 - 2011,,,0.6,,,,,,
,,2011 - 2012,,,0.27,,,,,,
,,2012 - 2013,,50.0,0.05,,,,,,
,,2013 - 2014,,200.0,0.13,,,,,,
,,2014 - 2015,700.0,,0.0,,,,,,
,,2015 - 2016,600.0,100.0,0.17,,,,,,
,,2016 - 2017,400.0,30.0,0.08,,,,,,
,,2017 - 2018,100.0,40.0,0.4,,,,,,
,,2020 - 2021,59.0,13.59,0.23,,,,,,
,,2021 - 2022,62.67,41.27,0.66,,,,,,
,,2022 - 2023,74.0,33.18,0.45,,,,,,
,Akola,2000 - 2001,,,0.39,,,,,,
,,2001 - 2002,,,0.65,,,,,,
,,2002 - 2003,,,0.55,,,,,,
,,2003 - 2004,,,0.55,,,,,,
,,2004 - 2005,,700.0,0.37,,,,,,
,,2005 - 2006,,,0.79,,,,,,
,,2006 - 2007,,,0.84,,,,,,
,,2007 - 2008,,,0.93,,,,,,
,,2008 - 2009,,900.0,0.36,,,,,,
,,2009 - 2010,,,0.79,,,,,,
,,2010 - 2011,,500.0,0.25,,,,,,
,,2011 - 2012,500.0,200.0,0.4,,,,,,
,,2012 - 2013,500.0,300.0,0.6,,,,,,
,,2013 - 2014,500.0,300.0,0.6,,,,,,
,,2014 - 2015,500.0,300.0,0.6,,,,,,
,,2015 - 2016,300.0,200.0,0.67,,,,,,
,,2016 - 2017,400.0,200.0,0.5,,,,,,
,,2017 - 2018,100.0,35.0,0.35,,,,,,
,,2019 - 2020,25.0,9.0,0.36,,,,,,
,,2020 - 2021,11.0,7.61,0.69,,,,,,
,,2021 - 2022,144.0,78.38,0.54,,,,,,
,,2022 - 2023,96.9,42.4,0.44,,,,,,
,Amravati,2000 - 2001,,,0.34,,,,,,
,,2001 - 2002,,,0.5,,,,,,
,,2002 - 2003,,,0.53,,,,,,
,,2003 - 2004,,,0.55,,,,,,
,,2004 - 2005,,,0.35,,,,,,
,,2005 - 2006,,,0.64,,,,,,
,,2006 - 2007,,,0.71,,,,,,
,,2007 - 2008,,,0.78,,,,,,
,,2008 - 2009,,900.0,0.41,,,,,,
,,2009 - 2010,,,0.87,,,,,,
,,2010 - 2011,700.0,300.0,0.43,,,,,,
,,2011 - 2012,100.0,100.0,1.0,,,,,,
,,2012 - 2013,100.0,100.0,1.0,,,,,,
,,2013 - 2014,100.0,100.0,1.0,,,,,,
,,2014 - 2015,100.0,100.0,1.0,,,,,,
,,2017 - 2018,400.0,200.0,0.5,,,,,,
,,2019 - 2020,36.0,24.0,0.67,,,,,,
,,2020 - 2021,36.0,24.91,0.69,,,,,,
,,2021 - 2022,37.14,30.52,0.82,,,,,,
,Beed,2000 - 2001,,,0.34,,,,,,
,,2001 - 2002,,,0.45,,,,,,
,,2002 - 2003,,,0.46,,,,,,
,,2003 - 2004,,,0.19,,,,,,
,,2004 - 2005,,,0.51,,,,,,
,,2005 - 2006,,,0.62,,,,,,
,,2006 - 2007,,,0.57,,,,,,
,,2007 - 2008,,,0.37,,,,,,
,,2008 - 2009,,,0.56,,,,,,
,,2009 - 2010,,,0.51,,,,,,
,,2010 - 2011,,,0.41,,,,,,
,,2011 - 2012,,,0.32,,,,,,
,,2012 - 2013,,900.0,0.35,,,,,,
,,2013 - 2014,,,1.47,,,,,,
,,2014 - 2015,,300.0,0.16,,,,,,
,,2015 - 2016,,390.0,0.19,,,,,,
,,2016 - 2017,,,0.68,,,,,,
,,2017 - 2018,,,0.43,,,,,,
,,2018 - 2019,24.0,2.0,0.08,,,,,,
,,2019 - 2020,357.0,193.0,0.54,,,,,,
,,2020 - 2021,356.83,121.63,0.34,,,,,,
,,2021 - 2022,356.83,111.12,0.31,,,,,,
,,2022 - 2023,675.0,479.52,0.71,,,,,,
,Bhandara,2021 - 2022,134.2,110.29,0.82,,,,,,
,,2022 - 2023,133.0,116.5,0.88,,,,,,
,Buldhana,2000 - 2001,,,0.35,,,,,,
,,2001 - 2002,,,0.48,,,,,,
,,2002 - 2003,,900.0,0.47,,,,,,
,,2003 - 2004,,900.0,0.5,,,,,,
,,2004 - 2005,,600.0,0.32,,,,,,
,,2005 - 2006,,,0.48,,,,,,
,,2006 - 2007,,,0.64,,,,,,
,,2007 - 2008,,,0.69,,,,,,
,,2008 - 2009,,800.0,0.47,,,,,,
,,2009 - 2010,,,0.96,,,,,,
,,2010 - 2011,,,0.59,,,,,,
,,2011 - 2012,700.0,500.0,0.71,,,,,,
,,2012 - 2013,800.0,,1.63,,,,,,
,,2014 - 2015,400.0,200.0,0.5,,,,,,
,,2015 - 2016,200.0,80.0,0.4,,,,,,
,,2016 - 2017,200.0,100.0,0.5,,,,,,
,,2017 - 2018,100.0,100.0,1.0,,,,,,
,,2018 - 2019,185.0,146.0,0.79,,,,,,
,,2019 - 2020,83.0,87.0,1.05,,,,,,
,,2020 - 2021,49.23,34.06,0.69,,,,,,
,,2021 - 2022,82.24,69.89,0.85,,,,,,
,,2022 - 2023,538.0,466.93,0.87,,,,,,
,Chandrapur,2020 - 2021,384.0,265.69,0.69,,,,,,
,,2021 - 2022,,,0.82,,,,,,
,,2022 - 2023,911.5,798.42,0.88,,,,,,
,Chhatrapati Sambhajinagar,2000 - 2001,,,0.21,,,,,,
,,2001 - 2002,,,0.51,,,,,,
,,2002 - 2003,,,0.29,,,,,,
,,2003 - 2004,,,0.31,,,,,,
,,2004 - 2005,,,0.53,,,,,,
,,2005 - 2006,,,0.73,,,,,,
,,2006 - 2007,,,0.86,,,,,,
,,2007 - 2008,,,0.82,,,,,,
,,2008 - 2009,,,0.73,,,,,,
,,2009 - 2010,,,0.52,,,,,,
,,2010 - 2011,,,0.8,,,,,,
,,2011 - 2012,,800.0,0.62,,,,,,
,,2012 - 2013,,300.0,0.3,,,,,,
,,2013 - 2014,,,1.91,,,,,,
,,2014 - 2015,600.0,200.0,0.33,,,,,,
,,2015 - 2016,500.0,100.0,0.2,,,,,,
,,2016 - 2017,700.0,300.0,0.43,,,,,,
,,2017 - 2018,640.0,600.0,0.94,,,,,,
,,2019 - 2020,187.0,79.0,0.42,,,,,,
,,2020 - 2021,76.43,26.05,0.34,,,,,,
,,2021 - 2022,76.43,40.45,0.53,,,,,,
,,2022 - 2023,85.72,42.74,0.5,,,,,,
,Dharashiv,2000 - 2001,,,0.42,,,,,,
,,2001 - 2002,,,0.3,,,,,,
,,2002 - 2003,,,0.4,,,,,,
,,2003 - 2004,,,0.19,,,,,,
,,2004 - 2005,,,0.5,,,,,,
,,2005 - 2006,,,0.69,,,,,,
,,2006 - 2007,,,0.55,,,,,,
,,2007 - 2008,,,0.66,,,,,,
,,2008 - 2009,,,0.5,,,,,,
,,2009 - 2010,,,0.54,,,,,,
,,2010 - 2011,,,0.6,,,,,,
,,2011 - 2012,,,0.51,,,,,,
,,2012 - 2013,,,0.33,,,,,,
,,2013 - 2014,,,0.58,,,,,,
,,2014 - 2015,,,0.28,,,,,,
,,2015 - 2016,,,0.21,,,,,,
,,2016 - 2017,,,0.64,,,,,,
,,2017 - 2018,,,0.63,,,,,,
,,2018 - 2019,,,0.56,,,,,,
,,2019 - 2020,,,0.58,,,,,,
,,2020 - 2021,,,0.55,,,,,,
,,2021 - 2022,,,0.82,,,,,,
,,2022 - 2023,,,0.87,,,,,,
,Dhule,2015 - 2016,2.0,0.4,0.2,,,,,,
,Gadchiroli,2021 - 2022,,,0.82,,,,,,
,,2022 - 2023,461.5,404.25,0.88,,,,,,
,Gondia,2021 - 2022,323.5,265.85,0.82,,,,,,
,,2022 - 2023,565.8,495.61,0.88,,,,,,
,Hingoli,2000 - 2001,,,0.31,,,,,,
,,2001 - 2002,,,0.38,,,,,,
,,2002 - 2003,,,0.36,,,,,,
,,2003 - 2004,,,0.46,,,,,,
,,2004 - 2005,,,0.34,,,,,,
,,2005 - 2006,,,0.44,,,,,,
,,2006 - 2007,,,0.55,,,,,,
,,2007 - 2008,,,0.74,,,,,,
,,2008 - 2009,,,0.51,,,,,,
,,2009 - 2010,,,0.67,,,,,,
,,2010 - 2011,,,0.58,,,,,,
,,2011 - 2012,,,0.63,,,,,,
,,2012 - 2013,,,0.74,,,,,,
,,2013 - 2014,,,0.7,,,,,,
,,2014 - 2015,,,0.35,,,,,,
,,2015 - 2016,,,0.26,,,,,,
,,2016 - 2017,,,0.72,,,,,,
,,2017 - 2018,,,0.44,,,,,,
,,2018 - 2019,,,0.65,,,,,,
,,2019 - 2020,,,0.6,,,,,,
,,2020 - 2021,,870.2,0.52,,,,,,
,,2021 - 2022,,572.45,0.4,,,,,,
,,2022 - 2023,,907.35,0.62,,,,,,
,Jalgaon,2007 - 2008,300.0,200.0,0.67,,,,,,
,,2008 - 2009,,700.0,0.54,,,,,,
,,2009 - 2010,,,0.75,,,,,,
,,2010 - 2011,500.0,500.0,1.0,,,,,,
,,2011 - 2012,200.0,100.0,0.5,,,,,,
,,2012 - 2013,300.0,100.0,0.33,,,,,,
,,2013 - 2014,300.0,100.0,0.33,,,,,,
,,2016 - 2017,110.0,50.0,0.45,,,,,,
,Jalna,2000 - 2001,,,0.47,,,,,,
,,2001 - 2002,,,0.63,,,,,,
,,2002 - 2003,,,0.64,,,,,,
,,2003 - 2004,,,0.54,,,,,,
,,2004 - 2005,,,0.88,,,,,,
,,2005 - 2006,,,1.17,,,,,,
,,2006 - 2007,,,0.82,,,,,,
,,2007 - 2008,,,0.84,,,,,,
,,2008 - 2009,,,0.74,,,,,,
,,2009 - 2010,,,0.59,,,,,,
,,2010 - 2011,,,0.68,,,,,,
,,2011 - 2012,,,0.64,,,,,,
,,2012 - 2013,,200.0,0.18,,,,,,
,,2013 - 2014,,,2.15,,,,,,
,,2015 - 2016,900.0,250.0,0.28,,,,,,
,,2016 - 2017,100.0,100.0,1.0,,,,,,
,,2018 - 2019,634.0,200.0,0.32,,,,,,
,,2019 - 2020,937.0,281.0,0.3,,,,,,
,,2020 - 2021,937.39,319.52,0.34,,,,,,
,,2021 - 2022,897.58,,1.22,,,,,,
,,2022 - 2023,345.82,112.39,0.33,,,,,,
,Latur,2000 - 2001,,,0.48,,,,,,
,,2001 - 2002,,,0.32,,,,,,
,,2002 - 2003,,,0.34,,,,,,
,,2003 - 2004,,,0.36,,,,,,
,,2004 - 2005,,,0.43,,,,,,
,,2005 - 2006,,,0.54,,,,,,
,,2006 - 2007,,,0.58,,,,,,
,,2007 - 2008,,,0.73,,,,,,
,,2008 - 2009,,,0.51,,,,,,
,,2009 - 2010,,,0.39,,,,,,
,,2010 - 2011,,,0.66,,,,,,
,,2011 - 2012,,,0.61,,,,,,
,,2012 - 2013,,,0.7,,,,,,
,,2013 - 2014,,,0.71,,,,,,
,,2014 - 2015,,,0.29,,,,,,
,,2015 - 2016,,,0.22,,,,,,
,,2016 - 2017,,,0.73,,,,,,
,,2017 - 2018,,,0.47,,,,,,
,,2018 - 2019,,,0.29,,,,,,
,,2019 - 2020,,,1.09,,,,,,
,,2020 - 2021,,,0.48,,,,,,
,,2021 - 2022,,,0.58,,,,,,
,,2022 - 2023,,,0.74,,,,,,
,Nagpur,2021 - 2022,123.4,101.41,0.82,,,,,,
,Nanded,2000 - 2001,,,0.35,,,,,,
,,2001 - 2002,,,0.73,,,,,,
,,2002 - 2003,,,0.67,,,,,,
,,2003 - 2004,,,0.77,,,,,,
,,2004 - 2005,,,0.47,,,,,,
,,2005 - 2006,,,0.68,,,,,,
,,2006 - 2007,,,0.54,,,,,,
,,2007 - 2008,,,0.78,,,,,,
,,2008 - 2009,,,0.54,,,,,,
,,2009 - 2010,,,0.49,,,,,,
,,2010 - 2011,,,0.54,,,,,,
,,2011 - 2012,,,0.57,,,,,,
,,2012 - 2013,,,0.75,,,,,,
,,2013 - 2014,,,0.62,,,,,,
,,2014 - 2015,,900.0,0.29,,,,,,
,,2015 - 2016,,300.0,0.13,,,,,,
,,2016 - 2017,,,0.95,,,,,,
,,2017 - 2018,,,0.76,,,,,,
,,2018 - 2019,656.0,200.0,0.3,,,,,,
,,2019 - 2020,,436.0,0.4,,,,,,
,,2020 - 2021,,791.34,0.59,,,,,,
,,2021 - 2022,,797.94,0.6,,,,,,
,,2022 - 2023,,,0.78,,,,,,
,Nandurbar,2000 - 2001,100.0,100.0,1.0,,,,,,
,,2004 - 2005,400.0,200.0,0.5,,,,,,
,,2005 - 2006,300.0,100.0,0.33,,,,,,
,,2006 - 2007,300.0,100.0,0.33,,,,,,
,,2007 - 2008,300.0,200.0,0.67,,,,,,
,,2008 - 2009,600.0,300.0,0.5,,,,,,
,,2009 - 2010,500.0,400.0,0.8,,,,,,
,,2010 - 2011,600.0,600.0,1.0,,,,,,
,,2014 - 2015,200.0,100.0,0.5,,,,,,
,,2015 - 2016,500.0,100.0,0.2,,,,,,
,,2016 - 2017,160.0,70.0,0.44,,,,,,
,,2017 - 2018,2.0,1.0,0.5,,,,,,
,,2019 - 2020,267.0,101.0,0.38,,,,,,
,,2020 - 2021,3.0,1.52,0.51,,,,,,
,,2022 - 2023,35.0,22.26,0.64,,,,,,
,Nashik,2000 - 2001,700.0,300.0,0.43,,,,,,
,,2001 - 2002,700.0,300.0,0.43,,,,,,
,,2002 - 2003,400.0,100.0,0.25,,,,,,
,,2003 - 2004,200.0,100.0,0.5,,,,,,
,,2004 - 2005,100.0,100.0,1.0,,,,,,
,,2005 - 2006,200.0,100.0,0.5,,,,,,
,,2006 - 2007,200.0,100.0,0.5,,,,,,
,,2007 - 2008,100.0,100.0,1.0,,,,,,
,,2013 - 2014,100.0,,0.0,,,,,,
,,2014 - 2015,100.0,100.0,1.0,,,,,,
,,2015 - 2016,12.0,3.0,0.25,,,,,,
,Parbhani,2000 - 2001,,,0.51,,,,,,
,,2001 - 2002,,,0.77,,,,,,
,,2002 - 2003,,,0.64,,,,,,
,,2003 - 2004,,,0.58,,,,,,
,,2004 - 2005,,,0.31,,,,,,
,,2005 - 2006,,,0.6,,,,,,
,,2006 - 2007,,,0.64,,,,,,
,,2007 - 2008,,,0.68,,,,,,
,,2008 - 2009,,,0.6,,,,,,
,,2009 - 2010,,,0.62,,,,,,
,,2010 - 2011,,,0.4,,,,,,
,,2011 - 2012,,,0.58,,,,,,
,,2012 - 2013,,,0.54,,,,,,
,,2013 - 2014,,,0.45,,,,,,
,,2014 - 2015,,,0.42,,,,,,
,,2015 - 2016,,900.0,0.18,,,,,,
,,2016 - 2017,,,0.65,,,,,,
,,2017 - 2018,,,0.48,,,,,,
,,2018 - 2019,,,0.44,,,,,,
,,2019 - 2020,,,0.46,,,,,,
,,2020 - 2021,,,1.1,,,,,,
,,2021 - 2022,,,1.14,,,,,,
,,2022 - 2023,,927.82,0.62,,,,,,
,Pune,2000 - 2001,,,0.61,,,,,,
,,2001 - 2002,,,0.59,,,,,,
,,2002 - 2003,,,0.43,,,,,,
,,2003 - 2004,,200.0,0.04,,,,,,
,,2004 - 2005,,,0.19,,,,,,
,,2005 - 2006,,,0.73,,,,,,
,,2006 - 2007,,,0.43,,,,,,
,,2007 - 2008,,,0.6,,,,,,
,,2008 - 2009,,800.0,0.35,,,,,,
,,2009 - 2010,,900.0,0.27,,,,,,
,,2010 - 2011,,,0.38,,,,,,
,,2011 - 2012,600.0,100.0,0.17,,,,,,
,,2012 - 2013,600.0,30.0,0.05,,,,,,
,,2013 - 2014,600.0,,0.0,,,,,,
,,2014 - 2015,400.0,300.0,0.75,,,,,,
,,2019 - 2020,30.0,24.0,0.8,,,,,,
,,2020 - 2021,2.29,1.11,0.48,,,,,,
,,2021 - 2022,2.29,2.23,0.97,,,,,,
,,2022 - 2023,2.82,1.55,0.55,,,,,,
,Ratnagiri,2015 - 2016,1.0,0.1,0.1,,,,,,
,Sangli,2000 - 2001,,,0.46,,,,,,
,,2001 - 2002,,,0.39,,,,,,
,,2002 - 2003,,500.0,0.21,,,,,,
,,2003 - 2004,,200.0,0.12,,,,,,
,,2004 - 2005,,,0.62,,,,,,
,,2005 - 2006,,400.0,0.18,,,,,,
,,2006 - 2007,,,0.48,,,,,,
,,2007 - 2008,,500.0,0.24,,,,,,
,,2008 - 2009,,,0.48,,,,,,
,,2009 - 2010,,,0.47,,,,,,
,,2010 - 2011,,,0.44,,,,,,
,,2011 - 2012,,,0.41,,,,,,
,,2012 - 2013,,300.0,0.1,,,,,,
,,2013 - 2014,,,0.53,,,,,,
,,2014 - 2015,,,1.29,,,,,,
,,2015 - 2016,,640.0,0.34,,,,,,
,,2016 - 2017,400.0,300.0,0.75,,,,,,
,,2017 - 2018,500.0,300.0,0.6,,,,,,
,,2018 - 2019,394.0,100.0,0.25,,,,,,
,,2019 - 2020,331.0,89.0,0.27,,,,,,
,,2020 - 2021,151.33,13.62,0.09,,,,,,
,,2021 - 2022,49.0,11.7,0.24,,,,,,
,Satara,2000 - 2001,,,0.53,,,,,,
,,2001 - 2002,,,0.39,,,,,,
,,2002 - 2003,,900.0,0.2,,,,,,
,,2003 - 2004,,200.0,0.12,,,,,,
,,2004 - 2005,,,0.62,,,,,,
,,2005 - 2006,,400.0,0.17,,,,,,
,,2006 - 2007,,,0.5,,,,,,
,,2007 - 2008,,400.0,0.27,,,,,,
,,2008 - 2009,,500.0,0.45,,,,,,
,,2009 - 2010,,600.0,0.46,,,,,,
,,2010 - 2011,,,0.45,,,,,,
,,2011 - 2012,,400.0,0.36,,,,,,
,,2012 - 2013,100.0,40.0,0.4,,,,,,
,,2013 - 2014,100.0,100.0,1.0,,,,,,
,,2014 - 2015,100.0,200.0,2.0,,,,,,
,,2015 - 2016,100.0,40.0,0.4,,,,,,
,,2016 - 2017,100.0,100.0,1.0,,,,,,
,,2017 - 2018,100.0,100.0,1.0,,,,,,
,,2018 - 2019,90.0,17.0,0.19,,,,,,
,,2019 - 2020,60.0,28.0,0.47,,,,,,
,,2020 - 2021,12.29,13.8,1.12,,,,,,
,,2022 - 2023,25.0,3.01,0.12,,,,,,
,Solapur,2000 - 2001,,,0.32,,,,,,
,,2001 - 2002,,,0.35,,,,,,
,,2002 - 2003,,,0.27,,,,,,
,,2003 - 2004,,,0.08,,,,,,
,,2004 - 2005,,,0.52,,,,,,
,,2005 - 2006,,,0.38,,,,,,
,,2006 - 2007,,,0.43,,,,,,
,,2007 - 2008,,,0.47,,,,,,
,,2008 - 2009,,,0.67,,,,,,
,,2009 - 2010,,,0.64,,,,,,
,,2010 - 2011,,,0.64,,,,,,
,,2011 - 2012,,700.0,0.29,,,,,,
,,2012 - 2013,900.0,400.0,0.44,,,,,,
,,2013 - 2014,,700.0,0.47,,,,,,
,,2014 - 2015,,,0.9,,,,,,
,,2015 - 2016,,500.0,0.25,,,,,,
,,2016 - 2017,,,0.58,,,,,,
,,2017 - 2018,800.0,400.0,0.5,,,,,,
,,2018 - 2019,,300.0,0.26,,,,,,
,,2019 - 2020,,531.0,0.5,,,,,,
,,2020 - 2021,,621.67,0.52,,,,,,
,,2021 - 2022,,731.24,0.7,,,,,,
,,2022 - 2023,,792.96,0.65,,,,,,
,Wardha,2000 - 2001,100.0,100.0,1.0,,,,,,
,,2014 - 2015,100.0,,0.0,,,,,,
,,2021 - 2022,340.0,279.41,0.82,,,,,,
,,2022 - 2023,29.8,26.1,0.88,,,,,,
,Washim,2000 - 2001,,,0.29,,,,,,
,,2001 - 2002,,,0.46,,,,,,
,,2002 - 2003,,,0.6,,,,,,
,,2003 - 2004,,,0.54,,,,,,
,,2004 - 2005,,900.0,0.39,,,,,,
,,2005 - 2006,,,0.65,,,,,,
,,2006 - 2007,,,0.58,,,,,,
,,2007 - 2008,,,0.68,,,,,,
,,2008 - 2009,900.0,400.0,0.44,,,,,,
,,2009 - 2010,,800.0,0.8,,,,,,
,,2010 - 2011,900.0,600.0,0.67,,,,,,
,,2011 - 2012,700.0,500.0,0.71,,,,,,
,,2012 - 2013,500.0,400.0,0.8,,,,,,
,,2013 - 2014,500.0,300.0,0.6,,,,,,
,,2014 - 2015,500.0,100.0,0.2,,,,,,
,,2015 - 2016,200.0,50.0,0.25,,,,,,
,,2016 - 2017,100.0,100.0,1.0,,,,,,
,,2017 - 2018,700.0,300.0,0.43,,,,,,
,,2018 - 2019,195.0,150.0,0.77,,,,,,
,,2019 - 2020,95.0,44.0,0.46,,,,,,
,,2020 - 2021,52.53,36.35,0.69,,,,,,
,,2021 - 2022,625.0,551.25,0.88,,,,,,
,,2022 - 2023,652.75,618.61,0.95,,,,,,
,Yavatmal,2000 - 2001,400.0,100.0,0.25,,,,,,
,,2001 - 2002,300.0,200.0,0.67,,,,,,
,,2002 - 2003,200.0,100.0,0.5,,,,,,
,,2003 - 2004,100.0,100.0,1.0,,,,,,
,,2004 - 2005,100.0,100.0,1.0,,,,,,
,,2005 - 2006,200.0,100.0,0.5,,,,,,
,,2006 - 2007,200.0,100.0,0.5,,,,,,
,,2007 - 2008,100.0,100.0,1.0,,,,,,
,,2008 - 2009,100.0,100.0,1.0,,,,,,
,,2009 - 2010,300.0,300.0,1.0,,,,,,
,,2010 - 2011,100.0,,0.0,,,,,,
,,2015 - 2016,100.0,0.0,0.0,,,,,,
,,2016 - 2017,100.0,100.0,1.0,,,,,,
,,2017 - 2018,100.0,100.0,1.0,,,,,,
,,2018 - 2019,22.0,20.0,0.91,,,,,,
,,2019 - 2020,5.0,2.0,0.4,,,,,,
Odisha,Anugul,2000 - 2001,30.0,20.0,0.67,,,,,,
,Balangir,2001 - 2002,170.0,60.0,0.35,,,,,,
,,2002 - 2003,20.0,10.0,0.5,,,,,,
,,2003 - 2004,40.0,10.0,0.25,,,,,,
,,2004 - 2005,21.0,11.0,0.52,,,,,,
,Baleshwar,2001 - 2002,50.0,30.0,0.6,,,,,,
,Bargarh,2001 - 2002,50.0,20.0,0.4,,,,,,
,Cuttack,2001 - 2002,10.0,10.0,1.0,,,,,,
,,2002 - 2003,10.0,10.0,1.0,,,,,,
,Deogarh,2001 - 2002,80.0,30.0,0.38,,,,,,
,Dhenkanal,2000 - 2001,30.0,20.0,0.67,,,,,,
,,2004 - 2005,2.0,1.0,0.5,,,,,,
,Ganjam,2001 - 2002,20.0,10.0,0.5,,,,,,
,,2004 - 2005,5.0,3.0,0.6,,,,,,
,Jagatsinghapur,2001 - 2002,50.0,10.0,0.2,,,,,,
,Jajapur,2001 - 2002,30.0,10.0,0.33,,,,,,
,Jharsuguda,2001 - 2002,50.0,20.0,0.4,,,,,,
,,2002 - 2003,30.0,10.0,0.33,,,,,,
,Kalahandi,2000 - 2001,,690.0,0.58,,,,,,
,,2001 - 2002,,860.0,0.57,,,,,,
,,2002 - 2003,550.0,330.0,0.6,,,,,,
,,2003 - 2004,760.0,490.0,0.64,,,,,,
,,2004 - 2005,,714.0,0.67,,,,,,
,,2019 - 2020,110.0,70.0,0.64,,,,,,
,Kendujhar,2000 - 2001,60.0,40.0,0.67,,,,,,
,,2001 - 2002,70.0,50.0,0.71,,,,,,
,,2002 - 2003,40.0,30.0,0.75,,,,,,
,,2003 - 2004,90.0,60.0,0.67,,,,,,
,,2004 - 2005,62.0,43.0,0.69,,,,,,
,Khordha,2001 - 2002,60.0,30.0,0.5,,,,,,
,,2002 - 2003,20.0,10.0,0.5,,,,,,
,Koraput,2001 - 2002,360.0,90.0,0.25,,,,,,
,,2002 - 2003,210.0,40.0,0.19,,,,,,
,,2003 - 2004,300.0,60.0,0.2,,,,,,
,,2004 - 2005,350.0,233.0,0.67,,,,,,
,,2019 - 2020,30.0,20.0,0.67,,,,,,
,Mayurbhanj,2001 - 2002,20.0,10.0,0.5,,,,,,
,,2002 - 2003,10.0,10.0,1.0,,,,,,
,Nabarangpur,2000 - 2001,70.0,10.0,0.14,,,,,,
