state,district,year,coriander_whole_year_area_hectare,coriander_whole_year_production_tonne,coriander_whole_year_yield_tonne_per_hectare,coriander_kharif_area_hectare,coriander_kharif_production_tonne,coriander_kharif_yield_tonne_per_hectare,coriander_rabi_area_hectare,coriander_rabi_production_tonne,coriander_rabi_yield_tonne_per_hectare
,,2018 - 2019,6.0,24.0,4.0,,,,,,
,,2019 - 2020,6.0,24.0,4.0,,,,,,
,,2020 - 2021,6.0,24.0,4.0,,,,,,
,East khasi hills,2017 - 2018,45.0,111.0,2.47,,,,,,
,,2018 - 2019,45.0,111.0,2.47,,,,,,
,,2019 - 2020,45.0,111.0,2.47,,,,,,
,,2020 - 2021,45.0,111.0,2.47,,,,,,
,North garo hills,2017 - 2018,43.0,154.0,3.58,,,,,,
,,2018 - 2019,43.0,154.0,3.58,,,,,,
,,2019 - 2020,43.0,154.0,3.58,,,,,,
,,2020 - 2021,43.0,154.0,3.58,,,,,,
,South garo hills,2004 - 2005,14.0,75.0,5.36,,,,,,
,,2017 - 2018,64.0,607.0,9.48,,,,,,
,,2018 - 2019,65.0,617.0,9.49,,,,,,
,,2019 - 2020,66.0,627.0,9.5,,,,,,
,,2020 - 2021,67.0,637.0,9.51,,,,,,
,South west garo hills,2017 - 2018,41.0,119.0,2.9,,,,,,
,,2018 - 2019,42.0,122.0,2.9,,,,,,
,,2019 - 2020,43.0,125.0,2.91,,,,,,
,,2020 - 2021,44.0,128.0,2.91,,,,,,
,South west khasi hills,2017 - 2018,7.0,20.0,2.86,,,,,,
,,2018 - 2019,7.0,20.0,2.86,,,,,,
,,2019 - 2020,7.0,20.0,2.86,,,,,,
,,2020 - 2021,7.0,20.0,2.86,,,,,,
,West garo hills,2004 - 2005,17.0,120.0,7.06,,,,,,
,,2017 - 2018,204.0,614.0,3.01,,,,,,
,,2018 - 2019,205.0,619.0,3.02,,,,,,
,,2019 - 2020,206.0,623.0,3.02,,,,,,
,,2020 - 2021,207.0,627.0,3.03,,,,,,
,West jaintia hills,2017 - 2018,30.0,81.0,2.7,,,,,,
,,2018 - 2019,30.0,81.0,2.7,,,,,,
,,2019 - 2020,30.0,81.0,2.7,,,,,,
,,2020 - 2021,30.0,81.0,2.7,,,,,,
,West khasi hills,2017 - 2018,33.0,130.0,3.94,,,,,,
,,2018 - 2019,34.0,134.0,3.94,,,,,,
,,2019 - 2020,35.0,138.0,3.94,,,,,,
,,2020 - 2021,36.0,142.0,3.94,,,,,,
Odisha,Anugul,2000 - 2001,,640.0,0.49,,,,,,
,,2001 - 2002,,550.0,0.41,,,,,,
,,2002 - 2003,,620.0,0.41,,,,,,
,,2003 - 2004,,580.0,0.41,,,,,,
,,2004 - 2005,,648.0,0.41,,,,,,
,,2019 - 2020,,,,,,,,,0.77
,Balangir,2000 - 2001,230.0,110.0,0.48,,,,,,
,,2001 - 2002,210.0,10.0,0.05,,,,,,
,,2002 - 2003,250.0,120.0,0.48,,,,,,
,,2003 - 2004,250.0,120.0,0.48,,,,,,
,,2004 - 2005,292.0,142.0,0.49,,,,,,
,,2019 - 2020,,,,,,,,780.0,0.78
,Baleshwar,2000 - 2001,,740.0,0.49,,,,,,
,,2001 - 2002,,730.0,0.49,,,,,,
,,2002 - 2003,,580.0,0.49,,,,,,
,,2003 - 2004,,610.0,0.49,,,,,,
,,2004 - 2005,,572.0,0.49,,,,,,
,,2019 - 2020,,,,,,,,700.0,0.58
,Bargarh,2000 - 2001,300.0,150.0,0.5,,,,,,
,,2001 - 2002,340.0,170.0,0.5,,,,,,
,,2002 - 2003,340.0,170.0,0.5,,,,,,
,,2003 - 2004,510.0,250.0,0.49,,,,,,
,,2004 - 2005,532.0,264.0,0.5,,,,,,
,,2019 - 2020,,,,,,,800.0,500.0,0.63
,Bhadrak,2000 - 2001,240.0,120.0,0.5,,,,,,
,,2001 - 2002,260.0,130.0,0.5,,,,,,
,,2002 - 2003,230.0,110.0,0.48,,,,,,
,,2003 - 2004,480.0,230.0,0.48,,,,,,
,,2004 - 2005,361.0,176.0,0.49,,,,,,
,,2019 - 2020,,,,,,,360.0,190.0,0.53
,Boudh,2000 - 2001,180.0,90.0,0.5,,,,,,
,,2001 - 2002,310.0,150.0,0.48,,,,,,
,,2002 - 2003,590.0,290.0,0.49,,,,,,
,,2003 - 2004,770.0,380.0,0.49,,,,,,
,,2004 - 2005,583.0,287.0,0.49,,,,,,
,,2019 - 2020,,,,,,,550.0,270.0,0.49
,Cuttack,2000 - 2001,920.0,450.0,0.49,,,,,,
,,2001 - 2002,590.0,290.0,0.49,,,,,,
,,2002 - 2003,,540.0,0.49,,,,,,
,,2003 - 2004,,640.0,0.49,,,,,,
,,2004 - 2005,,639.0,0.49,,,,,,
,,2019 - 2020,,,,,,,850.0,510.0,0.6
,Deogarh,2000 - 2001,110.0,50.0,0.45,,,,,,
,,2001 - 2002,120.0,60.0,0.5,,,,,,
,,2002 - 2003,300.0,150.0,0.5,,,,,,
,,2003 - 2004,410.0,200.0,0.49,,,,,,
,,2004 - 2005,258.0,126.0,0.49,,,,,,
,,2019 - 2020,,,,,,,400.0,260.0,0.65
,Dhenkanal,2000 - 2001,500.0,250.0,0.5,,,,,,
,,2001 - 2002,510.0,240.0,0.47,,,,,,
,,2002 - 2003,650.0,310.0,0.48,,,,,,
,,2003 - 2004,540.0,260.0,0.48,,,,,,
,,2004 - 2005,708.0,340.0,0.48,,,,,,
,,2019 - 2020,,,,,,,,800.0,0.67
,Gajapati,2000 - 2001,30.0,10.0,0.33,,,,,,
,,2001 - 2002,60.0,30.0,0.5,,,,,,
,,2002 - 2003,30.0,10.0,0.33,,,,,,
,,2003 - 2004,40.0,20.0,0.5,,,,,,
,,2004 - 2005,92.0,46.0,0.5,,,,,,
,,2019 - 2020,,,,,,,210.0,50.0,0.24
,Ganjam,2000 - 2001,270.0,130.0,0.48,,,,,,
,,2001 - 2002,280.0,140.0,0.5,,,,,,
,,2002 - 2003,300.0,150.0,0.5,,,,,,
,,2003 - 2004,310.0,150.0,0.48,,,,,,
,,2004 - 2005,410.0,202.0,0.49,,,,,,
,,2019 - 2020,,,,,,,480.0,200.0,0.42
,Jagatsinghapur,2000 - 2001,170.0,80.0,0.47,,,,,,
,,2001 - 2002,180.0,90.0,0.5,,,,,,
,,2002 - 2003,,810.0,0.49,,,,,,
,,2003 - 2004,580.0,290.0,0.5,,,,,,
,,2004 - 2005,571.0,282.0,0.49,,,,,,
,,2019 - 2020,,,,,,,260.0,200.0,0.77
,Jajapur,2000 - 2001,,650.0,0.49,,,,,,
,,2001 - 2002,910.0,450.0,0.49,,,,,,
,,2002 - 2003,,540.0,0.49,,,,,,
,,2003 - 2004,,550.0,0.49,,,,,,
,,2004 - 2005,,582.0,0.49,,,,,,
,,2019 - 2020,,,,,,,700.0,500.0,0.71
,Jharsuguda,2000 - 2001,80.0,40.0,0.5,,,,,,
,,2001 - 2002,70.0,30.0,0.43,,,,,,
,,2002 - 2003,50.0,20.0,0.4,,,,,,
,,2003 - 2004,220.0,110.0,0.5,,,,,,
,,2004 - 2005,160.0,77.0,0.48,,,,,,
,,2019 - 2020,,,,,,,120.0,80.0,0.67
,Kalahandi,2000 - 2001,,510.0,0.49,,,,,,
,,2001 - 2002,980.0,480.0,0.49,,,,,,
,,2002 - 2003,,500.0,0.48,,,,,,
,,2003 - 2004,830.0,400.0,0.48,,,,,,
,,2004 - 2005,771.0,375.0,0.49,,,,,,
,,2019 - 2020,,,,,,,780.0,500.0,0.64
,Kandhamal,2000 - 2001,40.0,20.0,0.5,,,,,,
,,2001 - 2002,60.0,30.0,0.5,,,,,,
,,2002 - 2003,280.0,130.0,0.46,,,,,,
,,2003 - 2004,310.0,150.0,0.48,,,,,,
,,2004 - 2005,284.0,136.0,0.48,,,,,,
,,2019 - 2020,,,,,,,700.0,490.0,0.7
,Kendrapara,2000 - 2001,,820.0,0.49,,,,,,
,,2001 - 2002,970.0,460.0,0.47,,,,,,
,,2002 - 2003,,,0.49,,,,,,
,,2003 - 2004,,980.0,0.49,,,,,,
,,2004 - 2005,,987.0,0.54,,,,,,
,,2019 - 2020,,,,,,,500.0,270.0,0.54
,Kendujhar,2001 - 2002,260.0,80.0,0.31,,,,,,
,,2002 - 2003,,600.0,0.39,,,,,,
,,2003 - 2004,,710.0,0.39,,,,,,
,,2004 - 2005,,655.0,0.39,,,,,,
,,2019 - 2020,,,,,,,460.0,230.0,0.5
,Khordha,2000 - 2001,320.0,160.0,0.5,,,,,,
,,2001 - 2002,290.0,140.0,0.48,,,,,,
,,2002 - 2003,400.0,200.0,0.5,,,,,,
,,2003 - 2004,340.0,170.0,0.5,,,,,,
,,2004 - 2005,410.0,200.0,0.49,,,,,,
,,2019 - 2020,,,,,,,420.0,240.0,0.57
,Koraput,2000 - 2001,280.0,140.0,0.5,,,,,,
,,2001 - 2002,570.0,280.0,0.49,,,,,,
,,2002 - 2003,480.0,230.0,0.48,,,,,,
,,2003 - 2004,500.0,240.0,0.48,,,,,,
,,2004 - 2005,493.0,238.0,0.48,,,,,,
,,2019 - 2020,,,,,,,,,0.83
,Malkangiri,2001 - 2002,90.0,40.0,0.44,,,,,,
,,2002 - 2003,60.0,30.0,0.5,,,,,,
,,2003 - 2004,60.0,30.0,0.5,,,,,,
,,2004 - 2005,79.0,38.0,0.48,,,,,,
,,2019 - 2020,,,,,,,230.0,140.0,0.61
,Mayurbhanj,2000 - 2001,,510.0,0.49,,,,,,
,,2001 - 2002,,510.0,0.48,,,,,,
,,2002 - 2003,970.0,480.0,0.49,,,,,,
,,2003 - 2004,990.0,490.0,0.49,,,,,,
,,2004 - 2005,,532.0,0.49,,,,,,
,,2019 - 2020,,,,,,,630.0,360.0,0.57
,Nabarangpur,2000 - 2001,240.0,120.0,0.5,,,,,,
,,2001 - 2002,230.0,110.0,0.48,,,,,,
,,2002 - 2003,250.0,120.0,0.48,,,,,,
,,2003 - 2004,210.0,100.0,0.48,,,,,,
,,2004 - 2005,276.0,134.0,0.49,,,,,,
,,2019 - 2020,,,,,,,200.0,120.0,0.6
,Nayagarh,2000 - 2001,130.0,60.0,0.46,,,,,,
,,2001 - 2002,140.0,70.0,0.5,,,,,,
,,2002 - 2003,220.0,100.0,0.45,,,,,,
,,2003 - 2004,220.0,100.0,0.45,,,,,,
,,2004 - 2005,261.0,118.0,0.45,,,,,,
,,2019 - 2020,,,,,,,400.0,260.0,0.65
,Nuapada,2000 - 2001,190.0,90.0,0.47,,,,,,
,,2001 - 2002,160.0,80.0,0.5,,,,,,
,,2002 - 2003,650.0,320.0,0.49,,,,,,
,,2003 - 2004,550.0,270.0,0.49,,,,,,
,,2004 - 2005,489.0,240.0,0.49,,,,,,
,,2019 - 2020,,,,,,,420.0,240.0,0.57
,Puri,2000 - 2001,190.0,90.0,0.47,,,,,,
,,2001 - 2002,210.0,10.0,0.05,,,,,,
,,2002 - 2003,300.0,140.0,0.47,,,,,,
,,2003 - 2004,270.0,130.0,0.48,,,,,,
,,2004 - 2005,409.0,195.0,0.48,,,,,,
,,2019 - 2020,,,,,,,500.0,320.0,0.64
,Rayagada,2001 - 2002,120.0,60.0,0.5,,,,,,
,,2002 - 2003,100.0,50.0,0.5,,,,,,
,,2003 - 2004,100.0,50.0,0.5,,,,,,
,,2004 - 2005,122.0,57.0,0.47,,,,,,
,,2019 - 2020,,,,,,,400.0,270.0,0.68
,Sambalpur,2000 - 2001,450.0,220.0,0.49,,,,,,
,,2001 - 2002,360.0,180.0,0.5,,,,,,
,,2002 - 2003,450.0,220.0,0.49,,,,,,
,,2003 - 2004,930.0,460.0,0.49,,,,,,
,,2004 - 2005,985.0,481.0,0.49,,,,,,
,,2019 - 2020,,,,,,,500.0,370.0,0.74
,Sonepur,2000 - 2001,240.0,120.0,0.5,,,,,,
,,2001 - 2002,360.0,180.0,0.5,,,,,,
,,2002 - 2003,320.0,160.0,0.5,,,,,,
,,2003 - 2004,330.0,160.0,0.48,,,,,,
,,2004 - 2005,303.0,150.0,0.5,,,,,,
,,2019 - 2020,,,,,,,510.0,260.0,0.51
,Sundargarh,2000 - 2001,370.0,180.0,0.49,,,,,,
,,2001 - 2002,390.0,190.0,0.49,,,,,,
,,2002 - 2003,380.0,180.0,0.47,,,,,,
,,2003 - 2004,360.0,170.0,0.47,,,,,,
,,2004 - 2005,389.0,188.0,0.48,,,,,,
,,2019 - 2020,,,,,,,360.0,210.0,0.58
Puducherry,Yanam,2000 - 2001,1.0,1.0,1.0,,,,,,
,,2001 - 2002,2.0,1.0,0.5,,,,,,
,,2002 - 2003,5.0,4.0,0.8,,,,,,
,,2003 - 2004,2.0,1.0,0.5,,,,,,
,,2007 - 2008,,,,,,,4.0,2.0,0.5
,,2008 - 2009,,,,,,,2.0,1.0,0.5
,,2009 - 2010,,,,,,,6.0,3.0,0.5
,,2012 - 2013,,,,,,,1.0,1.0,1.0
,,2014 - 2015,,,,,,,1.0,1.0,1.0
Rajasthan,Ajmer,2000 - 2001,198.0,189.0,0.95,,,,,,
,,2001 - 2002,201.0,126.0,0.63,,,,,,
,,2002 - 2003,31.0,25.0,0.81,,,,,,
,,2003 - 2004,99.0,123.0,1.24,,,,,,
,,2004 - 2005,89.0,102.0,1.15,,,,,,
,,2005 - 2006,65.0,68.0,1.05,,,,,,
,,2006 - 2007,46.0,54.0,1.17,,,,,,
,,2007 - 2008,81.0,63.0,0.78,,,,,,
,,2008 - 2009,115.0,128.0,1.11,,,,,,
,,2009 - 2010,98.0,37.0,0.38,,,,,,
,,2010 - 2011,153.0,169.0,1.1,,,,,,
,,2011 - 2012,227.0,280.0,1.23,,,,,,
,,2012 - 2013,119.0,140.0,1.18,,,,,,
,,2013 - 2014,145.0,93.0,0.64,,,,,,
,,2014 - 2015,140.0,112.0,0.8,,,,,,
,,2015 - 2016,151.0,161.0,1.07,,,,,,
,,2016 - 2017,95.0,108.0,1.14,,,,,,
,,2017 - 2018,79.0,105.0,1.33,,,,,,
,,2018 - 2019,207.0,58.0,0.28,,,,,,
,,2019 - 2020,183.0,39.0,0.21,,,,,,
,,2020 - 2021,186.0,277.0,1.49,,,,,,
,,2021 - 2022,138.0,86.0,0.62,,,,,,
,,2022 - 2023,92.0,126.0,1.37,,,,,,
,Alwar,2000 - 2001,86.0,68.0,0.79,,,,,,
,,2001 - 2002,114.0,31.0,0.27,,,,,,
,,2002 - 2003,59.0,41.0,0.69,,,,,,
,,2003 - 2004,261.0,324.0,1.24,,,,,,
,,2004 - 2005,48.0,55.0,1.15,,,,,,
,,2005 - 2006,29.0,30.0,1.03,,,,,,
,,2006 - 2007,37.0,44.0,1.19,,,,,,
,,2007 - 2008,61.0,47.0,0.77,,,,,,
,,2008 - 2009,27.0,30.0,1.11,,,,,,
,,2009 - 2010,27.0,33.0,1.22,,,,,,
,,2010 - 2011,74.0,82.0,1.11,,,,,,
,,2011 - 2012,102.0,125.0,1.23,,,,,,
,,2012 - 2013,126.0,148.0,1.17,,,,,,
,,2013 - 2014,23.0,15.0,0.65,,,,,,
,,2014 - 2015,26.0,21.0,0.81,,,,,,
,,2015 - 2016,22.0,23.0,1.05,,,,,,
,,2016 - 2017,20.0,23.0,1.15,,,,,,
,,2017 - 2018,9.0,12.0,1.33,,,,,,
,,2018 - 2019,11.0,14.0,1.27,,,,,,
,,2020 - 2021,11.0,16.0,1.45,,,,,,
,Banswara,2003 - 2004,3.0,4.0,1.33,,,,,,
,,2004 - 2005,1.0,1.0,1.0,,,,,,
,,2005 - 2006,6.0,6.0,1.0,,,,,,
,,2006 - 2007,3.0,4.0,1.33,,,,,,
,,2022 - 2023,1.0,1.0,1.0,,,,,,
,Baran,2000 - 2001,,,1.42,,,,,,
,,2001 - 2002,,,1.51,,,,,,
,,2002 - 2003,,,1.13,,,,,,
,,2003 - 2004,,,1.56,,,,,,
,,2004 - 2005,,,1.27,,,,,,
,,2005 - 2006,,,1.16,,,,,,
,,2006 - 2007,,,1.26,,,,,,
,,2007 - 2008,,,0.98,,,,,,
,,2008 - 2009,,,1.22,,,,,,
,,2009 - 2010,,,1.29,,,,,,
,,2010 - 2011,,,1.44,,,,,,
,,2011 - 2012,,,1.35,,,,,,
,,2012 - 2013,,,1.44,,,,,,
,,2013 - 2014,,,0.57,,,,,,
,,2014 - 2015,,,0.94,,,,,,
,,2015 - 2016,,,1.42,,,,,,
,,2016 - 2017,,,1.57,,,,,,
,,2017 - 2018,,,1.76,,,,,,
,,2018 - 2019,,,1.77,,,,,,
,,2019 - 2020,,,1.73,,,,,,
,,2020 - 2021,,,1.64,,,,,,
,,2021 - 2022,,,1.68,,,,,,
,,2022 - 2023,,,1.57,,,,,,
,Barmer,2000 - 2001,4.0,3.0,0.75,,,,,,
,,2001 - 2002,1.0,1.0,1.0,,,,,,
,,2002 - 2003,2.0,2.0,1.0,,,,,,
,,2003 - 2004,1.0,1.0,1.0,,,,,,
,,2007 - 2008,1.0,1.0,1.0,,,,,,
,,2008 - 2009,1.0,1.0,1.0,,,,,,
,,2009 - 2010,1.0,1.0,1.0,,,,,,
,,2012 - 2013,1.0,1.0,1.0,,,,,,
,,2013 - 2014,2.0,1.0,0.5,,,,,,
,,2014 - 2015,3.0,2.0,0.67,,,,,,
,,2015 - 2016,2.0,2.0,1.0,,,,,,
,,2016 - 2017,3.0,4.0,1.33,,,,,,
,,2017 - 2018,3.0,4.0,1.33,,,,,,
,,2018 - 2019,1.0,1.0,1.0,,,,,,
,,2019 - 2020,3.0,4.0,1.33,,,,,,
,,2020 - 2021,7.0,10.0,1.43,,,,,,
,,2021 - 2022,10.0,15.0,1.5,,,,,,
,,2022 - 2023,4.0,5.0,1.25,,,,,,
,Bharatpur,2000 - 2001,5.0,7.0,1.4,,,,,,
,,2001 - 2002,1.0,1.0,1.0,,,,,,
,,2002 - 2003,1.0,1.0,1.0,,,,,,
,,2004 - 2005,1.0,1.0,1.0,,,,,,
,,2007 - 2008,13.0,10.0,0.77,,,,,,
,,2008 - 2009,12.0,14.0,1.17,,,,,,
,,2009 - 2010,21.0,25.0,1.19,,,,,,
,,2010 - 2011,13.0,14.0,1.08,,,,,,
,,2011 - 2012,17.0,21.0,1.24,,,,,,
,,2012 - 2013,1.0,1.0,1.0,,,,,,
,,2013 - 2014,3.0,2.0,0.67,,,,,,
,,2014 - 2015,13.0,10.0,0.77,,,,,,
,,2015 - 2016,10.0,11.0,1.1,,,,,,
,,2016 - 2017,10.0,11.0,1.1,,,,,,
,,2017 - 2018,7.0,9.0,1.29,,,,,,
,,2018 - 2019,7.0,9.0,1.29,,,,,,
,,2019 - 2020,2.0,3.0,1.5,,,,,,
,Bhilwara,2000 - 2001,20.0,9.0,0.45,,,,,,
,,2001 - 2002,25.0,9.0,0.36,,,,,,
,,2002 - 2003,7.0,4.0,0.57,,,,,,
,,2003 - 2004,43.0,53.0,1.23,,,,,,
,,2004 - 2005,228.0,261.0,1.14,,,,,,
,,2005 - 2006,4.0,4.0,1.0,,,,,,
,,2006 - 2007,3.0,4.0,1.33,,,,,,
,,2007 - 2008,16.0,12.0,0.75,,,,,,
,,2008 - 2009,18.0,20.0,1.11,,,,,,
,,2009 - 2010,4.0,5.0,1.25,,,,,,
,,2010 - 2011,8.0,9.0,1.13,,,,,,
,,2011 - 2012,18.0,22.0,1.22,,,,,,
,,2012 - 2013,3.0,4.0,1.33,,,,,,
,,2013 - 2014,15.0,10.0,0.67,,,,,,
,,2014 - 2015,19.0,15.0,0.79,,,,,,
,,2015 - 2016,161.0,172.0,1.07,,,,,,
,,2016 - 2017,50.0,57.0,1.14,,,,,,
,,2017 - 2018,33.0,44.0,1.33,,,,,,
,,2018 - 2019,16.0,21.0,1.31,,,,,,
,,2019 - 2020,13.0,19.0,1.46,,,,,,
,,2020 - 2021,10.0,15.0,1.5,,,,,,
,,2021 - 2022,13.0,19.0,1.46,,,,,,
,,2022 - 2023,80.0,109.0,1.36,,,,,,
,Bikaner,2000 - 2001,6.0,12.0,2.0,,,,,,
,,2001 - 2002,18.0,9.0,0.5,,,,,,
,,2002 - 2003,6.0,3.0,0.5,,,,,,
,,2003 - 2004,33.0,41.0,1.24,,,,,,
,,2004 - 2005,39.0,45.0,1.15,,,,,,
,,2005 - 2006,31.0,32.0,1.03,,,,,,
,,2006 - 2007,36.0,43.0,1.19,,,,,,
,,2007 - 2008,11.0,8.0,0.73,,,,,,
,,2008 - 2009,23.0,26.0,1.13,,,,,,
,,2009 - 2010,19.0,23.0,1.21,,,,,,
,,2010 - 2011,21.0,23.0,1.1,,,,,,
,,2011 - 2012,58.0,72.0,1.24,,,,,,
,,2012 - 2013,40.0,47.0,1.18,,,,,,
,,2013 - 2014,31.0,20.0,0.65,,,,,,
,,2014 - 2015,115.0,92.0,0.8,,,,,,
,,2015 - 2016,452.0,483.0,1.07,,,,,,
,,2016 - 2017,550.0,626.0,1.14,,,,,,
,,2017 - 2018,325.0,433.0,1.33,,,,,,
,,2018 - 2019,184.0,239.0,1.3,,,,,,
,,2019 - 2020,164.0,244.0,1.49,,,,,,
,,2020 - 2021,335.0,499.0,1.49,,,,,,
,,2021 - 2022,62.0,92.0,1.48,,,,,,
,,2022 - 2023,91.0,125.0,1.37,,,,,,
,Bundi,2000 - 2001,,,0.79,,,,,,
,,2001 - 2002,,,0.98,,,,,,
,,2002 - 2003,,,0.89,,,,,,
,,2003 - 2004,,,1.13,,,,,,
,,2004 - 2005,,,1.21,,,,,,
,,2005 - 2006,,,1.26,,,,,,
,,2006 - 2007,,,1.11,,,,,,
,,2007 - 2008,,,0.82,,,,,,
,,2008 - 2009,,,0.83,,,,,,
,,2009 - 2010,,,1.11,,,,,,
,,2010 - 2011,,,1.01,,,,,,
,,2011 - 2012,,,0.91,,,,,,
,,2012 - 2013,,,1.06,,,,,,
,,2013 - 2014,843.0,688.0,0.82,,,,,,
,,2014 - 2015,,276.0,0.08,,,,,,
,,2015 - 2016,,,1.08,,,,,,
,,2016 - 2017,,,1.35,,,,,,
,,2017 - 2018,,,1.56,,,,,,
,,2018 - 2019,784.0,,1.36,,,,,,
,,2019 - 2020,230.0,325.0,1.41,,,,,,
,,2020 - 2021,,,1.61,,,,,,
,,2021 - 2022,157.0,205.0,1.31,,,,,,
,,2022 - 2023,917.0,,1.43,,,,,,
,Chittorgarh,2000 - 2001,699.0,759.0,1.09,,,,,,
,,2001 - 2002,,,0.99,,,,,,
,,2002 - 2003,919.0,,1.11,,,,,,
,,2003 - 2004,,987.0,0.44,,,,,,
,,2004 - 2005,,,0.77,,,,,,
,,2005 - 2006,,,0.9,,,,,,
,,2006 - 2007,,,1.33,,,,,,
,,2007 - 2008,,,0.91,,,,,,
,,2008 - 2009,,,0.99,,,,,,
,,2009 - 2010,,,0.58,,,,,,
,,2010 - 2011,,,0.65,,,,,,
,,2011 - 2012,,,1.14,,,,,,
,,2012 - 2013,,,0.59,,,,,,
,,2013 - 2014,,,0.72,,,,,,
,,2014 - 2015,,,0.45,,,,,,
,,2015 - 2016,,,1.09,,,,,,
,,2016 - 2017,,,0.99,,,,,,
,,2017 - 2018,,,1.04,,,,,,
,,2018 - 2019,,,1.24,,,,,,
,,2019 - 2020,,,1.71,,,,,,
,,2020 - 2021,,,1.45,,,,,,
,,2021 - 2022,,,1.75,,,,,,
,,2022 - 2023,,,1.31,,,,,,
,Churu,2000 - 2001,4.0,14.0,3.5,,,,,,
,,2001 - 2002,11.0,17.0,1.55,,,,,,
,,2002 - 2003,3.0,2.0,0.67,,,,,,
,,2003 - 2004,6.0,7.0,1.17,,,,,,
,,2004 - 2005,3.0,3.0,1.0,,,,,,
,,2005 - 2006,8.0,8.0,1.0,,,,,,
,,2006 - 2007,2.0,2.0,1.0,,,,,,
,,2007 - 2008,5.0,4.0,0.8,,,,,,
,,2008 - 2009,5.0,6.0,1.2,,,,,,
,,2009 - 2010,22.0,27.0,1.23,,,,,,
,,2010 - 2011,17.0,19.0,1.12,,,,,,
,,2011 - 2012,62.0,76.0,1.23,,,,,,
,,2012 - 2013,23.0,27.0,1.17,,,,,,
,,2013 - 2014,21.0,13.0,0.62,,,,,,
,,2014 - 2015,20.0,16.0,0.8,,,,,,
,,2015 - 2016,109.0,116.0,1.06,,,,,,
,,2016 - 2017,137.0,156.0,1.14,,,,,,
,,2017 - 2018,125.0,166.0,1.33,,,,,,
,,2018 - 2019,86.0,112.0,1.3,,,,,,
,,2019 - 2020,27.0,40.0,1.48,,,,,,
,,2020 - 2021,75.0,112.0,1.49,,,,,,
,,2021 - 2022,27.0,40.0,1.48,,,,,,
,,2022 - 2023,30.0,41.0,1.37,,,,,,
,Dausa,2000 - 2001,7.0,7.0,1.0,,,,,,
,,2001 - 2002,14.0,15.0,1.07,,,,,,
,,2002 - 2003,6.0,6.0,1.0,,,,,,
,,2003 - 2004,17.0,21.0,1.24,,,,,,
,,2004 - 2005,2.0,2.0,1.0,,,,,,
,,2005 - 2006,1.0,1.0,1.0,,,,,,
,,2006 - 2007,2.0,2.0,1.0,,,,,,
,,2007 - 2008,5.0,4.0,0.8,,,,,,
,,2008 - 2009,2.0,2.0,1.0,,,,,,
,,2009 - 2010,1.0,1.0,1.0,,,,,,
,,2010 - 2011,3.0,3.0,1.0,,,,,,
,,2011 - 2012,4.0,5.0,1.25,,,,,,
,,2018 - 2019,1.0,1.0,1.0,,,,,,
,,2019 - 2020,1.0,2.0,2.0,,,,,,
,,2022 - 2023,3.0,4.0,1.33,,,,,,
,Dholpur,2001 - 2002,2.0,,0.0,,,,,,
,,2002 - 2003,5.0,5.0,1.0,,,,,,
,,2003 - 2004,6.0,7.0,1.17,,,,,,
,,2004 - 2005,3.0,3.0,1.0,,,,,,
,,2005 - 2006,3.0,3.0,1.0,,,,,,
,,2006 - 2007,5.0,6.0,1.2,,,,,,
,,2007 - 2008,4.0,3.0,0.75,,,,,,
,,2008 - 2009,4.0,5.0,1.25,,,,,,
,,2009 - 2010,1.0,1.0,1.0,,,,,,
,,2011 - 2012,1.0,1.0,1.0,,,,,,
,,2013 - 2014,3.0,2.0,0.67,,,,,,
,,2014 - 2015,2.0,2.0,1.0,,,,,,
,,2015 - 2016,8.0,9.0,1.13,,,,,,
,,2017 - 2018,4.0,5.0,1.25,,,,,,
,,2020 - 2021,3.0,5.0,1.67,,,,,,
,,2022 - 2023,2.0,3.0,1.5,,,,,,
,Dungarpur,2000 - 2001,3.0,,0.0,,,,,,
,,2001 - 2002,1.0,4.0,4.0,,,,,,
,,2003 - 2004,3.0,4.0,1.33,,,,,,
,,2004 - 2005,2.0,2.0,1.0,,,,,,
,,2005 - 2006,2.0,2.0,1.0,,,,,,
,,2006 - 2007,1.0,1.0,1.0,,,,,,
,,2007 - 2008,1.0,1.0,1.0,,,,,,
,,2009 - 2010,2.0,2.0,1.0,,,,,,
,,2010 - 2011,2.0,2.0,1.0,,,,,,
,,2011 - 2012,1.0,1.0,1.0,,,,,,
,,2012 - 2013,1.0,1.0,1.0,,,,,,
,,2013 - 2014,1.0,1.0,1.0,,,,,,
,,2016 - 2017,3.0,4.0,1.33,,,,,,
,,2018 - 2019,2.0,3.0,1.5,,,,,,
,,2020 - 2021,2.0,3.0,1.5,,,,,,
,Ganganagar,2000 - 2001,4.0,2.0,0.5,,,,,,
,,2001 - 2002,14.0,7.0,0.5,,,,,,
,,2002 - 2003,7.0,4.0,0.57,,,,,,
,,2003 - 2004,11.0,14.0,1.27,,,,,,
,,2004 - 2005,6.0,7.0,1.17,,,,,,
,,2005 - 2006,24.0,25.0,1.04,,,,,,
,,2006 - 2007,4.0,5.0,1.25,,,,,,
,,2007 - 2008,7.0,5.0,0.71,,,,,,
,,2008 - 2009,12.0,13.0,1.08,,,,,,
,,2009 - 2010,6.0,4.0,0.67,,,,,,
,,2010 - 2011,6.0,7.0,1.17,,,,,,
