state,district,year,black_pepper_whole_year_area_hectare,black_pepper_whole_year_production_tonne,black_pepper_whole_year_yield_tonne_per_hectare,black_pepper_rabi_area_hectare,black_pepper_rabi_production_tonne,black_pepper_rabi_yield_tonne_per_hectare,black_pepper_kharif_area_hectare,black_pepper_kharif_production_tonne,black_pepper_kharif_yield_tonne_per_hectare
,,2018 - 2019,,,0.45,,,,,,
,,2019 - 2020,,,0.51,,,,,,
,,2020 - 2021,,,0.51,,,,,,
,,2021 - 2022,,,0.53,,,,,,
,,2022 - 2023,,,0.42,,,,,,
,Kollam,2000 - 2001,,,0.36,,,,,,
,,2001 - 2002,,,0.38,,,,,,
,,2002 - 2003,,,0.3,,,,,,
,,2003 - 2004,,,0.29,,,,,,
,,2004 - 2005,,,0.28,,,,,,
,,2005 - 2006,,,0.34,,,,,,
,,2006 - 2007,,,0.29,,,,,,
,,2007 - 2008,,,0.22,,,,,,
,,2008 - 2009,,,0.19,,,,,,
,,2009 - 2010,,,0.18,,,,,,
,,2010 - 2011,,,0.17,,,,,,
,,2011 - 2012,,,0.36,,,,,,
,,2012 - 2013,,,0.4,,,,,,
,,2013 - 2014,,,0.39,,,,,,
,,2014 - 2015,,,0.37,,,,,,
,,2015 - 2016,,,0.33,,,,,,
,,2016 - 2017,,898.0,0.28,,,,,,
,,2017 - 2018,,836.0,0.29,,,,,,
,,2018 - 2019,,860.84,0.3,,,,,,
,,2019 - 2020,,849.0,0.3,,,,,,
,,2020 - 2021,,814.11,0.3,,,,,,
,,2021 - 2022,,638.0,0.25,,,,,,
,,2022 - 2023,,658.9,0.27,,,,,,
,Kottayam,2000 - 2001,,,0.13,,,,,,
,,2001 - 2002,,,0.15,,,,,,
,,2002 - 2003,,,0.16,,,,,,
,,2003 - 2004,,,0.2,,,,,,
,,2004 - 2005,,,0.21,,,,,,
,,2005 - 2006,,,0.18,,,,,,
,,2006 - 2007,,,0.17,,,,,,
,,2007 - 2008,,,0.16,,,,,,
,,2008 - 2009,,,0.14,,,,,,
,,2009 - 2010,,967.0,0.14,,,,,,
,,2010 - 2011,,866.53,0.13,,,,,,
,,2011 - 2012,,,0.34,,,,,,
,,2012 - 2013,,,0.37,,,,,,
,,2013 - 2014,,,0.38,,,,,,
,,2014 - 2015,,,0.34,,,,,,
,,2015 - 2016,,,0.36,,,,,,
,,2016 - 2017,,,0.31,,,,,,
,,2017 - 2018,,,0.4,,,,,,
,,2018 - 2019,,,0.4,,,,,,
,,2019 - 2020,,,0.33,,,,,,
,,2020 - 2021,,991.07,0.35,,,,,,
,,2021 - 2022,,843.0,0.31,,,,,,
,,2022 - 2023,,725.6,0.26,,,,,,
,Kozhikode,2000 - 2001,,,0.19,,,,,,
,,2001 - 2002,,,0.21,,,,,,
,,2002 - 2003,,,0.14,,,,,,
,,2003 - 2004,,,0.14,,,,,,
,,2004 - 2005,,,0.14,,,,,,
,,2005 - 2006,,,0.13,,,,,,
,,2006 - 2007,,,0.12,,,,,,
,,2007 - 2008,,884.0,0.09,,,,,,
,,2008 - 2009,,823.0,0.1,,,,,,
,,2009 - 2010,,,0.13,,,,,,
,,2010 - 2011,,823.04,0.11,,,,,,
,,2011 - 2012,,614.67,0.18,,,,,,
,,2012 - 2013,,,0.33,,,,,,
,,2013 - 2014,,824.0,0.25,,,,,,
,,2014 - 2015,,,0.31,,,,,,
,,2015 - 2016,,933.7,0.27,,,,,,
,,2016 - 2017,,,0.28,,,,,,
,,2017 - 2018,,635.0,0.17,,,,,,
,,2018 - 2019,,953.46,0.27,,,,,,
,,2019 - 2020,,880.0,0.26,,,,,,
,,2020 - 2021,,839.83,0.25,,,,,,
,,2021 - 2022,,642.0,0.22,,,,,,
,,2022 - 2023,,713.63,0.24,,,,,,
,Malappuram,2000 - 2001,,,0.13,,,,,,
,,2001 - 2002,,616.0,0.07,,,,,,
,,2002 - 2003,,979.0,0.1,,,,,,
,,2003 - 2004,,,0.1,,,,,,
,,2004 - 2005,,,0.1,,,,,,
,,2005 - 2006,,,0.13,,,,,,
,,2006 - 2007,,,0.12,,,,,,
,,2007 - 2008,,,0.13,,,,,,
,,2008 - 2009,,590.0,0.1,,,,,,
,,2009 - 2010,,581.0,0.09,,,,,,
,,2010 - 2011,,477.9,0.08,,,,,,
,,2011 - 2012,,519.81,0.2,,,,,,
,,2012 - 2013,,542.0,0.22,,,,,,
,,2013 - 2014,,613.0,0.23,,,,,,
,,2014 - 2015,,650.0,0.22,,,,,,
,,2015 - 2016,,459.79,0.16,,,,,,
,,2016 - 2017,,584.0,0.22,,,,,,
,,2017 - 2018,,523.0,0.19,,,,,,
,,2018 - 2019,,478.06,0.2,,,,,,
,,2019 - 2020,,550.0,0.21,,,,,,
,,2020 - 2021,,613.33,0.24,,,,,,
,,2021 - 2022,,490.0,0.25,,,,,,
,,2022 - 2023,,474.2,0.21,,,,,,
,Palakkad,2000 - 2001,,598.0,0.12,,,,,,
,,2001 - 2002,,723.0,0.14,,,,,,
,,2002 - 2003,,778.0,0.14,,,,,,
,,2003 - 2004,,875.0,0.14,,,,,,
,,2004 - 2005,,991.0,0.14,,,,,,
,,2005 - 2006,,,0.15,,,,,,
,,2006 - 2007,,,0.17,,,,,,
,,2007 - 2008,,985.0,0.14,,,,,,
,,2008 - 2009,,870.0,0.15,,,,,,
,,2009 - 2010,,,0.19,,,,,,
,,2010 - 2011,,953.99,0.17,,,,,,
,,2011 - 2012,,869.87,0.34,,,,,,
,,2012 - 2013,,914.0,0.34,,,,,,
,,2013 - 2014,,,0.4,,,,,,
,,2014 - 2015,,969.0,0.36,,,,,,
,,2015 - 2016,,953.75,0.38,,,,,,
,,2016 - 2017,,,0.4,,,,,,
,,2017 - 2018,,897.0,0.39,,,,,,
,,2018 - 2019,,,0.41,,,,,,
,,2019 - 2020,,,0.37,,,,,,
,,2020 - 2021,,,0.42,,,,,,
,,2021 - 2022,,,0.43,,,,,,
,,2022 - 2023,,,0.39,,,,,,
,Pathanamthitta,2000 - 2001,,,0.24,,,,,,
,,2001 - 2002,,,0.26,,,,,,
,,2002 - 2003,,,0.24,,,,,,
,,2003 - 2004,,,0.26,,,,,,
,,2004 - 2005,,,0.24,,,,,,
,,2005 - 2006,,,0.26,,,,,,
,,2006 - 2007,,,0.29,,,,,,
,,2007 - 2008,,,0.3,,,,,,
,,2008 - 2009,,986.0,0.27,,,,,,
,,2009 - 2010,,850.0,0.24,,,,,,
,,2010 - 2011,,782.1,0.23,,,,,,
,,2011 - 2012,,858.93,0.5,,,,,,
,,2012 - 2013,,753.0,0.45,,,,,,
,,2013 - 2014,,738.0,0.45,,,,,,
,,2014 - 2015,,705.0,0.42,,,,,,
,,2015 - 2016,,599.46,0.35,,,,,,
,,2016 - 2017,,537.0,0.32,,,,,,
,,2017 - 2018,,621.0,0.37,,,,,,
,,2018 - 2019,,505.58,0.32,,,,,,
,,2019 - 2020,,520.0,0.32,,,,,,
,,2020 - 2021,,439.05,0.32,,,,,,
,,2021 - 2022,,434.0,0.32,,,,,,
,,2022 - 2023,,427.52,0.31,,,,,,
,Thiruvananthapuram,2000 - 2001,,,0.3,,,,,,
,,2001 - 2002,,,0.26,,,,,,
,,2002 - 2003,,,0.27,,,,,,
,,2003 - 2004,,,0.25,,,,,,
,,2004 - 2005,,,0.28,,,,,,
,,2005 - 2006,,,0.24,,,,,,
,,2006 - 2007,,,0.23,,,,,,
,,2007 - 2008,,,0.26,,,,,,
,,2008 - 2009,,,0.21,,,,,,
,,2009 - 2010,,,0.21,,,,,,
,,2010 - 2011,,938.82,0.2,,,,,,
,,2011 - 2012,,988.51,0.42,,,,,,
,,2012 - 2013,,873.0,0.36,,,,,,
,,2013 - 2014,,909.0,0.36,,,,,,
,,2014 - 2015,,916.0,0.38,,,,,,
,,2015 - 2016,,971.92,0.42,,,,,,
,,2016 - 2017,,846.0,0.39,,,,,,
,,2017 - 2018,,690.0,0.35,,,,,,
,,2018 - 2019,,670.01,0.33,,,,,,
,,2019 - 2020,,604.0,0.31,,,,,,
,,2020 - 2021,,510.47,0.32,,,,,,
,,2021 - 2022,,424.0,0.29,,,,,,
,,2022 - 2023,,631.87,0.32,,,,,,
,Thrissur,2000 - 2001,,526.0,0.13,,,,,,
,,2001 - 2002,,589.0,0.14,,,,,,
,,2002 - 2003,,787.0,0.17,,,,,,
,,2003 - 2004,,,0.21,,,,,,
,,2004 - 2005,,,0.19,,,,,,
,,2005 - 2006,,,0.21,,,,,,
,,2006 - 2007,,,0.18,,,,,,
,,2007 - 2008,,811.0,0.17,,,,,,
,,2008 - 2009,,841.0,0.17,,,,,,
,,2009 - 2010,,895.0,0.18,,,,,,
,,2010 - 2011,,614.46,0.15,,,,,,
,,2011 - 2012,,776.44,0.36,,,,,,
,,2012 - 2013,,582.0,0.31,,,,,,
,,2013 - 2014,,546.0,0.28,,,,,,
,,2014 - 2015,,502.0,0.28,,,,,,
,,2015 - 2016,,479.23,0.27,,,,,,
,,2016 - 2017,,480.0,0.25,,,,,,
,,2017 - 2018,,559.0,0.31,,,,,,
,,2018 - 2019,,502.97,0.29,,,,,,
,,2019 - 2020,,462.0,0.27,,,,,,
,,2020 - 2021,,460.6,0.28,,,,,,
,,2021 - 2022,,436.0,0.27,,,,,,
,,2022 - 2023,,453.92,0.28,,,,,,
,Wayanad,2000 - 2001,,,0.4,,,,,,
,,2001 - 2002,,,0.33,,,,,,
,,2002 - 2003,,,0.3,,,,,,
,,2003 - 2004,,,0.29,,,,,,
,,2004 - 2005,,,0.33,,,,,,
,,2005 - 2006,,,0.28,,,,,,
,,2006 - 2007,,,0.27,,,,,,
,,2007 - 2008,,,0.16,,,,,,
,,2008 - 2009,,,0.22,,,,,,
,,2009 - 2010,,,0.27,,,,,,
,,2010 - 2011,,,0.15,,,,,,
,,2011 - 2012,,,0.32,,,,,,
,,2012 - 2013,,,0.41,,,,,,
,,2013 - 2014,,,0.29,,,,,,
,,2014 - 2015,,,0.48,,,,,,
,,2015 - 2016,,,0.53,,,,,,
,,2016 - 2017,,,0.39,,,,,,
,,2017 - 2018,,,0.32,,,,,,
,,2018 - 2019,,,0.31,,,,,,
,,2019 - 2020,,,0.36,,,,,,
,,2020 - 2021,,,0.44,,,,,,
,,2021 - 2022,,,0.4,,,,,,
,,2022 - 2023,,,0.36,,,,,,
Meghalaya,East garo hills,2004 - 2005,58.0,96.0,1.66,,,,,,
,,2008 - 2009,,,,56.0,14.0,0.25,,,
,,2009 - 2010,58.0,16.0,0.28,,,,,,
,,2010 - 2011,62.0,23.0,0.37,,,,,,
,,2011 - 2012,65.0,25.0,0.38,,,,,,
,,2012 - 2013,68.0,33.0,0.49,,,,,,
,,2013 - 2014,42.0,20.0,0.48,,,,,,
,,2014 - 2015,43.0,21.0,0.49,,,,,,
,,2015 - 2016,,,,48.0,33.0,0.69,,,
,,2016 - 2017,,,,51.0,39.0,0.76,,,
,,2017 - 2018,,,,52.0,40.0,0.77,,,
,,2018 - 2019,,,,53.0,41.0,0.77,,,
,,2019 - 2020,,,,54.0,42.0,0.78,,,
,,2020 - 2021,,,,55.0,43.0,0.78,,,
,East jaintia hills,2004 - 2005,34.0,26.0,0.76,,,,,,
,,2008 - 2009,,,,34.0,17.0,0.5,,,
,,2009 - 2010,35.0,16.0,0.46,,,,,,
,,2010 - 2011,34.0,16.0,0.47,,,,,,
,,2011 - 2012,35.0,18.0,0.51,,,,,,
,,2012 - 2013,37.0,25.0,0.68,,,,,,
,,2013 - 2014,32.0,22.0,0.69,,,,,,
,,2014 - 2015,33.0,23.0,0.7,,,,,,
,,2015 - 2016,,,,33.0,24.0,0.73,,,
,,2016 - 2017,,,,34.0,24.0,0.71,,,
,,2017 - 2018,,,,34.0,24.0,0.71,,,
,,2018 - 2019,,,,35.0,25.0,0.71,,,
,,2019 - 2020,,,,36.0,26.0,0.72,,,
,,2020 - 2021,,,,37.0,27.0,0.73,,,
,East khasi hills,2004 - 2005,173.0,112.0,0.65,,,,,,
,,2008 - 2009,,,,168.0,104.0,0.62,,,
,,2009 - 2010,167.0,105.0,0.63,,,,,,
,,2010 - 2011,165.0,103.0,0.62,,,,,,
,,2011 - 2012,172.0,112.0,0.65,,,,,,
,,2012 - 2013,179.0,151.0,0.84,,,,,,
,,2013 - 2014,182.0,154.0,0.85,,,,,,
,,2014 - 2015,183.0,158.0,0.86,,,,,,
,,2015 - 2016,,,,185.0,161.0,0.87,,,
,,2016 - 2017,,,,186.0,163.0,0.88,,,
,,2017 - 2018,,,,188.0,166.0,0.88,,,
,,2018 - 2019,,,,189.0,167.0,0.88,,,
,,2019 - 2020,,,,190.0,168.0,0.88,,,
,,2020 - 2021,,,,191.0,169.0,0.88,,,
,North garo hills,2013 - 2014,27.0,14.0,0.52,,,,,,
,,2014 - 2015,27.0,15.0,0.56,,,,,,
,,2015 - 2016,,,,34.0,17.0,0.5,,,
,,2016 - 2017,,,,35.0,18.0,0.51,,,
,,2017 - 2018,,,,35.0,18.0,0.51,,,
,,2018 - 2019,,,,35.0,18.0,0.51,,,
,,2019 - 2020,,,,35.0,18.0,0.51,,,
,,2020 - 2021,,,,35.0,18.0,0.51,,,
,Ri bhoi,2004 - 2005,147.0,88.0,0.6,,,,,,
,,2008 - 2009,,,,145.0,85.0,0.59,,,
,,2009 - 2010,146.0,87.0,0.6,,,,,,
,,2010 - 2011,144.0,85.0,0.59,,,,,,
,,2011 - 2012,147.0,87.0,0.59,,,,,,
,,2012 - 2013,153.0,118.0,0.77,,,,,,
,,2013 - 2014,156.0,121.0,0.78,,,,,,
,,2014 - 2015,160.0,125.0,0.78,,,,,,
,,2015 - 2016,,,,162.0,129.0,0.8,,,
,,2016 - 2017,,,,164.0,132.0,0.8,,,
,,2017 - 2018,,,,166.0,134.0,0.81,,,
,,2018 - 2019,,,,168.0,136.0,0.81,,,
,,2019 - 2020,,,,169.0,137.0,0.81,,,
,,2020 - 2021,,,,170.0,138.0,0.81,,,
,South garo hills,2004 - 2005,42.0,34.0,0.81,,,,,,
,,2008 - 2009,,,,43.0,22.0,0.51,,,
,,2009 - 2010,44.0,21.0,0.48,,,,,,
,,2010 - 2011,45.0,22.0,0.49,,,,,,
,,2011 - 2012,46.0,23.0,0.5,,,,,,
,,2012 - 2013,48.0,31.0,0.65,,,,,,
,,2013 - 2014,49.0,32.0,0.65,,,,,,
,,2014 - 2015,50.0,33.0,0.66,,,,,,
,,2015 - 2016,,,,51.0,34.0,0.67,,,
,,2016 - 2017,,,,52.0,35.0,0.67,,,
,,2017 - 2018,,,,53.0,36.0,0.68,,,
,,2018 - 2019,,,,54.0,37.0,0.69,,,
,,2019 - 2020,,,,55.0,38.0,0.69,,,
,,2020 - 2021,,,,56.0,39.0,0.7,,,
,South west garo hills,2013 - 2014,58.0,33.0,0.57,,,,,,
,,2014 - 2015,59.0,34.0,0.58,,,,,,
,,2015 - 2016,,,,59.0,35.0,0.59,,,
,,2016 - 2017,,,,60.0,36.0,0.6,,,
,,2017 - 2018,,,,61.0,37.0,0.61,,,
,,2018 - 2019,,,,62.0,38.0,0.61,,,
,,2019 - 2020,,,,63.0,39.0,0.62,,,
,,2020 - 2021,,,,64.0,40.0,0.63,,,
,South west khasi hills,2013 - 2014,84.0,72.0,0.86,,,,,,
,,2014 - 2015,85.0,74.0,0.87,,,,,,
,,2015 - 2016,,,,86.0,76.0,0.88,,,
,,2016 - 2017,,,,87.0,78.0,0.9,,,
,,2017 - 2018,,,,89.0,80.0,0.9,,,
,,2018 - 2019,,,,90.0,81.0,0.9,,,
,,2019 - 2020,,,,91.0,82.0,0.9,,,
,,2020 - 2021,,,,92.0,83.0,0.9,,,
,West garo hills,2004 - 2005,338.0,154.0,0.46,,,,,,
,,2008 - 2009,,,,336.0,151.0,0.45,,,
,,2009 - 2010,336.0,148.0,0.44,,,,,,
,,2010 - 2011,337.0,150.0,0.45,,,,,,
,,2011 - 2012,341.0,159.0,0.47,,,,,,
,,2012 - 2013,355.0,214.0,0.6,,,,,,
,,2013 - 2014,303.0,186.0,0.61,,,,,,
,,2014 - 2015,304.0,192.0,0.63,,,,,,
,,2015 - 2016,,,,305.0,196.0,0.64,,,
,,2016 - 2017,,,,306.0,199.0,0.65,,,
,,2017 - 2018,,,,308.0,201.0,0.65,,,
,,2018 - 2019,,,,309.0,202.0,0.65,,,
,,2019 - 2020,,,,310.0,203.0,0.65,,,
,,2020 - 2021,,,,311.0,204.0,0.66,,,
,West jaintia hills,2013 - 2014,6.0,4.0,0.67,,,,,,
,,2014 - 2015,7.0,6.0,0.86,,,,,,
,,2015 - 2016,,,,7.0,7.0,1.0,,,
,,2016 - 2017,,,,8.0,8.0,1.0,,,
,,2017 - 2018,,,,8.0,8.0,1.0,,,
,,2018 - 2019,,,,9.0,9.0,1.0,,,
,,2019 - 2020,,,,10.0,10.0,1.0,,,
,,2020 - 2021,,,,11.0,11.0,1.0,,,
,West khasi hills,2004 - 2005,103.0,68.0,0.66,,,,,,
,,2008 - 2009,,,,102.0,69.0,0.68,,,
,,2009 - 2010,104.0,68.0,0.65,,,,,,
,,2010 - 2011,102.0,66.0,0.65,,,,,,
,,2011 - 2012,105.0,69.0,0.66,,,,,,
,,2012 - 2013,110.0,93.0,0.85,,,,,,
,,2013 - 2014,28.0,23.0,0.82,,,,,,
,,2014 - 2015,29.0,24.0,0.83,,,,,,
,,2015 - 2016,,,,29.0,25.0,0.86,,,
,,2016 - 2017,,,,30.0,25.0,0.83,,,
,,2017 - 2018,,,,31.0,26.0,0.84,,,
,,2018 - 2019,,,,32.0,27.0,0.84,,,
,,2019 - 2020,,,,33.0,28.0,0.85,,,
,,2020 - 2021,,,,34.0,29.0,0.85,,,
Puducherry,Mahe,2000 - 2001,12.0,7.0,0.58,,,,,,
,,2001 - 2002,12.0,11.0,0.92,,,,,,
,,2002 - 2003,12.0,8.0,0.67,,,,,,
,,2003 - 2004,12.0,8.0,0.67,,,,,,
,,2004 - 2005,12.0,7.0,0.58,,,,,,
,,2005 - 2006,12.0,7.0,0.58,,,,,,
,,2006 - 2007,,,,,,,12.0,7.0,0.58
,,2007 - 2008,,,,,,,12.0,7.0,0.58
,,2008 - 2009,,,,,,,12.0,8.0,0.67
,,2009 - 2010,,,,,,,12.0,8.0,0.67
,,2010 - 2011,,,,,,,11.0,6.0,0.55
,,2011 - 2012,,,,,,,11.0,5.0,0.45
,,2016 - 2017,,,,,,,10.0,18.0,1.8
,,2017 - 2018,,,,,,,10.0,18.0,1.8
,,2018 - 2019,,,,,,,11.0,15.0,1.36
,,2019 - 2020,,,,,,,11.0,15.0,1.36
,,2020 - 2021,,,,,,,11.0,15.0,1.36
,,2021 - 2022,,,,,,,10.0,14.0,1.4
,,2022 - 2023,,,,,,,10.0,14.0,1.4
Tamil Nadu,Coimbatore,2003 - 2004,127.0,25.0,0.2,,,,,,
,,2005 - 2006,128.0,25.0,0.2,,,,,,
,,2006 - 2007,129.0,25.0,0.19,,,,,,
,,2007 - 2008,129.0,25.0,0.19,,,,,,
,,2008 - 2009,127.0,25.0,0.2,,,,,,
,,2009 - 2010,129.0,27.0,0.21,,,,,,
,,2011 - 2012,129.0,27.0,0.21,,,,,,
,,2013 - 2014,128.0,26.0,0.2,,,,,,
,,2014 - 2015,128.0,27.0,0.21,,,,,,
,,2015 - 2016,128.0,27.0,0.21,,,,,,
,,2016 - 2017,129.0,27.0,0.21,,,,,,
,,2017 - 2018,135.0,28.0,0.21,,,,,,
,,2018 - 2019,135.0,28.0,0.21,,,,,,
,,2019 - 2020,141.0,29.0,0.21,,,,,,
,,2020 - 2021,141.0,31.0,0.22,,,,,,
,,2021 - 2022,155.0,33.0,0.21,,,,,,
,,2022 - 2023,154.0,32.0,0.21,,,,,,
,Cuddalore,2016 - 2017,1.0,,0.0,,,,,,
,,2020 - 2021,1.0,0.0,0.0,,,,,,
,,2021 - 2022,3.0,1.0,0.33,,,,,,
,,2022 - 2023,12.0,3.0,0.25,,,,,,
,Dharmapuri,2007 - 2008,1.0,,0.0,,,,,,
,,2009 - 2010,1.0,,0.0,,,,,,
,,2011 - 2012,5.0,1.0,0.2,,,,,,
,,2015 - 2016,30.0,5.0,0.17,,,,,,
,,2016 - 2017,3.0,,0.0,,,,,,
,,2017 - 2018,2.0,,0.0,,,,,,
,,2018 - 2019,118.0,,0.0,,,,,,
,,2019 - 2020,118.0,19.0,0.16,,,,,,
,,2020 - 2021,91.0,20.0,0.22,,,,,,
,,2021 - 2022,107.0,19.0,0.18,,,,,,
,,2022 - 2023,84.0,16.0,0.19,,,,,,
,Dindigul,2000 - 2001,790.0,286.0,0.36,,,,,,
,,2003 - 2004,791.0,286.0,0.36,,,,,,
,,2005 - 2006,755.0,273.0,0.36,,,,,,
,,2006 - 2007,753.0,273.0,0.36,,,,,,
,,2007 - 2008,684.0,248.0,0.36,,,,,,
,,2008 - 2009,659.0,239.0,0.36,,,,,,
,,2009 - 2010,716.0,259.0,0.36,,,,,,
,,2011 - 2012,949.0,344.0,0.36,,,,,,
,,2013 - 2014,782.0,283.0,0.36,,,,,,
,,2014 - 2015,923.0,334.0,0.36,,,,,,
,,2015 - 2016,999.0,362.0,0.36,,,,,,
,,2016 - 2017,957.0,348.0,0.36,,,,,,
,,2017 - 2018,,362.0,0.36,,,,,,
,,2018 - 2019,959.0,347.0,0.36,,,,,,
,,2019 - 2020,,380.0,0.36,,,,,,
,,2020 - 2021,,268.0,0.22,,,,,,
,,2021 - 2022,,431.0,0.33,,,,,,
,,2022 - 2023,,478.0,0.33,,,,,,
,Erode,2000 - 2001,1.0,,0.0,,,,,,
,,2003 - 2004,1.0,,0.0,,,,,,
,,2005 - 2006,3.0,1.0,0.33,,,,,,
,,2006 - 2007,3.0,1.0,0.33,,,,,,
,,2007 - 2008,2.0,,0.0,,,,,,
,,2008 - 2009,6.0,1.0,0.17,,,,,,
,,2009 - 2010,3.0,,0.0,,,,,,
,,2011 - 2012,7.0,2.0,0.29,,,,,,
,,2013 - 2014,3.0,1.0,0.33,,,,,,
,,2014 - 2015,3.0,1.0,0.33,,,,,,
,,2015 - 2016,2.0,,0.0,,,,,,
,,2016 - 2017,1.0,,0.0,,,,,,
,,2017 - 2018,4.0,1.0,0.25,,,,,,
,,2018 - 2019,1.0,,0.0,,,,,,
,,2019 - 2020,10.0,2.0,0.2,,,,,,
,,2020 - 2021,20.0,4.0,0.2,,,,,,
,,2021 - 2022,40.0,9.0,0.23,,,,,,
,,2022 - 2023,51.0,11.0,0.22,,,,,,
,Kallakurichi,2020 - 2021,19.0,4.0,0.21,,,,,,
,,2021 - 2022,54.0,11.0,0.2,,,,,,
,,2022 - 2023,81.0,17.0,0.21,,,,,,
,Kanniyakumari,2003 - 2004,115.0,17.0,0.15,,,,,,
,,2005 - 2006,83.0,13.0,0.16,,,,,,
,,2006 - 2007,113.0,17.0,0.15,,,,,,
,,2007 - 2008,90.0,14.0,0.16,,,,,,
,,2008 - 2009,40.0,6.0,0.15,,,,,,
,,2009 - 2010,97.0,15.0,0.15,,,,,,
,,2011 - 2012,153.0,23.0,0.15,,,,,,
,,2013 - 2014,226.0,35.0,0.15,,,,,,
,,2014 - 2015,239.0,37.0,0.15,,,,,,
,,2015 - 2016,284.0,43.0,0.15,,,,,,
,,2016 - 2017,288.0,44.0,0.15,,,,,,
,,2017 - 2018,283.0,43.0,0.15,,,,,,
,,2018 - 2019,293.0,45.0,0.15,,,,,,
,,2019 - 2020,323.0,49.0,0.15,,,,,,
,,2020 - 2021,319.0,70.0,0.22,,,,,,
,,2021 - 2022,321.0,53.0,0.17,,,,,,
,,2022 - 2023,311.0,53.0,0.17,,,,,,
,Krishnagiri,2003 - 2004,2.0,,0.0,,,,,,
,,2005 - 2006,2.0,,0.0,,,,,,
,,2006 - 2007,6.0,1.0,0.17,,,,,,
,,2007 - 2008,5.0,1.0,0.2,,,,,,
,,2008 - 2009,2.0,,0.0,,,,,,
,,2009 - 2010,2.0,,0.0,,,,,,
,,2011 - 2012,2.0,,0.0,,,,,,
,,2019 - 2020,1.0,0.0,0.0,,,,,,
,,2020 - 2021,1.0,0.0,0.0,,,,,,
,,2021 - 2022,2.0,0.0,0.0,,,,,,
,Mayiladuthurai,2020 - 2021,1.0,0.0,0.0,,,,,,
,,2021 - 2022,1.0,0.0,0.0,,,,,,
,Namakkal,2000 - 2001,169.0,31.0,0.18,,,,,,
,,2003 - 2004,581.0,107.0,0.18,,,,,,
,,2005 - 2006,79.0,15.0,0.19,,,,,,
,,2006 - 2007,33.0,6.0,0.18,,,,,,
,,2007 - 2008,144.0,26.0,0.18,,,,,,
,,2008 - 2009,193.0,36.0,0.19,,,,,,
,,2009 - 2010,292.0,54.0,0.18,,,,,,
,,2011 - 2012,621.0,114.0,0.18,,,,,,
,,2013 - 2014,635.0,117.0,0.18,,,,,,
,,2014 - 2015,903.0,166.0,0.18,,,,,,
,,2015 - 2016,988.0,182.0,0.18,,,,,,
,,2016 - 2017,,247.0,0.18,,,,,,
,,2017 - 2018,,283.0,0.18,,,,,,
,,2018 - 2019,,320.0,0.18,,,,,,
,,2019 - 2020,,366.0,0.18,,,,,,
,,2020 - 2021,,514.0,0.22,,,,,,
,,2021 - 2022,,448.0,0.19,,,,,,
,,2022 - 2023,,484.0,0.19,,,,,,
,Pudukkottai,2003 - 2004,1.0,,0.0,,,,,,
,,2005 - 2006,2.0,,0.0,,,,,,
,,2006 - 2007,2.0,,0.0,,,,,,
,,2007 - 2008,1.0,,0.0,,,,,,
,,2016 - 2017,3.0,1.0,0.33,,,,,,
,,2017 - 2018,11.0,2.0,0.18,,,,,,
,,2018 - 2019,10.0,2.0,0.2,,,,,,
,,2019 - 2020,7.0,2.0,0.29,,,,,,
,,2020 - 2021,6.0,1.0,0.17,,,,,,
,,2021 - 2022,9.0,2.0,0.22,,,,,,
,,2022 - 2023,12.0,2.0,0.17,,,,,,
,Salem,2000 - 2001,12.0,2.0,0.17,,,,,,
,,2003 - 2004,19.0,3.0,0.16,,,,,,
,,2005 - 2006,25.0,5.0,0.2,,,,,,
,,2006 - 2007,20.0,4.0,0.2,,,,,,
,,2007 - 2008,44.0,8.0,0.18,,,,,,
,,2008 - 2009,53.0,10.0,0.19,,,,,,
,,2009 - 2010,71.0,13.0,0.18,,,,,,
,,2011 - 2012,816.0,150.0,0.18,,,,,,
,,2013 - 2014,813.0,150.0,0.18,,,,,,
,,2014 - 2015,841.0,155.0,0.18,,,,,,
,,2015 - 2016,838.0,154.0,0.18,,,,,,
,,2016 - 2017,,190.0,0.18,,,,,,
,,2017 - 2018,,206.0,0.18,,,,,,
,,2018 - 2019,,207.0,0.18,,,,,,
,,2019 - 2020,,213.0,0.18,,,,,,
,,2020 - 2021,,259.0,0.22,,,,,,
,,2021 - 2022,,269.0,0.19,,,,,,
,,2022 - 2023,,280.0,0.19,,,,,,
,Thanjavur,2003 - 2004,2.0,,0.0,,,,,,
,,2005 - 2006,6.0,1.0,0.17,,,,,,
,,2006 - 2007,11.0,2.0,0.18,,,,,,
,,2007 - 2008,8.0,2.0,0.25,,,,,,
,,2008 - 2009,8.0,2.0,0.25,,,,,,
,,2009 - 2010,8.0,2.0,0.25,,,,,,
,,2011 - 2012,11.0,2.0,0.18,,,,,,
,,2013 - 2014,8.0,1.0,0.13,,,,,,
,,2014 - 2015,7.0,1.0,0.14,,,,,,
,,2015 - 2016,36.0,7.0,0.19,,,,,,
,,2016 - 2017,6.0,1.0,0.17,,,,,,
,,2017 - 2018,10.0,2.0,0.2,,,,,,
,,2018 - 2019,22.0,4.0,0.18,,,,,,
,,2019 - 2020,6.0,1.0,0.17,,,,,,
,,2020 - 2021,4.0,1.0,0.25,,,,,,
,,2021 - 2022,11.0,2.0,0.18,,,,,,
,,2022 - 2023,4.0,1.0,0.25,,,,,,
