state,district,year,maize_rabi_area_hectare,maize_rabi_production_tonne,maize_rabi_yield_tonne_per_hectare,maize_kharif_area_hectare,maize_kharif_production_tonne,maize_kharif_yield_tonne_per_hectare,maize_summer_area_hectare,maize_summer_production_tonne,maize_summer_yield_tonne_per_hectare,maize_autumn_area_hectare,maize_autumn_production_tonne,maize_autumn_yield_tonne_per_hectare,maize_winter_area_hectare,maize_winter_production_tonne,maize_winter_yield_tonne_per_hectare,maize_whole_year_area_hectare,maize_whole_year_production_tonne,maize_whole_year_yield_tonne_per_hectare
,,2005 - 2006,,,,,,0.9,,,,,,,,,,,,
,,2006 - 2007,,,,,,1.15,,,,,,,,,,,,
,,2007 - 2008,,,,,,1.12,,,,,,,,,,,,
,,2008 - 2009,,,,,,1.17,,,,,,,,,,,,
,,2009 - 2010,,,,,,1.22,,,,,,,,,,,,
,,2010 - 2011,,,,,,1.3,,,,,,,,,,,,
,,2011 - 2012,,,,,,1.33,,,,,,,,,,,,
,,2012 - 2013,,,,,,0.97,,,,,,,,,,,,
,,2013 - 2014,,,,,,1.08,,,,,,,,,,,,
,,2014 - 2015,,,,,,2.48,,,,,,,,,,,,
,,2015 - 2016,,,,,,2.45,,,,,,,,,,,,
,,2016 - 2017,,,,,,2.33,,,,,,,,,,,,
,,2017 - 2018,,,,,,2.35,,,,,,,,,,,,
,,2018 - 2019,,,,,,2.36,,,,,,,,,,,,
,,2019 - 2020,,,,,,2.39,,,,,,,,,,,,
,,2020 - 2021,,,,,,2.42,,,,,,,,,,,,
,,2021 - 2022,,,,,,2.4,,,,,,,,,,,,
,,2022 - 2023,,,,,,2.4,,,,,,,,,,,,
,Changlang,2000 - 2001,,,,864.0,,1.53,,,,,,,,,,,,
,,2001 - 2002,,,,985.0,,1.5,,,,,,,,,,,,
,,2002 - 2003,,,,915.0,,1.5,,,,,,,,,,,,
,,2003 - 2004,,,,918.0,,1.56,,,,,,,,,,,,
,,2004 - 2005,,,,920.0,,1.57,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.43,,,,,,,,,,,,
,,2006 - 2007,,,,762.0,,1.58,,,,,,,,,,,,
,,2007 - 2008,,,,,,1.49,,,,,,,,,,,,
,,2008 - 2009,,,,,,1.1,,,,,,,,,,,,
,,2009 - 2010,,,,635.0,794.0,1.25,,,,,,,,,,,,
,,2010 - 2011,,,,860.0,,1.3,,,,,,,,,,,,
,,2011 - 2012,,,,887.0,,1.33,,,,,,,,,,,,
,,2012 - 2013,,,,875.0,,1.2,,,,,,,,,,,,
,,2013 - 2014,,,,880.0,,1.22,,,,,,,,,,,,
,,2014 - 2015,,,,945.0,,1.56,,,,,,,,,,,,
,,2015 - 2016,,,,990.0,,1.56,,,,,,,,,,,,
,,2016 - 2017,,,,,,1.46,,,,,,,,,,,,
,,2017 - 2018,,,,,,1.51,,,,,,,,,,,,
,,2018 - 2019,,,,,,1.53,,,,,,,,,,,,
,,2019 - 2020,,,,,,1.57,,,,,,,,,,,,
,,2020 - 2021,,,,,,1.61,,,,,,,,,,,,
,,2021 - 2022,,,,,,1.6,,,,,,,,,,,,
,,2022 - 2023,,,,,,1.6,,,,,,,,,,,,
,Dibang valley,2000 - 2001,,,,,,1.54,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.2,,,,,,,,,,,,
,,2002 - 2003,,,,936.0,389.0,0.42,,,,,,,,,,,,
,,2003 - 2004,,,,950.0,,1.1,,,,,,,,,,,,
,,2004 - 2005,,,,,,1.1,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.12,,,,,,,,,,,,
,,2006 - 2007,,,,,,0.96,,,,,,,,,,,,
,,2007 - 2008,,,,,,1.13,,,,,,,,,,,,
,,2008 - 2009,,,,,,1.15,,,,,,,,,,,,
,,2009 - 2010,,,,,,1.15,,,,,,,,,,,,
,,2010 - 2011,,,,,,1.35,,,,,,,,,,,,
,,2011 - 2012,,,,,,1.38,,,,,,,,,,,,
,,2012 - 2013,,,,,,1.42,,,,,,,,,,,,
,,2013 - 2014,,,,,,1.45,,,,,,,,,,,,
,,2014 - 2015,,,,,,1.45,,,,,,,,,,,,
,,2015 - 2016,,,,,,1.45,,,,,,,,,,,,
,,2016 - 2017,,,,,,1.4,,,,,,,,,,,,
,,2017 - 2018,,,,,,1.43,,,,,,,,,,,,
,,2018 - 2019,,,,,,1.44,,,,,,,,,,,,
,,2019 - 2020,,,,,,1.47,,,,,,,,,,,,
,,2020 - 2021,,,,,,1.48,,,,,,,,,,,,
,,2021 - 2022,,,,,,1.49,,,,,,,,,,,,
,,2022 - 2023,,,,,,1.49,,,,,,,,,,,,
,East kameng,2000 - 2001,,,,,,1.8,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.93,,,,,,,,,,,,
,,2002 - 2003,,,,,,1.75,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.34,,,,,,,,,,,,
,,2004 - 2005,,,,,,1.74,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.39,,,,,,,,,,,,
,,2006 - 2007,,,,,,0.81,,,,,,,,,,,,
,,2007 - 2008,,,,,,1.28,,,,,,,,,,,,
,,2008 - 2009,,,,,,1.29,,,,,,,,,,,,
,,2009 - 2010,,,,,,1.3,,,,,,,,,,,,
,,2010 - 2011,,,,,,1.31,,,,,,,,,,,,
,,2011 - 2012,,,,,,1.35,,,,,,,,,,,,
,,2012 - 2013,,,,,,1.38,,,,,,,,,,,,
,,2013 - 2014,,,,,,1.38,,,,,,,,,,,,
,,2014 - 2015,,,,,,1.5,,,,,,,,,,,,
,,2015 - 2016,,,,,,1.5,,,,,,,,,,,,
,,2016 - 2017,,,,,,1.46,,,,,,,,,,,,
,,2017 - 2018,,,,,,1.48,,,,,,,,,,,,
,,2018 - 2019,,,,,,1.49,,,,,,,,,,,,
,,2019 - 2020,,,,,,1.5,,,,,,,,,,,,
,,2020 - 2021,,,,,,1.52,,,,,,,,,,,,
,,2021 - 2022,,,,,,1.52,,,,,,,,,,,,
,,2022 - 2023,,,,,,1.53,,,,,,,,,,,,
,East siang,2000 - 2001,,,,,,1.92,,,,,,,,,,,,
,,2001 - 2002,,,,800.0,,1.25,,,,,,,,,,,,
,,2002 - 2003,,,,,,1.93,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.97,,,,,,,,,,,,
,,2004 - 2005,,,,,,1.96,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.96,,,,,,,,,,,,
,,2006 - 2007,,,,,,2.24,,,,,,,,,,,,
,,2007 - 2008,,,,,,1.84,,,,,,,,,,,,
,,2008 - 2009,,,,,,2.24,,,,,,,,,,,,
,,2009 - 2010,,,,,,2.56,,,,,,,,,,,,
,,2010 - 2011,,,,,,2.56,,,,,,,,,,,,
,,2011 - 2012,,,,,,2.63,,,,,,,,,,,,
,,2012 - 2013,,,,,,2.0,,,,,,,,,,,,
,,2013 - 2014,,,,,,1.97,,,,,,,,,,,,
,,2014 - 2015,,,,,,2.03,,,,,,,,,,,,
,,2015 - 2016,,,,,,2.0,,,,,,,,,,,,
,,2016 - 2017,,,,,,1.96,,,,,,,,,,,,
,,2017 - 2018,,,,,,1.97,,,,,,,,,,,,
,,2018 - 2019,,,,,,1.98,,,,,,,,,,,,
,,2019 - 2020,,,,,,2.0,,,,,,,,,,,,
,,2020 - 2021,,,,,,2.02,,,,,,,,,,,,
,,2021 - 2022,,,,,,2.02,,,,,,,,,,,,
,,2022 - 2023,,,,,,2.02,,,,,,,,,,,,
,Kamle,2018 - 2019,,,,507.0,998.0,1.97,,,,,,,,,,,,
,,2019 - 2020,,,,511.0,,2.06,,,,,,,,,,,,
,,2020 - 2021,,,,513.0,,2.13,,,,,,,,,,,,
,,2021 - 2022,,,,543.0,,2.1,,,,,,,,,,,,
,,2022 - 2023,,,,565.0,,2.1,,,,,,,,,,,,
,Kra daadi,2015 - 2016,,,,206.0,299.0,1.45,,,,,,,,,,,,
,,2016 - 2017,,,,281.0,310.0,1.1,,,,,,,,,,,,
,,2017 - 2018,,,,306.0,398.0,1.3,,,,,,,,,,,,
,,2018 - 2019,,,,315.0,435.0,1.38,,,,,,,,,,,,
,,2019 - 2020,,,,319.0,488.0,1.53,,,,,,,,,,,,
,,2020 - 2021,,,,321.0,532.0,1.66,,,,,,,,,,,,
,,2021 - 2022,,,,326.0,538.0,1.65,,,,,,,,,,,,
,,2022 - 2023,,,,348.0,575.0,1.65,,,,,,,,,,,,
,Kurung kumey,2002 - 2003,,,,,,1.27,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.27,,,,,,,,,,,,
,,2004 - 2005,,,,,,1.27,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.27,,,,,,,,,,,,
,,2006 - 2007,,,,,,1.35,,,,,,,,,,,,
,,2007 - 2008,,,,500.0,750.0,1.5,,,,,,,,,,,,
,,2008 - 2009,,,,500.0,750.0,1.5,,,,,,,,,,,,
,,2009 - 2010,,,,500.0,750.0,1.5,,,,,,,,,,,,
,,2010 - 2011,,,,550.0,793.0,1.44,,,,,,,,,,,,
,,2011 - 2012,,,,568.0,839.0,1.48,,,,,,,,,,,,
,,2012 - 2013,,,,570.0,843.0,1.48,,,,,,,,,,,,
,,2013 - 2014,,,,134.0,197.0,1.47,,,,,,,,,,,,
,,2014 - 2015,,,,134.0,197.0,1.47,,,,,,,,,,,,
,,2015 - 2016,,,,134.0,197.0,1.47,,,,,,,,,,,,
,,2016 - 2017,,,,209.0,208.0,1.0,,,,,,,,,,,,
,,2017 - 2018,,,,234.0,296.0,1.26,,,,,,,,,,,,
,,2018 - 2019,,,,243.0,333.0,1.37,,,,,,,,,,,,
,,2019 - 2020,,,,247.0,386.0,1.56,,,,,,,,,,,,
,,2020 - 2021,,,,249.0,430.0,1.73,,,,,,,,,,,,
,,2021 - 2022,,,,254.0,437.0,1.72,,,,,,,,,,,,
,,2022 - 2023,,,,278.0,479.0,1.72,,,,,,,,,,,,
,Leparada,2019 - 2020,,,,530.0,810.0,1.53,,,,,,,,,,,,
,,2020 - 2021,,,,532.0,854.0,1.61,,,,,,,,,,,,
,,2021 - 2022,,,,572.0,958.0,1.67,,,,,,,,,,,,
,,2022 - 2023,,,,587.0,984.0,1.68,,,,,,,,,,,,
,Lohit,2000 - 2001,,,,,,1.01,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.4,,,,,,,,,,,,
,,2002 - 2003,,,,,,1.12,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.1,,,,,,,,,,,,
,,2004 - 2005,,,,,,1.1,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.14,,,,,,,,,,,,
,,2006 - 2007,,,,,,1.4,,,,,,,,,,,,
,,2007 - 2008,,,,,,1.06,,,,,,,,,,,,
,,2008 - 2009,,,,,,1.17,,,,,,,,,,,,
,,2009 - 2010,,,,,,1.2,,,,,,,,,,,,
,,2010 - 2011,,,,,,1.22,,,,,,,,,,,,
,,2011 - 2012,,,,,,1.25,,,,,,,,,,,,
,,2012 - 2013,,,,,,1.18,,,,,,,,,,,,
,,2013 - 2014,,,,,,1.2,,,,,,,,,,,,
,,2014 - 2015,,,,,,1.24,,,,,,,,,,,,
,,2015 - 2016,,,,,,1.24,,,,,,,,,,,,
,,2016 - 2017,,,,,,1.22,,,,,,,,,,,,
,,2017 - 2018,,,,,,1.23,,,,,,,,,,,,
,,2018 - 2019,,,,,,1.24,,,,,,,,,,,,
,,2019 - 2020,,,,,,1.25,,,,,,,,,,,,
,,2020 - 2021,,,,,,1.26,,,,,,,,,,,,
,,2021 - 2022,,,,,,1.26,,,,,,,,,,,,
,,2022 - 2023,,,,,,1.26,,,,,,,,,,,,
,Longding,2013 - 2014,,,,,,2.29,,,,,,,,,,,,
,,2014 - 2015,,,,,,2.45,,,,,,,,,,,,
,,2015 - 2016,,,,,,2.45,,,,,,,,,,,,
,,2016 - 2017,,,,,,2.34,,,,,,,,,,,,
,,2017 - 2018,,,,,,2.36,,,,,,,,,,,,
,,2018 - 2019,,,,,,2.37,,,,,,,,,,,,
,,2019 - 2020,,,,,,2.4,,,,,,,,,,,,
,,2020 - 2021,,,,,,2.42,,,,,,,,,,,,
,,2021 - 2022,,,,,,2.4,,,,,,,,,,,,
,,2022 - 2023,,,,,,2.4,,,,,,,,,,,,
,Lower dibang valley,2002 - 2003,,,,,,1.65,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.8,,,,,,,,,,,,
,,2004 - 2005,,,,,,1.7,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.7,,,,,,,,,,,,
,,2006 - 2007,,,,,,1.3,,,,,,,,,,,,
,,2007 - 2008,,,,,,1.3,,,,,,,,,,,,
,,2008 - 2009,,,,,,1.3,,,,,,,,,,,,
,,2009 - 2010,,,,,,1.3,,,,,,,,,,,,
,,2010 - 2011,,,,,,1.3,,,,,,,,,,,,
,,2011 - 2012,,,,,,1.33,,,,,,,,,,,,
,,2012 - 2013,,,,,,1.3,,,,,,,,,,,,
,,2013 - 2014,,,,,,1.29,,,,,,,,,,,,
,,2014 - 2015,,,,,,1.34,,,,,,,,,,,,
,,2015 - 2016,,,,,,1.34,,,,,,,,,,,,
,,2016 - 2017,,,,,,1.33,,,,,,,,,,,,
,,2017 - 2018,,,,,,1.34,,,,,,,,,,,,
,,2018 - 2019,,,,,,1.34,,,,,,,,,,,,
,,2019 - 2020,,,,,,1.35,,,,,,,,,,,,
,,2020 - 2021,,,,,,1.35,,,,,,,,,,,,
,,2021 - 2022,,,,,,1.38,,,,,,,,,,,,
,,2022 - 2023,,,,,,1.39,,,,,,,,,,,,
,Lower siang,2018 - 2019,,,,,,1.61,,,,,,,,,,,,
,,2019 - 2020,,,,,,1.63,,,,,,,,,,,,
,,2020 - 2021,,,,,,1.65,,,,,,,,,,,,
,,2021 - 2022,,,,,,1.64,,,,,,,,,,,,
,,2022 - 2023,,,,,,1.64,,,,,,,,,,,,
,Lower subansiri,2000 - 2001,,,,,,1.2,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.75,,,,,,,,,,,,
,,2002 - 2003,,,,,,1.27,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.27,,,,,,,,,,,,
,,2004 - 2005,,,,,,1.26,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.31,,,,,,,,,,,,
,,2006 - 2007,,,,,,1.31,,,,,,,,,,,,
,,2007 - 2008,,,,559.0,,2.0,,,,,,,,,,,,
,,2008 - 2009,,,,570.0,,1.97,,,,,,,,,,,,
,,2009 - 2010,,,,620.0,,1.97,,,,,,,,,,,,
,,2010 - 2011,,,,625.0,,1.97,,,,,,,,,,,,
,,2011 - 2012,,,,645.0,,2.02,,,,,,,,,,,,
,,2012 - 2013,,,,646.0,,2.02,,,,,,,,,,,,
,,2013 - 2014,,,,650.0,,2.05,,,,,,,,,,,,
,,2014 - 2015,,,,715.0,,2.43,,,,,,,,,,,,
,,2015 - 2016,,,,760.0,,2.38,,,,,,,,,,,,
,,2016 - 2017,,,,835.0,,2.18,,,,,,,,,,,,
,,2017 - 2018,,,,860.0,,2.22,,,,,,,,,,,,
,,2018 - 2019,,,,582.0,,2.21,,,,,,,,,,,,
,,2019 - 2020,,,,586.0,,2.29,,,,,,,,,,,,
,,2020 - 2021,,,,588.0,,2.36,,,,,,,,,,,,
,,2021 - 2022,,,,598.0,,2.34,,,,,,,,,,,,
,,2022 - 2023,,,,614.0,,2.34,,,,,,,,,,,,
,Namsai,2015 - 2016,,,,,,1.24,,,,,,,,,,,,
,,2016 - 2017,,,,,,1.22,,,,,,,,,,,,
,,2017 - 2018,,,,,,1.23,,,,,,,,,,,,
,,2018 - 2019,,,,,,1.24,,,,,,,,,,,,
,,2019 - 2020,,,,,,1.24,,,,,,,,,,,,
,,2020 - 2021,,,,,,1.25,,,,,,,,,,,,
,,2021 - 2022,,,,,,1.25,,,,,,,,,,,,
,,2022 - 2023,,,,,,1.25,,,,,,,,,,,,
,Pakke kessang,2019 - 2020,,,,857.0,,1.5,,,,,,,,,,,,
,,2020 - 2021,,,,859.0,,1.55,,,,,,,,,,,,
,,2021 - 2022,,,,869.0,,1.53,,,,,,,,,,,,
,,2022 - 2023,,,,883.0,,1.55,,,,,,,,,,,,
,Papum pare,2000 - 2001,,,,,,1.21,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.21,,,,,,,,,,,,
,,2002 - 2003,,,,,,1.21,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.35,,,,,,,,,,,,
,,2004 - 2005,,,,,,1.35,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.4,,,,,,,,,,,,
,,2006 - 2007,,,,,,1.8,,,,,,,,,,,,
,,2007 - 2008,,,,,,1.8,,,,,,,,,,,,
,,2008 - 2009,,,,,,1.85,,,,,,,,,,,,
,,2009 - 2010,,,,,,2.0,,,,,,,,,,,,
,,2010 - 2011,,,,,,1.9,,,,,,,,,,,,
,,2011 - 2012,,,,,,1.95,,,,,,,,,,,,
,,2012 - 2013,,,,,,2.08,,,,,,,,,,,,
,,2013 - 2014,,,,,,2.05,,,,,,,,,,,,
,,2014 - 2015,,,,,,2.2,,,,,,,,,,,,
,,2015 - 2016,,,,,,1.78,,,,,,,,,,,,
,,2016 - 2017,,,,,,1.73,,,,,,,,,,,,
,,2017 - 2018,,,,,,1.75,,,,,,,,,,,,
,,2018 - 2019,,,,,,1.75,,,,,,,,,,,,
,,2019 - 2020,,,,,,1.77,,,,,,,,,,,,
,,2020 - 2021,,,,,,1.79,,,,,,,,,,,,
,,2021 - 2022,,,,,,1.78,,,,,,,,,,,,
,,2022 - 2023,,,,,,1.78,,,,,,,,,,,,
,Shi yomi,2019 - 2020,,,,243.0,348.0,1.43,,,,,,,,,,,,
,,2020 - 2021,,,,245.0,392.0,1.6,,,,,,,,,,,,
,,2021 - 2022,,,,255.0,478.0,1.87,,,,,,,,,,,,
,,2022 - 2023,,,,294.0,553.0,1.88,,,,,,,,,,,,
,Siang,2015 - 2016,,,,,,1.77,,,,,,,,,,,,
,,2016 - 2017,,,,,,1.71,,,,,,,,,,,,
,,2017 - 2018,,,,,,1.73,,,,,,,,,,,,
,,2018 - 2019,,,,,,1.74,,,,,,,,,,,,
,,2019 - 2020,,,,,,1.76,,,,,,,,,,,,
,,2020 - 2021,,,,,,1.78,,,,,,,,,,,,
,,2021 - 2022,,,,,,1.75,,,,,,,,,,,,
,,2022 - 2023,,,,,,1.75,,,,,,,,,,,,
,Tawang,2000 - 2001,,,,875.0,,1.88,,,,,,,,,,,,
,,2001 - 2002,,,,875.0,,1.87,,,,,,,,,,,,
,,2002 - 2003,,,,880.0,,1.88,,,,,,,,,,,,
,,2003 - 2004,,,,885.0,,1.9,,,,,,,,,,,,
,,2004 - 2005,,,,883.0,,1.9,,,,,,,,,,,,
,,2005 - 2006,,,,722.0,,1.95,,,,,,,,,,,,
,,2006 - 2007,,,,710.0,,2.0,,,,,,,,,,,,
,,2007 - 2008,,,,710.0,,2.0,,,,,,,,,,,,
,,2008 - 2009,,,,700.0,,2.1,,,,,,,,,,,,
,,2009 - 2010,,,,695.0,,2.15,,,,,,,,,,,,
,,2010 - 2011,,,,700.0,,2.16,,,,,,,,,,,,
,,2011 - 2012,,,,722.0,,2.22,,,,,,,,,,,,
,,2012 - 2013,,,,800.0,,2.16,,,,,,,,,,,,
,,2013 - 2014,,,,700.0,,2.16,,,,,,,,,,,,
,,2014 - 2015,,,,765.0,,2.5,,,,,,,,,,,,
,,2015 - 2016,,,,810.0,,2.45,,,,,,,,,,,,
,,2016 - 2017,,,,885.0,,2.26,,,,,,,,,,,,
,,2017 - 2018,,,,910.0,,2.3,,,,,,,,,,,,
,,2018 - 2019,,,,919.0,,2.31,,,,,,,,,,,,
,,2019 - 2020,,,,923.0,,2.36,,,,,,,,,,,,
,,2020 - 2021,,,,925.0,,2.4,,,,,,,,,,,,
,,2021 - 2022,,,,930.0,,2.39,,,,,,,,,,,,
,,2022 - 2023,,,,950.0,,2.39,,,,,,,,,,,,
,Tirap,2000 - 2001,,,,,,1.14,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.78,,,,,,,,,,,,
,,2002 - 2003,,,,,,1.21,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.21,,,,,,,,,,,,
,,2004 - 2005,,,,,,1.21,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.21,,,,,,,,,,,,
,,2006 - 2007,,,,,,1.21,,,,,,,,,,,,
,,2007 - 2008,,,,,,1.21,,,,,,,,,,,,
,,2008 - 2009,,,,,,1.19,,,,,,,,,,,,
,,2009 - 2010,,,,,,1.25,,,,,,,,,,,,
,,2010 - 2011,,,,,,1.25,,,,,,,,,,,,
,,2011 - 2012,,,,,,1.28,,,,,,,,,,,,
,,2012 - 2013,,,,,,2.0,,,,,,,,,,,,
,,2013 - 2014,,,,,,2.2,,,,,,,,,,,,
,,2014 - 2015,,,,,,1.17,,,,,,,,,,,,
,,2015 - 2016,,,,,,1.18,,,,,,,,,,,,
,,2016 - 2017,,,,,,1.16,,,,,,,,,,,,
,,2017 - 2018,,,,,,1.17,,,,,,,,,,,,
,,2018 - 2019,,,,,,1.18,,,,,,,,,,,,
,,2019 - 2020,,,,,,1.19,,,,,,,,,,,,
,,2020 - 2021,,,,,,1.2,,,,,,,,,,,,
,,2021 - 2022,,,,,,1.2,,,,,,,,,,,,
,,2022 - 2023,,,,,,1.21,,,,,,,,,,,,
,Upper siang,2000 - 2001,,,,800.0,900.0,1.13,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.13,,,,,,,,,,,,
,,2002 - 2003,,,,950.0,,1.16,,,,,,,,,,,,
,,2003 - 2004,,,,950.0,,1.16,,,,,,,,,,,,
,,2004 - 2005,,,,,,2.0,,,,,,,,,,,,
,,2005 - 2006,,,,,,2.0,,,,,,,,,,,,
,,2006 - 2007,,,,,,2.0,,,,,,,,,,,,
,,2007 - 2008,,,,,,1.53,,,,,,,,,,,,
,,2008 - 2009,,,,,,1.2,,,,,,,,,,,,
,,2009 - 2010,,,,,,1.14,,,,,,,,,,,,
,,2010 - 2011,,,,,,1.14,,,,,,,,,,,,
,,2011 - 2012,,,,,,1.17,,,,,,,,,,,,
,,2012 - 2013,,,,,,1.18,,,,,,,,,,,,
,,2013 - 2014,,,,,,1.2,,,,,,,,,,,,
,,2014 - 2015,,,,,,1.34,,,,,,,,,,,,
,,2015 - 2016,,,,,,1.35,,,,,,,,,,,,
,,2016 - 2017,,,,,,1.3,,,,,,,,,,,,
,,2017 - 2018,,,,,,1.33,,,,,,,,,,,,
,,2018 - 2019,,,,,,1.34,,,,,,,,,,,,
,,2019 - 2020,,,,,,1.37,,,,,,,,,,,,
,,2020 - 2021,,,,,,1.39,,,,,,,,,,,,
,,2021 - 2022,,,,,,1.41,,,,,,,,,,,,
,,2022 - 2023,,,,,,1.41,,,,,,,,,,,,
,Upper subansiri,2000 - 2001,,,,995.0,,2.1,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.27,,,,,,,,,,,,
,,2002 - 2003,,,,,,1.89,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.89,,,,,,,,,,,,
,,2004 - 2005,,,,,,1.89,,,,,,,,,,,,
,,2005 - 2006,,,,977.0,981.0,1.0,,,,,,,,,,,,
,,2006 - 2007,,,,969.0,,1.12,,,,,,,,,,,,
,,2007 - 2008,,,,986.0,,1.29,,,,,,,,,,,,
,,2008 - 2009,,,,,,1.25,,,,,,,,,,,,
,,2009 - 2010,,,,928.0,,1.25,,,,,,,,,,,,
,,2010 - 2011,,,,,,1.14,,,,,,,,,,,,
,,2011 - 2012,,,,,,1.17,,,,,,,,,,,,
,,2012 - 2013,,,,,,1.2,,,,,,,,,,,,
,,2013 - 2014,,,,,,1.27,,,,,,,,,,,,
,,2014 - 2015,,,,,,1.46,,,,,,,,,,,,
,,2015 - 2016,,,,,,1.5,,,,,,,,,,,,
,,2016 - 2017,,,,,,1.42,,,,,,,,,,,,
,,2017 - 2018,,,,,,1.46,,,,,,,,,,,,
,,2018 - 2019,,,,,,1.48,,,,,,,,,,,,
,,2019 - 2020,,,,,,1.52,,,,,,,,,,,,
,,2020 - 2021,,,,,,1.56,,,,,,,,,,,,
,,2021 - 2022,,,,,,1.56,,,,,,,,,,,,
,,2022 - 2023,,,,,,1.56,,,,,,,,,,,,
,West kameng,2000 - 2001,,,,,,1.55,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.55,,,,,,,,,,,,
,,2002 - 2003,,,,,,1.55,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.55,,,,,,,,,,,,
,,2004 - 2005,,,,,,1.55,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.55,,,,,,,,,,,,
,,2006 - 2007,,,,,,1.55,,,,,,,,,,,,
,,2007 - 2008,,,,,,1.6,,,,,,,,,,,,
,,2008 - 2009,,,,,,1.61,,,,,,,,,,,,
,,2009 - 2010,,,,,,1.63,,,,,,,,,,,,
,,2010 - 2011,,,,,,1.63,,,,,,,,,,,,
,,2011 - 2012,,,,,,1.67,,,,,,,,,,,,
,,2012 - 2013,,,,,,1.69,,,,,,,,,,,,
,,2013 - 2014,,,,,,1.7,,,,,,,,,,,,
,,2014 - 2015,,,,,,1.8,,,,,,,,,,,,
,,2015 - 2016,,,,,,1.8,,,,,,,,,,,,
,,2016 - 2017,,,,,,1.76,,,,,,,,,,,,
,,2017 - 2018,,,,,,1.77,,,,,,,,,,,,
,,2018 - 2019,,,,,,1.78,,,,,,,,,,,,
,,2019 - 2020,,,,,,1.79,,,,,,,,,,,,
,,2020 - 2021,,,,,,1.8,,,,,,,,,,,,
,,2021 - 2022,,,,,,1.8,,,,,,,,,,,,
,,2022 - 2023,,,,,,1.81,,,,,,,,,,,,
,West siang,2000 - 2001,,,,,,1.21,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.08,,,,,,,,,,,,
,,2002 - 2003,,,,,,1.22,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.23,,,,,,,,,,,,
,,2004 - 2005,,,,,,1.23,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.27,,,,,,,,,,,,
,,2006 - 2007,,,,,,1.25,,,,,,,,,,,,
,,2007 - 2008,,,,,,1.25,,,,,,,,,,,,
,,2008 - 2009,,,,,,1.26,,,,,,,,,,,,
,,2009 - 2010,,,,,,0.79,,,,,,,,,,,,
,,2010 - 2011,,,,,,1.28,,,,,,,,,,,,
,,2011 - 2012,,,,,,1.31,,,,,,,,,,,,
,,2012 - 2013,,,,,,1.34,,,,,,,,,,,,
,,2013 - 2014,,,,,,1.35,,,,,,,,,,,,
,,2014 - 2015,,,,,,1.38,,,,,,,,,,,,
,,2015 - 2016,,,,,,1.38,,,,,,,,,,,,
,,2016 - 2017,,,,,,1.34,,,,,,,,,,,,
,,2017 - 2018,,,,,,1.37,,,,,,,,,,,,
,,2018 - 2019,,,,,,1.39,,,,,,,,,,,,
,,2019 - 2020,,,,568.0,813.0,1.43,,,,,,,,,,,,
,,2020 - 2021,,,,570.0,857.0,1.5,,,,,,,,,,,,
,,2021 - 2022,,,,620.0,,1.66,,,,,,,,,,,,
,,2022 - 2023,,,,643.0,,1.67,,,,,,,,,,,,
Assam,Baksa,2005 - 2006,,,,179.0,134.0,0.75,,,,,,,,,,,,
,,2006 - 2007,,,,210.0,158.0,0.75,,,,,,,,,,,,
,,2007 - 2008,,,,205.0,154.0,0.75,,,,,,,,,,,,
,,2008 - 2009,,,,197.0,148.0,0.75,,,,,,,,,,,,
,,2009 - 2010,,,,193.0,145.0,0.75,,,,,,,,,,,,
,,2010 - 2011,,,,225.0,169.0,0.75,,,,,,,,,,,,
,,2011 - 2012,,,,555.0,472.0,0.85,,,,,,,,,,,,
