state,district,year,sweet_potato_whole_year_area_hectare,sweet_potato_whole_year_production_tonne,sweet_potato_whole_year_yield_tonne_per_hectare,sweet_potato_rabi_area_hectare,sweet_potato_rabi_production_tonne,sweet_potato_rabi_yield_tonne_per_hectare,sweet_potato_kharif_area_hectare,sweet_potato_kharif_production_tonne,sweet_potato_kharif_yield_tonne_per_hectare
,,2007 - 2008,137.0,607.0,4.43,,,,,,
,,2008 - 2009,112.0,496.0,4.43,,,,,,
,,2009 - 2010,79.0,350.0,4.43,,,,,,
,,2010 - 2011,188.0,503.0,2.68,,,,,,
,,2011 - 2012,374.0,,2.67,,,,,,
,,2012 - 2013,178.0,,6.58,,,,,,
,,2013 - 2014,289.0,,8.81,,,,,,
,Raisen,2001 - 2002,59.0,293.0,4.97,,,,,,
,,2002 - 2003,56.0,278.0,4.96,,,,,,
,,2003 - 2004,41.0,222.0,5.41,,,,,,
,,2004 - 2005,50.0,271.0,5.42,,,,,,
,,2005 - 2006,34.0,184.0,5.41,,,,,,
,,2006 - 2007,47.0,255.0,5.43,,,,,,
,,2007 - 2008,39.0,211.0,5.41,,,,,,
,,2008 - 2009,29.0,157.0,5.41,,,,,,
,,2009 - 2010,28.0,152.0,5.43,,,,,,
,,2010 - 2011,9.0,35.0,3.89,,,,,,
,,2011 - 2012,15.0,97.0,6.47,,,,,,
,,2012 - 2013,64.0,292.0,4.56,,,,,,
,,2013 - 2014,49.0,288.0,5.88,,,,,,
,Rajgarh,2001 - 2002,118.0,629.0,5.33,,,,,,
,,2002 - 2003,97.0,447.0,4.61,,,,,,
,,2003 - 2004,90.0,512.0,5.69,,,,,,
,,2004 - 2005,154.0,946.0,6.14,,,,,,
,,2005 - 2006,154.0,905.0,5.88,,,,,,
,,2006 - 2007,116.0,744.0,6.41,,,,,,
,,2007 - 2008,167.0,,6.78,,,,,,
,,2008 - 2009,163.0,,6.87,,,,,,
,,2009 - 2010,139.0,954.0,6.86,,,,,,
,,2010 - 2011,134.0,794.0,5.93,,,,,,
,,2011 - 2012,129.0,815.0,6.32,,,,,,
,,2012 - 2013,118.0,,9.48,,,,,,
,,2013 - 2014,143.0,,8.53,,,,,,
,,2015 - 2016,131.0,,9.04,,,,,,
,,2016 - 2017,145.0,,26.2,,,,,,
,,2017 - 2018,170.0,,25.0,,,,,,
,,2018 - 2019,180.0,,25.0,,,,,,
,,2019 - 2020,218.0,,25.0,,,,,,
,Ratlam,2001 - 2002,34.0,246.0,7.24,,,,,,
,,2002 - 2003,34.0,281.0,8.26,,,,,,
,,2003 - 2004,41.0,339.0,8.27,,,,,,
,,2004 - 2005,77.0,636.0,8.26,,,,,,
,,2005 - 2006,70.0,405.0,5.79,,,,,,
,,2006 - 2007,75.0,503.0,6.71,,,,,,
,,2007 - 2008,88.0,655.0,7.44,,,,,,
,,2008 - 2009,50.0,414.0,8.28,,,,,,
,,2009 - 2010,30.0,217.0,7.23,,,,,,
,,2010 - 2011,49.0,289.0,5.9,,,,,,
,,2011 - 2012,24.0,144.0,6.0,,,,,,
,,2012 - 2013,98.0,901.0,9.19,,,,,,
,,2013 - 2014,27.0,255.0,9.44,,,,,,
,,2015 - 2016,242.0,,8.55,,,,,,
,,2016 - 2017,265.0,,6.5,,,,,,
,,2017 - 2018,265.0,,6.69,,,,,,
,,2018 - 2019,222.0,,8.92,,,,,,
,,2019 - 2020,228.0,,7.41,,,,,,
,Rewa,2001 - 2002,6.0,32.0,5.33,,,,,,
,,2002 - 2003,16.0,85.0,5.31,,,,,,
,,2003 - 2004,12.0,64.0,5.33,,,,,,
,,2004 - 2005,6.0,32.0,5.33,,,,,,
,,2005 - 2006,4.0,25.0,6.25,,,,,,
,,2006 - 2007,8.0,51.0,6.38,,,,,,
,,2007 - 2008,12.0,79.0,6.58,,,,,,
,,2008 - 2009,10.0,66.0,6.6,,,,,,
,,2009 - 2010,10.0,60.0,6.0,,,,,,
,,2010 - 2011,21.0,97.0,4.62,,,,,,
,,2011 - 2012,102.0,549.0,5.38,,,,,,
,,2012 - 2013,1.0,6.0,6.0,,,,,,
,,2013 - 2014,9.0,40.0,4.44,,,,,,
,Sagar,2001 - 2002,142.0,642.0,4.52,,,,,,
,,2002 - 2003,110.0,497.0,4.52,,,,,,
,,2003 - 2004,122.0,606.0,4.97,,,,,,
,,2004 - 2005,219.0,,4.97,,,,,,
,,2005 - 2006,150.0,750.0,5.0,,,,,,
,,2006 - 2007,131.0,691.0,5.27,,,,,,
,,2007 - 2008,123.0,615.0,5.0,,,,,,
,,2008 - 2009,138.0,615.0,4.46,,,,,,
,,2009 - 2010,90.0,450.0,5.0,,,,,,
,,2010 - 2011,155.0,444.0,2.86,,,,,,
,,2011 - 2012,412.0,,4.77,,,,,,
,,2012 - 2013,118.0,409.0,3.47,,,,,,
,,2013 - 2014,80.0,429.0,5.36,,,,,,
,,2016 - 2017,100.0,,30.0,,,,,,
,,2017 - 2018,200.0,,30.0,,,,,,
,,2018 - 2019,214.0,,29.6,,,,,,
,,2019 - 2020,238.7,,29.53,,,,,,
,Satna,2001 - 2002,11.0,60.0,5.45,,,,,,
,,2002 - 2003,21.0,112.0,5.33,,,,,,
,,2003 - 2004,22.0,129.0,5.86,,,,,,
,,2004 - 2005,19.0,111.0,5.84,,,,,,
,,2005 - 2006,19.0,130.0,6.84,,,,,,
,,2006 - 2007,14.0,77.0,5.5,,,,,,
,,2007 - 2008,26.0,127.0,4.88,,,,,,
,,2008 - 2009,33.0,143.0,4.33,,,,,,
,,2009 - 2010,84.0,519.0,6.18,,,,,,
,,2010 - 2011,90.0,344.0,3.82,,,,,,
,,2011 - 2012,66.0,309.0,4.68,,,,,,
,,2012 - 2013,49.0,259.0,5.29,,,,,,
,,2013 - 2014,56.0,356.0,6.36,,,,,,
,Sehore,2001 - 2002,66.0,394.0,5.97,,,,,,
,,2002 - 2003,46.0,299.0,6.5,,,,,,
,,2003 - 2004,50.0,325.0,6.5,,,,,,
,,2004 - 2005,49.0,319.0,6.51,,,,,,
,,2005 - 2006,72.0,469.0,6.51,,,,,,
,,2006 - 2007,61.0,396.0,6.49,,,,,,
,,2007 - 2008,55.0,376.0,6.84,,,,,,
,,2008 - 2009,37.0,241.0,6.51,,,,,,
,,2009 - 2010,30.0,309.0,10.3,,,,,,
,,2010 - 2011,32.0,170.0,5.31,,,,,,
,,2011 - 2012,34.0,255.0,7.5,,,,,,
,,2012 - 2013,33.0,262.0,7.94,,,,,,
,,2013 - 2014,37.0,294.0,7.95,,,,,,
,,2015 - 2016,100.0,,30.0,,,,,,
,,2016 - 2017,100.0,,19.58,,,,,,
,,2017 - 2018,120.0,,30.0,,,,,,
,,2018 - 2019,120.0,,30.0,,,,,,
,,2019 - 2020,150.0,,30.0,,,,,,
,Seoni,2001 - 2002,11.0,70.0,6.36,,,,,,
,,2002 - 2003,14.0,82.0,5.86,,,,,,
,,2003 - 2004,6.0,38.0,6.33,,,,,,
,,2004 - 2005,16.0,101.0,6.31,,,,,,
,,2005 - 2006,30.0,176.0,5.87,,,,,,
,,2006 - 2007,19.0,120.0,6.32,,,,,,
,,2007 - 2008,13.0,82.0,6.31,,,,,,
,,2008 - 2009,5.0,32.0,6.4,,,,,,
,,2009 - 2010,4.0,25.0,6.25,,,,,,
,,2010 - 2011,3.0,16.0,5.33,,,,,,
,,2011 - 2012,6.0,32.0,5.33,,,,,,
,,2012 - 2013,24.0,152.0,6.33,,,,,,
,,2013 - 2014,17.0,184.0,10.82,,,,,,
,,2015 - 2016,29.5,528.5,17.92,,,,,,
,,2016 - 2017,39.0,728.0,18.67,,,,,,
,,2017 - 2018,40.0,745.0,18.63,,,,,,
,,2018 - 2019,42.0,784.6,18.68,,,,,,
,,2019 - 2020,43.0,805.0,18.72,,,,,,
,Shahdol,2001 - 2002,195.0,987.0,5.06,,,,,,
,,2002 - 2003,208.0,,4.97,,,,,,
,,2003 - 2004,212.0,,4.97,,,,,,
,,2004 - 2005,183.0,827.0,4.52,,,,,,
,,2005 - 2006,194.0,876.0,4.52,,,,,,
,,2006 - 2007,238.0,,4.52,,,,,,
,,2007 - 2008,182.0,822.0,4.52,,,,,,
,,2008 - 2009,171.0,773.0,4.52,,,,,,
,,2009 - 2010,163.0,810.0,4.97,,,,,,
,,2010 - 2011,216.0,672.0,3.11,,,,,,
,,2011 - 2012,217.0,724.0,3.34,,,,,,
,,2012 - 2013,261.0,,6.86,,,,,,
,,2013 - 2014,315.0,,6.19,,,,,,
,,2015 - 2016,142.0,,15.01,,,,,,
,,2016 - 2017,171.0,,16.12,,,,,,
,,2017 - 2018,167.0,,13.36,,,,,,
,,2018 - 2019,168.0,,13.32,,,,,,
,,2019 - 2020,265.0,,13.32,,,,,,
,Shajapur,2001 - 2002,57.0,321.0,5.63,,,,,,
,,2002 - 2003,52.0,276.0,5.31,,,,,,
,,2003 - 2004,58.0,401.0,6.91,,,,,,
,,2004 - 2005,69.0,462.0,6.7,,,,,,
,,2005 - 2006,65.0,435.0,6.69,,,,,,
,,2006 - 2007,81.0,603.0,7.44,,,,,,
,,2007 - 2008,91.0,677.0,7.44,,,,,,
,,2008 - 2009,69.0,440.0,6.38,,,,,,
,,2009 - 2010,63.0,469.0,7.44,,,,,,
,,2010 - 2011,43.0,293.0,6.81,,,,,,
,,2011 - 2012,65.0,388.0,5.97,,,,,,
,,2012 - 2013,42.0,282.0,6.71,,,,,,
,Sheopur,2002 - 2003,2.0,9.0,4.5,,,,,,
,Shivpuri,2001 - 2002,7.0,43.0,6.14,,,,,,
,,2002 - 2003,5.0,28.0,5.6,,,,,,
,,2003 - 2004,4.0,23.0,5.75,,,,,,
,,2004 - 2005,12.0,78.0,6.5,,,,,,
,,2005 - 2006,3.0,17.0,5.67,,,,,,
,,2006 - 2007,9.0,55.0,6.11,,,,,,
,,2007 - 2008,9.0,55.0,6.11,,,,,,
,,2008 - 2009,20.0,132.0,6.6,,,,,,
,,2009 - 2010,15.0,99.0,6.6,,,,,,
,,2010 - 2011,70.0,314.0,4.49,,,,,,
,,2011 - 2012,141.0,633.0,4.49,,,,,,
,,2012 - 2013,141.0,698.0,4.95,,,,,,
,,2013 - 2014,101.0,645.0,6.39,,,,,,
,,2017 - 2018,285.0,,20.0,,,,,,
,,2018 - 2019,295.0,,20.0,,,,,,
,,2019 - 2020,305.0,,19.34,,,,,,
,Sidhi,2001 - 2002,119.0,754.0,6.34,,,,,,
,,2002 - 2003,116.0,735.0,6.34,,,,,,
,,2003 - 2004,161.0,889.0,5.52,,,,,,
,,2004 - 2005,124.0,714.0,5.76,,,,,,
,,2005 - 2006,172.0,990.0,5.76,,,,,,
,,2006 - 2007,207.0,,5.75,,,,,,
,,2007 - 2008,166.0,955.0,5.75,,,,,,
,,2008 - 2009,15.0,106.0,7.07,,,,,,
,,2009 - 2010,15.0,95.0,6.33,,,,,,
,,2010 - 2011,20.0,75.0,3.75,,,,,,
,,2011 - 2012,36.0,139.0,3.86,,,,,,
,,2012 - 2013,19.0,124.0,6.53,,,,,,
,,2013 - 2014,13.0,93.0,7.15,,,,,,
,Singrauli,2008 - 2009,185.0,,7.05,,,,,,
,,2009 - 2010,224.0,,7.04,,,,,,
,,2010 - 2011,206.0,,5.52,,,,,,
,,2011 - 2012,187.0,826.0,4.42,,,,,,
,,2012 - 2013,216.0,,5.52,,,,,,
,,2013 - 2014,172.0,877.0,5.1,,,,,,
,,2015 - 2016,110.0,,16.6,,,,,,
,,2016 - 2017,112.0,,16.7,,,,,,
,,2017 - 2018,117.0,,16.7,,,,,,
,,2018 - 2019,120.0,,17.0,,,,,,
,,2019 - 2020,198.0,,17.25,,,,,,
,Tikamgarh,2001 - 2002,457.0,,6.41,,,,,,
,,2002 - 2003,476.0,,6.29,,,,,,
,,2003 - 2004,478.0,,5.72,,,,,,
,,2004 - 2005,684.0,,5.72,,,,,,
,,2005 - 2006,570.0,,5.72,,,,,,
,,2006 - 2007,503.0,,5.72,,,,,,
,,2007 - 2008,328.0,,5.73,,,,,,
,,2008 - 2009,293.0,,6.3,,,,,,
,,2009 - 2010,275.0,,6.29,,,,,,
,,2010 - 2011,374.0,,3.59,,,,,,
,,2011 - 2012,345.0,,3.81,,,,,,
,,2012 - 2013,387.0,,4.24,,,,,,
,,2013 - 2014,509.0,,4.69,,,,,,
,,2015 - 2016,542.0,,15.0,,,,,,
,,2016 - 2017,597.0,,15.0,,,,,,
,,2017 - 2018,601.0,,15.0,,,,,,
,,2018 - 2019,691.0,,15.0,,,,,,
,,2019 - 2020,746.0,,15.0,,,,,,
,Ujjain,2001 - 2002,13.0,54.0,4.15,,,,,,
,,2002 - 2003,9.0,40.0,4.44,,,,,,
,,2003 - 2004,32.0,232.0,7.25,,,,,,
,,2004 - 2005,32.0,235.0,7.34,,,,,,
,,2005 - 2006,26.0,191.0,7.35,,,,,,
,,2006 - 2007,26.0,197.0,7.58,,,,,,
,,2007 - 2008,13.0,97.0,7.46,,,,,,
,,2008 - 2009,8.0,55.0,6.88,,,,,,
,,2009 - 2010,7.0,49.0,7.0,,,,,,
,,2010 - 2011,73.0,396.0,5.42,,,,,,
,,2011 - 2012,7.0,43.0,6.14,,,,,,
,,2013 - 2014,1.0,7.0,7.0,,,,,,
,,2015 - 2016,10.0,182.4,18.24,,,,,,
,,2016 - 2017,64.0,,18.24,,,,,,
,,2017 - 2018,78.0,,18.6,,,,,,
,,2018 - 2019,82.29,,18.2,,,,,,
,,2019 - 2020,86.4,,18.3,,,,,,
,Umaria,2001 - 2002,124.0,650.0,5.24,,,,,,
,,2002 - 2003,147.0,730.0,4.97,,,,,,
,,2003 - 2004,157.0,851.0,5.42,,,,,,
,,2004 - 2005,132.0,740.0,5.61,,,,,,
,,2005 - 2006,130.0,764.0,5.88,,,,,,
,,2006 - 2007,152.0,701.0,4.61,,,,,,
,,2007 - 2008,142.0,654.0,4.61,,,,,,
,,2008 - 2009,153.0,719.0,4.7,,,,,,
,,2009 - 2010,132.0,656.0,4.97,,,,,,
,,2010 - 2011,119.0,398.0,3.34,,,,,,
,,2011 - 2012,129.0,447.0,3.47,,,,,,
,,2012 - 2013,141.0,764.0,5.42,,,,,,
,,2013 - 2014,129.0,,8.4,,,,,,
,,2017 - 2018,190.0,,10.0,,,,,,
,,2018 - 2019,200.0,,10.0,,,,,,
,,2019 - 2020,220.0,,10.0,,,,,,
,Vidisha,2001 - 2002,7.0,38.0,5.43,,,,,,
,,2002 - 2003,9.0,48.0,5.33,,,,,,
,,2003 - 2004,3.0,16.0,5.33,,,,,,
,,2004 - 2005,3.0,19.0,6.33,,,,,,
,,2005 - 2006,32.0,183.0,5.72,,,,,,
,,2006 - 2007,4.0,23.0,5.75,,,,,,
,,2007 - 2008,12.0,70.0,5.83,,,,,,
,,2008 - 2009,7.0,37.0,5.29,,,,,,
,,2009 - 2010,25.0,132.0,5.28,,,,,,
,,2010 - 2011,18.0,85.0,4.72,,,,,,
,,2012 - 2013,26.0,213.0,8.19,,,,,,
,,2013 - 2014,40.0,317.0,7.93,,,,,,
,,2015 - 2016,1.0,10.0,10.0,,,,,,
,,2016 - 2017,18.0,212.0,11.78,,,,,,
,,2017 - 2018,18.0,212.0,11.78,,,,,,
,,2018 - 2019,18.0,212.0,11.78,,,,,,
,,2019 - 2020,18.0,212.0,11.78,,,,,,
Manipur,Bishnupur,2003 - 2004,12.0,79.0,6.58,,,,,,
,Chandel,2002 - 2003,105.0,720.0,6.86,,,,,,
,,2003 - 2004,10.0,66.0,6.6,,,,,,
,Churachandpur,2002 - 2003,5.0,25.0,5.0,,,,,,
,,2003 - 2004,15.0,99.0,6.6,,,,,,
,Imphal east,2003 - 2004,2.0,13.0,6.5,,,,,,
,Imphal west,2002 - 2003,8.0,22.0,2.75,,,,,,
,,2003 - 2004,15.0,99.0,6.6,,,,,,
,Senapati,2000 - 2001,50.0,180.0,3.6,,,,,,
,,2001 - 2002,10.0,40.0,4.0,,,,,,
,,2003 - 2004,8.0,53.0,6.63,,,,,,
,,2004 - 2005,130.0,460.0,3.54,,,,,,
,Tamenglong,2003 - 2004,20.0,132.0,6.6,,,,,,
,Thoubal,2002 - 2003,4.0,20.0,5.0,,,,,,
,,2003 - 2004,5.0,33.0,6.6,,,,,,
,Ukhrul,2003 - 2004,15.0,99.0,6.6,,,,,,
,,2007 - 2008,450.0,,3.51,,,,,,
Meghalaya,East garo hills,2000 - 2001,260.0,810.0,3.12,,,,,,
,,2001 - 2002,260.0,810.0,3.12,,,,,,
,,2002 - 2003,258.0,804.0,3.12,,,,,,
,,2003 - 2004,261.0,814.0,3.12,,,,,,
,,2004 - 2005,267.0,832.0,3.12,,,,267.0,832.0,3.12
,,2005 - 2006,270.0,828.0,3.07,,,,,,
,,2006 - 2007,,,,267.0,832.0,3.12,,,
,,2008 - 2009,260.0,810.0,3.12,,,,,,
,,2009 - 2010,,,,,,,264.0,823.0,3.12
,,2010 - 2011,,,,,,,277.0,863.0,3.12
,,2011 - 2012,,,,,,,280.0,874.0,3.12
,,2012 - 2013,,,,,,,298.0,969.0,3.25
,,2013 - 2014,,,,,,,217.0,719.0,3.31
,,2014 - 2015,,,,,,,218.0,722.0,3.31
,,2015 - 2016,,,,,,,220.0,755.0,3.43
,,2016 - 2017,,,,,,,225.0,822.0,3.65
,,2017 - 2018,,,,,,,228.0,833.0,3.65
,,2018 - 2019,,,,,,,229.0,837.0,3.66
,,2019 - 2020,,,,,,,230.0,841.0,3.66
,,2020 - 2021,,,,,,,231.0,845.0,3.66
,,2021 - 2022,,,,,,,232.0,849.0,3.66
,,2022 - 2023,,,,,,,232.0,849.0,3.66
,East jaintia hills,2000 - 2001,,,2.92,,,,,,
,,2001 - 2002,,,2.91,,,,,,
,,2002 - 2003,,,2.91,,,,,,
,,2003 - 2004,,,2.91,,,,,,
,,2004 - 2005,,,2.91,,,,,,2.91
,,2005 - 2006,,,2.93,,,,,,
,,2006 - 2007,,,,,,2.91,,,
,,2008 - 2009,,,2.85,,,,,,
,,2009 - 2010,,,,,,,,,2.73
,,2010 - 2011,,,,,,,,,2.7
,,2011 - 2012,,,,,,,,,2.7
,,2012 - 2013,,,,,,,,,2.78
,,2013 - 2014,,,,,,,178.0,501.0,2.81
,,2014 - 2015,,,,,,,181.0,531.0,2.93
,,2015 - 2016,,,,,,,182.0,546.0,3.0
,,2016 - 2017,,,,,,,187.0,598.0,3.2
,,2017 - 2018,,,,,,,189.0,605.0,3.2
,,2018 - 2019,,,,,,,190.0,609.0,3.21
,,2019 - 2020,,,,,,,191.0,613.0,3.21
,,2020 - 2021,,,,,,,192.0,617.0,3.21
,,2021 - 2022,,,,,,,193.0,621.0,3.22
,,2022 - 2023,,,,,,,193.0,621.0,3.22
,East khasi hills,2000 - 2001,892.0,,3.87,,,,,,
,,2001 - 2002,706.0,,4.2,,,,,,
,,2002 - 2003,718.0,,4.34,,,,,,
,,2003 - 2004,651.0,,3.96,,,,,,
,,2004 - 2005,681.0,,3.76,,,,681.0,,3.76
,,2005 - 2006,679.0,,3.86,,,,,,
,,2006 - 2007,,,,669.0,,3.94,,,
,,2008 - 2009,662.0,,3.93,,,,,,
,,2009 - 2010,,,,,,,661.0,,3.95
,,2010 - 2011,,,,,,,663.0,,3.94
,,2011 - 2012,,,,,,,664.0,,3.95
,,2012 - 2013,,,,,,,708.0,,4.07
,,2013 - 2014,,,,,,,715.0,,4.18
,,2014 - 2015,,,,,,,723.0,,4.31
,,2015 - 2016,,,,,,,726.0,,4.36
,,2016 - 2017,,,,,,,742.0,,1.48
,,2017 - 2018,,,,,,,745.0,,1.48
,,2018 - 2019,,,,,,,746.0,,1.48
,,2019 - 2020,,,,,,,747.0,,1.48
,,2020 - 2021,,,,,,,748.0,,1.49
,,2021 - 2022,,,,,,,749.0,,1.49
,,2022 - 2023,,,,,,,749.0,,1.49
,North garo hills,2013 - 2014,,,,,,,84.0,285.0,3.39
,,2014 - 2015,,,,,,,85.0,288.0,3.39
,,2015 - 2016,,,,,,,85.0,294.0,3.46
,,2016 - 2017,,,,,,,88.0,324.0,3.68
,,2017 - 2018,,,,,,,89.0,328.0,3.69
,,2018 - 2019,,,,,,,90.0,332.0,3.69
,,2019 - 2020,,,,,,,91.0,336.0,3.69
,,2020 - 2021,,,,,,,92.0,340.0,3.7
,,2021 - 2022,,,,,,,93.0,344.0,3.7
,,2022 - 2023,,,,,,,93.0,344.0,3.7
,Ri bhoi,2000 - 2001,141.0,519.0,3.68,,,,,,
,,2001 - 2002,141.0,512.0,3.63,,,,,,
,,2002 - 2003,144.0,520.0,3.61,,,,,,
,,2003 - 2004,145.0,522.0,3.6,,,,,,
,,2004 - 2005,157.0,566.0,3.61,,,,157.0,566.0,3.61
,,2005 - 2006,156.0,580.0,3.72,,,,,,
,,2006 - 2007,,,,151.0,330.0,2.19,,,
,,2008 - 2009,144.0,829.0,5.76,,,,,,
,,2009 - 2010,,,,,,,143.0,830.0,5.8
,,2010 - 2011,,,,,,,144.0,835.0,5.8
,,2011 - 2012,,,,,,,146.0,851.0,5.83
,,2012 - 2013,,,,,,,155.0,933.0,6.02
,,2013 - 2014,,,,,,,156.0,968.0,6.21
,,2014 - 2015,,,,,,,158.0,973.0,6.16
,,2015 - 2016,,,,,,,159.0,,6.3
,,2016 - 2017,,,,,,,162.0,,6.79
,,2017 - 2018,,,,,,,164.0,,6.79
,,2018 - 2019,,,,,,,165.0,,6.79
,,2019 - 2020,,,,,,,166.0,,6.8
,,2020 - 2021,,,,,,,167.0,,6.8
,,2021 - 2022,,,,,,,168.0,,6.8
,,2022 - 2023,,,,,,,168.0,,6.8
,South garo hills,2000 - 2001,120.0,394.0,3.28,,,,,,
,,2001 - 2002,125.0,410.0,3.28,,,,,,
,,2002 - 2003,122.0,398.0,3.26,,,,,,
,,2003 - 2004,127.0,414.0,3.26,,,,,,
,,2004 - 2005,134.0,437.0,3.26,,,,134.0,437.0,3.26
,,2005 - 2006,133.0,449.0,3.38,,,,,,
,,2006 - 2007,,,,133.0,448.0,3.37,,,
,,2008 - 2009,131.0,436.0,3.33,,,,,,
,,2009 - 2010,,,,,,,133.0,449.0,3.38
,,2010 - 2011,,,,,,,134.0,452.0,3.37
,,2011 - 2012,,,,,,,135.0,456.0,3.38
,,2012 - 2013,,,,,,,143.0,497.0,3.48
,,2013 - 2014,,,,,,,144.0,514.0,3.57
,,2014 - 2015,,,,,,,146.0,519.0,3.55
,,2015 - 2016,,,,,,,147.0,534.0,3.63
,,2016 - 2017,,,,,,,149.0,584.0,3.92
,,2017 - 2018,,,,,,,150.0,588.0,3.92
,,2018 - 2019,,,,,,,151.0,592.0,3.92
,,2019 - 2020,,,,,,,152.0,596.0,3.92
,,2020 - 2021,,,,,,,153.0,600.0,3.92
,,2021 - 2022,,,,,,,154.0,604.0,3.92
,,2022 - 2023,,,,,,,155.0,608.0,3.92
,South west garo hills,2013 - 2014,,,,,,,191.0,695.0,3.64
,,2014 - 2015,,,,,,,193.0,701.0,3.63
,,2015 - 2016,,,,,,,194.0,724.0,3.73
,,2016 - 2017,,,,,,,197.0,773.0,3.92
,,2017 - 2018,,,,,,,199.0,781.0,3.92
,,2018 - 2019,,,,,,,200.0,785.0,3.93
,,2019 - 2020,,,,,,,201.0,789.0,3.93
,,2020 - 2021,,,,,,,202.0,793.0,3.93
,,2021 - 2022,,,,,,,203.0,797.0,3.93
,,2022 - 2023,,,,,,,204.0,801.0,3.93
,South west khasi hills,2013 - 2014,,,,,,,289.0,904.0,3.13
,,2014 - 2015,,,,,,,294.0,964.0,3.28
,,2015 - 2016,,,,,,,296.0,987.0,3.33
,,2016 - 2017,,,,,,,320.0,,3.3
,,2017 - 2018,,,,,,,324.0,,3.3
,,2018 - 2019,,,,,,,325.0,,3.3
,,2019 - 2020,,,,,,,326.0,,3.31
,,2020 - 2021,,,,,,,327.0,,3.31
,,2021 - 2022,,,,,,,328.0,,3.31
,,2022 - 2023,,,,,,,328.0,,3.31
,West garo hills,2000 - 2001,479.0,,3.33,,,,,,
,,2001 - 2002,486.0,,3.32,,,,,,
,,2002 - 2003,482.0,,3.32,,,,,,
,,2003 - 2004,487.0,,3.32,,,,,,
,,2004 - 2005,502.0,,3.32,,,,502.0,,3.32
,,2005 - 2006,506.0,,3.3,,,,,,
,,2006 - 2007,,,,507.0,,3.3,,,
,,2008 - 2009,512.0,,3.33,,,,,,
,,2009 - 2010,,,,,,,506.0,,3.33
,,2010 - 2011,,,,,,,515.0,,3.19
,,2011 - 2012,,,,,,,538.0,,3.2
,,2012 - 2013,,,,,,,574.0,,3.3
,,2013 - 2014,,,,,,,389.0,,3.28
,,2014 - 2015,,,,,,,390.0,,3.28
,,2015 - 2016,,,,,,,393.0,,3.35
,,2016 - 2017,,,,,,,404.0,,3.68
,,2017 - 2018,,,,,,,406.0,,3.68
,,2018 - 2019,,,,,,,407.0,,3.68
,,2019 - 2020,,,,,,,408.0,,3.68
,,2020 - 2021,,,,,,,409.0,,3.68
,,2021 - 2022,,,,,,,410.0,,3.68
,,2022 - 2023,,,,,,,410.0,,3.68
,West jaintia hills,2013 - 2014,,,,,,,985.0,,2.87
,,2014 - 2015,,,,,,,995.0,,2.95
,,2015 - 2016,,,,,,,999.0,,2.98
,,2016 - 2017,,,,,,,,,3.14
,,2017 - 2018,,,,,,,,,3.14
,,2018 - 2019,,,,,,,,,3.14
,,2019 - 2020,,,,,,,,,3.14
,,2020 - 2021,,,,,,,,,3.14
,,2021 - 2022,,,,,,,,,3.14
,,2022 - 2023,,,,,,,,,3.14
,West khasi hills,2000 - 2001,,,3.82,,,,,,
,,2001 - 2002,,,3.67,,,,,,
,,2002 - 2003,,,3.38,,,,,,
,,2003 - 2004,,,3.6,,,,,,
,,2004 - 2005,,,3.49,,,,,,3.49
,,2005 - 2006,,,3.48,,,,,,
,,2006 - 2007,,,,,,3.84,,,
,,2008 - 2009,,,3.22,,,,,,
,,2009 - 2010,,,,,,,,,2.97
,,2010 - 2011,,,,,,,,,2.97
,,2011 - 2012,,,,,,,,,3.23
,,2012 - 2013,,,,,,,,,3.32
,,2013 - 2014,,,,,,,,,3.5
,,2014 - 2015,,,,,,,,,3.59
,,2015 - 2016,,,,,,,,,3.59
,,2016 - 2017,,,,,,,,,3.83
,,2017 - 2018,,,,,,,,,3.87
,,2018 - 2019,,,,,,,,,3.87
,,2019 - 2020,,,,,,,,,3.87
,,2020 - 2021,,,,,,,,,3.87
,,2021 - 2022,,,,,,,,,3.87
,,2022 - 2023,,,,,,,,,3.87
Nagaland,Chumoukedima,2022 - 2023,,,,,,,51.0,488.0,9.57
,Dimapur,2011 - 2012,,,,,,,90.0,760.0,8.44
,,2012 - 2013,,,,,,,110.0,940.0,8.55
,,2013 - 2014,,,,,,,120.0,,8.5
,,2014 - 2015,,,,,,,120.0,,8.5
,,2015 - 2016,,,,,,,120.0,,8.5
,,2016 - 2017,,,,,,,140.0,,8.5
,,2017 - 2018,,,,,,,140.0,,8.5
,,2018 - 2019,,,,,,,140.0,,8.5
,,2019 - 2020,,,,,,,143.0,,8.51
,,2020 - 2021,,,,,,,144.0,,8.55
,,2021 - 2022,,,,,,,170.0,,7.0
,,2022 - 2023,,,,,,,43.0,410.0,9.53
,Kiphire,2011 - 2012,,,,,,,60.0,510.0,8.5
,,2012 - 2013,,,,,,,80.0,670.0,8.38
,,2013 - 2014,,,,,,,110.0,940.0,8.55
,,2014 - 2015,,,,,,,120.0,,8.5
,,2015 - 2016,,,,,,,120.0,,8.5
,,2016 - 2017,,,,,,,130.0,,8.46
,,2017 - 2018,,,,,,,140.0,,8.5
,,2018 - 2019,,,,,,,150.0,,8.53
,,2019 - 2020,,,,,,,153.0,,8.56
,,2020 - 2021,,,,,,,155.0,,8.54
,,2021 - 2022,,,,,,,2.0,17.0,8.5
