state,district,year,banana_whole_year_area_hectare,banana_whole_year_production_tonne,banana_whole_year_yield_tonne_per_hectare,banana_kharif_area_hectare,banana_kharif_production_tonne,banana_kharif_yield_tonne_per_hectare,banana_rabi_area_hectare,banana_rabi_production_tonne,banana_rabi_yield_tonne_per_hectare,banana_summer_area_hectare,banana_summer_production_tonne,banana_summer_yield_tonne_per_hectare
,,2002 - 2003,,,39.66,,,,,,,,,
,,2003 - 2004,853.0,,35.86,,,,,,,,,
,,2004 - 2005,795.0,,37.12,,,,,,,,,
,,2005 - 2006,415.0,,34.74,,,,,,,,,
,,2007 - 2008,580.0,,35.93,,,,,,,,,
,Vaishali,2000 - 2001,,,4.22,,,,,,,,,
,,2001 - 2002,,,13.75,,,,,,,,,
,,2002 - 2003,,,16.2,,,,,,,,,
,,2003 - 2004,,,14.4,,,,,,,,,
,,2004 - 2005,,,10.22,,,,,,,,,
,,2005 - 2006,,,7.32,,,,,,,,,
,,2007 - 2008,,,7.52,,,,,,,,,
Chhattisgarh,Balod,2011 - 2012,16.0,488.0,30.5,,,,,,,,,
,,2012 - 2013,9.0,155.0,17.22,,,,,,,,,
,,2013 - 2014,15.0,357.0,23.8,,,,,,,,,
,,2014 - 2015,15.0,429.0,28.6,,,,,,,,,
,,2015 - 2016,22.0,287.0,13.05,,,,,,,,,
,,2016 - 2017,28.0,713.0,25.46,,,,,,,,,
,,2017 - 2018,9.0,62.0,6.89,,,,,,,,,
,,2018 - 2019,12.0,,0.0,,,,,,,,,
,,2019 - 2020,32.0,355.0,11.09,,,,,,,,,
,,2020 - 2021,42.0,402.0,9.57,,,,,,,,,
,,2021 - 2022,52.0,891.0,17.13,,,,,,,,,
,,2022 - 2023,55.0,601.0,10.93,,,,,,,,,
,Baloda bazar,2011 - 2012,14.0,562.0,40.14,,,,,,,,,
,,2012 - 2013,14.0,161.0,11.5,,,,,,,,,
,,2013 - 2014,11.0,562.0,51.09,,,,,,,,,
,,2014 - 2015,9.0,394.0,43.78,,,,,,,,,
,,2015 - 2016,15.0,438.0,29.2,,,,,,,,,
,,2016 - 2017,4.0,51.0,12.75,,,,,,,,,
,,2017 - 2018,16.0,,0.0,,,,,,,,,
,,2018 - 2019,1.0,,0.0,,,,,,,,,
,,2020 - 2021,25.0,666.0,26.64,,,,,,,,,
,,2021 - 2022,84.0,,23.08,,,,,,,,,
,,2022 - 2023,62.0,,19.77,,,,,,,,,
,Balrampur,2011 - 2012,14.0,393.0,28.07,,,,,,,,,
,,2012 - 2013,11.0,149.0,13.55,,,,,,,,,
,,2013 - 2014,14.0,361.0,25.79,,,,,,,,,
,,2014 - 2015,14.0,361.0,25.79,,,,,,,,,
,,2015 - 2016,13.0,298.0,22.92,,,,,,,,,
,,2016 - 2017,10.0,129.0,12.9,,,,,,,,,
,,2017 - 2018,38.0,73.0,1.92,,,,,,,,,
,,2020 - 2021,2.0,39.0,19.5,,,,,,,,,
,,2021 - 2022,2.0,26.0,13.0,,,,,,,,,
,,2022 - 2023,1.0,0.0,0.0,,,,,,,,,
,Bastar,2000 - 2001,51.0,,46.61,,,,,,,,,
,,2001 - 2002,96.0,,46.6,,,,,,,,,
,,2002 - 2003,42.0,,46.6,,,,,,,,,
,,2003 - 2004,56.0,,46.61,,,,,,,,,
,,2004 - 2005,53.0,,46.6,,,,,,,,,
,,2005 - 2006,62.0,,46.6,,,,,,,,,
,,2006 - 2007,47.0,,49.3,,,,,,,,,
,,2007 - 2008,63.0,,46.6,,,,,,,,,
,,2008 - 2009,43.0,,46.6,,,,,,,,,
,,2009 - 2010,57.0,,97.32,,,,,,,,,
,,2010 - 2011,61.0,,46.61,,,,,,,,,
,,2011 - 2012,87.0,,36.62,,,,,,,,,
,,2012 - 2013,92.0,,13.36,,,,,,,,,
,,2013 - 2014,74.0,,39.95,,,,,,,,,
,,2014 - 2015,66.0,,45.27,,,,,,,,,
,,2015 - 2016,91.0,,24.91,,,,,,,,,
,,2016 - 2017,69.0,,28.09,,,,,,,,,
,,2017 - 2018,78.0,,17.46,,,,,,,,,
,,2018 - 2019,43.0,578.0,13.44,,,,,,,,,
,,2019 - 2020,67.0,,17.28,,,,,,,,,
,,2020 - 2021,57.0,,24.39,,,,,,,,,
,,2021 - 2022,79.0,866.0,10.96,,,,,,,,,
,,2022 - 2023,76.0,,25.39,,,,,,,,,
,Bemetara,2011 - 2012,111.0,,30.51,,,,,,,,,
,,2012 - 2013,111.0,101.0,0.91,,,,,,,,,
,,2013 - 2014,198.0,,32.5,,,,,,,,,
,,2014 - 2015,198.0,,35.76,,,,,,,,,
,,2015 - 2016,262.0,,40.66,,,,,,,,,
,,2016 - 2017,275.0,,28.08,,,,,,,,,
,,2017 - 2018,344.0,,22.8,,,,,,,,,
,,2018 - 2019,495.0,,21.39,,,,,,,,,
,,2019 - 2020,532.0,,23.55,,,,,,,,,
,,2020 - 2021,724.0,,23.03,,,,,,,,,
,,2021 - 2022,724.0,,4.29,,,,,,,,,
,,2022 - 2023,637.0,,14.59,,,,,,,,,
,Bijapur,2006 - 2007,3.0,,0.0,,,,,,,,,
,,2007 - 2008,3.0,110.0,36.67,,,,,,,,,
,,2008 - 2009,3.0,70.0,23.33,,,,,,,,,
,,2009 - 2010,4.0,327.0,81.75,,,,,,,,,
,,2010 - 2011,3.0,100.0,33.33,,,,,,,,,
,,2011 - 2012,6.0,220.0,36.67,,,,,,,,,
,,2012 - 2013,7.0,140.0,20.0,,,,,,,,,
,,2013 - 2014,7.0,327.0,46.71,,,,,,,,,
,,2014 - 2015,6.0,200.0,33.33,,,,,,,,,
,,2015 - 2016,6.0,100.0,16.67,,,,,,,,,
,,2016 - 2017,5.0,120.0,24.0,,,,,,,,,
,,2017 - 2018,4.0,93.0,23.25,,,,,,,,,
,,2018 - 2019,1.0,43.0,43.0,,,,,,,,,
,,2019 - 2020,3.0,55.0,18.33,,,,,,,,,
,,2020 - 2021,2.0,111.0,55.5,,,,,,,,,
,,2021 - 2022,1.0,0.0,0.0,,,,,,,,,
,,2022 - 2023,1.0,55.0,55.0,,,,,,,,,
,Bilaspur,2000 - 2001,4.0,143.0,35.75,,,,,,,,,
,,2001 - 2002,3.0,107.0,35.67,,,,,,,,,
,,2002 - 2003,7.0,203.0,29.0,,,,,,,,,
,,2003 - 2004,2.0,68.0,34.0,,,,,,,,,
,,2004 - 2005,3.0,102.0,34.0,,,,,,,,,
,,2005 - 2006,6.0,240.0,40.0,,,,,,,,,
,,2006 - 2007,2.0,68.0,34.0,,,,,,,,,
,,2007 - 2008,6.0,204.0,34.0,,,,,,,,,
,,2008 - 2009,7.0,239.0,34.14,,,,,,,,,
,,2009 - 2010,7.0,512.0,73.14,,,,,,,,,
,,2019 - 2020,12.0,,0.0,,,,,,,,,
,,2020 - 2021,53.0,,22.23,,,,,,,,,
,,2021 - 2022,39.0,239.0,6.13,,,,,,,,,
,,2022 - 2023,56.0,102.0,1.82,,,,,,,,,
,Dantewada,2000 - 2001,39.0,,38.67,,,,,,,,,
,,2001 - 2002,24.0,879.0,36.63,,,,,,,,,
,,2002 - 2003,69.0,,37.96,,,,,,,,,
,,2003 - 2004,35.0,,38.6,,,,,,,,,
,,2004 - 2005,63.0,,33.29,,,,,,,,,
,,2005 - 2006,91.0,,39.93,,,,,,,,,
,,2006 - 2007,70.0,,39.57,,,,,,,,,
,,2007 - 2008,94.0,,36.63,,,,,,,,,
,,2008 - 2009,82.0,,25.96,,,,,,,,,
,,2009 - 2010,82.0,,90.95,,,,,,,,,
,,2010 - 2011,78.0,,33.29,,,,,,,,,
,,2011 - 2012,38.0,,33.29,,,,,,,,,
,,2012 - 2013,42.0,606.0,14.43,,,,,,,,,
,,2013 - 2014,50.0,,46.62,,,,,,,,,
,,2014 - 2015,53.0,,33.28,,,,,,,,,
,,2015 - 2016,63.0,,16.9,,,,,,,,,
,,2016 - 2017,60.0,,20.63,,,,,,,,,
,,2017 - 2018,44.0,369.0,8.39,,,,,,,,,
,,2018 - 2019,60.0,,24.87,,,,,,,,,
,,2019 - 2020,33.0,,45.21,,,,,,,,,
,,2020 - 2021,19.0,406.0,21.37,,,,,,,,,
,,2021 - 2022,21.0,348.0,16.57,,,,,,,,,
,,2022 - 2023,24.0,447.0,18.63,,,,,,,,,
,Dhamtari,2000 - 2001,4.0,220.0,55.0,,,,,,,,,
,,2001 - 2002,7.0,383.0,54.71,,,,,,,,,
,,2002 - 2003,13.0,711.0,54.69,,,,,,,,,
,,2003 - 2004,21.0,,54.76,,,,,,,,,
,,2004 - 2005,15.0,821.0,54.73,,,,,,,,,
,,2005 - 2006,23.0,,43.78,,,,,,,,,
,,2006 - 2007,36.0,,43.78,,,,,,,,,
,,2007 - 2008,28.0,,43.79,,,,,,,,,
,,2008 - 2009,14.0,613.0,43.79,,,,,,,,,
,,2009 - 2010,27.0,,69.96,,,,,,,,,
,,2010 - 2011,14.0,645.0,46.07,,,,,,,,,
,,2011 - 2012,43.0,,46.09,,,,,,,,,
,,2012 - 2013,46.0,,33.04,,,,,,,,,
,,2013 - 2014,46.0,,46.09,,,,,,,,,
,,2014 - 2015,52.0,,46.08,,,,,,,,,
,,2015 - 2016,41.0,875.0,21.34,,,,,,,,,
,,2016 - 2017,40.0,,25.33,,,,,,,,,
,,2017 - 2018,21.0,829.0,39.48,,,,,,,,,
,,2018 - 2019,18.0,46.0,2.56,,,,,,,,,
,,2019 - 2020,24.0,809.0,33.71,,,,,,,,,
,,2020 - 2021,35.0,383.0,10.94,,,,,,,,,
,,2021 - 2022,53.0,,34.36,,,,,,,,,
,,2022 - 2023,50.0,,38.08,,,,,,,,,
,Durg,2000 - 2001,10.0,324.0,32.4,,,,,,,,,
,,2001 - 2002,30.0,715.0,23.83,,,,,,,,,
,,2002 - 2003,14.0,441.0,31.5,,,,,,,,,
,,2003 - 2004,50.0,,33.38,,,,,,,,,
,,2004 - 2005,7.0,230.0,32.86,,,,,,,,,
,,2005 - 2006,170.0,,35.76,,,,,,,,,
,,2006 - 2007,35.0,,32.43,,,,,,,,,
,,2007 - 2008,115.0,,32.42,,,,,,,,,
,,2008 - 2009,8.0,271.0,33.88,,,,,,,,,
,,2009 - 2010,126.0,,80.37,,,,,,,,,
,,2010 - 2011,151.0,,28.6,,,,,,,,,
,,2011 - 2012,89.0,,30.52,,,,,,,,,
,,2012 - 2013,60.0,527.0,8.78,,,,,,,,,
,,2013 - 2014,93.0,,32.42,,,,,,,,,
,,2014 - 2015,95.0,,33.37,,,,,,,,,
,,2015 - 2016,53.0,801.0,15.11,,,,,,,,,
,,2016 - 2017,64.0,515.0,8.05,,,,,,,,,
,,2017 - 2018,103.0,,9.93,,,,,,,,,
,,2018 - 2019,81.0,310.0,3.83,,,,,,,,,
,,2019 - 2020,310.0,,13.29,,,,,,,,,
,,2020 - 2021,557.0,,12.12,,,,,,,,,
,,2021 - 2022,652.0,,15.66,,,,,,,,,
,,2022 - 2023,591.0,,26.77,,,,,,,,,
,Gariyaband,2011 - 2012,13.0,522.0,40.15,,,,,,,,,
,,2012 - 2013,17.0,219.0,12.88,,,,,,,,,
,,2013 - 2014,20.0,875.0,43.75,,,,,,,,,
,,2014 - 2015,8.0,350.0,43.75,,,,,,,,,
,,2015 - 2016,12.0,351.0,29.25,,,,,,,,,
,,2018 - 2019,10.0,,0.0,,,,,,,,,
,,2019 - 2020,16.0,,0.0,,,,,,,,,
,,2020 - 2021,31.0,0.0,0.0,,,,,,,,,
,,2021 - 2022,41.0,482.0,11.76,,,,,,,,,
,,2022 - 2023,19.0,788.0,41.47,,,,,,,,,
,Gaurella-pendra-marwahi,2019 - 2020,1.0,,0.0,,,,,,,,,
,,2020 - 2021,2.0,47.0,23.5,,,,,,,,,
,Janjgir-champa,2000 - 2001,2.0,72.0,36.0,,,,,,,,,
,,2001 - 2002,1.0,34.0,34.0,,,,,,,,,
,,2002 - 2003,9.0,306.0,34.0,,,,,,,,,
,,2003 - 2004,4.0,136.0,34.0,,,,,,,,,
,,2004 - 2005,7.0,238.0,34.0,,,,,,,,,
,,2005 - 2006,10.0,341.0,34.1,,,,,,,,,
,,2006 - 2007,1.0,37.0,37.0,,,,,,,,,
,,2007 - 2008,10.0,341.0,34.1,,,,,,,,,
,,2010 - 2011,13.0,517.0,39.77,,,,,,,,,
,,2011 - 2012,21.0,714.0,34.0,,,,,,,,,
,,2012 - 2013,35.0,443.0,12.66,,,,,,,,,
,,2013 - 2014,18.0,613.0,34.06,,,,,,,,,
,,2014 - 2015,10.0,352.0,35.2,,,,,,,,,
,,2015 - 2016,6.0,204.0,34.0,,,,,,,,,
,,2016 - 2017,3.0,111.0,37.0,,,,,,,,,
,,2020 - 2021,2.0,0.0,0.0,,,,,,,,,
,,2021 - 2022,1.0,0.0,0.0,,,,,,,,,
,Jashpur,2000 - 2001,1.0,32.0,32.0,,,,,,,,,
,,2001 - 2002,34.0,,31.68,,,,,,,,,
,,2002 - 2003,3.0,93.0,31.0,,,,,,,,,
,,2003 - 2004,33.0,,32.21,,,,,,,,,
,,2004 - 2005,17.0,537.0,31.59,,,,,,,,,
,,2005 - 2006,17.0,530.0,31.18,,,,,,,,,
,,2006 - 2007,13.0,411.0,31.62,,,,,,,,,
,,2007 - 2008,22.0,685.0,31.14,,,,,,,,,
,,2008 - 2009,21.0,621.0,29.57,,,,,,,,,
,,2009 - 2010,18.0,,68.94,,,,,,,,,
,,2010 - 2011,24.0,747.0,31.13,,,,,,,,,
,,2011 - 2012,32.0,996.0,31.13,,,,,,,,,
,,2012 - 2013,29.0,374.0,12.9,,,,,,,,,
,,2013 - 2014,33.0,,31.15,,,,,,,,,
,,2014 - 2015,29.0,903.0,31.14,,,,,,,,,
,,2015 - 2016,28.0,405.0,14.46,,,,,,,,,
,,2016 - 2017,17.0,296.0,17.41,,,,,,,,,
,,2017 - 2018,16.0,249.0,15.56,,,,,,,,,
,,2018 - 2019,19.0,249.0,13.11,,,,,,,,,
,,2019 - 2020,15.0,312.0,20.8,,,,,,,,,
,,2020 - 2021,8.0,0.0,0.0,,,,,,,,,
,,2021 - 2022,10.0,218.0,21.8,,,,,,,,,
,,2022 - 2023,8.0,32.0,4.0,,,,,,,,,
,Kabirdham,2000 - 2001,4.0,146.0,36.5,,,,,,,,,
,,2001 - 2002,5.0,216.0,43.2,,,,,,,,,
,,2002 - 2003,2.0,91.0,45.5,,,,,,,,,
,,2005 - 2006,1.0,30.0,30.0,,,,,,,,,
,,2011 - 2012,18.0,549.0,30.5,,,,,,,,,
,,2012 - 2013,23.0,,0.0,,,,,,,,,
,,2013 - 2014,26.0,,42.69,,,,,,,,,
,,2014 - 2015,54.0,,45.72,,,,,,,,,
,,2015 - 2016,109.0,,22.31,,,,,,,,,
,,2016 - 2017,118.0,,0.0,,,,,,,,,
,,2017 - 2018,153.0,,29.28,,,,,,,,,
,,2018 - 2019,122.0,,19.51,,,,,,,,,
,,2019 - 2020,159.0,,26.39,,,,,,,,,
,,2020 - 2021,188.0,,22.82,,,,,,,,,
,,2021 - 2022,176.0,,12.25,,,,,,,,,
,,2022 - 2023,231.0,,21.61,,,,,,,,,
,Kanker,2000 - 2001,14.0,653.0,46.64,,,,,,,,,
,,2001 - 2002,16.0,746.0,46.63,,,,,,,,,
,,2002 - 2003,10.0,267.0,26.7,,,,,,,,,
,,2003 - 2004,15.0,749.0,49.93,,,,,,,,,
,,2004 - 2005,6.0,280.0,46.67,,,,,,,,,
,,2005 - 2006,9.0,419.0,46.56,,,,,,,,,
,,2006 - 2007,10.0,465.0,46.5,,,,,,,,,
,,2007 - 2008,11.0,549.0,49.91,,,,,,,,,
,,2008 - 2009,11.0,512.0,46.55,,,,,,,,,
,,2009 - 2010,11.0,932.0,84.73,,,,,,,,,
,,2010 - 2011,7.0,326.0,46.57,,,,,,,,,
,,2011 - 2012,19.0,506.0,26.63,,,,,,,,,
,,2012 - 2013,12.0,168.0,14.0,,,,,,,,,
,,2013 - 2014,13.0,355.0,27.31,,,,,,,,,
,,2014 - 2015,13.0,433.0,33.31,,,,,,,,,
,,2015 - 2016,10.0,200.0,20.0,,,,,,,,,
,,2016 - 2017,8.0,160.0,20.0,,,,,,,,,
,,2017 - 2018,10.0,242.0,24.2,,,,,,,,,
,,2018 - 2019,23.0,600.0,26.09,,,,,,,,,
,,2019 - 2020,18.0,484.0,26.89,,,,,,,,,
,,2020 - 2021,9.0,311.0,34.56,,,,,,,,,
,,2021 - 2022,19.0,77.0,4.05,,,,,,,,,
,,2022 - 2023,10.0,0.0,0.0,,,,,,,,,
,Khairgarh chhuikhadan gandai,2022 - 2023,70.0,,14.63,,,,,,,,,
,Kondagaon,2011 - 2012,27.0,989.0,36.63,,,,,,,,,
,,2012 - 2013,25.0,449.0,17.96,,,,,,,,,
,,2013 - 2014,26.0,,39.96,,,,,,,,,
,,2014 - 2015,24.0,959.0,39.96,,,,,,,,,
,,2015 - 2016,32.0,399.0,12.47,,,,,,,,,
,,2016 - 2017,39.0,879.0,22.54,,,,,,,,,
,,2017 - 2018,34.0,679.0,19.97,,,,,,,,,
,,2018 - 2019,24.0,537.0,22.38,,,,,,,,,
,,2019 - 2020,17.0,359.0,21.12,,,,,,,,,
,,2020 - 2021,19.0,320.0,16.84,,,,,,,,,
,,2021 - 2022,20.0,400.0,20.0,,,,,,,,,
,,2022 - 2023,17.0,359.0,21.12,,,,,,,,,
,Korba,2000 - 2001,5.0,179.0,35.8,,,,,,,,,
,,2001 - 2002,3.0,102.0,34.0,,,,,,,,,
,,2002 - 2003,2.0,58.0,29.0,,,,,,,,,
,,2003 - 2004,2.0,68.0,34.0,,,,,,,,,
,,2004 - 2005,4.0,136.0,34.0,,,,,,,,,
,,2005 - 2006,7.0,217.0,31.0,,,,,,,,,
,,2008 - 2009,3.0,84.0,28.0,,,,,,,,,
,,2011 - 2012,2.0,68.0,34.0,,,,,,,,,
,,2012 - 2013,3.0,,0.0,,,,,,,,,
,,2013 - 2014,3.0,102.0,34.0,,,,,,,,,
,,2014 - 2015,3.0,106.0,35.33,,,,,,,,,
,,2015 - 2016,4.0,136.0,34.0,,,,,,,,,
,,2016 - 2017,4.0,136.0,34.0,,,,,,,,,
,,2017 - 2018,4.0,136.0,34.0,,,,,,,,,
,,2018 - 2019,1.0,37.0,37.0,,,,,,,,,
,Korea,2000 - 2001,2.0,60.0,30.0,,,,,,,,,
,,2001 - 2002,3.0,97.0,32.33,,,,,,,,,
,,2003 - 2004,1.0,31.0,31.0,,,,,,,,,
,,2020 - 2021,3.0,0.0,0.0,,,,,,,,,
,,2021 - 2022,7.0,77.0,11.0,,,,,,,,,
,Mahasamund,2002 - 2003,1.0,45.0,45.0,,,,,,,,,
,,2003 - 2004,1.0,45.0,45.0,,,,,,,,,
,,2007 - 2008,4.0,175.0,43.75,,,,,,,,,
,,2008 - 2009,1.0,37.0,37.0,,,,,,,,,
,,2010 - 2011,3.0,132.0,44.0,,,,,,,,,
,,2011 - 2012,7.0,358.0,51.14,,,,,,,,,
,,2012 - 2013,9.0,,0.0,,,,,,,,,
,,2013 - 2014,14.0,715.0,51.07,,,,,,,,,
,,2014 - 2015,19.0,832.0,43.79,,,,,,,,,
,,2015 - 2016,16.0,307.0,19.19,,,,,,,,,
,,2016 - 2017,12.0,526.0,43.83,,,,,,,,,
,,2017 - 2018,11.0,482.0,43.82,,,,,,,,,
,,2018 - 2019,22.0,,0.0,,,,,,,,,
,,2019 - 2020,53.0,964.0,18.19,,,,,,,,,
,,2020 - 2021,71.0,,26.45,,,,,,,,,
,,2021 - 2022,80.0,,30.3,,,,,,,,,
,,2022 - 2023,85.0,,47.76,,,,,,,,,
,Manendragarh chirimiri bharatpur,2022 - 2023,5.0,194.0,38.8,,,,,,,,,
,Mohla manpur ambagarh chouki,2022 - 2023,30.0,299.0,9.97,,,,,,,,,
,Mungeli,2011 - 2012,12.0,409.0,34.08,,,,,,,,,
,,2012 - 2013,12.0,331.0,27.58,,,,,,,,,
,,2013 - 2014,13.0,443.0,34.08,,,,,,,,,
,,2014 - 2015,15.0,554.0,36.93,,,,,,,,,
,,2015 - 2016,26.0,407.0,15.65,,,,,,,,,
,,2016 - 2017,15.0,111.0,7.4,,,,,,,,,
,,2017 - 2018,4.0,,0.0,,,,,,,,,
,,2018 - 2019,14.0,,0.0,,,,,,,,,
,,2019 - 2020,7.0,205.0,29.29,,,,,,,,,
,,2020 - 2021,12.0,204.0,17.0,,,,,,,,,
,,2021 - 2022,21.0,170.0,8.1,,,,,,,,,
,,2022 - 2023,23.0,0.0,0.0,,,,,,,,,
,Narayanpur,2006 - 2007,2.0,,0.0,,,,,,,,,
,,2007 - 2008,3.0,130.0,43.33,,,,,,,,,
,,2008 - 2009,3.0,70.0,23.33,,,,,,,,,
,,2009 - 2010,4.0,327.0,81.75,,,,,,,,,
,,2010 - 2011,4.0,160.0,40.0,,,,,,,,,
,,2011 - 2012,6.0,200.0,33.33,,,,,,,,,
,,2012 - 2013,6.0,60.0,10.0,,,,,,,,,
,,2013 - 2014,4.0,154.0,38.5,,,,,,,,,
,,2014 - 2015,6.0,240.0,40.0,,,,,,,,,
,,2015 - 2016,3.0,74.0,24.67,,,,,,,,,
,,2016 - 2017,9.0,176.0,19.56,,,,,,,,,
,,2017 - 2018,13.0,144.0,11.08,,,,,,,,,
,,2018 - 2019,8.0,276.0,34.5,,,,,,,,,
,,2019 - 2020,2.0,55.0,27.5,,,,,,,,,
,,2021 - 2022,2.0,55.0,27.5,,,,,,,,,
,,2022 - 2023,2.0,55.0,27.5,,,,,,,,,
,Raigarh,2000 - 2001,16.0,473.0,29.56,,,,,,,,,
,,2001 - 2002,15.0,428.0,28.53,,,,,,,,,
,,2002 - 2003,12.0,342.0,28.5,,,,,,,,,
,,2003 - 2004,18.0,513.0,28.5,,,,,,,,,
,,2004 - 2005,5.0,140.0,28.0,,,,,,,,,
,,2005 - 2006,26.0,865.0,33.27,,,,,,,,,
,,2006 - 2007,15.0,475.0,31.67,,,,,,,,,
,,2007 - 2008,95.0,,31.14,,,,,,,,,
,,2008 - 2009,24.0,709.0,29.54,,,,,,,,,
,,2009 - 2010,109.0,,36.03,,,,,,,,,
,,2010 - 2011,98.0,,31.67,,,,,,,,,
,,2011 - 2012,26.0,824.0,31.69,,,,,,,,,
,,2012 - 2013,101.0,602.0,5.96,,,,,,,,,
,,2013 - 2014,95.0,,32.74,,,,,,,,,
,,2014 - 2015,92.0,,32.72,,,,,,,,,
,,2015 - 2016,88.0,916.0,10.41,,,,,,,,,
,,2016 - 2017,86.0,,20.99,,,,,,,,,
,,2017 - 2018,87.0,,25.61,,,,,,,,,
,,2018 - 2019,131.0,,17.29,,,,,,,,,
,,2019 - 2020,69.0,,28.0,,,,,,,,,
,,2020 - 2021,17.0,253.0,14.88,,,,,,,,,
,,2021 - 2022,9.0,63.0,7.0,,,,,,,,,
,,2022 - 2023,16.0,253.0,15.81,,,,,,,,,
,Raipur,2000 - 2001,21.0,950.0,45.24,,,,,,,,,
,,2001 - 2002,19.0,860.0,45.26,,,,,,,,,
,,2002 - 2003,22.0,980.0,44.55,,,,,,,,,
,,2003 - 2004,29.0,,44.52,,,,,,,,,
,,2004 - 2005,24.0,,44.54,,,,,,,,,
,,2005 - 2006,39.0,,45.26,,,,,,,,,
,,2006 - 2007,52.0,,46.0,,,,,,,,,
,,2007 - 2008,35.0,,43.8,,,,,,,,,
,,2008 - 2009,44.0,,43.82,,,,,,,,,
,,2009 - 2010,52.0,,68.12,,,,,,,,,
,,2010 - 2011,40.0,,40.15,,,,,,,,,
,,2011 - 2012,66.0,,40.14,,,,,,,,,
,,2012 - 2013,101.0,,12.33,,,,,,,,,
,,2013 - 2014,102.0,,51.1,,,,,,,,,
,,2014 - 2015,99.0,,43.8,,,,,,,,,
,,2015 - 2016,121.0,,23.07,,,,,,,,,
,,2016 - 2017,119.0,,25.03,,,,,,,,,
,,2017 - 2018,102.0,,18.78,,,,,,,,,
,,2018 - 2019,88.0,,33.09,,,,,,,,,
,,2019 - 2020,251.0,696.0,2.77,,,,,,,,,
,,2020 - 2021,387.0,,18.13,,,,,,,,,
,,2021 - 2022,354.0,,27.38,,,,,,,,,
,,2022 - 2023,334.0,,21.33,,,,,,,,,
,Rajnandgaon,2000 - 2001,15.0,660.0,44.0,,,,,,,,,
,,2001 - 2002,5.0,216.0,43.2,,,,,,,,,
,,2002 - 2003,36.0,,42.67,,,,,,,,,
,,2003 - 2004,4.0,171.0,42.75,,,,,,,,,
,,2004 - 2005,30.0,,42.7,,,,,,,,,
,,2005 - 2006,11.0,402.0,36.55,,,,,,,,,
,,2006 - 2007,7.0,256.0,36.57,,,,,,,,,
,,2007 - 2008,12.0,475.0,39.58,,,,,,,,,
,,2008 - 2009,33.0,,38.39,,,,,,,,,
,,2009 - 2010,25.0,,90.68,,,,,,,,,
,,2010 - 2011,37.0,,36.57,,,,,,,,,
,,2011 - 2012,74.0,,39.62,,,,,,,,,
,,2012 - 2013,87.0,,22.7,,,,,,,,,
,,2013 - 2014,77.0,,42.66,,,,,,,,,
,,2014 - 2015,69.0,,42.67,,,,,,,,,
,,2015 - 2016,77.0,,14.84,,,,,,,,,
,,2016 - 2017,60.0,,39.63,,,,,,,,,
,,2017 - 2018,50.0,366.0,7.32,,,,,,,,,
,,2018 - 2019,57.0,,33.68,,,,,,,,,
,,2019 - 2020,198.0,686.0,3.46,,,,,,,,,
,,2020 - 2021,317.0,,24.63,,,,,,,,,
,,2021 - 2022,311.0,,18.38,,,,,,,,,
,,2022 - 2023,187.0,,21.9,,,,,,,,,
,Sakti,2022 - 2023,1.0,0.0,0.0,,,,,,,,,
,Sarangarh bilaigarh,2022 - 2023,7.0,0.0,0.0,,,,,,,,,
,Sukma,2011 - 2012,123.0,,33.3,,,,,,,,,
,,2012 - 2013,97.0,,28.35,,,,,,,,,
,,2013 - 2014,95.0,,46.61,,,,,,,,,
,,2014 - 2015,101.0,,33.29,,,,,,,,,
,,2015 - 2016,99.0,,18.16,,,,,,,,,
,,2016 - 2017,105.0,,18.26,,,,,,,,,
,,2017 - 2018,149.0,,16.07,,,,,,,,,
,,2018 - 2019,141.0,,33.31,,,,,,,,,
,,2019 - 2020,176.0,,9.91,,,,,,,,,
,,2020 - 2021,158.0,,8.04,,,,,,,,,
,,2021 - 2022,180.0,,32.96,,,,,,,,,
,,2022 - 2023,155.0,,15.78,,,,,,,,,
,Surajpur,2018 - 2019,4.0,,0.0,,,,,,,,,
,,2019 - 2020,2.0,39.0,19.5,,,,,,,,,
,,2020 - 2021,28.0,78.0,2.79,,,,,,,,,
,,2021 - 2022,28.0,741.0,26.46,,,,,,,,,
,,2022 - 2023,4.0,61.0,15.25,,,,,,,,,
,Surguja,2000 - 2001,13.0,390.0,30.0,,,,,,,,,
,,2001 - 2002,21.0,678.0,32.29,,,,,,,,,
,,2002 - 2003,14.0,439.0,31.36,,,,,,,,,
,,2003 - 2004,12.0,376.0,31.33,,,,,,,,,
,,2004 - 2005,10.0,281.0,28.1,,,,,,,,,
,,2005 - 2006,21.0,619.0,29.48,,,,,,,,,
,,2006 - 2007,14.0,492.0,35.14,,,,,,,,,
,,2007 - 2008,19.0,578.0,30.42,,,,,,,,,
,,2008 - 2009,11.0,257.0,23.36,,,,,,,,,
,,2009 - 2010,15.0,633.0,42.2,,,,,,,,,
,,2010 - 2011,12.0,337.0,28.08,,,,,,,,,
,,2011 - 2012,12.0,337.0,28.08,,,,,,,,,
,,2012 - 2013,13.0,116.0,8.92,,,,,,,,,
,,2013 - 2014,17.0,485.0,28.53,,,,,,,,,
,,2014 - 2015,15.0,351.0,23.4,,,,,,,,,
,,2015 - 2016,14.0,174.0,12.43,,,,,,,,,
,,2016 - 2017,7.0,180.0,25.71,,,,,,,,,
