state,district,year,barley_rabi_area_hectare,barley_rabi_production_tonne,barley_rabi_yield_tonne_per_hectare,barley_kharif_area_hectare,barley_kharif_production_tonne,barley_kharif_yield_tonne_per_hectare,barley_summer_area_hectare,barley_summer_production_tonne,barley_summer_yield_tonne_per_hectare,barley_whole_year_area_hectare,barley_whole_year_production_tonne,barley_whole_year_yield_tonne_per_hectare
,,2004 - 2005,480.0,700.0,1.46,,,,,,,,,
,,2009 - 2010,80.0,90.0,1.13,,,,,,,,,
,,2010 - 2011,70.0,110.0,1.57,,,,,,,,,
,,2011 - 2012,60.0,100.0,1.67,,,,,,,,,
,,2012 - 2013,70.0,70.0,1.0,,,,,,,,,
,,2013 - 2014,70.0,70.0,1.0,,,,,,,,,
,,2014 - 2015,,,,70.0,70.0,1.0,,,,,,
,,2015 - 2016,70.0,70.0,1.0,,,,,,,,,
,,2016 - 2017,70.0,70.0,1.0,,,,,,,,,
,,2017 - 2018,70.0,70.0,1.0,,,,,,,,,
,,2018 - 2019,70.0,70.0,1.0,,,,,,,,,
,,2019 - 2020,70.0,70.0,1.0,,,,,,,,,
,,2020 - 2021,70.0,70.0,1.0,,,,,,,,,
,Zunheboto,2000 - 2001,120.0,180.0,1.5,,,,,,,,,
,,2001 - 2002,420.0,960.0,2.29,,,,,,,,,
,,2002 - 2003,530.0,,2.08,,,,,,,,,
,,2003 - 2004,780.0,,1.5,,,,,,,,,
,,2004 - 2005,450.0,680.0,1.51,,,,,,,,,
,,2009 - 2010,60.0,80.0,1.33,,,,,,,,,
,,2010 - 2011,50.0,90.0,1.8,,,,,,,,,
,,2011 - 2012,40.0,60.0,1.5,,,,,,,,,
,,2012 - 2013,40.0,30.0,0.75,,,,,,,,,
,,2013 - 2014,50.0,50.0,1.0,,,,,,,,,
,,2014 - 2015,,,,50.0,50.0,1.0,,,,,,
,,2015 - 2016,50.0,50.0,1.0,,,,,,,,,
,,2016 - 2017,50.0,50.0,1.0,,,,,,,,,
,,2017 - 2018,50.0,50.0,1.0,,,,,,,,,
,,2018 - 2019,50.0,50.0,1.0,,,,,,,,,
,,2019 - 2020,50.0,50.0,1.0,,,,,,,,,
,,2020 - 2021,50.0,50.0,1.0,,,,,,,,,
Punjab,Barnala,2007 - 2008,,,3.0,,,,,,,,,
,,2008 - 2009,,,3.0,,,,,,,,,
,,2009 - 2010,,,3.0,,,,,,,,,
,,2010 - 2011,,,3.0,,,,,,,,,
,,2011 - 2012,,,4.0,,,,,,,,,
,,2012 - 2013,,,3.0,,,,,,,,,
,,2013 - 2014,,,4.0,,,,,,,,,
,,2014 - 2015,,,3.6,,,,,,,,,
,,2016 - 2017,400.0,,3.75,,,,,,,,,
,,2017 - 2018,300.0,,3.67,,,,,,,,,
,,2018 - 2019,300.0,800.0,2.67,,,,,,,,,
,,2019 - 2020,300.0,,3.67,,,,,,,,,
,,2020 - 2021,300.0,,3.33,,,,,,,,,
,,2021 - 2022,300.0,800.0,2.67,,,,,,,,,
,,2022 - 2023,300.0,,3.33,,,,,,,,,
,Bathinda,2000 - 2001,,,2.8,,,,,,,,,
,,2001 - 2002,,,2.67,,,,,,,,,
,,2002 - 2003,,,3.33,,,,,,,,,
,,2003 - 2004,,,3.33,,,,,,,,,
,,2004 - 2005,,,3.0,,,,,,,,,
,,2005 - 2006,,,2.5,,,,,,,,,
,,2006 - 2007,,,3.5,,,,,,,,,
,,2007 - 2008,,,3.0,,,,,,,,,
,,2008 - 2009,,,3.5,,,,,,,,,
,,2009 - 2010,,,3.0,,,,,,,,,
,,2010 - 2011,,,3.5,,,,,,,,,
,,2011 - 2012,,,3.5,,,,,,,,,
,,2012 - 2013,,,3.5,,,,,,,,,
,,2013 - 2014,,,3.5,,,,,,,,,
,,2014 - 2015,,,3.4,,,,,,,,,
,,2015 - 2016,,,3.2,,,,,,,,,
,,2016 - 2017,,,3.17,,,,,,,,,
,,2017 - 2018,900.0,,3.56,,,,,,,,,
,,2018 - 2019,700.0,,4.0,,,,,,,,,
,,2019 - 2020,600.0,,3.33,,,,,,,,,
,,2020 - 2021,600.0,,3.33,,,,,,,,,
,,2021 - 2022,600.0,,3.33,,,,,,,,,
,,2022 - 2023,600.0,,4.0,,,,,,,,,
,Faridkot,2000 - 2001,,,3.0,,,,,,,,,
,,2002 - 2003,,,4.0,,,,,,,,,
,,2003 - 2004,,,3.0,,,,,,,,,
,,2017 - 2018,100.0,300.0,3.0,,,,,,,,,
,,2018 - 2019,100.0,400.0,4.0,,,,,,,,,
,,2020 - 2021,100.0,400.0,4.0,,,,,,,,,
,,2021 - 2022,100.0,300.0,3.0,,,,,,,,,
,,2022 - 2023,100.0,400.0,4.0,,,,,,,,,
,Fatehgarh sahib,2000 - 2001,,,3.0,,,,,,,,,
,,2001 - 2002,,,3.0,,,,,,,,,
,,2002 - 2003,,,3.0,,,,,,,,,
,,2004 - 2005,,,3.0,,,,,,,,,
,,2014 - 2015,,,3.2,,,,,,,,,
,,2016 - 2017,300.0,,3.67,,,,,,,,,
,,2017 - 2018,300.0,800.0,2.67,,,,,,,,,
,,2018 - 2019,300.0,,3.33,,,,,,,,,
,,2019 - 2020,300.0,800.0,2.67,,,,,,,,,
,,2020 - 2021,300.0,,3.33,,,,,,,,,
,,2021 - 2022,200.0,600.0,3.0,,,,,,,,,
,,2022 - 2023,200.0,800.0,4.0,,,,,,,,,
,Fazilka,2012 - 2013,,,4.0,,,,,,,,,
,,2013 - 2014,,,4.0,,,,,,,,,
,,2014 - 2015,,,3.7,,,,,,,,,
,,2015 - 2016,,,4.05,,,,,,,,,
,,2016 - 2017,,,3.73,,,,,,,,,
,,2017 - 2018,,,3.62,,,,,,,,,
,,2018 - 2019,,,4.0,,,,,,,,,
,,2019 - 2020,,,3.64,,,,,,,,,
,,2020 - 2021,900.0,,3.67,,,,,,,,,
,,2021 - 2022,800.0,,3.13,,,,,,,,,
,,2022 - 2023,800.0,,3.75,,,,,,,,,
,Firozepur,2000 - 2001,,,3.4,,,,,,,,,
,,2001 - 2002,,,3.0,,,,,,,,,
,,2002 - 2003,,,3.0,,,,,,,,,
,,2003 - 2004,,,3.25,,,,,,,,,
,,2004 - 2005,,,3.25,,,,,,,,,
,,2005 - 2006,,,3.75,,,,,,,,,
,,2006 - 2007,,,3.4,,,,,,,,,
,,2007 - 2008,,,3.5,,,,,,,,,
,,2008 - 2009,,,3.6,,,,,,,,,
,,2009 - 2010,,,3.25,,,,,,,,,
,,2010 - 2011,,,3.67,,,,,,,,,
,,2011 - 2012,,,4.0,,,,,,,,,
,Jalandhar,2018 - 2019,100.0,400.0,4.0,,,,,,,,,
,Ludhiana,2000 - 2001,,,4.0,,,,,,,,,
,,2001 - 2002,,,3.5,,,,,,,,,
,,2002 - 2003,,,3.33,,,,,,,,,
,,2003 - 2004,,,3.0,,,,,,,,,
,,2004 - 2005,,,3.5,,,,,,,,,
,,2005 - 2006,,,3.5,,,,,,,,,
,,2006 - 2007,,,3.0,,,,,,,,,
,,2007 - 2008,,,3.5,,,,,,,,,
,,2008 - 2009,,,2.5,,,,,,,,,
,,2009 - 2010,,,3.5,,,,,,,,,
,,2010 - 2011,,,4.0,,,,,,,,,
,,2011 - 2012,,,4.0,,,,,,,,,
,,2012 - 2013,,,3.5,,,,,,,,,
,,2013 - 2014,,,4.0,,,,,,,,,
,,2014 - 2015,,,3.5,,,,,,,,,
,,2015 - 2016,,,3.3,,,,,,,,,
,,2016 - 2017,,,3.92,,,,,,,,,
,,2017 - 2018,,,4.36,,,,,,,,,
,,2018 - 2019,,,3.5,,,,,,,,,
,,2019 - 2020,,,3.82,,,,,,,,,
,,2020 - 2021,,,3.55,,,,,,,,,
,,2021 - 2022,900.0,,3.22,,,,,,,,,
,,2022 - 2023,,,3.92,,,,,,,,,
,Malerkotla,2021 - 2022,400.0,,3.25,,,,,,,,,
,,2022 - 2023,400.0,,4.0,,,,,,,,,
,Mansa,2000 - 2001,,,3.33,,,,,,,,,
,,2001 - 2002,,,2.5,,,,,,,,,
,,2002 - 2003,,,3.0,,,,,,,,,
,,2003 - 2004,,,3.5,,,,,,,,,
,,2004 - 2005,,,3.0,,,,,,,,,
,,2005 - 2006,,,2.5,,,,,,,,,
,,2006 - 2007,,,3.0,,,,,,,,,
,,2007 - 2008,,,3.0,,,,,,,,,
,,2008 - 2009,,,3.0,,,,,,,,,
,,2009 - 2010,,,3.0,,,,,,,,,
,,2010 - 2011,,,3.0,,,,,,,,,
,,2011 - 2012,,,3.0,,,,,,,,,
,,2012 - 2013,,,3.0,,,,,,,,,
,,2013 - 2014,,,3.0,,,,,,,,,
,,2014 - 2015,,,3.1,,,,,,,,,
,,2015 - 2016,,,3.4,,,,,,,,,
,,2016 - 2017,500.0,,3.6,,,,,,,,,
,,2017 - 2018,500.0,,3.4,,,,,,,,,
,,2018 - 2019,300.0,,3.67,,,,,,,,,
,,2019 - 2020,300.0,,3.67,,,,,,,,,
,,2020 - 2021,300.0,,3.67,,,,,,,,,
,,2021 - 2022,200.0,700.0,3.5,,,,,,,,,
,,2022 - 2023,300.0,,4.0,,,,,,,,,
,Moga,2000 - 2001,,,3.0,,,,,,,,,
,,2001 - 2002,,,3.0,,,,,,,,,
,,2002 - 2003,,,2.0,,,,,,,,,
,,2003 - 2004,,,3.0,,,,,,,,,
,,2004 - 2005,,,3.0,,,,,,,,,
,,2005 - 2006,,,3.0,,,,,,,,,
,,2006 - 2007,,,3.0,,,,,,,,,
,,2008 - 2009,,,3.0,,,,,,,,,
,,2016 - 2017,300.0,,3.67,,,,,,,,,
,,2017 - 2018,300.0,,3.33,,,,,,,,,
,,2018 - 2019,300.0,,4.0,,,,,,,,,
,,2019 - 2020,400.0,,4.0,,,,,,,,,
,,2020 - 2021,300.0,,4.33,,,,,,,,,
,,2021 - 2022,200.0,500.0,2.5,,,,,,,,,
,,2022 - 2023,200.0,700.0,3.5,,,,,,,,,
,Muktsar,2000 - 2001,,,3.25,,,,,,,,,
,,2001 - 2002,,,3.0,,,,,,,,,
,,2002 - 2003,,,3.33,,,,,,,,,
,,2003 - 2004,,,3.33,,,,,,,,,
,,2004 - 2005,,,3.33,,,,,,,,,
,,2005 - 2006,,,3.0,,,,,,,,,
,,2006 - 2007,,,4.0,,,,,,,,,
,,2007 - 2008,,,4.0,,,,,,,,,
,,2008 - 2009,,,4.0,,,,,,,,,
,,2009 - 2010,,,4.0,,,,,,,,,
,,2010 - 2011,,,4.0,,,,,,,,,
,,2011 - 2012,,,3.0,,,,,,,,,
,,2012 - 2013,,,4.0,,,,,,,,,
,,2013 - 2014,,,4.0,,,,,,,,,
,,2014 - 2015,,,3.4,,,,,,,,,
,,2015 - 2016,,,3.5,,,,,,,,,
,,2016 - 2017,500.0,,3.2,,,,,,,,,
,,2017 - 2018,300.0,,3.33,,,,,,,,,
,,2018 - 2019,300.0,,3.67,,,,,,,,,
,,2019 - 2020,200.0,800.0,4.0,,,,,,,,,
,,2020 - 2021,200.0,700.0,3.5,,,,,,,,,
,,2021 - 2022,200.0,600.0,3.0,,,,,,,,,
,,2022 - 2023,200.0,600.0,3.0,,,,,,,,,
,Pathankot,2012 - 2013,,,3.0,,,,,,,,,
,Patiala,2000 - 2001,,,3.5,,,,,,,,,
,,2001 - 2002,,,4.5,,,,,,,,,
,,2002 - 2003,,,3.5,,,,,,,,,
,,2003 - 2004,,,3.0,,,,,,,,,
,,2004 - 2005,,,4.0,,,,,,,,,
,,2005 - 2006,,,4.0,,,,,,,,,
,,2006 - 2007,,,3.0,,,,,,,,,
,,2007 - 2008,,,4.0,,,,,,,,,
,,2008 - 2009,,,4.0,,,,,,,,,
,,2009 - 2010,,,4.0,,,,,,,,,
,,2010 - 2011,,,4.0,,,,,,,,,
,,2011 - 2012,,,5.0,,,,,,,,,
,,2013 - 2014,,,4.0,,,,,,,,,
,,2014 - 2015,,,4.1,,,,,,,,,
,,2015 - 2016,,,4.0,,,,,,,,,
,,2016 - 2017,500.0,,5.2,,,,,,,,,
,,2017 - 2018,500.0,,5.4,,,,,,,,,
,,2018 - 2019,400.0,,4.5,,,,,,,,,
,,2019 - 2020,300.0,,3.67,,,,,,,,,
,,2020 - 2021,300.0,,4.0,,,,,,,,,
,,2021 - 2022,300.0,900.0,3.0,,,,,,,,,
,,2022 - 2023,300.0,,3.67,,,,,,,,,
,Rupnagar,2016 - 2017,100.0,300.0,3.0,,,,,,,,,
,,2017 - 2018,100.0,400.0,4.0,,,,,,,,,
,,2018 - 2019,100.0,400.0,4.0,,,,,,,,,
,,2019 - 2020,100.0,400.0,4.0,,,,,,,,,
,,2020 - 2021,100.0,500.0,5.0,,,,,,,,,
,,2021 - 2022,100.0,300.0,3.0,,,,,,,,,
,,2022 - 2023,100.0,400.0,4.0,,,,,,,,,
,S.a.s nagar,2016 - 2017,100.0,400.0,4.0,,,,,,,,,
,,2017 - 2018,100.0,400.0,4.0,,,,,,,,,
,,2019 - 2020,100.0,300.0,3.0,,,,,,,,,
,,2020 - 2021,100.0,300.0,3.0,,,,,,,,,
,,2021 - 2022,100.0,300.0,3.0,,,,,,,,,
,,2022 - 2023,100.0,200.0,2.0,,,,,,,,,
,Sangrur,2000 - 2001,,,3.86,,,,,,,,,
,,2001 - 2002,,,4.17,,,,,,,,,
,,2002 - 2003,,,3.5,,,,,,,,,
,,2003 - 2004,,,3.8,,,,,,,,,
,,2004 - 2005,,,3.8,,,,,,,,,
,,2005 - 2006,,,3.6,,,,,,,,,
,,2006 - 2007,,,3.5,,,,,,,,,
,,2007 - 2008,,,4.0,,,,,,,,,
,,2008 - 2009,,,4.0,,,,,,,,,
,,2009 - 2010,,,3.5,,,,,,,,,
,,2010 - 2011,,,4.0,,,,,,,,,
,,2011 - 2012,,,4.5,,,,,,,,,
,,2012 - 2013,,,4.0,,,,,,,,,
,,2013 - 2014,,,4.0,,,,,,,,,
,,2014 - 2015,,,3.85,,,,,,,,,
,,2015 - 2016,,,3.9,,,,,,,,,
,,2016 - 2017,,,4.13,,,,,,,,,
,,2017 - 2018,,,4.06,,,,,,,,,
,,2018 - 2019,,,3.67,,,,,,,,,
,,2019 - 2020,,,4.29,,,,,,,,,
,,2020 - 2021,,,4.36,,,,,,,,,
,,2021 - 2022,600.0,,3.33,,,,,,,,,
,,2022 - 2023,700.0,,4.29,,,,,,,,,
Rajasthan,Ajmer,2000 - 2001,,,1.45,,,,,,,,,
,,2001 - 2002,,,2.51,,,,,,,,,
,,2002 - 2003,,,1.62,,,,,,,,,
,,2003 - 2004,,,2.43,,,,,,,,,
,,2004 - 2005,,,2.36,,,,,,,,,
,,2005 - 2006,,,1.75,,,,,,,,,
,,2006 - 2007,,,2.16,,,,,,,,,
,,2007 - 2008,,,2.05,,,,,,,,,
,,2008 - 2009,,,2.34,,,,,,,,,
,,2009 - 2010,,,2.2,,,,,,,,,
,,2010 - 2011,,,2.26,,,,,,,,,
,,2011 - 2012,,,2.72,,,,,,,,,
,,2012 - 2013,,,3.24,,,,,,,,,
,,2013 - 2014,,,2.7,,,,,,,,,
,,2014 - 2015,,,1.97,,,,,,,,,
,,2015 - 2016,,,2.47,,,,,,,,,
,,2016 - 2017,,,3.21,,,,,,,,,
,,2017 - 2018,,,2.63,,,,,,,,,
,,2018 - 2019,,,3.07,,,,,,,,,
,,2019 - 2020,,,3.23,,,,,,,,,
,,2020 - 2021,,,3.04,,,,,,,,,
,,2021 - 2022,,,3.04,,,,,,,,,
,,2022 - 2023,,,2.99,,,,,,,,,
,Alwar,2000 - 2001,,,2.48,,,,,,,,,
,,2001 - 2002,,,2.72,,,,,,,,,
,,2002 - 2003,,,3.17,,,,,,,,,
,,2003 - 2004,,,2.07,,,,,,,,,
,,2004 - 2005,,,3.2,,,,,,,,,
,,2005 - 2006,,,2.89,,,,,,,,,
,,2006 - 2007,,,3.25,,,,,,,,,
,,2007 - 2008,,,2.91,,,,,,,,,
,,2008 - 2009,,,3.69,,,,,,,,,
,,2009 - 2010,,,3.71,,,,,,,,,
,,2010 - 2011,,,3.64,,,,,,,,,
,,2011 - 2012,,,3.58,,,,,,,,,
,,2012 - 2013,,,3.79,,,,,,,,,
,,2013 - 2014,,,3.27,,,,,,,,,
,,2014 - 2015,,,3.18,,,,,,,,,
,,2015 - 2016,,,3.59,,,,,,,,,
,,2016 - 2017,,,4.16,,,,,,,,,
,,2017 - 2018,,,4.17,,,,,,,,,
,,2018 - 2019,,,4.06,,,,,,,,,
,,2019 - 2020,,,3.85,,,,,,,,,
,,2020 - 2021,,,4.03,,,,,,,,,
,,2021 - 2022,,,4.22,,,,,,,,,
,,2022 - 2023,,,3.91,,,,,,,,,
,Banswara,2000 - 2001,,,0.99,,,,,,,,,
,,2001 - 2002,,,2.68,,,,,,,,,
,,2002 - 2003,,,1.72,,,,,,,,,
,,2003 - 2004,,,1.65,,,,,,,,,
,,2004 - 2005,,,1.57,,,,,,,,,
,,2005 - 2006,,,1.49,,,,,,,,,
,,2006 - 2007,,,1.84,,,,,,,,,
,,2007 - 2008,,,1.64,,,,,,,,,
,,2008 - 2009,,951.0,0.93,,,,,,,,,
,,2009 - 2010,934.0,,1.43,,,,,,,,,
,,2010 - 2011,859.0,,2.85,,,,,,,,,
,,2011 - 2012,,,1.59,,,,,,,,,
,,2012 - 2013,,,2.09,,,,,,,,,
,,2013 - 2014,,,1.88,,,,,,,,,
,,2014 - 2015,835.0,,1.93,,,,,,,,,
,,2015 - 2016,980.0,,1.82,,,,,,,,,
,,2016 - 2017,965.0,,3.3,,,,,,,,,
,,2017 - 2018,888.0,,3.32,,,,,,,,,
,,2018 - 2019,783.0,,3.6,,,,,,,,,
,,2019 - 2020,529.0,,3.53,,,,,,,,,
,,2020 - 2021,528.0,,3.5,,,,,,,,,
,,2021 - 2022,576.0,,3.55,,,,,,,,,
,,2022 - 2023,,,3.4,,,,,,,,,
,Baran,2000 - 2001,706.0,,1.82,,,,,,,,,
,,2001 - 2002,439.0,,2.57,,,,,,,,,
,,2002 - 2003,362.0,843.0,2.33,,,,,,,,,
,,2003 - 2004,319.0,717.0,2.25,,,,,,,,,
,,2004 - 2005,192.0,457.0,2.38,,,,,,,,,
,,2005 - 2006,256.0,582.0,2.27,,,,,,,,,
,,2006 - 2007,376.0,958.0,2.55,,,,,,,,,
,,2007 - 2008,396.0,857.0,2.16,,,,,,,,,
,,2008 - 2009,298.0,912.0,3.06,,,,,,,,,
,,2009 - 2010,356.0,988.0,2.78,,,,,,,,,
,,2010 - 2011,559.0,,2.85,,,,,,,,,
,,2011 - 2012,334.0,948.0,2.84,,,,,,,,,
,,2012 - 2013,316.0,983.0,3.11,,,,,,,,,
,,2013 - 2014,207.0,630.0,3.04,,,,,,,,,
,,2014 - 2015,253.0,709.0,2.8,,,,,,,,,
,,2015 - 2016,262.0,784.0,2.99,,,,,,,,,
,,2016 - 2017,305.0,,3.3,,,,,,,,,
,,2017 - 2018,123.0,409.0,3.33,,,,,,,,,
,,2018 - 2019,71.0,255.0,3.59,,,,,,,,,
,,2019 - 2020,123.0,434.0,3.53,,,,,,,,,
,,2020 - 2021,177.0,620.0,3.5,,,,,,,,,
,,2021 - 2022,54.0,192.0,3.56,,,,,,,,,
,,2022 - 2023,293.0,997.0,3.4,,,,,,,,,
,Barmer,2000 - 2001,57.0,103.0,1.81,,,,,,,,,
,,2001 - 2002,15.0,39.0,2.6,,,,,,,,,
,,2002 - 2003,147.0,342.0,2.33,,,,,,,,,
,,2003 - 2004,26.0,58.0,2.23,,,,,,,,,
,,2004 - 2005,62.0,148.0,2.39,,,,,,,,,
,,2005 - 2006,84.0,191.0,2.27,,,,,,,,,
,,2006 - 2007,53.0,135.0,2.55,,,,,,,,,
,,2007 - 2008,72.0,156.0,2.17,,,,,,,,,
,,2008 - 2009,56.0,171.0,3.05,,,,,,,,,
,,2009 - 2010,67.0,186.0,2.78,,,,,,,,,
,,2010 - 2011,43.0,123.0,2.86,,,,,,,,,
,,2011 - 2012,20.0,57.0,2.85,,,,,,,,,
,,2012 - 2013,21.0,65.0,3.1,,,,,,,,,
,,2013 - 2014,4.0,12.0,3.0,,,,,,,,,
,,2014 - 2015,35.0,98.0,2.8,,,,,,,,,
,,2015 - 2016,15.0,45.0,3.0,,,,,,,,,
,,2016 - 2017,23.0,76.0,3.3,,,,,,,,,
,,2017 - 2018,24.0,80.0,3.33,,,,,,,,,
,,2018 - 2019,39.0,140.0,3.59,,,,,,,,,
,,2019 - 2020,27.0,95.0,3.52,,,,,,,,,
,,2020 - 2021,22.0,77.0,3.5,,,,,,,,,
,,2021 - 2022,60.0,213.0,3.55,,,,,,,,,
,,2022 - 2023,33.0,112.0,3.39,,,,,,,,,
,Bharatpur,2000 - 2001,,,2.12,,,,,,,,,
,,2001 - 2002,,,2.98,,,,,,,,,
,,2002 - 2003,,,2.66,,,,,,,,,
,,2003 - 2004,,,3.24,,,,,,,,,
,,2004 - 2005,,,2.53,,,,,,,,,
,,2005 - 2006,,,2.7,,,,,,,,,
,,2006 - 2007,,,2.98,,,,,,,,,
,,2007 - 2008,,,2.63,,,,,,,,,
,,2008 - 2009,,,3.51,,,,,,,,,
,,2009 - 2010,,,3.18,,,,,,,,,
,,2010 - 2011,,,3.01,,,,,,,,,
,,2011 - 2012,,,3.57,,,,,,,,,
,,2012 - 2013,,,3.69,,,,,,,,,
,,2013 - 2014,,,3.05,,,,,,,,,
,,2014 - 2015,,,2.8,,,,,,,,,
,,2015 - 2016,,,2.99,,,,,,,,,
,,2016 - 2017,,,3.3,,,,,,,,,
,,2017 - 2018,,,3.32,,,,,,,,,
,,2018 - 2019,,,3.6,,,,,,,,,
,,2019 - 2020,,,3.53,,,,,,,,,
,,2020 - 2021,,,3.5,,,,,,,,,
,,2021 - 2022,418.0,,3.55,,,,,,,,,
,,2022 - 2023,318.0,,3.4,,,,,,,,,
,Bhilwara,2000 - 2001,,,1.95,,,,,,,,,
,,2001 - 2002,,,2.48,,,,,,,,,
,,2002 - 2003,,,1.49,,,,,,,,,
,,2003 - 2004,,,1.79,,,,,,,,,
,,2004 - 2005,,,2.34,,,,,,,,,
,,2005 - 2006,,,2.38,,,,,,,,,
,,2006 - 2007,,,2.5,,,,,,,,,
,,2007 - 2008,,,2.05,,,,,,,,,
,,2008 - 2009,,,2.14,,,,,,,,,
,,2009 - 2010,,,2.19,,,,,,,,,
,,2010 - 2011,,,2.45,,,,,,,,,
,,2011 - 2012,,,2.66,,,,,,,,,
,,2012 - 2013,,,2.9,,,,,,,,,
,,2013 - 2014,,,2.85,,,,,,,,,
,,2014 - 2015,,,1.77,,,,,,,,,
,,2015 - 2016,,,2.28,,,,,,,,,
,,2016 - 2017,,,3.02,,,,,,,,,
,,2017 - 2018,,,2.95,,,,,,,,,
,,2018 - 2019,,,3.14,,,,,,,,,
,,2019 - 2020,,,3.36,,,,,,,,,
,,2020 - 2021,,,3.48,,,,,,,,,
,,2021 - 2022,,,3.14,,,,,,,,,
,,2022 - 2023,,,3.05,,,,,,,,,
,Bikaner,2000 - 2001,,,1.82,,,,,,,,,
,,2001 - 2002,751.0,,2.57,,,,,,,,,
,,2002 - 2003,,,2.33,,,,,,,,,
,,2003 - 2004,,,2.25,,,,,,,,,
,,2004 - 2005,,,2.38,,,,,,,,,
,,2005 - 2006,,,2.27,,,,,,,,,
,,2006 - 2007,,,1.66,,,,,,,,,
,,2007 - 2008,,,0.98,,,,,,,,,
,,2008 - 2009,,,1.91,,,,,,,,,
,,2009 - 2010,,,1.02,,,,,,,,,
,,2010 - 2011,,,1.94,,,,,,,,,
,,2011 - 2012,,,2.55,,,,,,,,,
,,2012 - 2013,,,2.42,,,,,,,,,
,,2013 - 2014,,,2.43,,,,,,,,,
,,2014 - 2015,,,2.16,,,,,,,,,
,,2015 - 2016,,,2.34,,,,,,,,,
,,2016 - 2017,,,1.86,,,,,,,,,
,,2017 - 2018,,,2.21,,,,,,,,,
,,2018 - 2019,,,2.53,,,,,,,,,
,,2019 - 2020,,,2.8,,,,,,,,,
,,2020 - 2021,,,2.21,,,,,,,,,
,,2021 - 2022,,,2.73,,,,,,,,,
,,2022 - 2023,,,2.64,,,,,,,,,
,Bundi,2000 - 2001,,,1.58,,,,,,,,,
,,2001 - 2002,,,1.86,,,,,,,,,
,,2002 - 2003,,,1.66,,,,,,,,,
,,2003 - 2004,,,2.46,,,,,,,,,
,,2004 - 2005,584.0,,2.4,,,,,,,,,
,,2005 - 2006,700.0,,2.27,,,,,,,,,
,,2006 - 2007,825.0,,2.55,,,,,,,,,
,,2007 - 2008,807.0,,2.16,,,,,,,,,
,,2008 - 2009,756.0,,3.06,,,,,,,,,
,,2009 - 2010,664.0,,2.77,,,,,,,,,
,,2010 - 2011,,,2.85,,,,,,,,,
,,2011 - 2012,,,2.84,,,,,,,,,
,,2012 - 2013,,,3.11,,,,,,,,,
,,2013 - 2014,859.0,,3.05,,,,,,,,,
,,2014 - 2015,724.0,,2.8,,,,,,,,,
,,2015 - 2016,723.0,,2.99,,,,,,,,,
,,2016 - 2017,,,3.3,,,,,,,,,
,,2017 - 2018,,,3.32,,,,,,,,,
,,2018 - 2019,,,3.6,,,,,,,,,
,,2019 - 2020,,,3.53,,,,,,,,,
,,2020 - 2021,,,3.5,,,,,,,,,
,,2021 - 2022,482.0,,3.55,,,,,,,,,
,,2022 - 2023,,,3.4,,,,,,,,,
,Chittorgarh,2000 - 2001,,,1.95,,,,,,,,,
,,2001 - 2002,,,2.64,,,,,,,,,
,,2002 - 2003,,,2.25,,,,,,,,,
,,2003 - 2004,,,2.16,,,,,,,,,
,,2004 - 2005,,,2.33,,,,,,,,,
,,2005 - 2006,,,1.8,,,,,,,,,
,,2006 - 2007,,,2.63,,,,,,,,,
,,2007 - 2008,,,1.74,,,,,,,,,
,,2008 - 2009,,,2.99,,,,,,,,,
,,2009 - 2010,,,2.89,,,,,,,,,
,,2010 - 2011,,,2.54,,,,,,,,,
,,2011 - 2012,,,3.08,,,,,,,,,
,,2012 - 2013,,,3.33,,,,,,,,,
,,2013 - 2014,,,3.38,,,,,,,,,
,,2014 - 2015,,,2.21,,,,,,,,,
,,2015 - 2016,,,2.72,,,,,,,,,
,,2016 - 2017,,,3.6,,,,,,,,,
,,2017 - 2018,,,3.28,,,,,,,,,
,,2018 - 2019,,,3.43,,,,,,,,,
,,2019 - 2020,,,3.38,,,,,,,,,
,,2020 - 2021,,,3.71,,,,,,,,,
,,2021 - 2022,,,3.59,,,,,,,,,
,,2022 - 2023,,,3.59,,,,,,,,,
,Churu,2000 - 2001,,,1.15,,,,,,,,,
,,2001 - 2002,,729.0,0.65,,,,,,,,,
,,2002 - 2003,,,1.01,,,,,,,,,
,,2003 - 2004,,,0.99,,,,,,,,,
,,2004 - 2005,,,1.24,,,,,,,,,
,,2005 - 2006,,,1.0,,,,,,,,,
,,2006 - 2007,,,1.66,,,,,,,,,
,,2007 - 2008,,,0.98,,,,,,,,,
,,2008 - 2009,,,2.03,,,,,,,,,
,,2009 - 2010,,,2.66,,,,,,,,,
,,2010 - 2011,,,1.58,,,,,,,,,
,,2011 - 2012,,,1.43,,,,,,,,,
,,2012 - 2013,,,2.27,,,,,,,,,
,,2013 - 2014,,,2.32,,,,,,,,,
,,2014 - 2015,,,1.84,,,,,,,,,
,,2015 - 2016,,,2.54,,,,,,,,,
,,2016 - 2017,,,2.39,,,,,,,,,
,,2017 - 2018,,,2.3,,,,,,,,,
,,2018 - 2019,,,2.54,,,,,,,,,
,,2019 - 2020,,,2.16,,,,,,,,,
,,2020 - 2021,,,2.02,,,,,,,,,
,,2021 - 2022,,,2.59,,,,,,,,,
,,2022 - 2023,,,2.3,,,,,,,,,
,Dausa,2000 - 2001,,,2.17,,,,,,,,,
,,2001 - 2002,,,2.84,,,,,,,,,
