state,district,year,moth_kharif_area_hectare,moth_kharif_production_tonne,moth_kharif_yield_tonne_per_hectare,moth_rabi_area_hectare,moth_rabi_production_tonne,moth_rabi_yield_tonne_per_hectare
,,2010 - 2011,176.0,86.0,0.49,,,
,,2011 - 2012,146.0,50.0,0.34,,,
,,2012 - 2013,163.0,44.0,0.27,,,
,,2013 - 2014,88.0,25.0,0.28,,,
,,2014 - 2015,87.0,34.0,0.39,,,
,,2015 - 2016,198.0,54.0,0.27,,,
,,2016 - 2017,40.0,12.0,0.3,,,
,,2017 - 2018,2.0,1.0,0.5,,,
,,2018 - 2019,5.0,1.0,0.2,,,
,,2019 - 2020,1.0,,0.0,,,
,,2020 - 2021,123.0,41.0,0.33,,,
,,2021 - 2022,35.0,7.0,0.2,,,
,,2022 - 2023,1.0,1.0,1.0,,,
,Sikar,2000 - 2001,,494.0,0.09,,,
,,2001 - 2002,,,0.18,,,
,,2002 - 2003,,25.0,0.0,,,
,,2003 - 2004,,,0.36,,,
,,2004 - 2005,,,0.19,,,
,,2005 - 2006,,947.0,0.09,,,
,,2006 - 2007,,,0.2,,,
,,2007 - 2008,,,0.29,,,
,,2008 - 2009,,,0.24,,,
,,2009 - 2010,,53.0,0.01,,,
,,2010 - 2011,,,0.28,,,
,,2011 - 2012,,,0.35,,,
,,2012 - 2013,,566.0,0.2,,,
,,2013 - 2014,,510.0,0.22,,,
,,2014 - 2015,,,0.42,,,
,,2015 - 2016,,438.0,0.18,,,
,,2016 - 2017,,,0.53,,,
,,2017 - 2018,,416.0,0.27,,,
,,2018 - 2019,817.0,318.0,0.39,,,
,,2019 - 2020,398.0,170.0,0.43,,,
,,2020 - 2021,186.0,71.0,0.38,,,
,,2021 - 2022,268.0,32.0,0.12,,,
,,2022 - 2023,218.0,23.0,0.11,,,
,Sirohi,2000 - 2001,13.0,2.0,0.15,,,
,,2001 - 2002,59.0,14.0,0.24,,,
,,2002 - 2003,7.0,,0.0,,,
,,2003 - 2004,15.0,8.0,0.53,,,
,,2004 - 2005,3.0,,0.0,,,
,,2005 - 2006,9.0,1.0,0.11,,,
,,2006 - 2007,14.0,2.0,0.14,,,
,,2007 - 2008,125.0,39.0,0.31,,,
,,2008 - 2009,1.0,,0.0,,,
,,2009 - 2010,14.0,,0.0,,,
,,2010 - 2011,87.0,42.0,0.48,,,
,,2011 - 2012,1.0,,0.0,,,
,,2012 - 2013,3.0,1.0,0.33,,,
,,2014 - 2015,1.0,,0.0,,,
,,2016 - 2017,34.0,11.0,0.32,,,
,,2019 - 2020,31.0,10.0,0.32,,,
,,2020 - 2021,13.0,4.0,0.31,,,
,,2022 - 2023,1.0,0.0,0.0,,,
,Tonk,2000 - 2001,82.0,12.0,0.15,,,
,,2001 - 2002,88.0,21.0,0.24,,,
,,2002 - 2003,27.0,1.0,0.04,,,
,,2003 - 2004,33.0,17.0,0.52,,,
,,2004 - 2005,52.0,7.0,0.13,,,
,,2005 - 2006,76.0,9.0,0.12,,,
,,2006 - 2007,68.0,11.0,0.16,,,
,,2007 - 2008,63.0,20.0,0.32,,,
,,2008 - 2009,66.0,18.0,0.27,,,
,,2009 - 2010,53.0,2.0,0.04,,,
,,2010 - 2011,177.0,86.0,0.49,,,
,,2011 - 2012,190.0,64.0,0.34,,,
,,2012 - 2013,134.0,37.0,0.28,,,
,,2013 - 2014,52.0,24.0,0.46,,,
,,2014 - 2015,23.0,9.0,0.39,,,
,,2015 - 2016,23.0,6.0,0.26,,,
,,2016 - 2017,26.0,8.0,0.31,,,
,,2017 - 2018,8.0,3.0,0.38,,,
,,2018 - 2019,12.0,3.0,0.25,,,
,,2021 - 2022,64.0,13.0,0.2,,,
,Udaipur,2000 - 2001,2.0,,0.0,,,
,,2001 - 2002,2.0,0.1,0.05,,,
,,2002 - 2003,1.0,,0.0,,,
,,2003 - 2004,5.0,3.0,0.6,,,
,,2004 - 2005,6.0,1.0,0.17,,,
,,2008 - 2009,104.0,28.0,0.27,,,
,,2010 - 2011,3.0,1.0,0.33,,,
,,2015 - 2016,7.0,2.0,0.29,,,
,,2017 - 2018,2.0,1.0,0.5,,,
,,2018 - 2019,2.0,1.0,0.5,,,
,,2019 - 2020,6.0,2.0,0.33,,,
,,2020 - 2021,2.0,1.0,0.5,,,
Uttar Pradesh,Agra,2000 - 2001,5.0,2.0,0.4,,,
,,2001 - 2002,8.0,3.0,0.38,,,
,,2002 - 2003,4.0,2.0,0.5,,,
,,2003 - 2004,2.0,1.0,0.5,,,
,Aligarh,2000 - 2001,9.0,3.0,0.33,,,
,,2001 - 2002,17.0,6.0,0.35,,,
,,2002 - 2003,2.0,1.0,0.5,,,
,,2003 - 2004,7.0,2.0,0.29,,,
,Amroha,2001 - 2002,2.0,1.0,0.5,,,
,,2003 - 2004,5.0,2.0,0.4,,,
,Balrampur,2000 - 2001,2.0,1.0,0.5,,,
,,2001 - 2002,3.0,1.0,0.33,,,
,Banda,2003 - 2004,1.0,1.0,1.0,,,
,Barabanki,2000 - 2001,2.0,1.0,0.5,,,
,,2002 - 2003,4.0,2.0,0.5,,,
,,2003 - 2004,5.0,2.0,0.4,,,
,Bareilly,2003 - 2004,3.0,1.0,0.33,,,
,Bijnor,2003 - 2004,2.0,1.0,0.5,,,
,Budaun,2000 - 2001,20.0,6.0,0.3,,,
,,2001 - 2002,211.0,81.0,0.38,,,
,,2002 - 2003,220.0,90.0,0.41,,,
,,2003 - 2004,295.0,114.0,0.39,,,
,Bulandshahr,2001 - 2002,1.0,0.1,0.1,,,
,Chandauli,2000 - 2001,12.0,4.0,0.33,,,
,,2001 - 2002,1.0,1.0,1.0,,,
,Deoria,2002 - 2003,8.0,3.0,0.38,,,
,Etah,2000 - 2001,14.0,4.0,0.29,,,
,,2001 - 2002,15.0,6.0,0.4,,,
,,2002 - 2003,8.0,3.0,0.38,,,
,,2003 - 2004,18.0,7.0,0.39,,,
,Etawah,2001 - 2002,1.0,0.1,0.1,,,
,Farrukhabad,2001 - 2002,1.0,1.0,1.0,,,
,Firozabad,2000 - 2001,7.0,2.0,0.29,,,
,,2001 - 2002,1.0,1.0,1.0,,,
,,2002 - 2003,3.0,1.0,0.33,,,
,,2003 - 2004,2.0,1.0,0.5,,,
,Ghazipur,2001 - 2002,1.0,0.1,0.1,,,
,Gonda,2001 - 2002,1.0,1.0,1.0,,,
,,2003 - 2004,1.0,0.0,0.0,,,
,Hardoi,2000 - 2001,8.0,2.0,0.25,,,
,,2001 - 2002,4.0,1.0,0.25,,,
,,2003 - 2004,3.0,1.0,0.33,,,
,Hathras,2001 - 2002,3.0,1.0,0.33,,,
,Jalaun,2000 - 2001,7.0,2.0,0.29,,,
,,2001 - 2002,1.0,0.1,0.1,,,
,Jhansi,2003 - 2004,2.0,1.0,0.5,,,
,Kannauj,2001 - 2002,1.0,0.1,0.1,,,
,,2003 - 2004,4.0,2.0,0.5,,,
,Kushi nagar,2001 - 2002,2.0,1.0,0.5,,,
,,2003 - 2004,3.0,1.0,0.33,,,
,Mahoba,2000 - 2001,25.0,7.0,0.28,,,
,,2001 - 2002,2.0,1.0,0.5,,,
,,2002 - 2003,2.0,1.0,0.5,,,
,,2003 - 2004,3.0,1.0,0.33,,,
,Mainpuri,2001 - 2002,1.0,1.0,1.0,,,
,Mathura,2003 - 2004,3.0,1.0,0.33,,,
,Mirzapur,2000 - 2001,5.0,1.0,0.2,,,
,,2001 - 2002,4.0,2.0,0.5,,,
,Moradabad,2002 - 2003,2.0,1.0,0.5,,,
,,2003 - 2004,19.0,7.0,0.37,,,
,Pratapgarh,2002 - 2003,3.0,1.0,0.33,,,
,Rae bareli,2000 - 2001,3.0,1.0,0.33,,,
,,2001 - 2002,7.0,3.0,0.43,,,
,Shahjahanpur,2000 - 2001,2.0,1.0,0.5,,,
,Shravasti,2001 - 2002,11.0,4.0,0.36,,,
,Unnao,2000 - 2001,30.0,9.0,0.3,,,
,,2001 - 2002,12.0,5.0,0.42,,,
,Varanasi,2001 - 2002,28.0,11.0,0.39,,,
,,2002 - 2003,2.0,1.0,0.5,,,
,,2003 - 2004,1.0,0.0,0.0,,,
Uttarakhand,Champawat,2001 - 2002,4.0,1.0,0.25,,,
,Dehradun,2000 - 2001,6.0,2.0,0.33,,,
,,2008 - 2009,281.0,98.0,0.35,,,
,,2010 - 2011,5.0,2.0,0.4,,,
,,2011 - 2012,1.0,1.0,1.0,,,
,,2012 - 2013,3.0,1.0,0.33,,,
,,2013 - 2014,6.0,2.0,0.33,,,
,,2016 - 2017,1.0,0.0,0.0,,,
,,2017 - 2018,2.0,1.0,0.5,,,
,,2018 - 2019,1.0,1.0,1.0,,,
,Nainital,2000 - 2001,38.0,15.0,0.39,,,
,,2001 - 2002,7.0,3.0,0.43,,,
,,2003 - 2004,2.0,1.0,0.5,,,
,,2004 - 2005,4.0,1.0,0.25,,,
,,2005 - 2006,9.0,3.0,0.33,,,
,,2006 - 2007,10.0,3.0,0.3,,,
,,2007 - 2008,8.0,3.0,0.38,,,
,,2008 - 2009,62.0,22.0,0.35,,,
,,2009 - 2010,18.0,7.0,0.39,,,
,,2010 - 2011,17.0,7.0,0.41,,,
,,2011 - 2012,1.0,1.0,1.0,,,
,,2012 - 2013,17.0,7.0,0.41,,,
,,2013 - 2014,20.0,9.0,0.45,,,
,,2014 - 2015,37.0,16.0,0.43,,,
,,2015 - 2016,15.0,8.0,0.53,,,
,,2016 - 2017,7.0,3.0,0.43,,,
,,2017 - 2018,7.0,4.0,0.57,,,
,,2018 - 2019,18.0,8.0,0.44,,,
,,2019 - 2020,9.0,5.0,0.56,,,
,,2020 - 2021,42.0,24.0,0.57,,,
,,2021 - 2022,18.0,10.0,0.56,,,
,Udam singh nagar,2013 - 2014,1.0,,0.0,,,
,,2018 - 2019,1.0,,0.0,,,
West Bengal,Purulia,2013 - 2014,,,,15.0,13.0,0.87
,,2014 - 2015,16.0,14.0,0.88,,,
,,2015 - 2016,,,,16.0,14.0,0.88
,,2016 - 2017,,,,16.0,15.0,0.94
