state,district,year,arecanut_kharif_area_hectare,arecanut_kharif_production_tonne,arecanut_kharif_yield_tonne_per_hectare,arecanut_whole_year_area_hectare,arecanut_whole_year_production_tonne,arecanut_whole_year_yield_tonne_per_hectare,arecanut_rabi_area_hectare,arecanut_rabi_production_tonne,arecanut_rabi_yield_tonne_per_hectare
,,2009 - 2010,,,,,,6.73,,,
,,2010 - 2011,,,,,,10.81,,,
,,2011 - 2012,,,,,,8.1,,,
,,2012 - 2013,,,,,,8.03,,,
,,2013 - 2014,,,,,,11.14,,,
,,2014 - 2015,,,,,,9.25,,,
,,2015 - 2016,,,,,,9.8,,,
,,2016 - 2017,,,,,,10.16,,,
,,2017 - 2018,,,,,,10.85,,,
,,2018 - 2019,,,,,,8.93,,,
,,2019 - 2020,,,,,,10.81,,,
,,2020 - 2021,,,,,,11.26,,,
,,2021 - 2022,,,,,,11.18,,,
,,2022 - 2023,,,,,,5.05,,,
,Shimoga,2000 - 2001,,,,,,1.5,,,
,,2001 - 2002,,,,,,1.5,,,
,,2003 - 2004,,,,,,1.5,,,
,,2004 - 2005,,,,,,1.5,,,
,,2005 - 2006,,,,,,7.15,,,
,,2006 - 2007,,,,,,1.5,,,
,,2007 - 2008,,,,,,7.15,,,
,,2008 - 2009,,,,,,7.15,,,
,,2009 - 2010,,,,,,7.15,,,
,,2010 - 2011,,,,,,8.58,,,
,,2011 - 2012,,,,,,5.36,,,
,,2012 - 2013,,,,,,5.36,,,
,,2013 - 2014,,,,,,11.13,,,
,,2014 - 2015,,,,,,7.48,,,
,,2015 - 2016,,,,,,9.62,,,
,,2016 - 2017,,,,,,11.39,,,
,,2017 - 2018,,,,,,10.97,,,
,,2018 - 2019,,,,,,9.18,,,
,,2019 - 2020,,,,,,9.85,,,
,,2020 - 2021,,,,,,11.79,,,
,,2021 - 2022,,,,,,10.64,,,
,,2022 - 2023,,,,,,6.4,,,
,Tumkur,2000 - 2001,,,,,,1.23,,,
,,2001 - 2002,,,,,,1.23,,,
,,2003 - 2004,,,,,,1.23,,,
,,2004 - 2005,,,,,,1.23,,,
,,2005 - 2006,,,,,,5.66,,,
,,2006 - 2007,,,,,,1.23,,,
,,2007 - 2008,,,,,,5.66,,,
,,2008 - 2009,,,,,,5.66,,,
,,2009 - 2010,,,,,,5.66,,,
,,2010 - 2011,,,,,,8.95,,,
,,2011 - 2012,,,,,,7.31,,,
,,2012 - 2013,,,,,,7.31,,,
,,2013 - 2014,,,,,,8.22,,,
,,2014 - 2015,,,,,,9.61,,,
,,2015 - 2016,,,,,,10.12,,,
,,2016 - 2017,,,,,,7.37,,,
,,2017 - 2018,,,,,,8.32,,,
,,2018 - 2019,,,,,,9.09,,,
,,2019 - 2020,,,,,,10.81,,,
,,2020 - 2021,,,,,,11.91,,,
,,2021 - 2022,,,,,,11.62,,,
,,2022 - 2023,,,,,,6.3,,,
,Udupi,2000 - 2001,,,,,,1.78,,,
,,2001 - 2002,,,,,,1.78,,,
,,2003 - 2004,,,,,,1.78,,,
,,2004 - 2005,,,,,,1.78,,,
,,2005 - 2006,,,,,,8.37,,,
,,2006 - 2007,,,,,,1.78,,,
,,2007 - 2008,,,,,,8.37,,,
,,2008 - 2009,,,,,,8.37,,,
,,2009 - 2010,,,,,,8.37,,,
,,2010 - 2011,,,,,,12.28,,,
,,2011 - 2012,,,,,,7.79,,,
,,2012 - 2013,,,,,,7.79,,,
,,2013 - 2014,,,,,,7.88,,,
,,2014 - 2015,,,,,,13.94,,,
,,2015 - 2016,,,,,,19.21,,,
,,2016 - 2017,,,,,,10.22,,,
,,2017 - 2018,,,,,,14.12,,,
,,2018 - 2019,,,,,,7.47,,,
,,2019 - 2020,,,,,,8.43,,,
,,2020 - 2021,,,,,,12.01,,,
,,2021 - 2022,,,,,,15.61,,,
,,2022 - 2023,,,,,,8.5,,,
,Uttar kannad,2000 - 2001,,,,,,1.36,,,
,,2001 - 2002,,,,,,1.36,,,
,,2003 - 2004,,,,,,1.36,,,
,,2004 - 2005,,,,,,1.36,,,
,,2005 - 2006,,,,,,6.48,,,
,,2006 - 2007,,,,,,1.36,,,
,,2007 - 2008,,,,,,6.48,,,
,,2008 - 2009,,,,,,6.48,,,
,,2009 - 2010,,,,,,6.48,,,
,,2010 - 2011,,,,,,13.97,,,
,,2011 - 2012,,,,,,14.08,,,
,,2012 - 2013,,,,,,14.08,,,
,,2013 - 2014,,,,,,11.14,,,
,,2014 - 2015,,,,,,12.69,,,
,,2015 - 2016,,,,,,13.21,,,
,,2016 - 2017,,,,,,13.31,,,
,,2017 - 2018,,,,,,11.9,,,
,,2018 - 2019,,,,,,14.08,,,
,,2019 - 2020,,,,,,14.32,,,
,,2020 - 2021,,,,,,14.34,,,
,,2021 - 2022,,,,,,14.5,,,
,,2022 - 2023,,,,,,12.95,,,
,Vijayanagar,2022 - 2023,,,,,,8.15,,,
,Yadgir,2021 - 2022,,,,1.0,11.0,11.0,,,
Kerala,Alappuzha,2000 - 2001,,,,,917.0,0.42,,,
,,2001 - 2002,,,,,792.0,0.33,,,
,,2002 - 2003,,,,,,0.42,,,
,,2003 - 2004,,,,,978.0,0.4,,,
,,2004 - 2005,,,,,,0.42,,,
,,2005 - 2006,,,,,950.0,0.4,,,
,,2006 - 2007,,,,,671.0,0.33,,,
,,2007 - 2008,,,,,687.0,0.41,,,
,,2008 - 2009,,,,,955.0,0.61,,,
,,2009 - 2010,,,,,,0.59,,,
,,2010 - 2011,,,,,769.05,0.48,,,
,,2011 - 2012,,,,,659.29,0.41,,,
,,2012 - 2013,,,,,682.0,0.49,,,
,,2013 - 2014,,,,,513.0,0.39,,,
,,2014 - 2015,,,,,641.0,0.48,,,
,,2015 - 2016,,,,,466.69,0.35,,,
,,2016 - 2017,,,,,437.0,0.33,,,
,,2017 - 2018,,,,,352.0,0.27,,,
,,2018 - 2019,,,,,385.0,0.28,,,
,,2019 - 2020,,,,,433.0,0.27,,,
,,2020 - 2021,,,,,402.59,0.29,,,
,,2021 - 2022,,,,,444.0,0.29,,,
,,2022 - 2023,,,,,433.68,0.31,,,
,Ernakulam,2000 - 2001,,,,,,0.79,,,
,,2001 - 2002,,,,,,0.77,,,
,,2002 - 2003,,,,,,0.76,,,
,,2003 - 2004,,,,,,0.72,,,
,,2004 - 2005,,,,,,0.75,,,
,,2005 - 2006,,,,,,1.07,,,
,,2006 - 2007,,,,,,1.02,,,
,,2007 - 2008,,,,,,1.23,,,
,,2008 - 2009,,,,,,1.16,,,
,,2009 - 2010,,,,,,1.1,,,
,,2010 - 2011,,,,,,1.07,,,
,,2011 - 2012,,,,,,0.94,,,
,,2012 - 2013,,,,,,0.85,,,
,,2013 - 2014,,,,,,0.88,,,
,,2014 - 2015,,,,,,1.1,,,
,,2015 - 2016,,,,,,0.84,,,
,,2016 - 2017,,,,,,0.76,,,
,,2017 - 2018,,,,,,0.7,,,
,,2018 - 2019,,,,,,0.74,,,
,,2019 - 2020,,,,,,0.72,,,
,,2020 - 2021,,,,,,0.63,,,
,,2021 - 2022,,,,,,0.74,,,
,,2022 - 2023,,,,,,0.7,,,
,Idukki,2000 - 2001,,,,,,1.03,,,
,,2001 - 2002,,,,,,0.87,,,
,,2002 - 2003,,,,,,0.94,,,
,,2003 - 2004,,,,,,0.95,,,
,,2004 - 2005,,,,,,1.07,,,
,,2005 - 2006,,,,,,1.16,,,
,,2006 - 2007,,,,,,1.48,,,
,,2007 - 2008,,,,,,1.13,,,
,,2008 - 2009,,,,,,1.19,,,
,,2009 - 2010,,,,,,1.14,,,
,,2010 - 2011,,,,,,0.71,,,
,,2011 - 2012,,,,,,0.93,,,
,,2012 - 2013,,,,,,0.93,,,
,,2013 - 2014,,,,,,0.75,,,
,,2014 - 2015,,,,,,0.77,,,
,,2015 - 2016,,,,,,0.71,,,
,,2016 - 2017,,,,,,0.98,,,
,,2017 - 2018,,,,,,0.84,,,
,,2018 - 2019,,,,,,0.78,,,
,,2019 - 2020,,,,,592.0,0.35,,,
,,2020 - 2021,,,,,,1.06,,,
,,2021 - 2022,,,,,,1.0,,,
,,2022 - 2023,,,,,,0.85,,,
,Kannur,2000 - 2001,,,,,,0.97,,,
,,2001 - 2002,,,,,,0.99,,,
,,2002 - 2003,,,,,,1.04,,,
,,2003 - 2004,,,,,,1.09,,,
,,2004 - 2005,,,,,,1.07,,,
,,2005 - 2006,,,,,,1.17,,,
,,2006 - 2007,,,,,,1.11,,,
,,2007 - 2008,,,,,,0.94,,,
,,2008 - 2009,,,,,,1.27,,,
,,2009 - 2010,,,,,,1.27,,,
,,2010 - 2011,,,,,,1.03,,,
,,2011 - 2012,,,,,,1.3,,,
,,2012 - 2013,,,,,,1.27,,,
,,2013 - 2014,,,,,,1.22,,,
,,2014 - 2015,,,,,,1.16,,,
,,2015 - 2016,,,,,,1.51,,,
,,2016 - 2017,,,,,,1.33,,,
,,2017 - 2018,,,,,,1.27,,,
,,2018 - 2019,,,,,,1.02,,,
,,2019 - 2020,,,,,,0.8,,,
,,2020 - 2021,,,,,,0.84,,,
,,2021 - 2022,,,,,,0.94,,,
,,2022 - 2023,,,,,,0.9,,,
,Kasaragod,2000 - 2001,,,,,,1.95,,,
,,2001 - 2002,,,,,,1.5,,,
,,2002 - 2003,,,,,,2.0,,,
,,2003 - 2004,,,,,,1.87,,,
,,2004 - 2005,,,,,,1.82,,,
,,2005 - 2006,,,,,,1.86,,,
,,2006 - 2007,,,,,,2.37,,,
,,2007 - 2008,,,,,,2.89,,,
,,2008 - 2009,,,,,,2.51,,,
,,2009 - 2010,,,,,,1.81,,,
,,2010 - 2011,,,,,,1.67,,,
,,2011 - 2012,,,,,,1.95,,,
,,2012 - 2013,,,,,,1.94,,,
,,2013 - 2014,,,,,,1.73,,,
,,2014 - 2015,,,,,,2.74,,,
,,2015 - 2016,,,,,,2.7,,,
,,2016 - 2017,,,,,,2.66,,,
,,2017 - 2018,,,,,,2.34,,,
,,2018 - 2019,,,,,,2.15,,,
,,2019 - 2020,,,,,,2.13,,,
,,2020 - 2021,,,,,,2.03,,,
,,2021 - 2022,,,,,,2.51,,,
,,2022 - 2023,,,,,,2.15,,,
,Kollam,2000 - 2001,,,,,,0.47,,,
,,2001 - 2002,,,,,,0.55,,,
,,2002 - 2003,,,,,,0.68,,,
,,2003 - 2004,,,,,,0.59,,,
,,2004 - 2005,,,,,,0.55,,,
,,2005 - 2006,,,,,,0.72,,,
,,2006 - 2007,,,,,,0.71,,,
,,2007 - 2008,,,,,,0.6,,,
,,2008 - 2009,,,,,,0.75,,,
,,2009 - 2010,,,,,,0.75,,,
,,2010 - 2011,,,,,,0.58,,,
,,2011 - 2012,,,,,,0.82,,,
,,2012 - 2013,,,,,,0.61,,,
,,2013 - 2014,,,,,,0.65,,,
,,2014 - 2015,,,,,,0.76,,,
,,2015 - 2016,,,,,,0.55,,,
,,2016 - 2017,,,,,,0.61,,,
,,2017 - 2018,,,,,,0.65,,,
,,2018 - 2019,,,,,,0.65,,,
,,2019 - 2020,,,,,818.0,0.52,,,
,,2020 - 2021,,,,,,0.67,,,
,,2021 - 2022,,,,,,0.66,,,
,,2022 - 2023,,,,,835.39,0.57,,,
,Kottayam,2000 - 2001,,,,,808.0,0.56,,,
,,2001 - 2002,,,,,725.0,0.46,,,
,,2002 - 2003,,,,,,0.61,,,
,,2003 - 2004,,,,,,0.64,,,
,,2004 - 2005,,,,,,0.6,,,
,,2005 - 2006,,,,,,0.58,,,
,,2006 - 2007,,,,,,0.75,,,
,,2007 - 2008,,,,,,0.85,,,
,,2008 - 2009,,,,,,0.73,,,
,,2009 - 2010,,,,,,0.77,,,
,,2010 - 2011,,,,,,0.74,,,
,,2011 - 2012,,,,,,0.73,,,
,,2012 - 2013,,,,,,0.65,,,
,,2013 - 2014,,,,,,0.7,,,
,,2014 - 2015,,,,,,0.77,,,
,,2015 - 2016,,,,,,0.69,,,
,,2016 - 2017,,,,,,0.71,,,
,,2017 - 2018,,,,,,0.76,,,
,,2018 - 2019,,,,,,0.78,,,
,,2019 - 2020,,,,,641.0,0.47,,,
,,2020 - 2021,,,,,,0.79,,,
,,2021 - 2022,,,,,,0.72,,,
,,2022 - 2023,,,,,964.61,0.7,,,
,Kozhikode,2000 - 2001,,,,,,1.43,,,
,,2001 - 2002,,,,,,1.15,,,
,,2002 - 2003,,,,,,1.47,,,
,,2003 - 2004,,,,,,1.24,,,
,,2004 - 2005,,,,,,1.07,,,
,,2005 - 2006,,,,,,1.16,,,
,,2006 - 2007,,,,,,0.97,,,
,,2007 - 2008,,,,,,1.09,,,
,,2008 - 2009,,,,,,1.4,,,
,,2009 - 2010,,,,,,1.26,,,
,,2010 - 2011,,,,,,0.91,,,
,,2011 - 2012,,,,,,1.07,,,
,,2012 - 2013,,,,,,0.96,,,
,,2013 - 2014,,,,,,0.9,,,
,,2014 - 2015,,,,,,1.13,,,
,,2015 - 2016,,,,,,1.02,,,
,,2016 - 2017,,,,,,0.72,,,
,,2017 - 2018,,,,,,1.0,,,
,,2018 - 2019,,,,,,0.84,,,
,,2019 - 2020,,,,,,0.63,,,
,,2020 - 2021,,,,,,0.95,,,
,,2021 - 2022,,,,,,0.81,,,
,,2022 - 2023,,,,,,0.78,,,
,Malappuram,2000 - 2001,,,,,,0.61,,,
,,2001 - 2002,,,,,,0.63,,,
,,2002 - 2003,,,,,,0.89,,,
,,2003 - 2004,,,,,,0.78,,,
,,2004 - 2005,,,,,,0.86,,,
,,2005 - 2006,,,,,,0.78,,,
,,2006 - 2007,,,,,,0.95,,,
,,2007 - 2008,,,,,,1.0,,,
,,2008 - 2009,,,,,,1.17,,,
,,2009 - 2010,,,,,,1.28,,,
,,2010 - 2011,,,,,,0.88,,,
,,2011 - 2012,,,,,,1.16,,,
,,2012 - 2013,,,,,,1.4,,,
,,2013 - 2014,,,,,,1.01,,,
,,2014 - 2015,,,,,,1.2,,,
,,2015 - 2016,,,,,,1.31,,,
,,2016 - 2017,,,,,,0.9,,,
,,2017 - 2018,,,,,,0.89,,,
,,2018 - 2019,,,,,,0.81,,,
,,2019 - 2020,,,,,,0.66,,,
,,2020 - 2021,,,,,,0.79,,,
,,2021 - 2022,,,,,,0.96,,,
,,2022 - 2023,,,,,,0.9,,,
,Palakkad,2000 - 2001,,,,,,0.67,,,
,,2001 - 2002,,,,,,1.0,,,
,,2002 - 2003,,,,,,1.16,,,
,,2003 - 2004,,,,,,1.11,,,
,,2004 - 2005,,,,,,0.97,,,
,,2005 - 2006,,,,,,0.97,,,
,,2006 - 2007,,,,,,0.72,,,
,,2007 - 2008,,,,,,0.69,,,
,,2008 - 2009,,,,,,1.29,,,
,,2009 - 2010,,,,,,1.13,,,
,,2010 - 2011,,,,,,0.96,,,
,,2011 - 2012,,,,,,1.25,,,
,,2012 - 2013,,,,,,0.93,,,
,,2013 - 2014,,,,,,0.88,,,
,,2014 - 2015,,,,,,0.94,,,
,,2015 - 2016,,,,,,0.99,,,
,,2016 - 2017,,,,,,0.83,,,
,,2017 - 2018,,,,,,0.84,,,
,,2018 - 2019,,,,,,0.8,,,
,,2019 - 2020,,,,,,0.75,,,
,,2020 - 2021,,,,,,0.78,,,
,,2021 - 2022,,,,,,0.7,,,
,,2022 - 2023,,,,,,0.69,,,
,Pathanamthitta,2000 - 2001,,,,,,0.84,,,
,,2001 - 2002,,,,,,0.8,,,
,,2002 - 2003,,,,,,0.98,,,
,,2003 - 2004,,,,,,0.87,,,
,,2004 - 2005,,,,,,0.83,,,
,,2005 - 2006,,,,,,1.12,,,
,,2006 - 2007,,,,,,0.75,,,
,,2007 - 2008,,,,,593.0,0.49,,,
,,2008 - 2009,,,,,555.0,0.51,,,
,,2009 - 2010,,,,,615.0,0.56,,,
,,2010 - 2011,,,,,674.23,0.6,,,
,,2011 - 2012,,,,,754.1,0.62,,,
,,2012 - 2013,,,,,766.0,0.64,,,
,,2013 - 2014,,,,,833.0,0.69,,,
,,2014 - 2015,,,,,840.0,0.71,,,
,,2015 - 2016,,,,,696.98,0.63,,,
,,2016 - 2017,,,,,578.0,0.54,,,
,,2017 - 2018,,,,,643.0,0.61,,,
,,2018 - 2019,,,,987.66,623.0,0.63,,,
,,2019 - 2020,,,,,571.0,0.55,,,
,,2020 - 2021,,,,973.84,680.35,0.7,,,
,,2021 - 2022,,,,,701.0,0.7,,,
,,2022 - 2023,,,,,616.32,0.6,,,
,Thiruvananthapuram,2000 - 2001,,,,,538.0,0.49,,,
,,2001 - 2002,,,,,493.0,0.45,,,
,,2002 - 2003,,,,,520.0,0.43,,,
,,2003 - 2004,,,,,491.0,0.4,,,
,,2004 - 2005,,,,,547.0,0.43,,,
,,2005 - 2006,,,,,690.0,0.55,,,
,,2006 - 2007,,,,,789.0,0.73,,,
,,2007 - 2008,,,,,579.0,0.54,,,
,,2008 - 2009,,,,999.0,601.0,0.6,,,
,,2009 - 2010,,,,890.0,460.0,0.52,,,
,,2010 - 2011,,,,922.45,555.85,0.6,,,
,,2011 - 2012,,,,968.24,494.22,0.51,,,
,,2012 - 2013,,,,,577.0,0.56,,,
,,2013 - 2014,,,,,476.0,0.48,,,
,,2014 - 2015,,,,,596.0,0.58,,,
,,2015 - 2016,,,,,643.49,0.62,,,
,,2016 - 2017,,,,,599.0,0.6,,,
,,2017 - 2018,,,,891.0,495.0,0.56,,,
,,2018 - 2019,,,,901.14,462.0,0.51,,,
,,2019 - 2020,,,,859.0,342.0,0.4,,,
,,2020 - 2021,,,,792.27,286.2,0.36,,,
,,2021 - 2022,,,,765.0,281.0,0.37,,,
,,2022 - 2023,,,,931.65,337.6,0.36,,,
,Thrissur,2000 - 2001,,,,,,0.88,,,
,,2001 - 2002,,,,,,0.92,,,
,,2002 - 2003,,,,,,0.92,,,
,,2003 - 2004,,,,,,0.9,,,
,,2004 - 2005,,,,,,0.96,,,
,,2005 - 2006,,,,,,1.31,,,
,,2006 - 2007,,,,,,0.74,,,
,,2007 - 2008,,,,,,0.66,,,
,,2008 - 2009,,,,,,1.0,,,
,,2009 - 2010,,,,,,0.99,,,
,,2010 - 2011,,,,,,0.68,,,
,,2011 - 2012,,,,,,0.67,,,
,,2012 - 2013,,,,,,0.81,,,
,,2013 - 2014,,,,,,0.66,,,
,,2014 - 2015,,,,,,0.77,,,
,,2015 - 2016,,,,,,0.97,,,
,,2016 - 2017,,,,,,0.8,,,
,,2017 - 2018,,,,,,0.78,,,
,,2018 - 2019,,,,,,0.84,,,
,,2019 - 2020,,,,,,0.76,,,
,,2020 - 2021,,,,,,0.75,,,
,,2021 - 2022,,,,,,0.73,,,
,,2022 - 2023,,,,,,0.72,,,
,Wayanad,2000 - 2001,,,,,,0.45,,,
,,2001 - 2002,,,,,,0.4,,,
,,2002 - 2003,,,,,,0.45,,,
,,2003 - 2004,,,,,,0.48,,,
,,2004 - 2005,,,,,,0.56,,,
,,2005 - 2006,,,,,,0.57,,,
,,2006 - 2007,,,,,,0.44,,,
,,2007 - 2008,,,,,,0.38,,,
,,2008 - 2009,,,,,,0.47,,,
,,2009 - 2010,,,,,,0.5,,,
,,2010 - 2011,,,,,,0.68,,,
,,2011 - 2012,,,,,,0.52,,,
,,2012 - 2013,,,,,,0.5,,,
,,2013 - 2014,,,,,,0.33,,,
,,2014 - 2015,,,,,,0.52,,,
,,2015 - 2016,,,,,,0.55,,,
,,2016 - 2017,,,,,,0.6,,,
,,2017 - 2018,,,,,,0.4,,,
,,2018 - 2019,,,,,,0.31,,,
,,2019 - 2020,,,,,,0.43,,,
,,2020 - 2021,,,,,,0.93,,,
,,2021 - 2022,,,,,,0.36,,,
,,2022 - 2023,,,,,,0.33,,,
Meghalaya,East garo hills,2000 - 2001,,,,831.0,929.0,1.12,,,
,,2001 - 2002,,,,846.0,943.0,1.11,,,
,,2003 - 2004,,,,787.0,885.0,1.12,,,
,,2004 - 2005,,,,802.0,905.0,1.13,,,
,,2005 - 2006,,,,,,1.13,,,
,,2006 - 2007,,,,,,,,,1.13
,,2008 - 2009,,,,,,1.14,,,
,,2009 - 2010,,,,,,1.14,,,
,,2010 - 2011,,,,,,1.13,,,
,,2011 - 2012,,,,,,1.15,,,
,,2012 - 2013,,,,,,1.19,,,
,,2013 - 2014,,,,,,1.19,,,
,,2014 - 2015,,,,,,1.24,,,
,,2015 - 2016,,,,,,,,,1.27
,,2016 - 2017,,,,,,,,,1.13
,,2017 - 2018,,,,,,,,,1.13
,,2018 - 2019,,,,,,,,,1.13
,,2019 - 2020,,,,,,,,,1.13
,,2020 - 2021,,,,,,,,,1.13
,,2022 - 2023,,,,,,,,,1.13
,East jaintia hills,2000 - 2001,,,,,,1.99,,,
,,2001 - 2002,,,,,,2.0,,,
,,2003 - 2004,,,,,,2.0,,,
,,2004 - 2005,,,,,,2.0,,,
,,2005 - 2006,,,,,,2.01,,,
,,2006 - 2007,,,,,,,,,1.96
,,2008 - 2009,,,,,,1.75,,,
,,2009 - 2010,,,,,,1.72,,,
,,2010 - 2011,,,,,,1.44,,,
,,2011 - 2012,,,,,,1.46,,,
,,2012 - 2013,,,,,,1.5,,,
,,2013 - 2014,,,,256.0,303.0,1.18,,,
,,2014 - 2015,,,,257.0,301.0,1.17,,,
,,2015 - 2016,,,,,,,264.0,326.0,1.23
,,2016 - 2017,,,,,,,255.0,270.0,1.06
,,2017 - 2018,,,,,,,256.0,271.0,1.06
,,2018 - 2019,,,,,,,257.0,273.0,1.06
,,2019 - 2020,,,,,,,258.0,274.0,1.06
,,2020 - 2021,,,,,,,259.0,275.0,1.06
,,2022 - 2023,,,,,,,263.0,279.0,1.06
,East khasi hills,2000 - 2001,,,,,,0.98,,,
,,2001 - 2002,,,,,,1.05,,,
,,2003 - 2004,,,,,,1.06,,,
,,2004 - 2005,,,,,,1.05,,,
,,2005 - 2006,,,,,,1.05,,,
,,2006 - 2007,,,,,,,,,1.05
,,2008 - 2009,,,,,,1.05,,,
,,2009 - 2010,,,,,,1.05,,,
,,2010 - 2011,,,,,,1.05,,,
,,2011 - 2012,,,,,,1.07,,,
,,2012 - 2013,,,,,,1.1,,,
,,2013 - 2014,,,,,,1.14,,,
,,2014 - 2015,,,,,,1.18,,,
,,2015 - 2016,,,,,,,,,1.21
,,2016 - 2017,,,,,,,,,0.89
,,2017 - 2018,,,,,,,,,0.89
,,2018 - 2019,,,,,,,,,0.89
,,2019 - 2020,,,,,,,,,0.9
,,2020 - 2021,,,,,,,,,0.9
,,2022 - 2023,,,,,,,,,1.13
,North garo hills,2013 - 2014,,,,963.0,,1.28,,,
,,2014 - 2015,,,,967.0,,1.29,,,
,,2015 - 2016,,,,,,,983.0,,1.32
,,2016 - 2017,,,,,,,,,1.32
,,2017 - 2018,,,,,,,,,1.32
,,2018 - 2019,,,,,,,,,1.32
,,2019 - 2020,,,,,,,,,1.32
,,2020 - 2021,,,,,,,,,1.32
,,2022 - 2023,,,,,,,,,1.15
,Ri bhoi,2000 - 2001,,,,92.0,58.0,0.63,,,
,,2001 - 2002,,,,120.0,59.0,0.49,,,
,,2003 - 2004,,,,124.0,68.0,0.55,,,
,,2004 - 2005,,,,130.0,74.0,0.57,,,
,,2005 - 2006,,,,131.0,74.0,0.56,,,
,,2006 - 2007,,,,,,,133.0,74.0,0.56
,,2008 - 2009,,,,145.0,90.0,0.62,,,
,,2009 - 2010,,,,149.0,93.0,0.62,,,
,,2010 - 2011,,,,142.0,87.0,0.61,,,
,,2011 - 2012,,,,151.0,93.0,0.62,,,
,,2012 - 2013,,,,164.0,102.0,0.62,,,
,,2013 - 2014,,,,170.0,110.0,0.65,,,
,,2014 - 2015,,,,176.0,123.0,0.7,,,
,,2015 - 2016,,,,,,,182.0,130.0,0.71
,,2016 - 2017,,,,,,,190.0,106.0,0.56
,,2017 - 2018,,,,,,,192.0,108.0,0.56
,,2018 - 2019,,,,,,,193.0,109.0,0.56
,,2019 - 2020,,,,,,,194.0,110.0,0.57
,,2020 - 2021,,,,,,,195.0,111.0,0.57
,,2022 - 2023,,,,,,,214.0,102.0,0.48
,South garo hills,2000 - 2001,,,,253.0,347.0,1.37,,,
,,2001 - 2002,,,,260.0,356.0,1.37,,,
,,2003 - 2004,,,,271.0,369.0,1.36,,,
,,2004 - 2005,,,,273.0,293.0,1.07,,,
,,2005 - 2006,,,,278.0,381.0,1.37,,,
,,2006 - 2007,,,,,,,284.0,390.0,1.37
,,2008 - 2009,,,,300.0,410.0,1.37,,,
,,2009 - 2010,,,,320.0,439.0,1.37,,,
,,2010 - 2011,,,,326.0,446.0,1.37,,,
,,2011 - 2012,,,,332.0,475.0,1.43,,,
,,2012 - 2013,,,,344.0,507.0,1.47,,,
,,2013 - 2014,,,,357.0,543.0,1.52,,,
,,2014 - 2015,,,,380.0,684.0,1.8,,,
,,2015 - 2016,,,,,,,386.0,689.0,1.78
,,2016 - 2017,,,,,,,387.0,690.0,1.78
,,2017 - 2018,,,,,,,389.0,695.0,1.79
,,2018 - 2019,,,,,,,390.0,697.0,1.79
,,2019 - 2020,,,,,,,391.0,699.0,1.79
,,2020 - 2021,,,,,,,392.0,701.0,1.79
,,2022 - 2023,,,,,,,,,1.9
,South west garo hills,2013 - 2014,,,,,,1.93,,,
,,2014 - 2015,,,,,,1.94,,,
,,2015 - 2016,,,,,,,,,2.03
,,2016 - 2017,,,,,,,,,1.77
,,2017 - 2018,,,,,,,,,1.78
,,2018 - 2019,,,,,,,,,1.78
,,2019 - 2020,,,,,,,,,1.78
,,2020 - 2021,,,,,,,,,1.78
,,2022 - 2023,,,,,,,,,1.68
,South west khasi hills,2013 - 2014,,,,556.0,568.0,1.02,,,
,,2014 - 2015,,,,573.0,602.0,1.05,,,
,,2015 - 2016,,,,,,,598.0,754.0,1.26
,,2016 - 2017,,,,,,,611.0,753.0,1.23
,,2017 - 2018,,,,,,,613.0,756.0,1.23
,,2018 - 2019,,,,,,,614.0,757.0,1.23
,,2019 - 2020,,,,,,,615.0,759.0,1.23
,,2020 - 2021,,,,,,,616.0,761.0,1.24
,,2022 - 2023,,,,,,,712.0,,1.47
,West garo hills,2000 - 2001,,,,,,1.48,,,
,,2001 - 2002,,,,,,1.48,,,
,,2003 - 2004,,,,,,1.48,,,
,,2004 - 2005,,,,,,1.46,,,
,,2005 - 2006,,,,,,1.8,,,
,,2006 - 2007,,,,,,,,,1.79
,,2008 - 2009,,,,,,1.86,,,
,,2009 - 2010,,,,,,1.91,,,
,,2010 - 2011,,,,,,1.87,,,
,,2011 - 2012,,,,,,1.89,,,
,,2012 - 2013,,,,,,1.95,,,
,,2013 - 2014,,,,,,2.05,,,
,,2014 - 2015,,,,,,2.06,,,
,,2015 - 2016,,,,,,,,,2.1
,,2016 - 2017,,,,,,,,,1.64
,,2017 - 2018,,,,,,,,,1.64
,,2018 - 2019,,,,,,,,,1.64
,,2019 - 2020,,,,,,,,,1.64
,,2020 - 2021,,,,,,,,,1.64
,,2022 - 2023,,,,,,,,,1.82
,West jaintia hills,2013 - 2014,,,,,,1.61,,,
,,2014 - 2015,,,,,,1.6,,,
,,2015 - 2016,,,,,,,,,1.65
,,2016 - 2017,,,,,,,,,1.6
,,2017 - 2018,,,,,,,,,1.6
,,2018 - 2019,,,,,,,,,1.6
,,2019 - 2020,,,,,,,,,1.6
,,2020 - 2021,,,,,,,,,1.6
,,2022 - 2023,,,,,,,,,1.6
,West khasi hills,2000 - 2001,,,,,795.0,0.68,,,
,,2001 - 2002,,,,,937.0,0.8,,,
,,2003 - 2004,,,,,938.0,0.79,,,
,,2004 - 2005,,,,,952.0,0.8,,,
,,2005 - 2006,,,,,965.0,0.8,,,
,,2006 - 2007,,,,,,,,,0.92
,,2008 - 2009,,,,,,0.92,,,
,,2009 - 2010,,,,,,0.93,,,
,,2010 - 2011,,,,,,0.95,,,
