state,district,year,garlic_rabi_yield_tonne_per_hectare
,,2013 - 2014,5.86
,,2014 - 2015,5.79
,,2015 - 2016,5.77
,,2016 - 2017,6.36
,,2017 - 2018,5.36
,,2018 - 2019,6.63
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.15
,,2022 - 2023,6.06
,Kheri,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.9
,,2009 - 2010,5.31
,,2011 - 2012,5.16
,,2012 - 2013,5.19
,,2013 - 2014,5.86
,,2014 - 2015,5.79
,,2015 - 2016,5.77
,,2016 - 2017,6.35
,,2017 - 2018,5.36
,,2018 - 2019,6.63
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.15
,,2022 - 2023,6.06
,Kushi nagar,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.41
,,2008 - 2009,5.86
,,2009 - 2010,5.38
,,2011 - 2012,5.22
,,2012 - 2013,5.2
,,2013 - 2014,5.67
,,2014 - 2015,5.8
,,2015 - 2016,5.75
,,2016 - 2017,6.4
,,2017 - 2018,5.4
,,2018 - 2019,6.6
,,2019 - 2020,6.0
,,2020 - 2021,6.0
,,2021 - 2022,6.25
,,2022 - 2023,6.06
,Lalitpur,2005 - 2006,
,,2008 - 2009,6.0
,,2009 - 2010,5.33
,,2011 - 2012,5.33
,,2012 - 2013,5.17
,,2014 - 2015,5.67
,,2015 - 2016,5.67
,,2016 - 2017,6.38
,,2017 - 2018,5.5
,,2018 - 2019,6.5
,,2019 - 2020,6.0
,,2020 - 2021,6.0
,,2021 - 2022,6.2
,,2022 - 2023,6.0
,Lucknow,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.39
,,2008 - 2009,5.89
,,2009 - 2010,5.31
,,2011 - 2012,5.16
,,2012 - 2013,5.19
,,2013 - 2014,5.86
,,2014 - 2015,5.8
,,2015 - 2016,5.76
,,2016 - 2017,6.36
,,2017 - 2018,5.35
,,2018 - 2019,6.63
,,2019 - 2020,6.0
,,2020 - 2021,5.93
,,2021 - 2022,6.15
,,2022 - 2023,6.07
,Maharajganj,2004 - 2005,
,,2006 - 2007,4.38
,,2008 - 2009,6.0
,,2009 - 2010,5.33
,,2012 - 2013,5.0
,,2014 - 2015,6.0
,,2018 - 2019,6.6
,,2021 - 2022,6.0
,,2022 - 2023,6.09
,Mahoba,2004 - 2005,
,,2008 - 2009,6.0
,,2009 - 2010,5.0
,,2014 - 2015,6.0
,,2015 - 2016,5.5
,,2016 - 2017,6.4
,,2017 - 2018,5.5
,,2018 - 2019,6.5
,,2019 - 2020,6.0
,,2020 - 2021,6.0
,,2021 - 2022,6.0
,,2022 - 2023,6.0
,Mainpuri,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.89
,,2009 - 2010,5.31
,,2011 - 2012,5.17
,,2012 - 2013,5.19
,,2013 - 2014,5.86
,,2014 - 2015,5.79
,,2015 - 2016,5.76
,,2016 - 2017,6.36
,,2017 - 2018,5.36
,,2018 - 2019,6.63
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.15
,,2022 - 2023,6.06
,Mathura,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.83
,,2009 - 2010,5.25
,,2011 - 2012,5.25
,,2015 - 2016,5.75
,,2017 - 2018,5.5
,,2018 - 2019,6.5
,,2019 - 2020,6.0
,,2020 - 2021,5.86
,,2021 - 2022,6.25
,,2022 - 2023,6.0
,Mau,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,6.0
,,2009 - 2010,5.27
,,2011 - 2012,5.0
,,2012 - 2013,5.2
,,2013 - 2014,6.0
,,2014 - 2015,6.0
,,2015 - 2016,6.0
,,2016 - 2017,6.0
,,2017 - 2018,5.0
,,2018 - 2019,7.0
,,2019 - 2020,6.0
,,2020 - 2021,6.0
,,2021 - 2022,6.0
,,2022 - 2023,6.0
,Meerut,2004 - 2005,
,,2005 - 2006,
,,2008 - 2009,6.0
,,2009 - 2010,5.0
,,2011 - 2012,5.2
,,2013 - 2014,6.0
,Mirzapur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.44
,,2008 - 2009,6.0
,,2009 - 2010,5.0
,,2011 - 2012,5.25
,Moradabad,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.39
,,2008 - 2009,5.89
,,2009 - 2010,5.32
,,2011 - 2012,5.16
,,2012 - 2013,5.14
,,2013 - 2014,5.88
,,2014 - 2015,5.71
,,2016 - 2017,6.36
,,2017 - 2018,5.38
,,2018 - 2019,6.67
,,2019 - 2020,6.0
,,2020 - 2021,5.86
,,2021 - 2022,6.13
,,2022 - 2023,6.13
,Muzaffarnagar,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.89
,,2009 - 2010,5.31
,,2011 - 2012,5.18
,,2012 - 2013,5.0
,,2013 - 2014,5.86
,,2014 - 2015,5.8
,,2015 - 2016,5.77
,,2016 - 2017,6.37
,,2017 - 2018,5.34
,,2018 - 2019,6.63
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.16
,,2022 - 2023,6.06
,Pilibhit,2004 - 2005,
,,2006 - 2007,4.0
,,2008 - 2009,5.86
,,2009 - 2010,5.27
,,2011 - 2012,5.14
,,2012 - 2013,5.19
,,2013 - 2014,5.85
,,2014 - 2015,5.78
,,2017 - 2018,5.35
,,2018 - 2019,7.0
,,2020 - 2021,6.0
,,2021 - 2022,6.0
,,2022 - 2023,6.0
,Pratapgarh,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.86
,,2009 - 2010,5.31
,,2011 - 2012,5.2
,,2012 - 2013,5.18
,,2013 - 2014,5.85
,,2014 - 2015,5.79
,,2015 - 2016,5.75
,,2016 - 2017,6.33
,,2017 - 2018,5.35
,,2018 - 2019,6.62
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.13
,,2022 - 2023,6.05
,Rae bareli,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.89
,,2009 - 2010,5.32
,,2011 - 2012,5.17
,,2012 - 2013,5.2
,,2013 - 2014,5.86
,,2014 - 2015,5.79
,,2015 - 2016,5.76
,,2016 - 2017,6.36
,,2017 - 2018,5.36
,,2018 - 2019,6.63
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.15
,,2022 - 2023,6.06
,Rampur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.89
,,2009 - 2010,5.31
,,2011 - 2012,5.17
,,2012 - 2013,5.19
,,2013 - 2014,5.86
,,2014 - 2015,5.79
,,2016 - 2017,6.36
,,2017 - 2018,5.35
,,2018 - 2019,6.63
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.15
,,2022 - 2023,6.06
,Saharanpur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.43
,,2008 - 2009,5.89
,,2009 - 2010,5.33
,,2011 - 2012,5.13
,,2012 - 2013,5.25
,,2014 - 2015,5.5
,,2015 - 2016,6.0
,,2016 - 2017,6.38
,,2017 - 2018,5.38
,,2018 - 2019,6.63
,,2019 - 2020,6.0
,,2020 - 2021,5.91
,,2021 - 2022,6.15
,,2022 - 2023,6.08
,Sambhal,2012 - 2013,5.2
,,2013 - 2014,5.86
,,2014 - 2015,5.79
,,2015 - 2016,5.76
,,2016 - 2017,6.36
,,2017 - 2018,5.36
,,2018 - 2019,6.63
,,2019 - 2020,6.0
,,2020 - 2021,5.93
,,2021 - 2022,6.15
,,2022 - 2023,6.06
,Sant kabeer nagar,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.38
,,2008 - 2009,6.0
,,2009 - 2010,5.2
,,2012 - 2013,5.2
,,2013 - 2014,6.0
,,2014 - 2015,5.83
,,2015 - 2016,5.8
,,2016 - 2017,6.0
,,2017 - 2018,5.25
,,2018 - 2019,6.67
,,2019 - 2020,6.0
,,2020 - 2021,6.0
,,2021 - 2022,6.0
,,2022 - 2023,6.0
,Sant ravidas nagar,2006 - 2007,4.38
,,2009 - 2010,5.4
,Shahjahanpur,2004 - 2005,
,,2005 - 2006,
,,2008 - 2009,5.88
,,2009 - 2010,5.31
,,2011 - 2012,5.17
,,2012 - 2013,5.19
,,2013 - 2014,5.87
,,2014 - 2015,5.8
,,2015 - 2016,5.77
,,2016 - 2017,6.36
,,2017 - 2018,5.36
,,2018 - 2019,6.62
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.15
,,2022 - 2023,6.07
,Shamli,2012 - 2013,5.19
,,2013 - 2014,5.86
,,2014 - 2015,5.79
,,2015 - 2016,5.75
,,2016 - 2017,6.37
,,2017 - 2018,5.36
,,2018 - 2019,6.62
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.15
,,2022 - 2023,6.06
,Shravasti,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,6.0
,,2009 - 2010,5.0
,,2012 - 2013,5.19
,,2013 - 2014,5.88
,,2014 - 2015,6.0
,,2015 - 2016,5.74
,,2016 - 2017,6.35
,,2017 - 2018,5.33
,,2018 - 2019,6.64
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.18
,,2022 - 2023,6.06
,Siddharth nagar,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.89
,,2009 - 2010,5.31
,,2011 - 2012,5.16
,,2012 - 2013,5.19
,,2013 - 2014,5.85
,,2014 - 2015,5.79
,,2015 - 2016,5.76
,,2016 - 2017,6.36
,,2017 - 2018,5.35
,,2018 - 2019,6.63
,,2019 - 2020,6.0
,,2020 - 2021,5.93
,,2021 - 2022,6.15
,,2022 - 2023,6.06
,Sitapur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.89
,,2009 - 2010,5.31
,,2011 - 2012,5.17
,,2012 - 2013,5.19
,,2013 - 2014,5.86
,,2014 - 2015,5.79
,,2015 - 2016,5.76
,,2016 - 2017,6.36
,,2017 - 2018,5.36
,,2018 - 2019,6.62
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.15
,,2022 - 2023,6.06
,Sonbhadra,2005 - 2006,
,,2006 - 2007,4.36
,,2008 - 2009,5.91
,,2009 - 2010,5.29
,,2011 - 2012,5.15
,,2012 - 2013,5.18
,,2013 - 2014,5.88
,,2014 - 2015,5.75
,,2015 - 2016,5.75
,,2016 - 2017,6.37
,,2017 - 2018,5.33
,,2018 - 2019,6.65
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.16
,,2022 - 2023,6.08
,Sultanpur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.36
,,2008 - 2009,5.9
,,2009 - 2010,5.3
,,2011 - 2012,5.19
,,2012 - 2013,5.19
,,2013 - 2014,5.86
,,2014 - 2015,5.8
,,2015 - 2016,5.77
,,2016 - 2017,6.36
,,2017 - 2018,5.34
,,2018 - 2019,6.63
,,2019 - 2020,6.0
,,2020 - 2021,5.94
,,2021 - 2022,6.17
,,2022 - 2023,6.07
,Unnao,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.89
,,2009 - 2010,5.31
,,2011 - 2012,5.17
,,2012 - 2013,5.2
,,2013 - 2014,5.86
,,2014 - 2015,5.79
,,2015 - 2016,5.77
,,2016 - 2017,6.36
,,2017 - 2018,5.36
,,2018 - 2019,6.62
,,2019 - 2020,6.01
,,2020 - 2021,5.93
,,2021 - 2022,6.15
,,2022 - 2023,6.06
,Varanasi,2005 - 2006,
,,2006 - 2007,4.4
,,2008 - 2009,5.83
,,2009 - 2010,5.33
,,2011 - 2012,5.0
,,2013 - 2014,6.0
,,2014 - 2015,5.75
,,2015 - 2016,5.75
,,2016 - 2017,6.25
,,2017 - 2018,5.4
,,2018 - 2019,6.5
,,2019 - 2020,6.0
,,2020 - 2021,6.0
,,2021 - 2022,6.25
,,2022 - 2023,6.14
Uttarakhand,Almora,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Bageshwar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Chamoli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Champawat,2002 - 2003,
,,2003 - 2004,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Dehradun,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Haridwar,2002 - 2003,
,,2003 - 2004,
,Nainital,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Pauri garhwal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Pithoragarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Rudra prayag,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Tehri garhwal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Udam singh nagar,2002 - 2003,
,,2007 - 2008,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Uttar kashi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
West Bengal,paraganas north,2007 - 2008,
,paraganas south,2007 - 2008,
,Bankura,2007 - 2008,
,Birbhum,2007 - 2008,
,Coochbehar,2007 - 2008,
,Darjeeling,2007 - 2008,
,Dinajpur dakshin,2007 - 2008,
,Dinajpur uttar,2007 - 2008,
,Hooghly,2007 - 2008,
,Howrah,2007 - 2008,
,Jalpaiguri,2007 - 2008,
,Maldah,2007 - 2008,
,Medinipur east,2007 - 2008,
,Medinipur west,2007 - 2008,
,Murshidabad,2007 - 2008,
,Nadia,2007 - 2008,
,Purba bardhaman,2007 - 2008,
,Purulia,2007 - 2008,
