state,district,year,rice_kharif_yield_tonne_per_hectare
,,2018 - 2019,1.65
,,2019 - 2020,1.6
,,2020 - 2021,1.88
,Samba,2007 - 2008,1.85
,,2009 - 2010,0.66
,,2010 - 2011,1.77
,,2011 - 2012,1.87
,,2012 - 2013,1.93
,,2014 - 2015,1.66
,,2015 - 2016,1.58
,,2016 - 2017,1.55
,,2017 - 2018,1.76
,,2018 - 2019,1.72
,,2019 - 2020,1.46
,,2020 - 2021,1.47
,Shopian,2007 - 2008,2.76
,,2009 - 2010,3.13
,,2010 - 2011,2.31
,,2011 - 2012,3.31
,,2012 - 2013,2.87
,,2015 - 2016,3.26
,,2016 - 2017,3.26
,,2017 - 2018,3.42
,,2018 - 2019,3.57
,,2019 - 2020,2.69
,,2020 - 2021,2.56
,Srinagar,2000 - 2001,2.55
,,2001 - 2002,2.21
,,2002 - 2003,2.36
,,2003 - 2004,2.73
,,2004 - 2005,2.68
,,2005 - 2006,3.05
,,2006 - 2007,3.2
,,2007 - 2008,2.67
,,2009 - 2010,2.6
,,2010 - 2011,2.1
,,2011 - 2012,2.68
,,2012 - 2013,1.02
,,2014 - 2015,2.96
,,2015 - 2016,2.45
,,2016 - 2017,2.63
,,2017 - 2018,2.5
,,2018 - 2019,2.54
,,2019 - 2020,2.29
,,2020 - 2021,2.56
,Udhampur,2000 - 2001,1.5
,,2001 - 2002,1.14
,,2002 - 2003,1.06
,,2003 - 2004,1.08
,,2004 - 2005,1.17
,,2005 - 2006,1.14
,,2006 - 2007,1.0
,,2007 - 2008,1.18
,,2009 - 2010,0.75
,,2010 - 2011,1.22
,,2011 - 2012,1.27
,,2012 - 2013,1.15
,,2014 - 2015,1.02
,,2015 - 2016,1.48
,,2016 - 2017,1.28
,,2017 - 2018,1.75
,,2018 - 2019,1.45
,,2019 - 2020,1.15
,,2020 - 2021,1.34
Jharkhand,Bokaro,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.67
,,2018 - 2019,1.0
,,2019 - 2020,2.5
,,2020 - 2021,3.4
,,2021 - 2022,3.3
,,2022 - 2023,2.0
,Chatra,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.67
,,2018 - 2019,1.8
,,2019 - 2020,3.35
,,2020 - 2021,3.35
,,2021 - 2022,3.35
,,2022 - 2023,3.35
,Deoghar,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.73
,,2018 - 2019,1.76
,,2019 - 2020,3.75
,,2020 - 2021,3.75
,,2021 - 2022,3.9
,,2022 - 2023,3.9
,Dhanbad,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.99
,,2018 - 2019,0.99
,,2019 - 2020,2.84
,,2020 - 2021,2.64
,,2021 - 2022,2.75
,,2022 - 2023,1.55
,Dumka,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.1
,,2018 - 2019,2.18
,,2019 - 2020,2.89
,,2020 - 2021,2.65
,,2021 - 2022,2.0
,,2022 - 2023,2.0
,East singhbum,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.05
,,2018 - 2019,2.74
,,2019 - 2020,3.2
,,2020 - 2021,3.6
,,2021 - 2022,3.5
,,2022 - 2023,3.6
,Garhwa,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.03
,,2018 - 2019,1.58
,,2019 - 2020,2.65
,,2020 - 2021,2.93
,,2021 - 2022,2.93
,,2022 - 2023,1.6
,Giridih,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.03
,,2018 - 2019,1.42
,,2019 - 2020,3.35
,,2020 - 2021,3.68
,,2021 - 2022,3.84
,,2022 - 2023,3.48
,Godda,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.17
,,2018 - 2019,1.34
,,2019 - 2020,1.33
,,2020 - 2021,1.35
,,2021 - 2022,3.1
,,2022 - 2023,1.6
,Gumla,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.87
,,2018 - 2019,1.64
,,2019 - 2020,2.35
,,2020 - 2021,3.38
,,2021 - 2022,3.31
,,2022 - 2023,2.53
,Hazaribagh,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.69
,,2018 - 2019,2.54
,,2019 - 2020,2.53
,,2020 - 2021,2.64
,,2021 - 2022,2.79
,,2022 - 2023,1.09
,Jamtara,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.67
,,2018 - 2019,1.8
,,2019 - 2020,2.75
,,2020 - 2021,2.8
,,2021 - 2022,2.96
,,2022 - 2023,1.13
,Khunti,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.47
,,2018 - 2019,1.0
,,2019 - 2020,2.8
,,2020 - 2021,3.41
,,2021 - 2022,4.57
,,2022 - 2023,1.44
,Koderma,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.67
,,2018 - 2019,1.8
,,2019 - 2020,2.5
,,2020 - 2021,2.5
,,2021 - 2022,2.6
,,2022 - 2023,2.6
,Latehar,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.4
,,2018 - 2019,2.9
,,2019 - 2020,2.28
,,2020 - 2021,2.27
,,2021 - 2022,2.25
,,2022 - 2023,1.75
,Lohardaga,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.17
,,2018 - 2019,2.25
,,2019 - 2020,3.03
,,2020 - 2021,3.21
,,2021 - 2022,3.29
,,2022 - 2023,2.56
,Pakur,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.87
,,2018 - 2019,1.06
,,2019 - 2020,2.0
,,2020 - 2021,2.0
,,2021 - 2022,2.0
,,2022 - 2023,0.8
,Palamu,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.96
,,2018 - 2019,1.38
,,2019 - 2020,2.46
,,2020 - 2021,2.66
,,2021 - 2022,2.64
,,2022 - 2023,1.32
,Ramgarh,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.69
,,2018 - 2019,2.53
,,2019 - 2020,2.53
,,2020 - 2021,2.53
,,2021 - 2022,2.64
,,2022 - 2023,2.41
,Ranchi,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.4
,,2018 - 2019,2.4
,,2019 - 2020,3.24
,,2020 - 2021,3.4
,,2021 - 2022,3.8
,,2022 - 2023,2.0
,Sahebganj,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.8
,,2018 - 2019,0.7
,,2019 - 2020,3.11
,,2020 - 2021,3.14
,,2021 - 2022,3.25
,,2022 - 2023,1.19
,Saraikela kharsawan,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.13
,,2018 - 2019,2.3
,,2019 - 2020,1.64
,,2020 - 2021,2.85
,,2021 - 2022,2.8
,,2022 - 2023,2.45
,Simdega,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.0
,,2018 - 2019,3.0
,,2019 - 2020,2.85
,,2020 - 2021,3.0
,,2021 - 2022,2.9
,,2022 - 2023,2.0
,West singhbhum,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.33
,,2018 - 2019,1.52
,,2019 - 2020,1.99
,,2020 - 2021,1.87
,,2021 - 2022,2.04
,,2022 - 2023,1.8
Karnataka,Bagalkot,2000 - 2001,1.82
,,2001 - 2002,2.4
,,2002 - 2003,2.05
,,2003 - 2004,2.26
,,2004 - 2005,2.79
,,2005 - 2006,2.82
,,2006 - 2007,2.9
,,2007 - 2008,3.03
,,2008 - 2009,3.06
,,2009 - 2010,2.87
,,2010 - 2011,3.21
,,2011 - 2012,3.22
,,2012 - 2013,2.55
,,2013 - 2014,2.96
,,2014 - 2015,3.04
,,2015 - 2016,2.72
,,2016 - 2017,2.76
,,2018 - 2019,2.85
,,2019 - 2020,3.21
,,2020 - 2021,3.3
,,2021 - 2022,2.79
,,2022 - 2023,3.29
,Bangalore rural,2000 - 2001,2.5
,,2001 - 2002,2.56
,,2002 - 2003,2.26
,,2003 - 2004,2.37
,,2004 - 2005,2.77
,,2005 - 2006,2.28
,,2006 - 2007,2.03
,,2007 - 2008,2.98
,,2008 - 2009,4.35
,,2009 - 2010,4.43
,,2010 - 2011,2.93
,,2011 - 2012,3.31
,,2012 - 2013,2.9
,,2013 - 2014,3.21
,,2014 - 2015,3.5
,,2015 - 2016,2.63
,,2016 - 2017,2.62
,,2017 - 2018,2.84
,,2018 - 2019,2.97
,,2019 - 2020,2.91
,,2020 - 2021,3.06
,,2021 - 2022,2.25
,,2022 - 2023,2.95
,Belgaum,2000 - 2001,1.65
,,2001 - 2002,0.89
,,2002 - 2003,0.58
,,2003 - 2004,0.72
,,2004 - 2005,1.62
,,2005 - 2006,2.18
,,2006 - 2007,1.48
,,2007 - 2008,1.44
,,2008 - 2009,1.31
,,2009 - 2010,1.17
,,2010 - 2011,2.04
,,2011 - 2012,2.33
,,2012 - 2013,1.49
,,2013 - 2014,2.11
,,2014 - 2015,2.95
,,2015 - 2016,0.66
,,2016 - 2017,1.89
,,2017 - 2018,2.3
,,2018 - 2019,2.52
,,2019 - 2020,2.51
,,2020 - 2021,2.74
,,2021 - 2022,3.1
,,2022 - 2023,2.76
,Bellary,2000 - 2001,3.28
,,2001 - 2002,3.22
,,2002 - 2003,3.35
,,2003 - 2004,3.8
,,2004 - 2005,3.43
,,2005 - 2006,3.06
,,2006 - 2007,3.08
,,2007 - 2008,3.7
,,2008 - 2009,3.64
,,2009 - 2010,3.09
,,2010 - 2011,3.82
,,2011 - 2012,3.74
,,2012 - 2013,3.71
,,2013 - 2014,3.83
,,2014 - 2015,3.69
,,2015 - 2016,3.75
,,2016 - 2017,3.93
,,2017 - 2018,4.23
,,2018 - 2019,4.04
,,2019 - 2020,4.34
,,2020 - 2021,4.43
,,2021 - 2022,3.9
,,2022 - 2023,4.58
,Bengaluru urban,2000 - 2001,2.69
,,2001 - 2002,1.95
,,2002 - 2003,2.02
,,2003 - 2004,2.11
,,2004 - 2005,3.09
,,2005 - 2006,2.62
,,2006 - 2007,2.69
,,2007 - 2008,3.12
,,2008 - 2009,3.04
,,2009 - 2010,2.74
,,2010 - 2011,2.85
,,2011 - 2012,3.44
,,2012 - 2013,3.09
,,2013 - 2014,3.54
,,2014 - 2015,3.55
,,2015 - 2016,3.03
,,2016 - 2017,3.22
,,2017 - 2018,3.21
,,2018 - 2019,3.71
,,2019 - 2020,3.91
,,2020 - 2021,3.92
,,2021 - 2022,2.83
,,2022 - 2023,3.21
,Bidar,2000 - 2001,0.91
,,2001 - 2002,0.81
,,2002 - 2003,0.56
,,2003 - 2004,0.4
,,2004 - 2005,0.44
,,2005 - 2006,0.55
,,2006 - 2007,0.63
,,2007 - 2008,0.62
,,2008 - 2009,0.74
,,2009 - 2010,0.77
,,2010 - 2011,0.98
,,2011 - 2012,0.9
,,2012 - 2013,0.99
,,2013 - 2014,1.55
,,2014 - 2015,0.96
,,2015 - 2016,0.85
,,2016 - 2017,1.2
,,2017 - 2018,1.86
,,2018 - 2019,0.72
,,2019 - 2020,1.12
,,2020 - 2021,1.11
,,2021 - 2022,1.67
,,2022 - 2023,1.31
,Bijapur,2000 - 2001,1.55
,,2001 - 2002,1.5
,,2002 - 2003,1.07
,,2003 - 2004,1.11
,,2004 - 2005,1.62
,,2005 - 2006,1.78
,,2006 - 2007,2.15
,,2007 - 2008,2.25
,,2008 - 2009,3.09
,,2009 - 2010,2.85
,,2010 - 2011,3.21
,,2011 - 2012,3.22
,,2012 - 2013,2.55
,,2013 - 2014,2.96
,,2014 - 2015,3.06
,,2015 - 2016,2.71
,,2016 - 2017,2.79
,,2017 - 2018,2.87
,,2018 - 2019,2.85
,,2019 - 2020,3.2
,,2020 - 2021,3.3
,,2021 - 2022,3.1
,,2022 - 2023,3.32
,Chamarajanagar,2000 - 2001,2.61
,,2001 - 2002,2.97
,,2002 - 2003,3.29
,,2003 - 2004,2.67
,,2004 - 2005,3.36
,,2005 - 2006,2.77
,,2006 - 2007,2.87
,,2007 - 2008,2.64
,,2008 - 2009,2.84
,,2009 - 2010,2.64
,,2010 - 2011,2.88
,,2011 - 2012,3.01
,,2012 - 2013,3.41
,,2013 - 2014,3.72
,,2014 - 2015,3.24
,,2015 - 2016,3.6
,,2016 - 2017,2.2
,,2017 - 2018,3.71
,,2018 - 2019,3.56
,,2019 - 2020,3.43
,,2020 - 2021,3.05
,,2021 - 2022,2.81
,,2022 - 2023,3.13
,Chikballapur,2007 - 2008,2.68
,,2008 - 2009,2.97
,,2009 - 2010,2.55
,,2010 - 2011,3.28
,,2011 - 2012,2.96
,,2012 - 2013,2.8
,,2013 - 2014,2.86
,,2014 - 2015,2.38
,,2015 - 2016,2.75
,,2016 - 2017,2.48
,,2017 - 2018,3.31
,,2018 - 2019,3.13
,,2019 - 2020,3.33
,,2020 - 2021,3.24
,,2021 - 2022,2.86
,,2022 - 2023,2.54
,Chikmagalur,2000 - 2001,2.47
,,2001 - 2002,2.31
,,2002 - 2003,1.97
,,2003 - 2004,1.89
,,2004 - 2005,2.51
,,2005 - 2006,2.38
,,2006 - 2007,2.44
,,2007 - 2008,2.65
,,2008 - 2009,2.48
,,2009 - 2010,2.5
,,2010 - 2011,2.74
,,2011 - 2012,2.71
,,2012 - 2013,2.27
,,2013 - 2014,2.75
,,2014 - 2015,2.6
,,2015 - 2016,2.68
,,2016 - 2017,2.39
,,2017 - 2018,2.39
,,2018 - 2019,2.41
,,2019 - 2020,2.52
,,2020 - 2021,2.67
,,2021 - 2022,2.51
,,2022 - 2023,2.43
,Chitradurga,2000 - 2001,2.71
,,2001 - 2002,2.1
,,2002 - 2003,2.05
,,2003 - 2004,1.98
,,2004 - 2005,1.95
,,2005 - 2006,2.72
,,2006 - 2007,2.36
,,2007 - 2008,2.51
,,2008 - 2009,2.14
,,2009 - 2010,1.97
,,2010 - 2011,2.35
,,2011 - 2012,2.23
,,2012 - 2013,2.26
,,2013 - 2014,2.25
,,2014 - 2015,2.27
,,2015 - 2016,2.4
,,2016 - 2017,1.91
,,2017 - 2018,2.64
,,2018 - 2019,1.83
,,2019 - 2020,2.25
,,2020 - 2021,2.4
,,2021 - 2022,1.88
,,2022 - 2023,1.72
,Dakshin kannad,2000 - 2001,2.06
,,2001 - 2002,2.16
,,2002 - 2003,2.25
,,2003 - 2004,2.41
,,2004 - 2005,2.27
,,2005 - 2006,2.41
,,2006 - 2007,2.57
,,2007 - 2008,2.34
,,2008 - 2009,2.54
,,2009 - 2010,2.27
,,2010 - 2011,2.48
,,2011 - 2012,2.69
,,2012 - 2013,2.66
,,2013 - 2014,2.75
,,2014 - 2015,2.63
,,2015 - 2016,2.72
,,2016 - 2017,3.11
,,2017 - 2018,2.82
,,2018 - 2019,3.0
,,2019 - 2020,2.87
,,2020 - 2021,2.9
,,2021 - 2022,2.93
,,2022 - 2023,2.95
,Davangere,2000 - 2001,3.52
,,2001 - 2002,3.39
,,2002 - 2003,2.95
,,2003 - 2004,3.14
,,2004 - 2005,3.1
,,2005 - 2006,3.16
,,2006 - 2007,3.36
,,2007 - 2008,3.05
,,2008 - 2009,3.32
,,2009 - 2010,3.4
,,2010 - 2011,3.56
,,2011 - 2012,3.52
,,2012 - 2013,3.28
,,2013 - 2014,3.34
,,2014 - 2015,3.49
,,2015 - 2016,3.84
,,2016 - 2017,3.19
,,2017 - 2018,3.4
,,2018 - 2019,3.03
,,2019 - 2020,3.34
,,2020 - 2021,3.73
,,2021 - 2022,3.76
,,2022 - 2023,3.73
,Dharwad,2000 - 2001,1.38
,,2001 - 2002,0.21
,,2002 - 2003,0.2
,,2003 - 2004,0.22
,,2004 - 2005,0.66
,,2005 - 2006,1.73
,,2006 - 2007,1.33
,,2007 - 2008,1.74
,,2008 - 2009,0.85
,,2009 - 2010,1.15
,,2010 - 2011,1.21
,,2011 - 2012,1.01
,,2012 - 2013,0.88
,,2013 - 2014,1.12
,,2014 - 2015,1.59
,,2015 - 2016,0.3
,,2016 - 2017,0.51
,,2017 - 2018,0.59
,,2018 - 2019,0.91
,,2019 - 2020,1.23
,,2020 - 2021,1.33
,,2021 - 2022,1.26
,,2022 - 2023,1.45
,Gadag,2000 - 2001,2.39
,,2001 - 2002,2.0
,,2002 - 2003,2.22
,,2003 - 2004,2.3
,,2004 - 2005,2.06
,,2005 - 2006,4.45
,,2006 - 2007,2.76
,,2007 - 2008,2.52
,,2008 - 2009,1.6
,,2009 - 2010,0.88
,,2010 - 2011,2.21
,,2011 - 2012,2.76
,,2012 - 2013,2.37
,,2013 - 2014,2.87
,,2014 - 2015,2.48
,,2015 - 2016,3.22
,,2016 - 2017,3.09
,,2017 - 2018,3.42
,,2018 - 2019,2.54
,,2019 - 2020,2.96
,,2020 - 2021,2.4
,,2021 - 2022,2.25
,,2022 - 2023,3.36
,Gulbarga,2000 - 2001,1.52
,,2001 - 2002,1.74
,,2002 - 2003,1.92
,,2003 - 2004,2.33
,,2004 - 2005,2.33
,,2005 - 2006,2.63
,,2006 - 2007,2.24
,,2007 - 2008,2.71
,,2008 - 2009,2.58
,,2009 - 2010,2.3
,,2010 - 2011,1.59
,,2011 - 2012,1.62
,,2012 - 2013,1.73
,,2013 - 2014,2.65
,,2014 - 2015,1.86
,,2015 - 2016,2.17
,,2016 - 2017,3.89
,,2017 - 2018,3.8
,,2018 - 2019,3.17
,,2019 - 2020,3.7
,,2020 - 2021,3.26
,,2021 - 2022,4.02
,,2022 - 2023,4.38
,Hassan,2000 - 2001,2.42
,,2001 - 2002,2.54
,,2002 - 2003,1.66
,,2003 - 2004,1.66
,,2004 - 2005,2.5
,,2005 - 2006,2.29
,,2006 - 2007,2.42
,,2007 - 2008,2.47
,,2008 - 2009,2.45
,,2009 - 2010,2.7
,,2010 - 2011,2.94
,,2011 - 2012,2.58
,,2012 - 2013,2.18
,,2013 - 2014,3.06
,,2014 - 2015,3.08
,,2015 - 2016,2.74
,,2016 - 2017,2.03
,,2017 - 2018,3.21
,,2018 - 2019,2.36
,,2019 - 2020,2.95
,,2020 - 2021,2.49
,,2021 - 2022,2.32
,,2022 - 2023,2.36
,Haveri,2000 - 2001,2.05
,,2001 - 2002,0.49
,,2002 - 2003,0.43
,,2003 - 2004,0.68
,,2004 - 2005,1.29
,,2005 - 2006,2.07
,,2006 - 2007,1.9
,,2007 - 2008,2.44
,,2008 - 2009,1.21
,,2009 - 2010,1.08
,,2010 - 2011,1.99
,,2011 - 2012,2.28
,,2012 - 2013,0.81
,,2013 - 2014,2.46
,,2014 - 2015,2.48
,,2015 - 2016,1.02
,,2016 - 2017,1.03
,,2017 - 2018,1.85
,,2018 - 2019,1.36
,,2019 - 2020,1.57
,,2020 - 2021,2.28
,,2021 - 2022,1.67
,,2022 - 2023,1.78
,Kodagu,2000 - 2001,2.29
,,2001 - 2002,2.5
,,2002 - 2003,1.98
,,2003 - 2004,1.99
,,2004 - 2005,2.34
,,2005 - 2006,2.3
,,2006 - 2007,2.47
,,2007 - 2008,2.56
,,2008 - 2009,2.39
,,2009 - 2010,2.44
,,2010 - 2011,2.53
,,2011 - 2012,2.6
,,2012 - 2013,2.48
,,2013 - 2014,2.88
,,2014 - 2015,2.81
,,2015 - 2016,2.7
,,2016 - 2017,2.43
,,2017 - 2018,2.36
,,2018 - 2019,2.8
,,2019 - 2020,2.56
,,2020 - 2021,2.64
,,2021 - 2022,2.65
,,2022 - 2023,2.57
,Kolar,2000 - 2001,2.42
,,2001 - 2002,2.28
,,2002 - 2003,1.99
,,2003 - 2004,2.27
,,2004 - 2005,2.38
,,2005 - 2006,2.25
,,2006 - 2007,1.86
,,2007 - 2008,1.52
,,2008 - 2009,1.58
,,2009 - 2010,1.66
,,2010 - 2011,2.16
,,2011 - 2012,1.96
,,2012 - 2013,2.19
,,2013 - 2014,1.71
,,2014 - 2015,2.54
,,2015 - 2016,1.55
,,2016 - 2017,1.94
,,2017 - 2018,3.14
,,2018 - 2019,1.87
,,2019 - 2020,2.38
,,2020 - 2021,2.8
,,2021 - 2022,2.02
,,2022 - 2023,2.47
,Koppal,2000 - 2001,3.36
,,2001 - 2002,3.59
,,2002 - 2003,4.05
,,2003 - 2004,4.11
,,2004 - 2005,3.11
,,2005 - 2006,3.22
,,2006 - 2007,3.55
,,2007 - 2008,3.77
,,2008 - 2009,3.71
,,2009 - 2010,3.1
,,2010 - 2011,4.14
,,2011 - 2012,3.82
,,2012 - 2013,3.2
,,2013 - 2014,3.37
,,2014 - 2015,3.69
,,2015 - 2016,3.56
,,2016 - 2017,3.59
,,2017 - 2018,4.71
,,2018 - 2019,3.32
,,2019 - 2020,3.99
,,2020 - 2021,3.99
,,2021 - 2022,3.35
,,2022 - 2023,4.05
,Mandya,2000 - 2001,2.89
,,2001 - 2002,3.06
,,2002 - 2003,2.9
,,2003 - 2004,3.22
,,2004 - 2005,3.38
,,2005 - 2006,2.96
,,2006 - 2007,3.02
,,2007 - 2008,3.24
,,2008 - 2009,3.19
,,2009 - 2010,3.25
,,2010 - 2011,3.71
,,2011 - 2012,3.95
,,2012 - 2013,3.11
,,2013 - 2014,3.5
,,2014 - 2015,3.72
,,2015 - 2016,3.7
,,2016 - 2017,2.6
,,2017 - 2018,2.79
,,2018 - 2019,3.23
,,2019 - 2020,3.0
,,2020 - 2021,3.13
,,2021 - 2022,3.01
,,2022 - 2023,2.96
,Mysore,2000 - 2001,3.01
,,2001 - 2002,3.2
,,2002 - 2003,2.71
,,2003 - 2004,2.99
,,2004 - 2005,3.14
,,2005 - 2006,2.96
,,2006 - 2007,2.74
,,2007 - 2008,2.99
,,2008 - 2009,2.96
,,2009 - 2010,3.1
,,2010 - 2011,3.17
,,2011 - 2012,3.24
,,2012 - 2013,3.15
,,2013 - 2014,3.39
,,2014 - 2015,3.39
,,2015 - 2016,3.39
,,2016 - 2017,2.88
,,2017 - 2018,3.06
,,2018 - 2019,3.01
,,2019 - 2020,3.15
,,2020 - 2021,3.03
