state,district,year,moong_summer_yield_tonne_per_hectare
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tirunelveli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tirupathur,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tiruppur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tiruvannamalai,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vellore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Villupuram,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Virudhunagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Telangana,Adilabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhadradri,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jagitial,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jangoan,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jayashankar,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jogulamba,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kamareddy,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Karimnagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khammam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Komaram bheem asifabad,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahabubabad,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahbubnagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mancherial,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Medak,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Medchal,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Mulugu,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nagarkurnool,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nalgonda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Narayanapet,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nirmal,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nizamabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Peddapalli,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rajanna,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rangareddi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sangareddy,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Siddipet,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Suryapet,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vikarabad,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Wanaparthy,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Warangal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Warangal urban,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Yadadri,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Tripura,Dhalai,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gomati,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khowai,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,North tripura,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sepahijala,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South tripura,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Unakoti,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West tripura,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Uttar Pradesh,Agra,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.47
,,2003 - 2004,0.4
,,2007 - 2008,0.75
,,2008 - 2009,0.57
,,2009 - 2010,0.88
,,2010 - 2011,0.69
,,2011 - 2012,0.68
,,2012 - 2013,0.89
,,2013 - 2014,0.59
,,2014 - 2015,0.71
,,2015 - 2016,0.7
,,2016 - 2017,0.46
,,2017 - 2018,0.95
,,2018 - 2019,0.72
,,2019 - 2020,1.27
,,2020 - 2021,1.17
,,2021 - 2022,0.88
,,2022 - 2023,0.63
,Aligarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.39
,,2003 - 2004,0.38
,,2007 - 2008,0.33
,,2008 - 2009,0.31
,,2009 - 2010,0.4
,,2010 - 2011,0.75
,,2011 - 2012,0.91
,,2012 - 2013,0.65
,,2013 - 2014,0.44
,,2014 - 2015,0.49
,,2015 - 2016,0.42
,,2016 - 2017,0.37
,,2017 - 2018,0.54
,,2018 - 2019,0.65
,,2019 - 2020,0.62
,,2020 - 2021,0.78
,,2021 - 2022,0.73
,,2022 - 2023,0.73
,Allahabad,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,0.42
,,2007 - 2008,0.45
,,2008 - 2009,0.82
,,2009 - 2010,0.58
,,2010 - 2011,1.04
,,2011 - 2012,1.04
,,2012 - 2013,0.98
,,2013 - 2014,0.56
,,2014 - 2015,0.41
,,2015 - 2016,0.42
,,2016 - 2017,0.69
,,2017 - 2018,0.49
,,2018 - 2019,1.17
,,2019 - 2020,0.49
,,2020 - 2021,0.57
,,2021 - 2022,0.71
,,2022 - 2023,0.77
,Ambedkar nagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.58
,,2003 - 2004,0.6
,,2007 - 2008,0.51
,,2008 - 2009,0.57
,,2009 - 2010,0.83
,,2010 - 2011,0.46
,,2011 - 2012,0.49
,,2012 - 2013,0.68
,,2013 - 2014,0.41
,,2014 - 2015,0.47
,,2015 - 2016,0.49
,,2016 - 2017,0.65
,,2017 - 2018,0.4
,,2018 - 2019,0.61
,,2019 - 2020,0.37
,,2020 - 2021,0.25
,,2021 - 2022,0.24
,,2022 - 2023,0.22
,Amethi,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,0.68
,,2013 - 2014,0.41
,,2014 - 2015,0.47
,,2015 - 2016,0.49
,,2016 - 2017,0.65
,,2017 - 2018,0.4
,,2018 - 2019,0.44
,,2019 - 2020,0.37
,,2020 - 2021,0.33
,,2021 - 2022,0.27
,,2022 - 2023,0.59
,Amroha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,1.0
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Auraiya,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.52
,,2003 - 2004,0.59
,,2007 - 2008,0.67
,,2008 - 2009,0.8
,,2009 - 2010,0.85
,,2010 - 2011,1.03
,,2011 - 2012,0.68
,,2012 - 2013,0.83
,,2013 - 2014,0.74
,,2014 - 2015,0.82
,,2015 - 2016,0.81
,,2016 - 2017,0.83
,,2017 - 2018,0.83
,,2018 - 2019,1.17
,,2019 - 2020,0.83
,,2020 - 2021,1.01
,,2021 - 2022,1.23
,,2022 - 2023,1.32
,Azamgarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.58
,,2003 - 2004,0.6
,,2007 - 2008,0.63
,,2008 - 2009,0.75
,,2009 - 2010,0.73
,,2010 - 2011,0.9
,,2011 - 2012,0.85
,,2012 - 2013,0.81
,,2013 - 2014,0.68
,,2014 - 2015,0.67
,,2015 - 2016,0.64
,,2016 - 2017,0.7
,,2017 - 2018,0.67
,,2018 - 2019,0.82
,,2019 - 2020,0.89
,,2020 - 2021,0.98
,,2021 - 2022,0.86
,,2022 - 2023,0.84
,Baghpat,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.54
,,2003 - 2004,0.55
,,2007 - 2008,0.69
,,2008 - 2009,0.69
,,2009 - 2010,0.8
,,2010 - 2011,1.07
,,2011 - 2012,0.78
,,2012 - 2013,0.69
,,2013 - 2014,0.6
,,2014 - 2015,0.77
,,2015 - 2016,0.74
,,2016 - 2017,0.6
,,2017 - 2018,0.79
,,2018 - 2019,0.73
,,2019 - 2020,0.63
,,2020 - 2021,0.88
,,2021 - 2022,0.94
,,2022 - 2023,0.93
,Bahraich,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.58
,,2003 - 2004,0.55
,,2007 - 2008,0.64
,,2008 - 2009,0.76
,,2010 - 2011,0.67
,,2011 - 2012,0.84
,,2012 - 2013,0.81
,,2013 - 2014,0.67
,,2014 - 2015,0.67
,,2015 - 2016,0.64
,,2016 - 2017,0.69
,,2018 - 2019,0.83
,,2020 - 2021,0.95
,,2021 - 2022,0.86
,,2022 - 2023,
,Ballia,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.58
,,2003 - 2004,0.61
,,2007 - 2008,0.63
,,2008 - 2009,0.75
,,2009 - 2010,0.72
,,2010 - 2011,0.89
,,2011 - 2012,0.84
,,2012 - 2013,0.81
,,2013 - 2014,0.67
,,2014 - 2015,0.67
,,2015 - 2016,0.63
,,2016 - 2017,0.71
,,2017 - 2018,0.65
,,2018 - 2019,0.83
,,2019 - 2020,
,,2020 - 2021,0.97
,,2021 - 2022,0.85
,,2022 - 2023,0.86
,Balrampur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.0
,,2003 - 2004,0.5
,,2009 - 2010,0.73
,,2010 - 2011,
,,2011 - 2012,
,,2018 - 2019,
,,2019 - 2020,
,Banda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,1.0
,,2003 - 2004,
,,2007 - 2008,0.67
,,2008 - 2009,0.73
,,2009 - 2010,0.69
,,2010 - 2011,0.89
,,2011 - 2012,0.86
,,2012 - 2013,0.83
,,2013 - 2014,0.67
,,2014 - 2015,0.67
,,2015 - 2016,0.63
,,2016 - 2017,0.7
,,2017 - 2018,0.71
,,2018 - 2019,0.85
,,2019 - 2020,0.89
,,2020 - 2021,0.97
,,2021 - 2022,0.86
,,2022 - 2023,0.86
,Barabanki,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.59
,,2003 - 2004,0.61
,,2007 - 2008,0.51
,,2008 - 2009,0.58
,,2009 - 2010,0.83
,,2010 - 2011,0.44
,,2011 - 2012,0.5
,,2012 - 2013,0.67
,,2013 - 2014,0.4
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.65
,,2017 - 2018,0.42
,,2018 - 2019,0.4
,,2019 - 2020,0.38
,,2020 - 2021,0.35
,,2021 - 2022,0.28
,,2022 - 2023,0.6
,Bareilly,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.75
,,2003 - 2004,
,,2007 - 2008,0.65
,,2008 - 2009,0.67
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,0.64
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,1.0
,,2022 - 2023,
,Basti,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.58
,,2003 - 2004,0.54
,,2007 - 2008,0.64
,,2008 - 2009,0.74
,,2009 - 2010,0.73
,,2010 - 2011,0.9
,,2011 - 2012,0.85
,,2012 - 2013,0.81
,,2013 - 2014,0.67
,,2014 - 2015,0.67
,,2015 - 2016,0.64
,,2016 - 2017,0.7
,,2017 - 2018,0.68
,,2018 - 2019,0.83
,,2019 - 2020,0.89
,,2020 - 2021,0.97
,,2021 - 2022,0.85
,,2022 - 2023,0.86
,Bijnor,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,0.5
,,2007 - 2008,0.67
,,2008 - 2009,0.73
,,2009 - 2010,0.71
,,2010 - 2011,0.9
,,2011 - 2012,0.87
,,2012 - 2013,0.8
,,2013 - 2014,0.67
,,2014 - 2015,0.69
,,2015 - 2016,0.67
,,2016 - 2017,0.75
,,2017 - 2018,0.67
,,2018 - 2019,0.88
,,2019 - 2020,0.83
,,2020 - 2021,0.94
,,2021 - 2022,0.88
,Budaun,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.57
,,2003 - 2004,0.52
,,2007 - 2008,0.63
,,2008 - 2009,0.75
,,2009 - 2010,0.71
,,2010 - 2011,0.89
,,2011 - 2012,0.84
,,2012 - 2013,0.81
,,2013 - 2014,0.75
,,2014 - 2015,0.67
,,2015 - 2016,0.65
,,2016 - 2017,0.71
,,2017 - 2018,0.71
,,2018 - 2019,0.86
,,2019 - 2020,
,,2020 - 2021,1.0
,,2021 - 2022,
,,2022 - 2023,
,Bulandshahr,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.54
,,2003 - 2004,0.55
,,2007 - 2008,0.69
,,2008 - 2009,0.69
,,2009 - 2010,0.8
,,2010 - 2011,0.79
,,2011 - 2012,0.79
,,2012 - 2013,0.69
,,2013 - 2014,0.6
,,2014 - 2015,0.77
,,2015 - 2016,0.74
,,2016 - 2017,0.6
,,2017 - 2018,0.81
,,2018 - 2019,0.79
,,2019 - 2020,0.63
,,2020 - 2021,0.87
,,2021 - 2022,0.94
,,2022 - 2023,0.93
,Chandauli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.6
,,2003 - 2004,0.6
,,2007 - 2008,0.54
,,2008 - 2009,0.82
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,0.78
,,2012 - 2013,0.93
,,2013 - 2014,0.81
,,2014 - 2015,0.6
,,2015 - 2016,0.73
,,2016 - 2017,0.82
,,2017 - 2018,0.72
,,2018 - 2019,0.84
,,2019 - 2020,1.32
,,2020 - 2021,1.31
,,2021 - 2022,0.94
,,2022 - 2023,
,Chitrakoot,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.0
,,2003 - 2004,1.0
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Deoria,2000 - 2001,
,,2002 - 2003,0.58
,,2003 - 2004,0.53
,,2007 - 2008,0.63
,,2008 - 2009,0.75
,,2009 - 2010,0.72
,,2010 - 2011,0.89
,,2011 - 2012,0.84
,,2012 - 2013,0.81
,,2013 - 2014,0.67
,,2014 - 2015,0.67
,,2015 - 2016,0.63
,,2016 - 2017,0.7
,,2017 - 2018,0.67
,,2018 - 2019,0.83
,,2019 - 2020,0.88
,,2020 - 2021,0.96
,,2021 - 2022,0.86
,,2022 - 2023,0.86
,Etah,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.66
,,2003 - 2004,0.59
,,2007 - 2008,1.01
,,2008 - 2009,0.76
,,2009 - 2010,0.72
,,2010 - 2011,0.79
,,2011 - 2012,0.85
,,2012 - 2013,0.85
,,2013 - 2014,0.94
,,2014 - 2015,0.82
,,2015 - 2016,0.48
,,2016 - 2017,0.55
,,2017 - 2018,0.62
,,2018 - 2019,0.83
,,2019 - 2020,1.26
,,2020 - 2021,1.08
,,2021 - 2022,1.04
,,2022 - 2023,1.32
,Etawah,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.52
,,2003 - 2004,0.75
,,2007 - 2008,0.56
,,2008 - 2009,1.21
,,2009 - 2010,0.85
,,2010 - 2011,0.86
,,2011 - 2012,0.8
,,2012 - 2013,0.52
,,2013 - 2014,0.74
,,2014 - 2015,0.77
,,2015 - 2016,0.81
,,2016 - 2017,1.05
,,2017 - 2018,0.91
,,2018 - 2019,0.95
,,2019 - 2020,1.12
,,2020 - 2021,1.73
,,2021 - 2022,0.95
,,2022 - 2023,1.02
,Faizabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.58
,,2003 - 2004,0.6
,,2007 - 2008,0.51
,,2008 - 2009,0.57
,,2009 - 2010,0.83
,,2010 - 2011,0.46
,,2011 - 2012,0.5
,,2012 - 2013,0.68
,,2013 - 2014,0.41
,,2014 - 2015,0.47
,,2015 - 2016,0.49
,,2016 - 2017,0.65
,,2017 - 2018,0.4
,,2018 - 2019,0.34
,,2019 - 2020,0.37
,,2020 - 2021,0.23
,,2021 - 2022,0.16
,,2022 - 2023,0.27
,Farrukhabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.52
,,2003 - 2004,0.59
,,2007 - 2008,0.67
,,2008 - 2009,0.79
,,2009 - 2010,0.85
,,2010 - 2011,1.03
,,2011 - 2012,0.68
,,2012 - 2013,0.83
,,2013 - 2014,0.74
,,2014 - 2015,0.82
,,2015 - 2016,0.81
,,2016 - 2017,0.83
,,2017 - 2018,0.83
,,2018 - 2019,0.68
,,2019 - 2020,0.83
