state,district,year,maize_kharif_yield_tonne_per_hectare
,,2019 - 2020,1.54
,,2020 - 2021,1.54
,,2021 - 2022,1.54
,,2022 - 2023,1.55
,Goalpara,2000 - 2001,0.58
,,2001 - 2002,0.58
,,2002 - 2003,0.58
,,2003 - 2004,0.58
,,2005 - 2006,0.58
,,2006 - 2007,0.58
,,2007 - 2008,0.58
,,2008 - 2009,0.58
,,2009 - 2010,0.58
,,2010 - 2011,0.58
,,2011 - 2012,0.66
,,2012 - 2013,0.66
,,2013 - 2014,2.1
,,2014 - 2015,2.38
,,2015 - 2016,0.77
,,2016 - 2017,1.75
,,2017 - 2018,4.5
,,2018 - 2019,4.5
,,2019 - 2020,4.5
,,2020 - 2021,4.55
,,2021 - 2022,4.56
,,2022 - 2023,4.43
,Golaghat,2000 - 2001,0.54
,,2001 - 2002,0.54
,,2002 - 2003,0.54
,,2003 - 2004,0.54
,,2005 - 2006,0.53
,,2006 - 2007,0.54
,,2007 - 2008,0.54
,,2008 - 2009,0.54
,,2009 - 2010,0.54
,,2010 - 2011,0.54
,,2011 - 2012,0.64
,,2012 - 2013,0.71
,,2013 - 2014,4.01
,,2014 - 2015,2.76
,,2015 - 2016,0.91
,,2016 - 2017,0.94
,,2017 - 2018,0.95
,,2018 - 2019,0.95
,,2019 - 2020,0.99
,,2020 - 2021,0.99
,,2021 - 2022,1.02
,,2022 - 2023,1.0
,Hailakandi,2000 - 2001,0.4
,,2001 - 2002,0.4
,,2002 - 2003,0.4
,,2003 - 2004,0.4
,,2005 - 2006,1.0
,,2007 - 2008,0.4
,,2008 - 2009,0.38
,,2009 - 2010,0.4
,,2010 - 2011,0.4
,,2011 - 2012,0.45
,,2012 - 2013,0.45
,,2013 - 2014,1.14
,,2014 - 2015,1.7
,,2015 - 2016,1.73
,,2016 - 2017,1.75
,,2017 - 2018,2.75
,,2018 - 2019,2.81
,,2019 - 2020,2.78
,,2020 - 2021,2.78
,,2021 - 2022,2.94
,,2022 - 2023,3.0
,Hojai,2020 - 2021,3.02
,,2021 - 2022,3.43
,,2022 - 2023,3.73
,Jorhat,2000 - 2001,0.51
,,2001 - 2002,0.52
,,2002 - 2003,0.5
,,2003 - 2004,0.52
,,2005 - 2006,0.54
,,2006 - 2007,0.53
,,2007 - 2008,0.54
,,2008 - 2009,0.54
,,2009 - 2010,0.52
,,2010 - 2011,0.52
,,2011 - 2012,0.59
,,2012 - 2013,0.71
,,2013 - 2014,4.03
,,2014 - 2015,2.52
,,2015 - 2016,2.54
,,2016 - 2017,2.47
,,2017 - 2018,2.41
,,2018 - 2019,2.57
,,2019 - 2020,2.64
,,2020 - 2021,2.61
,,2021 - 2022,2.6
,,2022 - 2023,2.6
,Kamrup,2000 - 2001,0.62
,,2001 - 2002,0.62
,,2002 - 2003,0.62
,,2003 - 2004,0.62
,,2005 - 2006,0.62
,,2006 - 2007,0.62
,,2007 - 2008,0.62
,,2008 - 2009,0.62
,,2009 - 2010,0.62
,,2010 - 2011,0.62
,,2011 - 2012,0.71
,,2012 - 2013,0.8
,,2013 - 2014,3.63
,,2014 - 2015,2.9
,,2015 - 2016,3.56
,,2016 - 2017,3.58
,,2017 - 2018,3.58
,,2018 - 2019,3.57
,,2019 - 2020,5.97
,,2020 - 2021,5.98
,,2021 - 2022,6.02
,,2022 - 2023,3.52
,Kamrup metro,2005 - 2006,0.63
,,2006 - 2007,0.63
,,2007 - 2008,0.62
,,2008 - 2009,0.63
,,2009 - 2010,0.62
,,2010 - 2011,0.62
,,2011 - 2012,0.7
,,2012 - 2013,0.7
,,2013 - 2014,3.56
,,2014 - 2015,2.53
,,2015 - 2016,3.56
,,2016 - 2017,3.23
,,2017 - 2018,3.58
,,2018 - 2019,3.46
,,2019 - 2020,5.97
,,2020 - 2021,5.97
,,2021 - 2022,5.83
,,2022 - 2023,3.52
,Karbi anglong,2000 - 2001,0.8
,,2001 - 2002,0.78
,,2002 - 2003,0.79
,,2003 - 2004,0.79
,,2005 - 2006,0.79
,,2006 - 2007,0.79
,,2007 - 2008,0.79
,,2008 - 2009,0.79
,,2009 - 2010,0.79
,,2010 - 2011,0.79
,,2011 - 2012,0.89
,,2012 - 2013,1.01
,,2013 - 2014,2.21
,,2014 - 2015,3.66
,,2015 - 2016,2.61
,,2016 - 2017,2.21
,,2017 - 2018,2.21
,,2018 - 2019,2.26
,,2019 - 2020,2.27
,,2020 - 2021,2.27
,,2021 - 2022,2.27
,,2022 - 2023,2.27
,Karimganj,2000 - 2001,0.5
,,2001 - 2002,0.58
,,2002 - 2003,0.58
,,2003 - 2004,0.58
,,2005 - 2006,0.54
,,2006 - 2007,0.54
,,2007 - 2008,0.53
,,2008 - 2009,0.5
,,2009 - 2010,0.44
,,2010 - 2011,0.5
,,2011 - 2012,0.59
,,2012 - 2013,0.59
,,2013 - 2014,2.28
,,2014 - 2015,2.11
,,2015 - 2016,3.13
,,2016 - 2017,2.52
,,2017 - 2018,3.2
,,2018 - 2019,0.9
,,2019 - 2020,0.9
,,2020 - 2021,2.23
,,2021 - 2022,2.23
,,2022 - 2023,1.0
,Kokrajhar,2000 - 2001,0.52
,,2001 - 2002,0.52
,,2002 - 2003,0.52
,,2003 - 2004,0.52
,,2005 - 2006,0.52
,,2006 - 2007,0.52
,,2007 - 2008,0.52
,,2008 - 2009,0.52
,,2009 - 2010,0.52
,,2010 - 2011,0.52
,,2011 - 2012,0.55
,,2012 - 2013,0.66
,,2013 - 2014,2.96
,,2014 - 2015,2.39
,,2015 - 2016,0.76
,,2016 - 2017,0.66
,,2017 - 2018,0.66
,,2018 - 2019,0.68
,,2019 - 2020,0.67
,,2020 - 2021,0.78
,,2021 - 2022,2.78
,,2022 - 2023,2.85
,Lakhimpur,2000 - 2001,0.6
,,2001 - 2002,0.6
,,2002 - 2003,0.6
,,2003 - 2004,0.6
,,2005 - 2006,0.6
,,2006 - 2007,0.6
,,2007 - 2008,0.6
,,2008 - 2009,0.6
,,2009 - 2010,0.6
,,2010 - 2011,0.6
,,2011 - 2012,0.68
,,2012 - 2013,0.76
,,2013 - 2014,3.42
,,2014 - 2015,4.49
,,2015 - 2016,0.59
,,2016 - 2017,0.59
,,2017 - 2018,4.19
,,2018 - 2019,3.71
,,2019 - 2020,3.71
,,2020 - 2021,4.1
,,2021 - 2022,4.1
,,2022 - 2023,4.27
,Majuli,2020 - 2021,2.62
,,2021 - 2022,2.63
,,2022 - 2023,2.61
,Marigaon,2000 - 2001,0.4
,,2001 - 2002,0.4
,,2002 - 2003,0.4
,,2003 - 2004,0.4
,,2005 - 2006,0.4
,,2006 - 2007,0.4
,,2007 - 2008,0.38
,,2008 - 2009,0.38
,,2009 - 2010,0.4
,,2010 - 2011,0.4
,,2011 - 2012,0.45
,,2012 - 2013,0.45
,,2013 - 2014,4.32
,,2014 - 2015,1.65
,,2015 - 2016,1.65
,,2016 - 2017,1.65
,,2017 - 2018,1.68
,,2018 - 2019,1.72
,,2019 - 2020,3.02
,,2020 - 2021,2.02
,,2021 - 2022,3.53
,,2022 - 2023,4.2
,Nagaon,2000 - 2001,0.66
,,2001 - 2002,0.66
,,2002 - 2003,0.65
,,2003 - 2004,0.64
,,2005 - 2006,0.66
,,2006 - 2007,0.67
,,2007 - 2008,0.68
,,2008 - 2009,0.57
,,2009 - 2010,0.67
,,2010 - 2011,0.68
,,2011 - 2012,0.77
,,2012 - 2013,0.87
,,2013 - 2014,3.92
,,2014 - 2015,3.08
,,2015 - 2016,3.14
,,2016 - 2017,3.05
,,2017 - 2018,3.34
,,2018 - 2019,3.61
,,2019 - 2020,3.33
,,2020 - 2021,3.77
,,2021 - 2022,3.75
,,2022 - 2023,4.5
,Nalbari,2000 - 2001,0.75
,,2001 - 2002,0.75
,,2002 - 2003,0.75
,,2003 - 2004,0.75
,,2005 - 2006,0.75
,,2006 - 2007,0.76
,,2007 - 2008,0.75
,,2008 - 2009,0.73
,,2009 - 2010,0.74
,,2010 - 2011,0.74
,,2011 - 2012,0.85
,,2012 - 2013,0.85
,,2013 - 2014,4.31
,,2014 - 2015,3.07
,,2015 - 2016,4.3
,,2016 - 2017,1.9
,,2017 - 2018,3.9
,,2018 - 2019,2.1
,,2019 - 2020,2.1
,,2020 - 2021,2.1
,,2021 - 2022,3.47
,,2022 - 2023,3.38
,Sivasagar,2000 - 2001,0.68
,,2001 - 2002,0.68
,,2002 - 2003,0.69
,,2003 - 2004,0.69
,,2005 - 2006,0.69
,,2006 - 2007,0.68
,,2007 - 2008,0.68
,,2008 - 2009,0.69
,,2009 - 2010,0.68
,,2010 - 2011,0.69
,,2011 - 2012,0.8
,,2012 - 2013,0.89
,,2013 - 2014,2.69
,,2014 - 2015,3.28
,,2015 - 2016,2.87
,,2016 - 2017,2.82
,,2017 - 2018,3.11
,,2018 - 2019,3.0
,,2019 - 2020,2.34
,,2020 - 2021,2.83
,,2021 - 2022,2.79
,,2022 - 2023,2.83
,Sonitpur,2000 - 2001,0.6
,,2001 - 2002,0.61
,,2002 - 2003,0.58
,,2003 - 2004,0.58
,,2005 - 2006,0.58
,,2006 - 2007,0.59
,,2007 - 2008,0.58
,,2008 - 2009,0.58
,,2009 - 2010,0.57
,,2010 - 2011,0.57
,,2011 - 2012,0.65
,,2012 - 2013,0.72
,,2013 - 2014,5.27
,,2014 - 2015,5.16
,,2015 - 2016,5.13
,,2016 - 2017,5.12
,,2017 - 2018,4.9
,,2018 - 2019,5.1
,,2019 - 2020,5.2
,,2020 - 2021,5.46
,,2021 - 2022,2.85
,,2022 - 2023,3.34
,South salmara mancachar,2020 - 2021,4.2
,,2021 - 2022,4.2
,,2022 - 2023,4.5
,Tinsukia,2000 - 2001,0.6
,,2001 - 2002,0.6
,,2002 - 2003,0.6
,,2003 - 2004,0.6
,,2005 - 2006,0.6
,,2006 - 2007,0.6
,,2007 - 2008,0.6
,,2008 - 2009,0.6
,,2009 - 2010,0.6
,,2010 - 2011,0.6
,,2011 - 2012,0.69
,,2012 - 2013,0.78
,,2013 - 2014,3.75
,,2014 - 2015,2.83
,,2015 - 2016,0.82
,,2016 - 2017,0.56
,,2017 - 2018,0.56
,,2018 - 2019,0.61
,,2019 - 2020,1.08
,,2020 - 2021,1.28
,,2021 - 2022,1.78
,,2022 - 2023,2.05
,Udalguri,2005 - 2006,0.63
,,2006 - 2007,0.62
,,2007 - 2008,0.62
,,2008 - 2009,0.62
,,2009 - 2010,0.62
,,2010 - 2011,0.62
,,2011 - 2012,0.71
,,2012 - 2013,0.8
,,2013 - 2014,3.12
,,2014 - 2015,2.9
,,2015 - 2016,0.65
,,2016 - 2017,2.22
,,2017 - 2018,2.25
,,2018 - 2019,2.0
,,2019 - 2020,2.12
,,2020 - 2021,2.14
,,2021 - 2022,2.33
,,2022 - 2023,2.13
,West karbi anglong,2020 - 2021,1.63
,,2021 - 2022,2.27
,,2022 - 2023,2.3
Bihar,Araria,2000 - 2001,1.36
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,2.08
,,2004 - 2005,2.82
,,2005 - 2006,2.78
,,2006 - 2007,2.52
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Arwal,2003 - 2004,1.71
,,2004 - 2005,1.33
,,2005 - 2006,1.34
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Aurangabad,2000 - 2001,0.72
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.71
,,2004 - 2005,1.16
,,2005 - 2006,1.41
,,2006 - 2007,1.63
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Banka,2000 - 2001,1.34
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,2.34
,,2004 - 2005,0.97
,,2005 - 2006,0.98
,,2006 - 2007,1.34
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Begusarai,2000 - 2001,1.3
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.9
,,2004 - 2005,1.51
,,2005 - 2006,1.49
,,2006 - 2007,1.21
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhagalpur,2000 - 2001,1.97
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.75
,,2004 - 2005,1.5
,,2005 - 2006,1.48
,,2006 - 2007,1.38
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhojpur,2000 - 2001,1.15
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,0.79
,,2004 - 2005,1.66
,,2005 - 2006,1.69
,,2006 - 2007,1.57
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Buxar,2000 - 2001,2.05
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.23
,,2004 - 2005,1.29
,,2005 - 2006,1.25
,,2006 - 2007,1.07
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Darbhanga,2000 - 2001,1.72
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.17
,,2004 - 2005,1.31
,,2005 - 2006,1.3
,,2006 - 2007,1.56
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gaya,2000 - 2001,0.75
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.71
,,2004 - 2005,1.42
,,2005 - 2006,1.27
,,2006 - 2007,1.36
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gopalganj,2000 - 2001,2.56
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.22
,,2004 - 2005,1.62
,,2005 - 2006,1.63
,,2006 - 2007,1.5
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jamui,2000 - 2001,1.31
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.36
,,2004 - 2005,0.53
,,2005 - 2006,0.54
,,2006 - 2007,0.95
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jehanabad,2000 - 2001,0.75
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.71
,,2004 - 2005,1.33
,,2005 - 2006,1.07
,,2006 - 2007,1.39
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kaimur (bhabua),2000 - 2001,2.18
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.23
,,2004 - 2005,1.29
,,2005 - 2006,1.41
,,2006 - 2007,1.32
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Katihar,2000 - 2001,1.81
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,2.41
,,2004 - 2005,2.06
,,2005 - 2006,2.27
,,2006 - 2007,1.99
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khagaria,2000 - 2001,1.1
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.41
,,2004 - 2005,1.57
,,2005 - 2006,1.57
,,2006 - 2007,1.2
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kishanganj,2000 - 2001,1.91
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,2.51
,,2004 - 2005,1.84
,,2005 - 2006,1.87
,,2006 - 2007,2.16
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lakhisarai,2000 - 2001,1.96
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.63
,,2004 - 2005,1.17
,,2005 - 2006,1.23
,,2006 - 2007,1.25
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Madhepura,2000 - 2001,2.55
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,2.68
,,2004 - 2005,2.69
,,2005 - 2006,2.78
,,2006 - 2007,2.63
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Madhubani,2000 - 2001,1.72
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.34
,,2004 - 2005,1.31
,,2005 - 2006,1.31
,,2006 - 2007,1.56
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Munger,2000 - 2001,1.27
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.17
,,2004 - 2005,1.5
,,2005 - 2006,1.5
,,2006 - 2007,1.4
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Muzaffarpur,2000 - 2001,1.61
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.63
,,2004 - 2005,1.84
,,2005 - 2006,1.56
,,2006 - 2007,1.34
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nalanda,2000 - 2001,1.4
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.33
,,2004 - 2005,0.38
,,2005 - 2006,0.38
,,2006 - 2007,0.33
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nawada,2000 - 2001,0.75
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.71
,,2004 - 2005,1.21
,,2005 - 2006,1.27
,,2006 - 2007,1.4
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pashchim champaran,2000 - 2001,1.83
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.29
,,2004 - 2005,0.56
,,2005 - 2006,0.55
,,2006 - 2007,1.66
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Patna,2000 - 2001,2.77
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.34
,,2004 - 2005,1.48
,,2005 - 2006,1.55
,,2006 - 2007,1.9
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Purbi champaran,2000 - 2001,1.95
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,2.84
,,2004 - 2005,2.32
,,2005 - 2006,2.29
,,2006 - 2007,1.01
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Purnia,2000 - 2001,2.33
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,2.16
,,2004 - 2005,2.05
,,2005 - 2006,2.01
,,2006 - 2007,2.76
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rohtas,2000 - 2001,2.18
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.21
,,2004 - 2005,1.3
,,2005 - 2006,1.67
,,2006 - 2007,1.66
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,Saharsa,2000 - 2001,3.12
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,2.42
,,2004 - 2005,3.49
,,2005 - 2006,3.61
,,2006 - 2007,2.83
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Samastipur,2000 - 2001,1.72
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.35
,,2004 - 2005,1.29
,,2005 - 2006,1.29
,,2006 - 2007,1.48
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Saran,2000 - 2001,1.89
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.26
,,2004 - 2005,1.91
,,2005 - 2006,1.92
,,2006 - 2007,1.47
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
