state,district,year,groundnut_kharif_yield_tonne_per_hectare
,,2013 - 2014,0.85
,,2014 - 2015,0.24
,,2015 - 2016,0.03
,,2016 - 2017,0.33
,,2017 - 2018,0.52
,,2018 - 2019,0.17
,,2019 - 2020,0.44
,,2020 - 2021,0.93
,,2021 - 2022,0.56
,,2022 - 2023,1.21
,Bhandara,2000 - 2001,1.0
,,2002 - 2003,0.5
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,
,,2006 - 2007,1.0
,,2007 - 2008,
,,2008 - 2009,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2021 - 2022,
,,2022 - 2023,
,Buldhana,2000 - 2001,0.35
,,2001 - 2002,0.59
,,2002 - 2003,0.64
,,2003 - 2004,0.86
,,2004 - 2005,0.5
,,2005 - 2006,0.67
,,2006 - 2007,0.67
,,2007 - 2008,0.83
,,2008 - 2009,0.25
,,2009 - 2010,
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.33
,,2014 - 2015,0.55
,,2015 - 2016,0.5
,,2016 - 2017,0.93
,,2017 - 2018,1.2
,,2018 - 2019,0.94
,,2019 - 2020,0.85
,,2020 - 2021,0.91
,,2021 - 2022,1.02
,,2022 - 2023,1.58
,Chandrapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2012 - 2013,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chhatrapati Sambhajinagar,2000 - 2001,0.46
,,2001 - 2002,0.42
,,2002 - 2003,0.71
,,2003 - 2004,0.49
,,2004 - 2005,0.68
,,2005 - 2006,0.6
,,2006 - 2007,0.76
,,2007 - 2008,1.01
,,2008 - 2009,0.86
,,2009 - 2010,0.91
,,2010 - 2011,0.83
,,2011 - 2012,0.8
,,2012 - 2013,0.54
,,2013 - 2014,1.18
,,2014 - 2015,0.22
,,2015 - 2016,0.39
,,2016 - 2017,0.89
,,2017 - 2018,0.73
,,2018 - 2019,0.41
,,2019 - 2020,0.98
,,2020 - 2021,0.44
,,2021 - 2022,0.6
,,2022 - 2023,1.11
,Dharashiv,2000 - 2001,0.46
,,2001 - 2002,0.34
,,2002 - 2003,0.47
,,2003 - 2004,0.27
,,2004 - 2005,0.46
,,2005 - 2006,0.58
,,2006 - 2007,0.66
,,2007 - 2008,0.56
,,2008 - 2009,0.52
,,2009 - 2010,0.5
,,2010 - 2011,0.66
,,2011 - 2012,0.64
,,2012 - 2013,0.36
,,2013 - 2014,0.87
,,2014 - 2015,0.27
,,2015 - 2016,0.18
,,2016 - 2017,0.32
,,2017 - 2018,0.62
,,2018 - 2019,0.53
,,2019 - 2020,0.54
,,2020 - 2021,0.37
,,2021 - 2022,0.88
,,2022 - 2023,0.76
,Dhule,2000 - 2001,0.22
,,2001 - 2002,0.65
,,2002 - 2003,0.59
,,2003 - 2004,1.03
,,2004 - 2005,0.85
,,2005 - 2006,0.62
,,2006 - 2007,0.67
,,2007 - 2008,0.82
,,2008 - 2009,0.37
,,2009 - 2010,0.77
,,2010 - 2011,1.32
,,2011 - 2012,0.8
,,2012 - 2013,0.71
,,2013 - 2014,0.95
,,2014 - 2015,0.6
,,2015 - 2016,0.48
,,2016 - 2017,0.7
,,2017 - 2018,1.16
,,2018 - 2019,0.5
,,2019 - 2020,0.58
,,2020 - 2021,0.66
,,2021 - 2022,0.57
,,2022 - 2023,0.98
,Gadchiroli,2003 - 2004,
,,2012 - 2013,
,,2016 - 2017,1.7
,,2017 - 2018,
,,2019 - 2020,0.23
,,2020 - 2021,
,,2021 - 2022,1.1
,,2022 - 2023,0.65
,Gondia,2001 - 2002,
,,2019 - 2020,0.25
,,2020 - 2021,0.91
,,2021 - 2022,1.1
,Hingoli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.5
,,2003 - 2004,0.25
,,2004 - 2005,0.33
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,0.4
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,0.5
,,2017 - 2018,2.82
,,2018 - 2019,0.48
,,2019 - 2020,0.48
,,2020 - 2021,0.45
,,2021 - 2022,0.74
,,2022 - 2023,
,Jalgaon,2000 - 2001,0.36
,,2001 - 2002,0.59
,,2002 - 2003,0.88
,,2003 - 2004,0.92
,,2004 - 2005,0.78
,,2005 - 2006,0.82
,,2006 - 2007,0.91
,,2007 - 2008,0.82
,,2008 - 2009,0.77
,,2009 - 2010,1.07
,,2010 - 2011,1.26
,,2011 - 2012,1.33
,,2012 - 2013,0.91
,,2013 - 2014,1.18
,,2014 - 2015,0.88
,,2015 - 2016,0.46
,,2016 - 2017,1.33
,,2017 - 2018,1.03
,,2018 - 2019,0.71
,,2019 - 2020,0.74
,,2020 - 2021,0.99
,,2021 - 2022,0.7
,,2022 - 2023,0.84
,Jalna,2000 - 2001,0.5
,,2001 - 2002,0.44
,,2002 - 2003,0.83
,,2003 - 2004,0.73
,,2004 - 2005,0.83
,,2005 - 2006,0.75
,,2006 - 2007,0.67
,,2007 - 2008,0.75
,,2008 - 2009,0.5
,,2009 - 2010,0.83
,,2010 - 2011,0.8
,,2011 - 2012,0.67
,,2012 - 2013,0.5
,,2013 - 2014,0.85
,,2014 - 2015,0.38
,,2015 - 2016,0.33
,,2016 - 2017,0.56
,,2017 - 2018,0.54
,,2018 - 2019,1.32
,,2019 - 2020,2.34
,,2020 - 2021,0.9
,,2021 - 2022,0.69
,,2022 - 2023,0.94
,Kolhapur,2000 - 2001,1.51
,,2001 - 2002,1.98
,,2002 - 2003,1.58
,,2003 - 2004,1.7
,,2004 - 2005,1.66
,,2005 - 2006,1.21
,,2006 - 2007,1.0
,,2007 - 2008,1.63
,,2008 - 2009,1.43
,,2009 - 2010,1.37
,,2010 - 2011,1.52
,,2011 - 2012,1.27
,,2012 - 2013,1.36
,,2013 - 2014,1.75
,,2014 - 2015,1.51
,,2015 - 2016,1.58
,,2016 - 2017,1.88
,,2017 - 2018,1.5
,,2018 - 2019,1.44
,,2019 - 2020,1.19
,,2020 - 2021,1.4
,,2021 - 2022,1.7
,,2022 - 2023,1.44
,Latur,2000 - 2001,0.46
,,2001 - 2002,0.35
,,2002 - 2003,0.36
,,2003 - 2004,0.19
,,2004 - 2005,0.29
,,2005 - 2006,0.58
,,2006 - 2007,0.52
,,2007 - 2008,0.67
,,2008 - 2009,0.47
,,2009 - 2010,0.33
,,2010 - 2011,0.56
,,2011 - 2012,0.58
,,2012 - 2013,0.7
,,2013 - 2014,0.9
,,2014 - 2015,0.24
,,2015 - 2016,0.14
,,2016 - 2017,0.36
,,2017 - 2018,0.39
,,2018 - 2019,0.32
,,2019 - 2020,0.33
,,2020 - 2021,0.78
,,2021 - 2022,0.22
,,2022 - 2023,0.6
,Nagpur,2000 - 2001,0.6
,,2001 - 2002,0.67
,,2002 - 2003,0.63
,,2003 - 2004,0.91
,,2004 - 2005,0.51
,,2005 - 2006,0.89
,,2006 - 2007,0.95
,,2007 - 2008,0.85
,,2008 - 2009,0.69
,,2009 - 2010,0.75
,,2010 - 2011,0.88
,,2011 - 2012,0.79
,,2012 - 2013,1.08
,,2013 - 2014,0.48
,,2014 - 2015,0.24
,,2015 - 2016,0.94
,,2016 - 2017,1.53
,,2017 - 2018,1.08
,,2018 - 2019,0.51
,,2019 - 2020,0.14
,,2020 - 2021,0.87
,,2021 - 2022,1.03
,,2022 - 2023,0.72
,Nanded,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.67
,,2003 - 2004,0.5
,,2004 - 2005,0.2
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.67
,,2008 - 2009,0.5
,,2009 - 2010,0.25
,,2010 - 2011,0.67
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,
,,2014 - 2015,0.0
,,2015 - 2016,
,,2016 - 2017,0.2
,,2017 - 2018,0.06
,,2018 - 2019,0.49
,,2019 - 2020,0.38
,,2020 - 2021,0.45
,,2021 - 2022,0.74
,,2022 - 2023,0.72
,Nandurbar,2000 - 2001,0.25
,,2001 - 2002,0.6
,,2002 - 2003,0.54
,,2003 - 2004,0.85
,,2004 - 2005,0.61
,,2005 - 2006,0.73
,,2006 - 2007,0.8
,,2007 - 2008,1.04
,,2008 - 2009,0.75
,,2009 - 2010,0.49
,,2010 - 2011,0.84
,,2011 - 2012,1.02
,,2012 - 2013,0.95
,,2013 - 2014,0.6
,,2014 - 2015,0.65
,,2015 - 2016,0.53
,,2016 - 2017,0.84
,,2017 - 2018,0.96
,,2018 - 2019,0.53
,,2019 - 2020,0.87
,,2020 - 2021,0.66
,,2021 - 2022,0.65
,,2022 - 2023,0.9
,Nashik,2000 - 2001,0.58
,,2001 - 2002,0.66
,,2002 - 2003,0.94
,,2003 - 2004,0.72
,,2004 - 2005,0.85
,,2005 - 2006,0.86
,,2006 - 2007,0.7
,,2007 - 2008,0.92
,,2008 - 2009,0.91
,,2009 - 2010,0.71
,,2010 - 2011,0.85
,,2011 - 2012,1.03
,,2012 - 2013,0.87
,,2013 - 2014,1.04
,,2014 - 2015,1.01
,,2015 - 2016,0.92
,,2016 - 2017,1.64
,,2017 - 2018,1.33
,,2018 - 2019,0.93
,,2019 - 2020,0.75
,,2020 - 2021,1.17
,,2021 - 2022,1.03
,,2022 - 2023,1.17
,Palghar,2011 - 2012,
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.32
,,2020 - 2021,0.94
,,2021 - 2022,0.87
,,2022 - 2023,0.92
,Parbhani,2000 - 2001,1.0
,,2001 - 2002,0.5
,,2002 - 2003,0.33
,,2003 - 2004,0.33
,,2004 - 2005,0.33
,,2005 - 2006,
,,2006 - 2007,1.0
,,2007 - 2008,0.5
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.0
,,2011 - 2012,0.67
,,2012 - 2013,0.5
,,2013 - 2014,1.0
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.06
,,2018 - 2019,
,,2019 - 2020,0.33
,,2020 - 2021,0.45
,,2021 - 2022,0.74
,,2022 - 2023,0.72
,Pune,2000 - 2001,1.17
,,2001 - 2002,1.21
,,2002 - 2003,0.97
,,2003 - 2004,1.16
,,2004 - 2005,0.9
,,2005 - 2006,0.85
,,2006 - 2007,0.74
,,2007 - 2008,1.11
,,2008 - 2009,0.95
,,2009 - 2010,0.88
,,2010 - 2011,1.29
,,2011 - 2012,1.06
,,2012 - 2013,0.88
,,2013 - 2014,0.82
,,2014 - 2015,0.9
,,2015 - 2016,1.13
,,2016 - 2017,1.06
,,2017 - 2018,0.94
,,2018 - 2019,0.82
,,2019 - 2020,1.0
,,2020 - 2021,1.15
,,2021 - 2022,0.91
,,2022 - 2023,1.04
,Raigad,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.87
,,2022 - 2023,
,Ratnagiri,2000 - 2001,0.1
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,0.5
,,2007 - 2008,1.0
,,2008 - 2009,0.5
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.94
,,2021 - 2022,0.87
,,2022 - 2023,0.92
,Sangli,2000 - 2001,1.06
,,2001 - 2002,0.82
,,2002 - 2003,0.68
,,2003 - 2004,0.69
,,2004 - 2005,0.74
,,2005 - 2006,0.64
,,2006 - 2007,0.55
,,2007 - 2008,0.98
,,2008 - 2009,0.68
,,2009 - 2010,1.06
,,2010 - 2011,1.28
,,2011 - 2012,0.89
,,2012 - 2013,0.75
,,2013 - 2014,1.12
,,2014 - 2015,1.02
,,2015 - 2016,0.73
,,2016 - 2017,1.28
,,2017 - 2018,1.2
,,2018 - 2019,1.05
,,2019 - 2020,0.81
,,2020 - 2021,1.42
,,2021 - 2022,1.13
,,2022 - 2023,1.22
,Satara,2000 - 2001,1.24
,,2001 - 2002,1.4
,,2002 - 2003,1.17
,,2003 - 2004,1.46
,,2004 - 2005,1.39
,,2005 - 2006,0.8
,,2006 - 2007,0.73
,,2007 - 2008,1.38
,,2008 - 2009,1.46
,,2009 - 2010,1.28
,,2010 - 2011,1.63
,,2011 - 2012,1.41
,,2012 - 2013,1.24
,,2013 - 2014,1.58
,,2014 - 2015,1.46
,,2015 - 2016,1.29
,,2016 - 2017,1.33
,,2017 - 2018,1.41
,,2018 - 2019,1.08
,,2019 - 2020,0.91
,,2020 - 2021,1.77
,,2021 - 2022,1.67
,,2022 - 2023,1.5
,Sindhudurg,2000 - 2001,0.36
,,2001 - 2002,0.67
,,2002 - 2003,0.79
,,2003 - 2004,0.87
,,2004 - 2005,0.79
,,2005 - 2006,0.75
,,2006 - 2007,0.68
,,2007 - 2008,0.9
,,2008 - 2009,0.67
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,0.95
,,2012 - 2013,1.2
,,2013 - 2014,1.55
,,2014 - 2015,0.83
,,2015 - 2016,0.63
,,2016 - 2017,1.33
,,2017 - 2018,1.29
,,2018 - 2019,0.7
,,2019 - 2020,0.99
,,2020 - 2021,0.94
,,2021 - 2022,0.87
,,2022 - 2023,0.92
,Solapur,2000 - 2001,0.65
,,2001 - 2002,0.27
,,2002 - 2003,0.47
,,2003 - 2004,0.33
,,2004 - 2005,0.64
,,2005 - 2006,0.72
,,2006 - 2007,0.54
,,2007 - 2008,0.68
,,2008 - 2009,1.0
,,2009 - 2010,0.44
,,2010 - 2011,0.53
,,2011 - 2012,0.74
,,2012 - 2013,0.4
,,2013 - 2014,0.8
,,2014 - 2015,0.56
,,2015 - 2016,0.45
,,2016 - 2017,0.44
,,2017 - 2018,0.62
,,2018 - 2019,0.44
,,2019 - 2020,0.45
,,2020 - 2021,0.86
,,2021 - 2022,0.64
,,2022 - 2023,0.39
,Thane,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,0.67
,,2006 - 2007,0.67
,,2007 - 2008,1.0
,,2008 - 2009,0.67
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2012 - 2013,
,,2015 - 2016,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,0.94
,,2021 - 2022,
,,2022 - 2023,
,Wardha,2000 - 2001,0.72
,,2001 - 2002,0.71
,,2002 - 2003,0.67
,,2003 - 2004,0.8
,,2004 - 2005,0.6
,,2005 - 2006,0.86
,,2006 - 2007,1.06
,,2007 - 2008,0.73
,,2008 - 2009,0.67
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,1.0
,,2012 - 2013,0.5
,,2013 - 2014,0.35
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,1.0
,,2017 - 2018,1.33
,,2018 - 2019,0.86
,,2019 - 2020,0.56
,,2020 - 2021,1.02
,,2021 - 2022,1.3
,,2022 - 2023,0.51
,Washim,2000 - 2001,0.5
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.64
,,2020 - 2021,0.91
,,2021 - 2022,1.27
,,2022 - 2023,1.03
,Yavatmal,2000 - 2001,0.6
,,2001 - 2002,0.67
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,0.5
,,2005 - 2006,1.0
,,2006 - 2007,0.5
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Manipur,Bishnupur,2008 - 2009,0.82
,,2009 - 2010,0.64
,,2010 - 2011,0.83
,,2011 - 2012,0.93
,,2012 - 2013,0.89
,,2013 - 2014,0.9
,,2014 - 2015,0.9
,,2015 - 2016,0.84
,,2016 - 2017,0.83
,,2017 - 2018,0.9
,,2018 - 2019,0.9
,Chandel,2008 - 2009,0.89
,,2009 - 2010,0.47
,,2010 - 2011,0.66
,,2011 - 2012,0.8
,,2012 - 2013,0.81
,,2013 - 2014,0.85
,,2014 - 2015,0.85
,,2015 - 2016,0.85
,,2016 - 2017,0.85
,,2017 - 2018,1.02
,,2018 - 2019,1.01
,Churachandpur,2008 - 2009,0.67
,,2009 - 2010,0.44
,,2010 - 2011,0.68
,,2011 - 2012,0.74
,,2012 - 2013,0.67
,,2013 - 2014,0.85
,,2014 - 2015,0.88
,,2015 - 2016,0.93
,,2016 - 2017,0.95
,,2017 - 2018,0.96
,,2018 - 2019,0.95
,Imphal east,2008 - 2009,0.8
,,2009 - 2010,0.63
,,2010 - 2011,0.86
,,2011 - 2012,0.9
,,2012 - 2013,0.89
,,2013 - 2014,0.94
,,2014 - 2015,0.94
,,2015 - 2016,0.98
,,2016 - 2017,0.98
,,2017 - 2018,0.98
,,2018 - 2019,0.98
,Imphal west,2008 - 2009,0.85
,,2009 - 2010,0.66
,,2010 - 2011,0.89
,,2011 - 2012,0.96
,,2012 - 2013,0.91
,,2013 - 2014,0.92
,,2014 - 2015,0.84
,,2015 - 2016,0.86
,,2016 - 2017,0.86
,,2017 - 2018,0.93
,,2018 - 2019,0.93
,Senapati,2008 - 2009,0.63
,,2009 - 2010,0.32
,,2010 - 2011,0.58
,,2011 - 2012,0.81
,,2012 - 2013,0.72
,,2013 - 2014,0.87
,,2014 - 2015,0.86
,,2015 - 2016,0.93
,,2016 - 2017,0.92
,,2017 - 2018,0.94
,,2018 - 2019,0.95
,Tamenglong,2008 - 2009,0.68
,,2009 - 2010,0.47
,,2010 - 2011,0.68
,,2011 - 2012,0.81
,,2012 - 2013,0.7
,,2013 - 2014,0.82
,,2014 - 2015,0.82
,,2015 - 2016,0.87
,,2016 - 2017,0.88
,,2017 - 2018,0.89
,,2018 - 2019,0.89
,Thoubal,2008 - 2009,0.77
,,2009 - 2010,0.71
,,2010 - 2011,0.81
,,2011 - 2012,0.9
,,2012 - 2013,0.86
,,2013 - 2014,0.82
,,2014 - 2015,0.82
,,2015 - 2016,0.89
,,2016 - 2017,0.88
,,2017 - 2018,0.98
,,2018 - 2019,0.92
,Ukhrul,2008 - 2009,0.46
,,2009 - 2010,0.36
,,2010 - 2011,0.51
,,2011 - 2012,0.83
,,2012 - 2013,0.63
,,2013 - 2014,0.69
,,2014 - 2015,0.7
,,2015 - 2016,0.81
,,2016 - 2017,0.82
,,2017 - 2018,0.88
,,2018 - 2019,0.88
Mizoram,Aizawl,2004 - 2005,1.0
,Kolasib,2004 - 2005,1.13
,,2005 - 2006,0.67
,Lawngtlai,2004 - 2005,1.0
,Lunglei,2004 - 2005,0.5
,,2005 - 2006,1.0
,Mamit,2004 - 2005,1.0
,,2005 - 2006,0.83
Nagaland,Chumoukedima,2022 - 2023,1.04
,Dimapur,2000 - 2001,1.03
,,2001 - 2002,
,,2002 - 2003,1.16
,,2003 - 2004,1.59
,,2004 - 2005,1.22
,,2005 - 2006,1.0
,,2006 - 2007,0.93
,,2007 - 2008,1.07
,,2008 - 2009,1.08
,,2009 - 2010,0.73
,,2010 - 2011,1.08
,,2011 - 2012,1.08
,,2012 - 2013,1.07
,,2013 - 2014,1.06
,,2014 - 2015,1.06
,,2015 - 2016,1.06
,,2016 - 2017,1.06
,,2017 - 2018,1.06
,,2018 - 2019,1.06
,,2019 - 2020,1.06
,,2020 - 2021,1.09
,,2021 - 2022,0.85
,,2022 - 2023,1.03
,Kiphire,2008 - 2009,0.67
,,2009 - 2010,0.33
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.05
,,2020 - 2021,1.05
,,2021 - 2022,0.87
,,2022 - 2023,1.03
,Kohima,2000 - 2001,1.4
,,2001 - 2002,1.25
,,2002 - 2003,1.79
,,2003 - 2004,1.5
,,2004 - 2005,1.24
,,2005 - 2006,0.71
,,2006 - 2007,1.07
,,2007 - 2008,1.11
,,2008 - 2009,1.1
,,2009 - 2010,0.71
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.01
,,2020 - 2021,1.02
,,2021 - 2022,1.05
,,2022 - 2023,1.02
,Longleng,2012 - 2013,0.5
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.06
,,2020 - 2021,1.08
,,2021 - 2022,1.02
,,2022 - 2023,1.08
,Mokokchung,2000 - 2001,1.12
,,2001 - 2002,
,,2002 - 2003,1.1
,,2003 - 2004,1.69
,,2004 - 2005,1.27
,,2005 - 2006,1.25
,,2006 - 2007,1.0
,,2007 - 2008,1.05
,,2008 - 2009,1.0
,,2009 - 2010,0.88
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.08
,,2014 - 2015,1.08
,,2015 - 2016,1.08
,,2016 - 2017,1.08
,,2017 - 2018,1.07
,,2018 - 2019,1.07
,,2019 - 2020,1.04
,,2020 - 2021,1.06
,,2021 - 2022,1.03
,,2022 - 2023,1.07
,Mon,2000 - 2001,1.34
,,2001 - 2002,
,,2002 - 2003,1.0
,,2003 - 2004,1.71
,,2004 - 2005,1.27
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.15
,,2008 - 2009,1.0
,,2009 - 2010,0.75
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.02
,,2020 - 2021,1.04
,,2021 - 2022,0.9
,,2022 - 2023,1.03
,Noklak,2021 - 2022,1.0
,,2022 - 2023,1.05
,Nuiland,2022 - 2023,1.03
,Peren,2008 - 2009,1.2
,,2009 - 2010,0.83
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.02
,,2020 - 2021,1.04
,,2021 - 2022,0.83
,,2022 - 2023,1.03
,Phek,2000 - 2001,1.09
,,2001 - 2002,1.0
,,2002 - 2003,1.19
,,2003 - 2004,1.26
,,2004 - 2005,1.25
,,2005 - 2006,0.8
,,2006 - 2007,1.06
,,2007 - 2008,1.05
,,2008 - 2009,0.71
,,2009 - 2010,0.67
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.17
,,2016 - 2017,1.0
,,2017 - 2018,1.14
,,2018 - 2019,1.14
,,2019 - 2020,1.15
,,2020 - 2021,1.16
,,2021 - 2022,1.02
,,2022 - 2023,1.05
,Shamator,2022 - 2023,1.04
,Tseminyu,2022 - 2023,1.02
,Tuensang,2000 - 2001,1.2
,,2001 - 2002,
,,2002 - 2003,2.08
,,2003 - 2004,1.3
,,2004 - 2005,1.26
,,2005 - 2006,1.0
,,2006 - 2007,1.14
,,2007 - 2008,1.08
,,2008 - 2009,0.8
,,2009 - 2010,0.78
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.01
,,2020 - 2021,1.03
,,2021 - 2022,1.0
,,2022 - 2023,1.08
,Wokha,2000 - 2001,1.07
,,2001 - 2002,1.05
,,2002 - 2003,1.19
,,2003 - 2004,1.61
,,2004 - 2005,1.27
,,2005 - 2006,1.0
,,2006 - 2007,0.91
,,2007 - 2008,1.1
,,2008 - 2009,1.0
,,2009 - 2010,0.86
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.01
,,2020 - 2021,1.02
,,2021 - 2022,1.06
,,2022 - 2023,1.03
,Zunheboto,2000 - 2001,1.2
,,2001 - 2002,1.22
,,2002 - 2003,1.2
,,2003 - 2004,1.47
,,2004 - 2005,1.33
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.27
,,2008 - 2009,1.08
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.09
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.08
,,2017 - 2018,1.08
,,2018 - 2019,1.08
,,2019 - 2020,1.07
,,2020 - 2021,1.1
,,2021 - 2022,1.03
,,2022 - 2023,1.03
Odisha,Anugul,2000 - 2001,0.67
,,2001 - 2002,0.71
,,2002 - 2003,0.67
,,2003 - 2004,0.88
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Balangir,2000 - 2001,0.45
,,2001 - 2002,0.8
,,2002 - 2003,0.58
,,2003 - 2004,0.81
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
